"Date","CANCPGRSE01GYM"
1977-07-01,9.03010033444817
1977-08-01,8.25082508250824
1977-09-01,8.22368421052632
1977-10-01,7.76699029126212
1977-11-01,7.71704180064309
1977-12-01,7.02875399361023
1978-01-01,7.64331210191082
1978-02-01,7.25552050473187
1978-03-01,7.21003134796239
1978-04-01,6.85358255451712
1978-05-01,6.83229813664595
1978-06-01,6.48148148148149
1978-07-01,6.7484662576687
1978-08-01,6.70731707317076
1978-09-01,6.99088145896657
1978-10-01,6.30630630630631
1978-11-01,6.56716417910448
1978-12-01,6.86567164179103
1979-01-01,6.2130177514793
1979-02-01,6.1764705882353
1979-03-01,6.14035087719297
1979-04-01,6.41399416909622
1979-05-01,7.26744186046512
1979-06-01,7.53623188405796
1979-07-01,7.18390804597702
1979-08-01,7.14285714285713
1979-09-01,7.38636363636363
1979-10-01,7.34463276836159
1979-11-01,7.2829131652661
1979-12-01,7.54189944134079
1980-01-01,7.79944289693594
1980-02-01,7.7562326869806
1980-03-01,7.98898071625345
1980-04-01,8.21917808219179
1980-05-01,7.58807588075881
1980-06-01,8.08625336927224
1980-07-01,8.31099195710455
1980-08-01,8.53333333333334
1980-09-01,8.46560846560847
1980-10-01,8.94736842105262
1980-11-01,8.35509138381202
1980-12-01,8.57142857142856
1981-01-01,9.56072351421188
1981-02-01,10.2827763496144
1981-03-01,10.2040816326531
1981-04-01,10.6329113924051
1981-05-01,10.8312342569269
1981-06-01,11.2219451371571
1981-07-01,11.3861386138614
1981-08-01,11.7936117936118
1981-09-01,11.7073170731707
1981-10-01,12.56038647343
1981-11-01,13.4939759036145
1981-12-01,13.6363636363636
1982-01-01,13.6792452830189
1982-02-01,13.7529137529138
1982-03-01,13.8888888888889
1982-04-01,13.5011441647597
1982-05-01,13.6363636363636
1982-06-01,13.2286995515695
1982-07-01,13.3333333333333
1982-08-01,13.1868131868132
1982-09-01,12.6637554585153
1982-10-01,12.2317596566524
1982-11-01,11.8895966029724
1982-12-01,11.1578947368421
1983-01-01,9.54356846473029
1983-02-01,8.60655737704919
1983-03-01,8.130081300813
1983-04-01,7.45967741935483
1983-05-01,7.00000000000001
1983-06-01,6.53465346534654
1983-07-01,6.07843137254902
1983-08-01,5.63106796116505
1983-09-01,5.62015503875969
1983-10-01,4.78011472275333
1983-11-01,4.17457305502847
1983-12-01,4.16666666666667
1984-01-01,4.16666666666667
1984-02-01,4.15094339622642
1984-03-01,3.94736842105261
1984-04-01,3.93996247654785
1984-05-01,4.11214953271028
1984-06-01,3.90334572490707
1984-07-01,3.88170055452865
1984-08-01,3.67647058823528
1984-09-01,4.03669724770643
1984-10-01,3.46715328467156
1984-11-01,3.27868852459017
1984-12-01,3.27272727272726
1985-01-01,3.45454545454544
1985-02-01,3.44202898550725
1985-03-01,3.79746835443038
1985-04-01,3.97111913357401
1985-05-01,3.94973070017952
1985-06-01,3.75670840787118
1985-07-01,4.09252669039144
1985-08-01,3.90070921985818
1985-09-01,3.70370370370369
1985-10-01,4.23280423280424
1985-11-01,4.40917107583775
1985-12-01,4.5774647887324
1986-01-01,4.39367311072057
1986-02-01,4.72854640980734
1986-03-01,4.87804878048783
1986-04-01,4.8611111111111
1986-05-01,5.18134715025907
1986-06-01,5.17241379310345
1986-07-01,5.2991452991453
1986-08-01,5.63139931740613
1986-09-01,5.10204081632654
1986-10-01,5.58375634517765
1986-11-01,5.40540540540539
1986-12-01,5.38720538720539
1987-01-01,5.05050505050506
1987-02-01,5.01672240802676
1987-03-01,4.81727574750829
1987-04-01,4.96688741721855
1987-05-01,4.59770114942529
1987-06-01,4.59016393442623
1987-07-01,4.87012987012986
1987-08-01,4.68497576736672
1987-09-01,4.85436893203884
1987-10-01,4.16666666666667
1987-11-01,4.32692307692306
1987-12-01,4.47284345047924
1988-01-01,4.6474358974359
1988-02-01,4.45859872611464
1988-03-01,5.07131537242473
1988-04-01,4.73186119873817
1988-05-01,4.70957613814757
1988-06-01,4.54545454545455
1988-07-01,4.02476780185761
1988-08-01,4.16666666666667
1988-09-01,4.47530864197531
1988-10-01,4.92307692307693
1988-11-01,5.22273425499234
1988-12-01,4.74006116207952
1989-01-01,5.35987748851454
1989-02-01,5.4878048780488
1989-03-01,5.12820512820513
1989-04-01,5.42168674698796
1989-05-01,5.39730134932532
1989-06-01,5.99700149925038
1989-07-01,6.10119047619046
1989-08-01,6.07407407407406
1989-09-01,6.05612998522894
1989-10-01,5.86510263929619
1989-11-01,5.83941605839415
1989-12-01,6.13138686131387
1990-01-01,5.95930232558142
1990-02-01,5.92485549132947
1990-03-01,5.73888091822094
1990-04-01,5.7142857142857
1990-05-01,5.83214793741112
1990-06-01,5.37482319660536
1990-07-01,5.32959326788219
1990-08-01,5.30726256983242
1990-09-01,5.57103064066853
1990-10-01,5.81717451523546
1990-11-01,5.65517241379311
1990-12-01,5.36451169188444
1991-01-01,7.81893004115224
1991-02-01,7.63983628922238
1991-03-01,7.05563093622796
1991-04-01,6.89189189189188
1991-05-01,6.58602150537633
1991-06-01,6.71140939597316
1991-07-01,6.12516644474035
1991-08-01,5.9681697612732
1991-09-01,5.54089709762533
1991-10-01,5.36649214659685
1991-11-01,5.2219321148825
1991-12-01,5.09138381201045
1992-01-01,2.54452926208652
1992-02-01,2.40811153358681
1992-03-01,2.40811153358681
1992-04-01,2.27560050568902
1992-05-01,2.39596469104666
1992-06-01,2.13836477987422
1992-07-01,2.38393977415306
1992-08-01,2.25281602002503
1992-09-01,2.24999999999999
1992-10-01,1.98757763975154
1992-11-01,2.10918114143921
1992-12-01,2.11180124223603
1993-01-01,2.10918114143921
1993-02-01,2.10396039603962
1993-03-01,2.35148514851487
1993-04-01,2.34857849196538
1993-05-01,1.97044334975368
1993-06-01,1.97044334975368
1993-07-01,1.96078431372551
1993-08-01,1.95838433292532
1993-09-01,2.07823960880196
1993-10-01,2.07064555420219
1993-11-01,1.82260024301337
1993-12-01,1.94647201946471
1994-01-01,1.45808019441069
1994-02-01,1.81818181818181
1994-03-01,1.5719467956469
1994-04-01,1.44927536231884
1994-05-01,1.57004830917875
1994-06-01,1.81159420289855
1994-07-01,1.6826923076923
1994-08-01,1.68067226890758
1994-09-01,1.91616766467066
1994-10-01,1.55131264916468
1994-11-01,1.67064439140813
1994-12-01,2.02863961813843
1995-01-01,2.39520958083833
1995-02-01,2.14285714285714
1995-03-01,2.38095238095238
1995-04-01,2.5
1995-05-01,2.8537455410226
1995-06-01,2.72835112692764
1995-07-01,2.95508274231679
1995-08-01,2.95159386068476
1995-09-01,2.70270270270272
1995-10-01,2.58519388954172
1995-11-01,2.46478873239436
1995-12-01,1.75438596491228
1996-01-01,1.98830409356725
1996-02-01,1.74825174825175
1996-03-01,1.6279069767442
1996-04-01,1.74216027874565
1996-05-01,1.50289017341041
1996-06-01,1.270207852194
1996-07-01,1.37772675086108
1996-08-01,1.26146788990826
1996-09-01,1.1441647597254
1996-10-01,1.1454753722795
1996-11-01,1.48911798396335
1996-12-01,1.95402298850575
1997-01-01,1.72018348623853
1997-02-01,1.6036655211913
1997-03-01,1.83066361556063
1997-04-01,1.71232876712329
1997-05-01,1.70842824601367
1997-06-01,2.16647662485746
1997-07-01,1.92525481313703
1997-08-01,1.92525481313703
1997-09-01,1.80995475113121
1997-10-01,1.81200453001133
1997-11-01,1.12866817155755
1997-12-01,1.01465614430664
1998-01-01,1.46561443066516
1998-02-01,1.80383314543405
1998-03-01,1.79775280898875
1998-04-01,1.79573512906846
1998-05-01,1.9036954087346
1998-06-01,1.67410714285714
1998-07-01,1.66666666666667
1998-08-01,1.66666666666667
1998-09-01,1.88888888888889
1998-10-01,2.11345939933259
1998-11-01,2.00892857142859
1998-12-01,2.00892857142859
1999-01-01,1.33333333333333
1999-02-01,1.32890365448505
1999-03-01,1.32450331125829
1999-04-01,1.65380374862183
1999-05-01,1.64835164835165
1999-06-01,1.75631174533481
1999-07-01,1.63934426229508
1999-08-01,1.74863387978141
1999-09-01,1.9629225736096
1999-10-01,1.63398692810456
1999-11-01,1.96936542669584
1999-12-01,1.96936542669584
2000-01-01,2.08333333333332
2000-02-01,2.18579234972678
2000-03-01,2.06971677559913
2000-04-01,2.06073752711496
2000-05-01,2.16216216216216
2000-06-01,2.37324703344121
2000-07-01,2.58064516129032
2000-08-01,2.577873254565
2000-09-01,2.24598930481282
2000-10-01,2.46516613076099
2000-11-01,2.46781115879829
2000-12-01,2.57510729613733
2001-01-01,2.68528464017186
2001-02-01,2.78074866310159
2001-03-01,2.66808964781217
2001-04-01,2.55047821466525
2001-05-01,2.53968253968254
2001-06-01,2.52897787144362
2001-07-01,2.51572327044024
2001-08-01,2.61780104712041
2001-09-01,2.51046025104603
2001-10-01,2.40585774058579
2001-11-01,2.19895287958114
2001-12-01,2.19665271966529
2002-01-01,2.30125523012552
2002-02-01,2.28928199791884
2002-03-01,2.49480249480249
2002-04-01,2.59067357512954
2002-05-01,2.88957688338492
2002-06-01,2.77492291880781
2002-07-01,2.76073619631903
2002-08-01,2.9591836734694
2002-09-01,2.9591836734694
2002-10-01,3.26864147088864
2002-11-01,3.79098360655737
2002-12-01,4.29887410440123
2003-01-01,4.39672801635991
2003-02-01,4.37436419125128
2003-03-01,4.158215010142
2003-04-01,3.93939393939395
2003-05-01,3.51053159478436
2003-06-01,3.49999999999999
2003-07-01,3.18407960199005
2003-08-01,3.07234886025767
2003-09-01,3.3696729435084
2003-10-01,3.46191889218597
2003-11-01,3.15893385982231
2003-12-01,2.747791952895
2004-01-01,2.44857982370227
2004-02-01,2.14424951267057
2004-03-01,2.23953261927945
2004-04-01,2.23517978620019
2004-05-01,2.32558139534884
