"Date","CANSLRTCR03MLM"
1975-12-01,86781
1976-01-01,50065
1976-02-01,58469
1976-03-01,82240
1976-04-01,101420
1976-05-01,102769
1976-06-01,103478
1976-07-01,78933
1976-08-01,68955
1976-09-01,54181
1976-10-01,101450
1976-11-01,75879
1976-12-01,68649
1977-01-01,68426
1977-02-01,71022
1977-03-01,94144
1977-04-01,96467
1977-05-01,104740
1977-06-01,101434
1977-07-01,79562
1977-08-01,78093
1977-09-01,63470
1977-10-01,97826
1977-11-01,79052
1977-12-01,57162
1978-01-01,59943
1978-02-01,70420
1978-03-01,88426
1978-04-01,101004
1978-05-01,109738
1978-06-01,106788
1978-07-01,82822
1978-08-01,77998
1978-09-01,80067
1978-10-01,91567
1978-11-01,68311
1978-12-01,51806
1979-01-01,62341
1979-02-01,70483
1979-03-01,98828
1979-04-01,97117
1979-05-01,110793
1979-06-01,103702
1979-07-01,92258
1979-08-01,75725
1979-09-01,67878
1979-10-01,94399
1979-11-01,72042
1979-12-01,57442
1980-01-01,63253
1980-02-01,76744
1980-03-01,89609
1980-04-01,90833
1980-05-01,83912
1980-06-01,82617
1980-07-01,82185
1980-08-01,74477
1980-09-01,67755
1980-10-01,90083
1980-11-01,73362
1980-12-01,57230
1981-01-01,61004
1981-02-01,68162
1981-03-01,93034
1981-04-01,99790
1981-05-01,91446
1981-06-01,88281
1981-07-01,74464
1981-08-01,65244
1981-09-01,67535
1981-10-01,67103
1981-11-01,80835
1981-12-01,47297
1982-01-01,38729
1982-02-01,50437
1982-03-01,66711
1982-04-01,72394
1982-05-01,74053
1982-06-01,78968
1982-07-01,51581
1982-08-01,57218
1982-09-01,60133
1982-10-01,53854
1982-11-01,57405
1982-12-01,51998
1983-01-01,40931
1983-02-01,48740
1983-03-01,81206
1983-04-01,88354
1983-05-01,87861
1983-06-01,88519
1983-07-01,64963
1983-08-01,68586
1983-09-01,61382
1983-10-01,78223
1983-11-01,78514
1983-12-01,56039
1984-01-01,57353
1984-02-01,70090
1984-03-01,96351
1984-04-01,93085
1984-05-01,107927
1984-06-01,102250
1984-07-01,80247
1984-08-01,74579
1984-09-01,62945
1984-10-01,92026
1984-11-01,74260
1984-12-01,60097
1985-01-01,66242
1985-02-01,72657
1985-03-01,103429
1985-04-01,119909
1985-05-01,119527
1985-06-01,118780
1985-07-01,91711
1985-08-01,91875
1985-09-01,80946
1985-10-01,106427
1985-11-01,93176
1985-12-01,72537
1986-01-01,69111
1986-02-01,80573
1986-03-01,97529
1986-04-01,119899
1986-05-01,114497
1986-06-01,105088
1986-07-01,99999
1986-08-01,86555
1986-09-01,86879
1986-10-01,92301
1986-11-01,75381
1986-12-01,67501
1987-01-01,56399
1987-02-01,70038
1987-03-01,105459
1987-04-01,121112
1987-05-01,104921
1987-06-01,114333
1987-07-01,85468
1987-08-01,84897
1987-09-01,79472
1987-10-01,94333
1987-11-01,82042
1987-12-01,66619
1988-01-01,59449
1988-02-01,69630
1988-03-01,109769
1988-04-01,108680
1988-05-01,116756
1988-06-01,102817
1988-07-01,83422
1988-08-01,87860
1988-09-01,79312
1988-10-01,88240
1988-11-01,81721
1988-12-01,68654
1989-01-01,53997
1989-02-01,64673
1989-03-01,91411
1989-04-01,120130
1989-05-01,116758
1989-06-01,93953
1989-07-01,72373
1989-08-01,84245
1989-09-01,77606
1989-10-01,81626
1989-11-01,73375
1989-12-01,57987
1990-01-01,56585
1990-02-01,58896
1990-03-01,92288
1990-04-01,90166
1990-05-01,101332
1990-06-01,93624
1990-07-01,74002
1990-08-01,74519
1990-09-01,64757
1990-10-01,72517
1990-11-01,60209
1990-12-01,45669
1991-01-01,57801
1991-02-01,56559
1991-03-01,74075
1991-04-01,92334
1991-05-01,102232
1991-06-01,96951
1991-07-01,84097
1991-08-01,68971
1991-09-01,70172
1991-10-01,65396
1991-11-01,58285
1991-12-01,46311
1992-01-01,51732
1992-02-01,53475
1992-03-01,71453
1992-04-01,83378
1992-05-01,84796
1992-06-01,82502
1992-07-01,73626
1992-08-01,63117
1992-09-01,66794
1992-10-01,63916
1992-11-01,53916
1992-12-01,49318
1993-01-01,42982
1993-02-01,42448
1993-03-01,71330
1993-04-01,78580
1993-05-01,82628
1993-06-01,74145
1993-07-01,67877
1993-08-01,62270
1993-09-01,59331
1993-10-01,57864
1993-11-01,54636
1993-12-01,44958
1994-01-01,45962
1994-02-01,49727
1994-03-01,74832
1994-04-01,77222
1994-05-01,83448
1994-06-01,80551
1994-07-01,61763
1994-08-01,56763
1994-09-01,58508
1994-10-01,58490
1994-11-01,54074
1994-12-01,47326
1995-01-01,42070
1995-02-01,43782
1995-03-01,62427
1995-04-01,61169
1995-05-01,74171
1995-06-01,73095
1995-07-01,55377
1995-08-01,58607
1995-09-01,57270
1995-10-01,52572
1995-11-01,48061
1995-12-01,41589
1996-01-01,40051
1996-02-01,44904
1996-03-01,55415
1996-04-01,57675
1996-05-01,72850
1996-06-01,70508
1996-07-01,57613
1996-08-01,53471
1996-09-01,53645
1996-10-01,59399
1996-11-01,50552
1996-12-01,44686
1997-01-01,43019
1997-02-01,46063
1997-03-01,63443
1997-04-01,75402
1997-05-01,83810
1997-06-01,76375
1997-07-01,66045
1997-08-01,60768
1997-09-01,59527
1997-10-01,58036
1997-11-01,52300
1997-12-01,53762
1998-01-01,35936
1998-02-01,45467
1998-03-01,68280
1998-04-01,75016
1998-05-01,83986
1998-06-01,82600
1998-07-01,64649
1998-08-01,59444
1998-09-01,63903
1998-10-01,54104
1998-11-01,54693
1998-12-01,52731
1999-01-01,42297
1999-02-01,46803
1999-03-01,72492
1999-04-01,77980
1999-05-01,82366
1999-06-01,83882
1999-07-01,69033
1999-08-01,66941
1999-09-01,69515
1999-10-01,63804
1999-11-01,64035
1999-12-01,67302
2000-01-01,46026
2000-02-01,50495
2000-03-01,83491
2000-04-01,82521
2000-05-01,93729
2000-06-01,84131
2000-07-01,69409
2000-08-01,78559
2000-09-01,76175
2000-10-01,62751
2000-11-01,63661
2000-12-01,58223
2001-01-01,48782
2001-02-01,45700
2001-03-01,75779
2001-04-01,83053
2001-05-01,99699
2001-06-01,89268
2001-07-01,73503
2001-08-01,78974
2001-09-01,68935
2001-10-01,68642
2001-11-01,70050
2001-12-01,66248
2002-01-01,56270
2002-02-01,52588
2002-03-01,81118
2002-04-01,95304
2002-05-01,106497
2002-06-01,90387
2002-07-01,78979
2002-08-01,84511
2002-09-01,79125
2002-10-01,75097
2002-11-01,64350
2002-12-01,70478
2003-01-01,49890
2003-02-01,54638
2003-03-01,79385
2003-04-01,86793
2003-05-01,103507
2003-06-01,80086
2003-07-01,78388
2003-08-01,78013
2003-09-01,73286
2003-10-01,65226
2003-11-01,60556
2003-12-01,55707
2004-01-01,43142
2004-02-01,46029
2004-03-01,75551
2004-04-01,86641
2004-05-01,93328
2004-06-01,80237
2004-07-01,72570
2004-08-01,73943
2004-09-01,66729
2004-10-01,63898
2004-11-01,60462
2004-12-01,57573
2005-01-01,39544
2005-02-01,50559
2005-03-01,76197
2005-04-01,91395
2005-05-01,88257
2005-06-01,85599
2005-07-01,80412
2005-08-01,78942
2005-09-01,70233
2005-10-01,64249
2005-11-01,62113
2005-12-01,57722
2006-01-01,44184
2006-02-01,48758
2006-03-01,79363
2006-04-01,86258
2006-05-01,96175
2006-06-01,88055
2006-07-01,76556
2006-08-01,82244
2006-09-01,72815
2006-10-01,62448
2006-11-01,63756
2006-12-01,62549
2007-01-01,42705
2007-02-01,47256
2007-03-01,76487
2007-04-01,92446
2007-05-01,102564
2007-06-01,91729
2007-07-01,77722
2007-08-01,84067
2007-09-01,70855
2007-10-01,62005
2007-11-01,58188
2007-12-01,52979
2008-01-01,51719
2008-02-01,58210
2008-03-01,80124
2008-04-01,98333
2008-05-01,109387
2008-06-01,95991
2008-07-01,85826
2008-08-01,80923
2008-09-01,74483
2008-10-01,63518
2008-11-01,51253
2008-12-01,44739
2009-01-01,35743
2009-02-01,40786
2009-03-01,65695
2009-04-01,75332
2009-05-01,83181
2009-06-01,74028
2009-07-01,73425
2009-08-01,68383
2009-09-01,67469
2009-10-01,61429
2009-11-01,51261
2009-12-01,50939
2010-01-01,35674
2010-02-01,45417
2010-03-01,70252
2010-04-01,70512
2010-05-01,74680
2010-06-01,72882
2010-07-01,67582
2010-08-01,61097
2010-09-01,59650
2010-10-01,55391
2010-11-01,51203
2010-12-01,45874
2011-01-01,32183
2011-02-01,39579
2011-03-01,69255
2011-04-01,75684
2011-05-01,69403
2011-06-01,76273
2011-07-01,62868
2011-08-01,60386
2011-09-01,56675
2011-10-01,52364
2011-11-01,50763
2011-12-01,45646
2012-01-01,40585
2012-02-01,46282
2012-03-01,73645
2012-04-01,76367
2012-05-01,84001
2012-06-01,78879
2012-07-01,63244
2012-08-01,66277
2012-09-01,65435
2012-10-01,61306
2012-11-01,54974
2012-12-01,48029
2013-01-01,39011
2013-02-01,44331
2013-03-01,70204
2013-04-01,77096
2013-05-01,86045
2013-06-01,74987
2013-07-01,70674
2013-08-01,70272
2013-09-01,65940
2013-10-01,63218
2013-11-01,56011
2013-12-01,43131
2014-01-01,36177
2014-02-01,40580
2014-03-01,65831
2014-04-01,77233
2014-05-01,84304
2014-06-01,77288
2014-07-01,74332
2014-08-01,70823
2014-09-01,66762
2014-10-01,64827
2014-11-01,54479
2014-12-01,47813
2015-01-01,35066
2015-02-01,40528
2015-03-01,64020
2015-04-01,78960
2015-05-01,82824
2015-06-01,68281
2015-07-01,66720
2015-08-01,63901
2015-09-01,62938
2015-10-01,58108
2015-11-01,50252
2015-12-01,40724
2016-01-01,33791
2016-02-01,38875
2016-03-01,61683
2016-04-01,72531
2016-05-01,72989
2016-06-01,66409
2016-07-01,59143
2016-08-01,58594
2016-09-01,58117
2016-10-01,52846
2016-11-01,48866
2016-12-01,37244
2017-01-01,32145
2017-02-01,38014
2017-03-01,61184
2017-04-01,65959
2017-05-01,75096
2017-06-01,66511
2017-07-01,58475
2017-08-01,60862
2017-09-01,58817
2017-10-01,50199
2017-11-01,45597
2017-12-01,34101
2018-01-01,32793
2018-02-01,37082
2018-03-01,53788
2018-04-01,57912
2018-05-01,69027
2018-06-01,63074
2018-07-01,52882
2018-08-01,52824
2018-09-01,52139
2018-10-01,45990
2018-11-01,39560
2018-12-01,29286
2019-01-01,27024
2019-02-01,30309
2019-03-01,49509
2019-04-01,50264
2019-05-01,58714
2019-06-01,52795
2019-07-01,46497
2019-08-01,44800
2019-09-01,42003
2019-10-01,37896
2019-11-01,32162
2019-12-01,24878
2020-01-01,23301
2020-02-01,26492
2020-03-01,22887
2020-04-01,8628
2020-05-01,25210
2020-06-01,37460
2020-07-01,34884
2020-08-01,35276
2020-09-01,36075
2020-10-01,28953
2020-11-01,24773
2020-12-01,21555
2021-01-01,15049
2021-02-01,18982
2021-03-01,30786
2021-04-01,31980
2021-05-01,33820
2021-06-01,38306
2021-07-01,32573
2021-08-01,31559
2021-09-01,32040
2021-10-01,26036
2021-11-01,19805
2021-12-01,17058
2022-01-01,17219
2022-02-01,18949
2022-03-01,26035
2022-04-01,24531
2022-05-01,24829
2022-06-01,28240
2022-07-01,24340
2022-08-01,27613
2022-09-01,23819
2022-10-01,20228
2022-11-01,20576
2022-12-01,16029
2023-01-01,14959
2023-02-01,16223
2023-03-01,21447
2023-04-01,20367
2023-05-01,24049
2023-06-01,29183
2023-07-01,21376
2023-08-01,23947
2023-09-01,25469
