"Date","LRINTTTTCAM156N"
1991-07-01,31.1615585186835
1991-08-01,31.4802538558177
1991-09-01,33.7716942340106
1991-10-01,33.7446332074913
1991-11-01,34.32988261392
1991-12-01,34.9338749509544
1992-01-01,35.5376663854194
1992-02-01,35.3546568141927
1992-03-01,34.8616804457142
1992-04-01,35.3003354933591
1992-05-01,33.9065684852269
1992-06-01,32.7989106763801
1992-07-01,32.146553698191
1992-08-01,32.5163787424054
1992-09-01,34.6189873475561
1992-10-01,34.710860753022
1992-11-01,34.5896689804891
1992-12-01,35.2543948382864
1993-01-01,36.093093544173
1993-02-01,35.9336276948402
1993-03-01,35.2882920535698
1993-04-01,35.4489669946625
1993-05-01,34.1510417847507
1993-06-01,33.1011746805177
1993-07-01,32.393722658777
1993-08-01,32.9800019880536
1993-09-01,34.7915970786578
1993-10-01,35.0305976577121
1993-11-01,35.1403107202076
1993-12-01,35.6045361028952
1994-01-01,36.2287878310852
1994-02-01,35.9802124332776
1994-03-01,35.8380724535551
1994-04-01,35.7523338086142
1994-05-01,34.208735212201
1994-06-01,33.5906817795511
1994-07-01,32.7938804416305
1994-08-01,33.0247065070434
1994-09-01,34.8140058394811
1994-10-01,35.0431080551498
1994-11-01,35.1976757636967
1994-12-01,35.6841529714568
1995-01-01,36.0533103659538
1995-02-01,36.1109386227146
1995-03-01,35.6176280318673
1995-04-01,36.0657551708723
1995-05-01,34.6498110371958
1995-06-01,33.9002733145236
1995-07-01,33.05708211674
1995-08-01,33.4609234943554
1995-09-01,35.4684983586936
1995-10-01,35.4896987652584
1995-11-01,36.0732117528752
1995-12-01,36.1649761336516
1996-01-01,36.4782437228868
1996-02-01,36.2666176399778
1996-03-01,36.1830799302103
1996-04-01,36.2520858633072
1996-05-01,34.9496562314592
1996-06-01,34.0274297369029
1996-07-01,33.2396131649272
1996-08-01,33.6373913043478
1996-09-01,35.4019384759688
1996-10-01,35.52736611946
1996-11-01,35.7915906362285
1996-12-01,36.1852589641434
1997-01-01,36.5780217783488
1997-02-01,36.3470141995721
1997-03-01,36.2462915059832
1997-04-01,36.1171614528296
1997-05-01,34.6444852339219
1997-06-01,33.7357019287872
1997-07-01,33.2543712193843
1997-08-01,33.25230313312
1997-09-01,35.0315493271908
1997-10-01,35.0790433377758
1997-11-01,35.3376376496378
1997-12-01,35.9305081410372
1998-01-01,36.3389250988353
1998-02-01,36.0900457744073
1998-03-01,35.9889242531551
1998-04-01,35.7635795549001
1998-05-01,34.4820097010063
1998-06-01,33.6748973819094
1998-07-01,32.9696670902592
1998-08-01,33.1829995413545
1998-09-01,34.724802945843
1998-10-01,34.904184839969
1998-11-01,35.0397052283845
1998-12-01,35.3473412471698
1999-01-01,35.8049799373385
1999-02-01,35.6173063762557
1999-03-01,35.5346403021926
1999-04-01,34.9540394670265
1999-05-01,33.76214727105
1999-06-01,33.3420278758251
1999-07-01,32.5323941175729
1999-08-01,32.8371241698362
1999-09-01,34.4909581963363
1999-10-01,34.6341729090208
1999-11-01,34.9645081363423
1999-12-01,35.1917206773991
2000-01-01,35.7255052678191
2000-02-01,35.3329021219772
2000-03-01,35.1842125009379
2000-04-01,35.0224446794866
2000-05-01,33.6773603343244
2000-06-01,33.2322657551202
2000-07-01,32.5513950834976
2000-08-01,32.5636223513131
2000-09-01,34.2420567748664
2000-10-01,34.2258656612759
2000-11-01,34.4130424010175
2000-12-01,34.7027254464378
2001-01-01,35.2401330843156
2001-02-01,35.1415133193852
2001-03-01,34.920047227056
2001-04-01,34.6680413556844
2001-05-01,33.4234526217328
2001-06-01,33.0812126377206
2001-07-01,32.5164368037116
2001-08-01,32.5360533209103
2001-09-01,34.3104039447474
2001-10-01,34.3325817223987
2001-11-01,34.414624311125
2001-12-01,34.5477110885046
2002-01-01,34.726759968141
2002-02-01,34.6728099374848
2002-03-01,34.3085020111587
2002-04-01,34.1145938767743
2002-05-01,32.6173280819093
2002-06-01,32.1965994911352
2002-07-01,31.4004791133982
2002-08-01,31.2910478431499
2002-09-01,32.9778071142809
2002-10-01,33.0608289334529
2002-11-01,33.0940107755417
2002-12-01,33.2302949040137
2003-01-01,33.7612853802436
2003-02-01,33.4470100746179
2003-03-01,33.3813744565348
2003-04-01,33.2019176559495
2003-05-01,31.845688653131
2003-06-01,31.3474571876483
2003-07-01,30.8102120266657
2003-08-01,30.8159877715282
2003-09-01,32.4846942832154
2003-10-01,32.5839171392715
2003-11-01,32.6634581430504
2003-12-01,32.9454998097171
2004-01-01,33.5437623762376
2004-02-01,33.4599331394774
2004-03-01,33.3757528811041
2004-04-01,33.1581793992128
2004-05-01,31.8446923541033
2004-06-01,31.3014852966656
2004-07-01,30.9143326869904
2004-08-01,31.1281662535988
2004-09-01,32.7841709400368
2004-10-01,32.7424020318735
2004-11-01,32.7772817693404
2004-12-01,33.1394120546788
2005-01-01,33.8594125578941
2005-02-01,33.6150857946005
2005-03-01,33.6825150443237
2005-04-01,33.5811039818613
2005-05-01,32.0930503958143
2005-06-01,31.7981552998221
2005-07-01,31.2870318993314
2005-08-01,31.3137339986982
2005-09-01,33.1159658662126
2005-10-01,33.0169750998365
2005-11-01,33.3492956005932
2005-12-01,33.5963331777197
2006-01-01,33.8269121845777
2006-02-01,33.8468289528385
2006-03-01,33.6647825585419
2006-04-01,33.4803064928082
2006-05-01,32.0166136782883
2006-06-01,31.7675854566626
2006-07-01,31.1123948414444
2006-08-01,31.3630511932094
2006-09-01,33.0265392173697
2006-10-01,33.0794652761101
2006-11-01,33.1368427466033
2006-12-01,33.3886227977737
2007-01-01,33.6329124025735
2007-02-01,33.5786296064248
2007-03-01,33.3681083767389
2007-04-01,33.2805383571921
2007-05-01,31.9902495524106
2007-06-01,31.5819322250494
2007-07-01,31.0275045778038
2007-08-01,31.0941830866409
2007-09-01,32.7381625042378
2007-10-01,32.5914358819988
2007-11-01,32.633054800648
2007-12-01,32.9773331530801
2008-01-01,33.3988521699989
2008-02-01,33.2535078251484
2008-03-01,33.0755090656553
2008-04-01,32.9846064109419
2008-05-01,31.6726111557207
2008-06-01,31.3035825492894
2008-07-01,31.1618708519244
2008-08-01,31.1141036467188
2008-09-01,32.5862606990014
2008-10-01,32.467113197395
2008-11-01,32.7822425194982
2008-12-01,33.0542306097055
2009-01-01,33.6990902936291
2009-02-01,33.4119212150327
2009-03-01,33.2608591330412
2009-04-01,33.1320103537532
2009-05-01,31.7936233762886
2009-06-01,31.6044951753354
2009-07-01,31.3998288457371
2009-08-01,31.3908912489224
2009-09-01,33.1781281596647
2009-10-01,33.2353823746825
2009-11-01,33.0404963239998
2009-12-01,33.5513987968046
2010-01-01,33.9952925721167
2010-02-01,33.9607028288131
2010-03-01,33.7841577812737
2010-04-01,33.4273034811393
2010-05-01,32.2143700608593
2010-06-01,31.8046263913277
2010-07-01,31.4445354339839
2010-08-01,31.2694719549571
2010-09-01,33.0459583143557
2010-10-01,33.2996276728288
2010-11-01,33.418846901847
2010-12-01,33.7230640550022
2011-01-01,33.8800786794533
2011-02-01,33.7961196501206
2011-03-01,33.7309965077093
2011-04-01,33.3667511094342
2011-05-01,32.3458261250332
2011-06-01,31.9628547354834
2011-07-01,31.7537072856222
2011-08-01,31.7178315761606
2011-09-01,33.3830141608229
2011-10-01,33.5112821959485
2011-11-01,33.6445663846898
2011-12-01,34.0311765901095
2012-01-01,34.3158659548173
2012-02-01,34.3151070022988
2012-03-01,34.0954906973189
2012-04-01,33.4648423489807
2012-05-01,32.2956687703764
2012-06-01,32.2398426564133
2012-07-01,32.0489134281872
2012-08-01,31.6867814974204
2012-09-01,33.1915404780916
2012-10-01,33.222024942022
2012-11-01,33.3773012626084
2012-12-01,33.6354570090461
2013-01-01,34.0362824566716
2013-02-01,33.8248127920725
2013-03-01,33.8471220681872
2013-04-01,33.5996488147498
2013-05-01,32.3328819315319
2013-06-01,32.1598547666945
2013-07-01,31.9765182781471
2013-08-01,31.7836208223164
2013-09-01,33.4424568513731
2013-10-01,33.4655193479134
2013-11-01,33.7037734664406
2013-12-01,33.992234011405
2014-01-01,34.426509314347
2014-02-01,34.3508607035316
2014-03-01,34.2674587660779
2014-04-01,34.190466263637
2014-05-01,32.8876299968065
2014-06-01,32.5876434141318
2014-07-01,32.4254758976668
2014-08-01,32.5014105763805
2014-09-01,33.8837201258949
2014-10-01,33.995617036868
2014-11-01,34.2360269046213
2014-12-01,34.5248946895933
2015-01-01,34.8688388789176
2015-02-01,34.5870939250918
2015-03-01,34.4213680548132
2015-04-01,34.3427346539294
2015-05-01,33.0948928739939
2015-06-01,32.8799644920331
2015-07-01,32.7095381187812
2015-08-01,32.4246047288244
2015-09-01,33.8884846154902
2015-10-01,33.9418324260728
2015-11-01,34.2413771826988
2015-12-01,34.4625239791724
2016-01-01,34.9050371876358
2016-02-01,34.6622263859352
2016-03-01,34.6107072584171
2016-04-01,34.4414752929051
2016-05-01,33.3718500642514
2016-06-01,33.1962371174386
2016-07-01,33.108641236328
2016-08-01,32.9506626542853
2016-09-01,34.2754960775265
2016-10-01,34.26333988745
2016-11-01,34.5277854931476
2016-12-01,34.6194460238811
2017-01-01,34.7370129211546
2017-02-01,34.8052693801723
2017-03-01,34.5829523176439
2017-04-01,34.6396019846834
2017-05-01,33.2358247943232
2017-06-01,32.8888306081483
2017-07-01,32.7805818330798
2017-08-01,32.7609735815906
2017-09-01,34.2701746865288
2017-10-01,34.1162577528586
2017-11-01,34.2597636082326
2017-12-01,34.3723816549776
2018-01-01,35.0332823348633
2018-02-01,35.029618111167
2018-03-01,34.8484848484848
2018-04-01,34.7982574972773
2018-05-01,33.6476923791144
2018-06-01,33.1830991512486
2018-07-01,33.0588375306618
2018-08-01,33.0172669946185
2018-09-01,34.3858191386235
2018-10-01,34.4227906792945
2018-11-01,34.423679086412
2018-12-01,34.6177223341098
2019-01-01,34.8787385661229
2019-02-01,34.6545168480399
2019-03-01,34.5765231285033
2019-04-01,34.2102166109829
