"Date","LFINTTTTCAM647S"
2008-06-01,8681966.08931338
2008-07-01,8743897.30299066
2008-08-01,8739652.98200316
2008-09-01,8719218.08305475
2008-10-01,8698882.43438356
2008-11-01,8765176.28902973
2008-12-01,8758974.82590696
2009-01-01,8832786.99097954
2009-02-01,8805085.48692439
2009-03-01,8815779.74871684
2009-04-01,8848619.23314546
2009-05-01,8836341.05072701
2009-06-01,8888034.85666215
2009-07-01,8929334.9779268
2009-08-01,8942761.13740173
2009-09-01,8996244.69298802
2009-10-01,9019227.15101654
2009-11-01,8956931.95340274
2009-12-01,9014733.08625614
2010-01-01,9032306.76492052
2010-02-01,9067667.18470335
2010-03-01,9073951.92242605
2010-04-01,9061731.32786246
2010-05-01,9076899.23126241
2010-06-01,9063705.02167956
2010-07-01,9056755.39947056
2010-08-01,9038364.66283589
2010-09-01,9092392.33210551
2010-10-01,9149955.56402582
2010-11-01,9168899.89244742
2010-12-01,9176423.7196181
2011-01-01,9123532.72577612
2011-02-01,9142786.71014014
2011-03-01,9178035.89093514
2011-04-01,9166795.06095848
2011-05-01,9227664.03905093
2011-06-01,9213939.37986331
2011-07-01,9236356.74862085
2011-08-01,9263750.02225054
2011-09-01,9297540.18740106
2011-10-01,9323694.91756713
2011-11-01,9332029.01735574
2011-12-01,9366004.20476004
2012-01-01,9347804.7029927
2012-02-01,9389994.26140376
2012-03-01,9380146.02319528
2012-04-01,9304643.7328095
2012-05-01,9330134.1820366
2012-06-01,9392096.34137271
2012-07-01,9415030.59329463
2012-08-01,9356620.96298838
2012-09-01,9357510.76740354
2012-10-01,9361082.1868805
2012-11-01,9366411.15007956
2012-12-01,9371476.02568632
2013-01-01,9385876.46064288
2013-02-01,9372400.8657122
2013-03-01,9422562.13716549
2013-04-01,9437865.72898673
2013-05-01,9440579.73808893
2013-06-01,9468167.39542511
2013-07-01,9486838.45294187
2013-08-01,9478560.3637857
2013-09-01,9532068.9656248
2013-10-01,9539036.7335446
2013-11-01,9563397.24674848
2013-12-01,9582478.99098902
2014-01-01,9607099.27120279
2014-02-01,9637023.44834821
2014-03-01,9658748.56665699
2014-04-01,9698857.77311846
2014-05-01,9691269.48213916
2014-06-01,9692798.97208173
2014-07-01,9709750.37801437
2014-08-01,9779074.21322021
2014-09-01,9761953.34770288
2014-10-01,9789419.79550891
2014-11-01,9805673.33206586
2014-12-01,9829550.71525471
2015-01-01,9825635.64301471
2015-02-01,9804067.78147935
2015-03-01,9794437.19184026
2015-04-01,9819803.0922351
2015-05-01,9823463.8831474
2015-06-01,9847270.28582302
2015-07-01,9854092.96218354
2015-08-01,9821686.99743577
2015-09-01,9839258.63076965
2015-10-01,9853371.54633207
2015-11-01,9889268.45047214
2015-12-01,9895887.2605875
2016-01-01,9928494.6419944
2016-02-01,9924685.69012188
2016-03-01,9951839.3770766
2016-04-01,9948763.67092536
2016-05-01,9998965.70392511
2016-06-01,10039471.1432632
2016-07-01,10067188.6828008
2016-08-01,10081284.4079257
2016-09-01,10060174.8431058
2016-10-01,10063747.8845968
2016-11-01,10096415.2272527
2016-12-01,10072191.5771466
2017-01-01,10014562.8094308
2017-02-01,10086031.6703646
2017-03-01,10076361.5693154
2017-04-01,10132388.8275148
2017-05-01,10076631.7603021
2017-06-01,10077527.4669285
2017-07-01,10090026.1968238
2017-08-01,10142637.5982507
2017-09-01,10184965.2019334
2017-10-01,10156055.6844758
2017-11-01,10164680.3270765
2017-12-01,10150228.9560522
2018-01-01,10241841.6565544
2018-02-01,10296848.653455
2018-03-01,10307955.4270153
2018-04-01,10340568.6460077
2018-05-01,10341988.178707
2018-06-01,10327197.2375059
2018-07-01,10333630.5042557
2018-08-01,10370233.3730242
2018-09-01,10383105.7979155
2018-10-01,10403274.3226693
2018-11-01,10377307.8231043
2018-12-01,10376682.8225713
2019-01-01,10355702.6038735
2019-02-01,10355517.8561946
2019-03-01,10395341.8385111
2019-04-01,10338129.7260411
2019-05-01,10377381.837787
2019-06-01,10412366.8076878
2019-07-01,10454353.9149208
2019-08-01,10426983.5442881
2019-09-01,10457877.5681956
2019-10-01,10492593.7692561
2019-11-01,10518669.9609592
2019-12-01,10543141.7677944
2020-01-01,10568368.5744377
2020-02-01,10588772.2919271
2020-03-01,11276435.804435
2020-04-01,12318888.4463056
2020-05-01,11906578.0531868
2020-06-01,11176007.0709705
2020-07-01,11024556.7219117
2020-08-01,10921776.117479
2020-09-01,10816117.7201715
2020-10-01,10788312.4687859
2020-11-01,10820610.2493804
2020-12-01,10862369.4919103
2021-01-01,10920724.8546785
2021-02-01,10886274.2671305
2021-03-01,10821310.3308818
2021-04-01,10914960.1202115
2021-05-01,10941816.0769387
2021-06-01,10822169.6182272
2021-07-01,10819696.9718626
2021-08-01,10820495.8649002
2021-09-01,10765998.3877193
2021-10-01,10843462.591744
2021-11-01,10800858.521968
2021-12-01,10813943.2302693
2022-01-01,10924955.5239133
2022-02-01,10858843.771792
2022-03-01,10897144.4546233
2022-04-01,10881946.7015251
2022-05-01,10868442.186242
2022-06-01,11009478.05194
2022-07-01,11053787.9883314
2022-08-01,11055217.5745159
2022-09-01,11094123.6715168
2022-10-01,11047335.3128699
2022-11-01,11066555.1761275
2022-12-01,11075152.2604112
2023-01-01,10968193.3251104
2023-02-01,11040350.9566409
2023-03-01,11075988.6713525
2023-04-01,11113940.2534902
2023-05-01,11118536.1426276
2023-06-01,11138331.6016307
2023-07-01,11176408.0510291
2023-08-01,11254803.1290642
2023-09-01,11277979.7793222
2023-10-01,11294091.9848776
2023-11-01,11334034.6170729
