"Date","LFHUTTMACAM647N"
1996-10-01,738200
1996-11-01,797100
1996-12-01,803000
1997-01-01,882500
1997-02-01,897700
1997-03-01,864900
1997-04-01,860000
1997-05-01,808000
1997-06-01,708700
1997-07-01,745400
1997-08-01,693700
1997-09-01,631000
1997-10-01,655200
1997-11-01,698700
1997-12-01,697900
1998-01-01,811400
1998-02-01,787400
1998-03-01,781200
1998-04-01,763800
1998-05-01,720400
1998-06-01,682300
1998-07-01,729900
1998-08-01,650200
1998-09-01,602400
1998-10-01,626600
1998-11-01,670000
1998-12-01,690800
1999-01-01,758900
1999-02-01,757100
1999-03-01,761100
1999-04-01,770200
1999-05-01,705500
1999-06-01,615500
1999-07-01,663400
1999-08-01,628000
1999-09-01,570800
1999-10-01,563100
1999-11-01,572800
1999-12-01,574000
2000-01-01,663100
2000-02-01,653500
2000-03-01,653400
2000-04-01,647300
2000-05-01,598400
2000-06-01,559600
2000-07-01,592900
2000-08-01,583700
2000-09-01,511500
2000-10-01,529500
2000-11-01,564800
2000-12-01,578300
2001-01-01,684400
2001-02-01,692900
2001-03-01,721900
2001-04-01,696900
2001-05-01,655300
2001-06-01,606600
2001-07-01,628400
2001-08-01,618400
2001-09-01,551800
2001-10-01,592000
2001-11-01,649800
2001-12-01,741700
2002-01-01,874400
2002-02-01,832500
2002-03-01,820200
2002-04-01,773100
2002-05-01,750300
2002-06-01,650600
2002-07-01,702100
2002-08-01,661100
2002-09-01,606100
2002-10-01,627500
2002-11-01,672000
2002-12-01,709900
2003-01-01,787800
2003-02-01,788000
2003-03-01,768900
2003-04-01,758800
2003-05-01,768000
2003-06-01,672600
2003-07-01,731700
2003-08-01,714500
2003-09-01,636800
2003-10-01,639800
2003-11-01,673700
2003-12-01,687200
2004-01-01,777600
2004-02-01,782400
2004-03-01,796400
2004-04-01,740400
2004-05-01,721600
2004-06-01,638400
2004-07-01,660100
2004-08-01,630700
2004-09-01,571200
2004-10-01,584500
2004-11-01,634600
2004-12-01,668100
2005-01-01,740000
2005-02-01,745600
2005-03-01,746300
2005-04-01,711200
2005-05-01,671700
2005-06-01,600700
2005-07-01,661800
2005-08-01,625800
2005-09-01,550600
2005-10-01,546000
2005-11-01,575900
2005-12-01,590600
2006-01-01,732800
2006-02-01,696800
2006-03-01,697000
2006-04-01,661100
2006-05-01,603300
2006-06-01,553000
2006-07-01,630700
2006-08-01,613500
2006-09-01,577300
2006-10-01,551700
2006-11-01,614400
2006-12-01,613500
2007-01-01,713100
2007-02-01,687400
2007-03-01,709600
2007-04-01,684100
2007-05-01,621200
2007-06-01,556200
2007-07-01,580300
2007-08-01,565700
2007-09-01,516100
2007-10-01,547900
2007-11-01,578000
2007-12-01,603700
2008-01-01,698300
2008-02-01,662100
2008-03-01,711300
2008-04-01,697400
2008-05-01,653000
2008-06-01,597600
2008-07-01,631600
2008-08-01,593200
2008-09-01,573700
2008-10-01,585700
2008-11-01,669400
2008-12-01,707300
2009-01-01,906200
2009-02-01,979100
2009-03-01,1046500
2009-04-01,1022500
2009-05-01,993500
2009-06-01,900700
2009-07-01,948000
2009-08-01,902400
2009-09-01,824900
2009-10-01,828400
2009-11-01,885000
2009-12-01,924500
2010-01-01,999000
2010-02-01,977100
2010-03-01,1013800
2010-04-01,950300
2010-05-01,931000
2010-06-01,795400
2010-07-01,870000
2010-08-01,850800
2010-09-01,738800
2010-10-01,731800
2010-11-01,770800
2010-12-01,798500
2011-01-01,897600
2011-02-01,887400
2011-03-01,933000
2011-04-01,887200
2011-05-01,815900
2011-06-01,749200
2011-07-01,776800
2011-08-01,742600
2011-09-01,663700
2011-10-01,680700
2011-11-01,722200
2011-12-01,766700
2012-01-01,875600
2012-02-01,846400
2012-03-01,855000
2012-04-01,833000
2012-05-01,806900
2012-06-01,719600
2012-07-01,763600
2012-08-01,757200
2012-09-01,682000
2012-10-01,714900
2012-11-01,723400
2012-12-01,722200
2013-01-01,826900
2013-02-01,783900
2013-03-01,843800
2013-04-01,825000
2013-05-01,780100
2013-06-01,717000
2013-07-01,762300
2013-08-01,753200
2013-09-01,639700
2013-10-01,681400
2013-11-01,717200
2013-12-01,781800
2014-01-01,857400
2014-02-01,849100
2014-03-01,859000
2014-04-01,826900
2014-05-01,802400
2014-06-01,726400
2014-07-01,763100
2014-08-01,727600
2014-09-01,664700
2014-10-01,649600
2014-11-01,665900
2014-12-01,684300
2015-01-01,806900
2015-02-01,840300
2015-03-01,846700
2015-04-01,823100
2015-05-01,789200
2015-06-01,701800
2015-07-01,759200
2015-08-01,750500
2015-09-01,675700
2015-10-01,680600
2015-11-01,723900
2015-12-01,782500
2016-01-01,894300
2016-02-01,917800
2016-03-01,926100
2016-04-01,896400
2016-05-01,776100
2016-06-01,725500
2016-07-01,763600
2016-08-01,769600
2016-09-01,686400
2016-10-01,690100
2016-11-01,703600
2016-12-01,727600
2017-01-01,852700
2017-02-01,814600
2017-03-01,854800
2017-04-01,797700
2017-05-01,749600
2017-06-01,672200
2017-07-01,686300
2017-08-01,668400
2017-09-01,606600
2017-10-01,618900
2017-11-01,609600
2017-12-01,624300
2018-01-01,721000
2018-02-01,722300
2018-03-01,727500
2018-04-01,709100
2018-05-01,640900
2018-06-01,613200
2018-07-01,641900
2018-08-01,642600
2018-09-01,551500
2018-10-01,561500
2018-11-01,577200
2018-12-01,581100
2019-01-01,733300
2019-02-01,734100
2019-03-01,743700
2019-04-01,712000
2019-05-01,645700
2019-06-01,611400
2019-07-01,646500
2019-08-01,656900
2019-09-01,542400
2019-10-01,549000
2019-11-01,608800
2019-12-01,604500
2020-01-01,689800
2020-02-01,711600
2020-03-01,899700
2020-04-01,1429900
2020-05-01,1460300
2020-06-01,1244000
2020-07-01,1209600
2020-08-01,1121900
2020-09-01,916300
2020-10-01,905300
2020-11-01,894900
2020-12-01,923400
2021-01-01,1078300
2021-02-01,971000
2021-03-01,937400
2021-04-01,949000
2021-05-01,905300
2021-06-01,842700
2021-07-01,840300
2021-08-01,820100
2021-09-01,707500
2021-10-01,638100
2021-11-01,663100
2021-12-01,623800
2022-01-01,779300
2022-02-01,687000
2022-03-01,634800
2022-04-01,645300
2022-05-01,590600
2022-06-01,530900
2022-07-01,550600
2022-08-01,586800
2022-09-01,510600
2022-10-01,496600
2022-11-01,537800
2022-12-01,527500
2023-01-01,666500
2023-02-01,622300
2023-03-01,638900
2023-04-01,638100
2023-05-01,596600
2023-06-01,587500
2023-07-01,615700
2023-08-01,631500
2023-09-01,583700
2023-10-01,613900
2023-11-01,632500
