"Date","MANMNM01CAM657S"
1970-03-01,0.41326929520832
1970-04-01,0.0556173526140044
1970-05-01,-0.589216231239565
1970-06-01,0.313129053902929
1970-07-01,1.52731326644369
1970-08-01,0.329416932030306
1970-09-01,-0.328335339827076
1970-10-01,0.878445152080815
1970-11-01,0.936105366278457
1970-12-01,1.02447967216649
1971-01-01,0.982066609735267
1971-02-01,1.63847780126851
1971-03-01,1.96567862714507
1971-04-01,0.489596083231354
1971-05-01,2.08079577750711
1971-06-01,2.11792781147458
1971-07-01,-0.438169425511207
1971-08-01,2.31784841075795
1971-09-01,1.60581150831581
1971-10-01,0.282220131702728
1971-11-01,1.83864915572234
1971-12-01,1.47383935151068
1972-01-01,0.490196078431372
1972-02-01,0.885275519421859
1972-03-01,1.30730659025786
1972-04-01,0.804313240233364
