"Date","LFEAINTTCAM647N"
1984-05-01,2215100
1984-06-01,2282900
1984-07-01,2329600
1984-08-01,2332800
1984-09-01,2258900
1984-10-01,2276100
1984-11-01,2231800
1984-12-01,2189200
1985-01-01,2079600
1985-02-01,2100100
1985-03-01,2128400
1985-04-01,2128100
1985-05-01,2224700
1985-06-01,2244300
1985-07-01,2308900
1985-08-01,2314500
1985-09-01,2221600
1985-10-01,2253200
1985-11-01,2257800
1985-12-01,2219100
1986-01-01,2191400
1986-02-01,2230600
1986-03-01,2227800
1986-04-01,2215400
1986-05-01,2234300
1986-06-01,2302900
1986-07-01,2316100
1986-08-01,2300400
1986-09-01,2242600
1986-10-01,2245000
1986-11-01,2216200
1986-12-01,2196800
1987-01-01,2214500
1987-02-01,2229300
1987-03-01,2251800
1987-04-01,2275800
1987-05-01,2365500
1987-06-01,2415300
1987-07-01,2438400
1987-08-01,2439100
1987-09-01,2368400
1987-10-01,2380400
1987-11-01,2365000
1987-12-01,2338700
1988-01-01,2302500
1988-02-01,2332600
1988-03-01,2332200
1988-04-01,2367500
1988-05-01,2438900
1988-06-01,2482600
1988-07-01,2516600
1988-08-01,2513100
1988-09-01,2441900
1988-10-01,2451100
1988-11-01,2427200
1988-12-01,2405700
1989-01-01,2386400
1989-02-01,2400000
1989-03-01,2393500
1989-04-01,2423600
1989-05-01,2474800
1989-06-01,2537800
1989-07-01,2560700
1989-08-01,2563400
1989-09-01,2471200
1989-10-01,2465700
1989-11-01,2440800
1989-12-01,2403000
1990-01-01,2341600
1990-02-01,2366800
1990-03-01,2358800
1990-04-01,2375700
1990-05-01,2410100
1990-06-01,2475900
1990-07-01,2479900
1990-08-01,2490400
1990-09-01,2388100
1990-10-01,2358400
1990-11-01,2296600
1990-12-01,2250100
1991-01-01,2200100
1991-02-01,2164500
1991-03-01,2152400
1991-04-01,2172200
1991-05-01,2241400
1991-06-01,2297100
1991-07-01,2297500
1991-08-01,2297600
1991-09-01,2258400
1991-10-01,2230200
1991-11-01,2175200
1991-12-01,2145100
1992-01-01,2091300
1992-02-01,2089200
1992-03-01,2073700
1992-04-01,2108900
1992-05-01,2156900
1992-06-01,2205200
1992-07-01,2227400
1992-08-01,2212700
1992-09-01,2152500
1992-10-01,2124600
1992-11-01,2083500
1992-12-01,2051300
1993-01-01,1999000
1993-02-01,2020800
1993-03-01,2031500
1993-04-01,2043300
1993-05-01,2075800
1993-06-01,2142700
1993-07-01,2165100
1993-08-01,2151500
1993-09-01,2107700
1993-10-01,2099300
1993-11-01,2086600
1993-12-01,2042500
1994-01-01,1975400
1994-02-01,1993600
1994-03-01,2028500
1994-04-01,2055500
1994-05-01,2111900
1994-06-01,2179900
1994-07-01,2209800
1994-08-01,2206400
1994-09-01,2166800
1994-10-01,2169300
1994-11-01,2160200
1994-12-01,2137100
1995-01-01,2105300
1995-02-01,2122900
1995-03-01,2131700
1995-04-01,2152300
1995-05-01,2227500
1995-06-01,2267200
1995-07-01,2276700
1995-08-01,2280100
1995-09-01,2241300
1995-10-01,2226100
1995-11-01,2207600
1995-12-01,2169100
1996-01-01,2126000
1996-02-01,2137600
1996-03-01,2138200
1996-04-01,2168400
1996-05-01,2227200
1996-06-01,2265500
1996-07-01,2304000
1996-08-01,2336200
1996-09-01,2294500
1996-10-01,2260600
1996-11-01,2251100
1996-12-01,2226100
1997-01-01,2199400
1997-02-01,2215400
1997-03-01,2237300
1997-04-01,2248600
1997-05-01,2319400
1997-06-01,2378800
1997-07-01,2395700
1997-08-01,2417800
1997-09-01,2378600
1997-10-01,2370200
1997-11-01,2359100
1997-12-01,2350800
1998-01-01,2297600
1998-02-01,2325600
1998-03-01,2326400
1998-04-01,2347900
1998-05-01,2400100
1998-06-01,2460600
1998-07-01,2476200
1998-08-01,2493600
1998-09-01,2424300
1998-10-01,2426800
1998-11-01,2418300
1998-12-01,2380900
1999-01-01,2353700
1999-02-01,2362400
1999-03-01,2375600
1999-04-01,2385600
1999-05-01,2447200
1999-06-01,2505300
1999-07-01,2539600
1999-08-01,2541700
1999-09-01,2504000
1999-10-01,2520500
1999-11-01,2479400
1999-12-01,2471400
2000-01-01,2438500
2000-02-01,2435700
2000-03-01,2446400
2000-04-01,2477300
2000-05-01,2540500
2000-06-01,2565400
2000-07-01,2566000
2000-08-01,2584100
2000-09-01,2537900
2000-10-01,2553900
2000-11-01,2535100
2000-12-01,2527000
2001-01-01,2480500
2001-02-01,2467500
2001-03-01,2484800
2001-04-01,2490500
2001-05-01,2541400
2001-06-01,2569700
2001-07-01,2590700
2001-08-01,2610800
2001-09-01,2546800
2001-10-01,2533000
2001-11-01,2481600
2001-12-01,2457600
2002-01-01,2439300
2002-02-01,2481500
2002-03-01,2516100
2002-04-01,2521700
2002-05-01,2589600
2002-06-01,2647100
2002-07-01,2675400
2002-08-01,2714900
2002-09-01,2648900
2002-10-01,2623100
2002-11-01,2631200
2002-12-01,2585100
2003-01-01,2535600
2003-02-01,2560000
2003-03-01,2539300
2003-04-01,2546000
2003-05-01,2600800
2003-06-01,2629500
2003-07-01,2659200
2003-08-01,2661400
2003-09-01,2583900
2003-10-01,2582500
2003-11-01,2581600
2003-12-01,2542700
2004-01-01,2520100
2004-02-01,2546400
2004-03-01,2569400
2004-04-01,2591100
2004-05-01,2643400
2004-06-01,2674600
2004-07-01,2702700
2004-08-01,2706900
2004-09-01,2645200
2004-10-01,2635500
2004-11-01,2597100
2004-12-01,2558200
2005-01-01,2539500
2005-02-01,2518700
2005-03-01,2524300
2005-04-01,2512100
2005-05-01,2554100
2005-06-01,2606700
2005-07-01,2606500
2005-08-01,2614800
2005-09-01,2539200
2005-10-01,2511900
2005-11-01,2492400
2005-12-01,2462000
2006-01-01,2375400
2006-02-01,2415100
2006-03-01,2425200
2006-04-01,2446600
2006-05-01,2491700
2006-06-01,2510100
2006-07-01,2512200
2006-08-01,2515900
2006-09-01,2460100
2006-10-01,2453800
2006-11-01,2441400
2006-12-01,2421900
2007-01-01,2381700
2007-02-01,2375400
2007-03-01,2358100
2007-04-01,2346500
2007-05-01,2413400
2007-06-01,2447700
2007-07-01,2471200
2007-08-01,2491000
2007-09-01,2406900
2007-10-01,2391700
2007-11-01,2357900
2007-12-01,2323700
2008-01-01,2296200
2008-02-01,2286200
2008-03-01,2288300
2008-04-01,2291500
2008-05-01,2372300
2008-06-01,2410100
2008-07-01,2389300
2008-08-01,2421200
2008-09-01,2355000
2008-10-01,2329600
2008-11-01,2292600
2008-12-01,2277000
2009-01-01,2158000
2009-02-01,2136900
2009-03-01,2136500
2009-04-01,2126400
2009-05-01,2158200
2009-06-01,2172400
2009-07-01,2180300
2009-08-01,2195900
2009-09-01,2174000
2009-10-01,2164800
2009-11-01,2155600
2009-12-01,2124000
2010-01-01,2081300
2010-02-01,2101200
2010-03-01,2076200
2010-04-01,2081700
2010-05-01,2124200
2010-06-01,2168400
2010-07-01,2188800
2010-08-01,2180900
2010-09-01,2151300
2010-10-01,2131600
2010-11-01,2134400
2010-12-01,2132900
2011-01-01,2102600
2011-02-01,2117800
2011-03-01,2121400
2011-04-01,2134700
2011-05-01,2193800
2011-06-01,2200500
2011-07-01,2201400
2011-08-01,2192500
2011-09-01,2161200
2011-10-01,2141100
2011-11-01,2154900
2011-12-01,2160100
2012-01-01,2129100
2012-02-01,2143600
2012-03-01,2168200
2012-04-01,2182900
2012-05-01,2227000
2012-06-01,2260200
2012-07-01,2279400
2012-08-01,2282900
2012-09-01,2230100
2012-10-01,2222400
2012-11-01,2205000
2012-12-01,2183200
2013-01-01,2135400
2013-02-01,2141400
2013-03-01,2122000
2013-04-01,2131100
2013-05-01,2175100
2013-06-01,2191500
2013-07-01,2216300
2013-08-01,2212200
2013-09-01,2162600
2013-10-01,2171300
2013-11-01,2177800
2013-12-01,2156200
2014-01-01,2108000
2014-02-01,2122600
2014-03-01,2114300
2014-04-01,2126600
2014-05-01,2151300
2014-06-01,2193300
2014-07-01,2216900
2014-08-01,2217800
2014-09-01,2181900
2014-10-01,2186800
2014-11-01,2177600
2014-12-01,2152800
2015-01-01,2105400
2015-02-01,2089500
2015-03-01,2089000
2015-04-01,2112600
2015-05-01,2174700
2015-06-01,2202800
2015-07-01,2214400
2015-08-01,2215700
2015-09-01,2174000
2015-10-01,2165800
2015-11-01,2177300
2015-12-01,2164600
2016-01-01,2124400
2016-02-01,2123200
2016-03-01,2100600
2016-04-01,2096900
2016-05-01,2129500
2016-06-01,2137000
2016-07-01,2153600
2016-08-01,2169200
2016-09-01,2139000
2016-10-01,2116900
2016-11-01,2101900
2016-12-01,2097800
2017-01-01,2078000
2017-02-01,2083400
2017-03-01,2082200
2017-04-01,2103000
2017-05-01,2167500
2017-06-01,2188700
2017-07-01,2219800
2017-08-01,2208700
2017-09-01,2164000
2017-10-01,2167700
2017-11-01,2173700
2017-12-01,2174700
2018-01-01,2153300
2018-02-01,2147300
2018-03-01,2156300
2018-04-01,2169000
2018-05-01,2210100
2018-06-01,2238200
2018-07-01,2229000
2018-08-01,2218200
2018-09-01,2170700
2018-10-01,2183900
2018-11-01,2181200
2018-12-01,2184800
2019-01-01,2138600
2019-02-01,2133800
2019-03-01,2125200
2019-04-01,2147200
2019-05-01,2203300
2019-06-01,2208500
2019-07-01,2206200
2019-08-01,2205200
2019-09-01,2153800
2019-10-01,2126500
2019-11-01,2096000
2019-12-01,2092700
2020-01-01,2091600
2020-02-01,2106100
2020-03-01,2062800
2020-04-01,1786000
2020-05-01,1901900
2020-06-01,1991600
2020-07-01,2039700
2020-08-01,2067000
2020-09-01,2093100
2020-10-01,2115100
2020-11-01,2109700
2020-12-01,2120500
2021-01-01,2095400
2021-02-01,2118600
2021-03-01,2124000
2021-04-01,2122300
2021-05-01,2147200
2021-06-01,2169500
2021-07-01,2164600
2021-08-01,2162600
2021-09-01,2146100
2021-10-01,2148200
2021-11-01,2158800
2021-12-01,2174000
2022-01-01,2149200
2022-02-01,2176700
2022-03-01,2176900
2022-04-01,2187700
2022-05-01,2204400
2022-06-01,2226800
2022-07-01,2248000
2022-08-01,2243200
2022-09-01,2187200
2022-10-01,2202200
2022-11-01,2201900
2022-12-01,2189800
2023-01-01,2183300
2023-02-01,2209900
2023-03-01,2199600
2023-04-01,2206500
2023-05-01,2268200
2023-06-01,2297300
2023-07-01,2318600
2023-08-01,2282600
2023-09-01,2237600
2023-10-01,2211900
2023-11-01,2246400
