"Date","LFESEETTCAM647N"
1978-07-01,9392200
1978-08-01,9405900
1978-09-01,9077800
1978-10-01,9121900
1978-11-01,9074000
1978-12-01,9003600
1979-01-01,8821300
1979-02-01,8883400
1979-03-01,8978500
1979-04-01,9041000
1979-05-01,9339200
1979-06-01,9567200
1979-07-01,9839600
1979-08-01,9837200
1979-09-01,9478100
1979-10-01,9517200
1979-11-01,9462600
1979-12-01,9361600
1980-01-01,9189900
1980-02-01,9231900
1980-03-01,9297900
1980-04-01,9347400
1980-05-01,9580600
1980-06-01,9885300
1980-07-01,10034500
1980-08-01,10046200
1980-09-01,9747900
1980-10-01,9768500
1980-11-01,9709000
1980-12-01,9606800
1981-01-01,9456700
1981-02-01,9561500
1981-03-01,9600200
1981-04-01,9667700
1981-05-01,9953900
1981-06-01,10257800
1981-07-01,10392200
1981-08-01,10382100
1981-09-01,9936900
1981-10-01,9899600
1981-11-01,9806700
1981-12-01,9642900
1982-01-01,9386700
1982-02-01,9397900
1982-03-01,9402700
1982-04-01,9362200
1982-05-01,9565000
1982-06-01,9738300
1982-07-01,9835100
1982-08-01,9736500
1982-09-01,9387000
1982-10-01,9357100
1982-11-01,9234100
1982-12-01,9123000
1983-01-01,8930900
1983-02-01,8998800
1983-03-01,9080800
1983-04-01,9154700
1983-05-01,9495000
1983-06-01,9742800
1983-07-01,9953500
1983-08-01,9969100
1983-09-01,9696300
1983-10-01,9675100
1983-11-01,9563400
1983-12-01,9485400
1984-01-01,9233200
1984-02-01,9316500
1984-03-01,9376000
1984-04-01,9426900
1984-05-01,9774400
1984-06-01,10021700
1984-07-01,10260500
1984-08-01,10200700
1984-09-01,9876000
1984-10-01,9855500
1984-11-01,9766200
1984-12-01,9677100
1985-01-01,9487300
1985-02-01,9512600
1985-03-01,9594800
1985-04-01,9699900
1985-05-01,10036700
1985-06-01,10225100
1985-07-01,10477900
1985-08-01,10452100
1985-09-01,10133600
1985-10-01,10153400
1985-11-01,10117400
1985-12-01,10052600
1986-01-01,9886800
1986-02-01,9934200
1986-03-01,9986800
1986-04-01,10113400
1986-05-01,10405600
1986-06-01,10687500
1986-07-01,10826400
1986-08-01,10805000
1986-09-01,10471100
1986-10-01,10454700
1986-11-01,10371400
1986-12-01,10286600
1987-01-01,10085900
1987-02-01,10117800
1987-03-01,10197400
1987-04-01,10321000
1987-05-01,10670000
1987-06-01,10948700
1987-07-01,11104500
1987-08-01,11099100
1987-09-01,10766400
1987-10-01,10830600
1987-11-01,10746000
1987-12-01,10719800
1988-01-01,10484800
1988-02-01,10559100
1988-03-01,10598600
1988-04-01,10670500
1988-05-01,11010700
1988-06-01,11232000
1988-07-01,11361000
1988-08-01,11321400
1988-09-01,11016800
1988-10-01,11061400
1988-11-01,10975200
1988-12-01,10934600
1989-01-01,10770400
1989-02-01,10786900
1989-03-01,10865400
1989-04-01,10888200
1989-05-01,11251500
1989-06-01,11481700
1989-07-01,11622600
1989-08-01,11647800
1989-09-01,11307300
1989-10-01,11339000
1989-11-01,11230600
1989-12-01,11159300
1990-01-01,10958200
1990-02-01,10991000
1990-03-01,11019400
1990-04-01,11119900
1990-05-01,11363400
1990-06-01,11580300
1990-07-01,11683100
1990-08-01,11623900
1990-09-01,11314200
1990-10-01,11290700
1990-11-01,11087300
1990-12-01,10965800
1991-01-01,10699100
1991-02-01,10665700
1991-03-01,10644900
1991-04-01,10713600
1991-05-01,11046600
1991-06-01,11264300
1991-07-01,11372600
1991-08-01,11360800
1991-09-01,11073900
1991-10-01,11062700
1991-11-01,10867300
1991-12-01,10767400
1992-01-01,10507300
1992-02-01,10520400
1992-03-01,10501200
1992-04-01,10565400
1992-05-01,10889200
1992-06-01,11113800
1992-07-01,11190100
1992-08-01,11144000
1992-09-01,10895500
1992-10-01,10899400
1992-11-01,10747900
1992-12-01,10666400
1993-01-01,10405200
1993-02-01,10471700
1993-03-01,10492300
1993-04-01,10510200
1993-05-01,10790400
1993-06-01,11081400
1993-07-01,11149700
1993-08-01,11110800
1993-09-01,10914700
1993-10-01,10898400
1993-11-01,10828700
1993-12-01,10726100
1994-01-01,10473800
1994-02-01,10553100
1994-03-01,10621800
1994-04-01,10659600
1994-05-01,11072100
1994-06-01,11344300
1994-07-01,11445000
1994-08-01,11426600
1994-09-01,11225900
1994-10-01,11226100
1994-11-01,11207900
1994-12-01,11107500
1995-01-01,10876800
1995-02-01,10903200
1995-03-01,10934300
1995-04-01,10955200
1995-05-01,11293300
1995-06-01,11516400
1995-07-01,11564800
1995-08-01,11560100
1995-09-01,11348900
1995-10-01,11341200
1995-11-01,11156700
1995-12-01,11096200
1996-01-01,10882200
1996-02-01,10935400
1996-03-01,10957500
1996-04-01,11032400
1996-05-01,11358500
1996-06-01,11529300
1996-07-01,11630200
1996-08-01,11630400
1996-09-01,11341600
1996-10-01,11303600
1996-11-01,11194500
1996-12-01,11157400
1997-01-01,10921000
1997-02-01,10990900
1997-03-01,11013100
1997-04-01,11050700
1997-05-01,11389000
1997-06-01,11649400
1997-07-01,11698500
1997-08-01,11746400
1997-09-01,11523300
1997-10-01,11513800
1997-11-01,11461500
1997-12-01,11416800
1998-01-01,11117800
1998-02-01,11249100
1998-03-01,11294300
1998-04-01,11374900
1998-05-01,11684300
1998-06-01,11920100
1998-07-01,11998500
1998-08-01,12006900
1998-09-01,11779300
1998-10-01,11776900
1998-11-01,11720000
1998-12-01,11678200
1999-01-01,11461700
1999-02-01,11532000
1999-03-01,11563500
1999-04-01,11644800
1999-05-01,11968400
1999-06-01,12218000
1999-07-01,12343000
1999-08-01,12319600
1999-09-01,12142000
1999-10-01,12166700
1999-11-01,12103000
1999-12-01,12065200
2000-01-01,11806000
2000-02-01,11904300
2000-03-01,11979900
2000-04-01,12130400
2000-05-01,12475400
2000-06-01,12663900
2000-07-01,12730300
2000-08-01,12728800
2000-09-01,12544400
2000-10-01,12568600
2000-11-01,12525600
2000-12-01,12491700
2001-01-01,12264700
2001-02-01,12305300
2001-03-01,12332300
2001-04-01,12431400
2001-05-01,12782800
2001-06-01,12936100
2001-07-01,13000300
2001-08-01,12979100
2001-09-01,12756500
2001-10-01,12761700
2001-11-01,12679900
2001-12-01,12622900
2002-01-01,12427100
2002-02-01,12494500
2002-03-01,12594600
2002-04-01,12683900
2002-05-01,13029100
2002-06-01,13251100
2002-07-01,13323000
2002-08-01,13392900
2002-09-01,13155800
2002-10-01,13106500
2002-11-01,13088600
2002-12-01,13055900
2003-01-01,12820400
