"Date","CANURTOTMDSMEI"
1967-02-01,287
1967-03-01,294
1967-04-01,298
1967-05-01,288
1967-06-01,278
1967-07-01,290
1967-08-01,284
1967-09-01,287
1967-10-01,315
1967-11-01,316
1967-12-01,344
1968-01-01,334
1968-02-01,346
1968-03-01,360
1968-04-01,351
1968-05-01,345
1968-06-01,376
1968-07-01,373
1968-08-01,367
1968-09-01,343
1968-10-01,352
1968-11-01,363
1968-12-01,361
1969-01-01,352
1969-02-01,354
1969-03-01,347
1969-04-01,354
1969-05-01,364
1969-06-01,363
1969-07-01,348
1969-08-01,367
1969-09-01,357
1969-10-01,387
1969-11-01,379
1969-12-01,373
1970-01-01,367
1970-02-01,403
1970-03-01,428
1970-04-01,449
1970-05-01,488
1970-06-01,511
1970-07-01,537
1970-08-01,515
1970-09-01,508
1970-10-01,510
1970-11-01,518
1970-12-01,529
1971-01-01,529
1971-02-01,542
1971-03-01,529
1971-04-01,564
1971-05-01,520
1971-06-01,528
1971-07-01,530
1971-08-01,515
1971-09-01,541
1971-10-01,551
1971-11-01,545
1971-12-01,521
1972-01-01,531
1972-02-01,509
1972-03-01,542
1972-04-01,514
1972-05-01,538
1972-06-01,560
1972-07-01,566
1972-08-01,573
1972-09-01,575
1972-10-01,591
1972-11-01,577
1972-12-01,582
1973-01-01,557
1973-02-01,536
1973-03-01,512
1973-04-01,506
1973-05-01,490
1973-06-01,502
1973-07-01,486
1973-08-01,494
1973-09-01,523
1973-10-01,533
1973-11-01,518
1973-12-01,508
1974-01-01,506
1974-02-01,500
1974-03-01,496
1974-04-01,495
1974-05-01,513
1974-06-01,478
1974-07-01,492
1974-08-01,510
1974-09-01,524
1974-10-01,526
1974-11-01,543
1974-12-01,589
1975-01-01,673
1975-02-01,653
1975-03-01,650
1975-04-01,643
1975-05-01,692
1975-06-01,702
1975-07-01,693
1975-08-01,714
1975-09-01,695
1975-10-01,726
1975-11-01,732
1975-12-01,715
1976-01-01,739.4
1976-02-01,725.1
1976-03-01,693.3
1976-04-01,712.5
1976-05-01,721
1976-06-01,727
1976-07-01,782.8
1976-08-01,748.9
1976-09-01,736.9
1976-10-01,778.7
1976-11-01,777.5
1976-12-01,792.9
1977-01-01,811.6
1977-02-01,838.2
1977-03-01,836.2
1977-04-01,848.4
1977-05-01,837.2
1977-06-01,845.6
1977-07-01,883
1977-08-01,887.2
1977-09-01,901.9
1977-10-01,904.2
1977-11-01,917.3
1977-12-01,925.9
1978-01-01,900.1
1978-02-01,910.8
1978-03-01,939.4
1978-04-01,931.7
1978-05-01,952.3
1978-06-01,938.4
1978-07-01,951.8
1978-08-01,951
1978-09-01,947.5
1978-10-01,911.4
1978-11-01,933
1978-12-01,939.7
1979-01-01,927.7
1979-02-01,915.6
1979-03-01,901.1
1979-04-01,909.6
1979-05-01,869.7
1979-06-01,846.9
1979-07-01,823.3
1979-08-01,822.3
1979-09-01,813
1979-10-01,854.7
1979-11-01,846.8
1979-12-01,843.5
1980-01-01,887.1
1980-02-01,893.8
1980-03-01,892.1
1980-04-01,905.5
1980-05-01,922
1980-06-01,928.2
1980-07-01,905.1
1980-08-01,903.6
1980-09-01,878.9
1980-10-01,876.9
1980-11-01,860.1
1980-12-01,870.5
1981-01-01,893.2
1981-02-01,894.6
1981-03-01,909.2
1981-04-01,866.9
1981-05-01,876.8
1981-06-01,892.9
1981-07-01,885
1981-08-01,853.9
1981-09-01,1006.9
1981-10-01,1021.2
1981-11-01,1017.1
1981-12-01,1066.3
1982-01-01,1056
1982-02-01,1088.3
1982-03-01,1144.9
1982-04-01,1204.9
1982-05-01,1274.3
1982-06-01,1365.6
1982-07-01,1484
1982-08-01,1492.8
1982-09-01,1531.6
1982-10-01,1596.1
1982-11-01,1588.7
1982-12-01,1616.2
1983-01-01,1561.6
1983-02-01,1569
1983-03-01,1557.9
1983-04-01,1557.5
1983-05-01,1559.1
1983-06-01,1552.7
1983-07-01,1520.1
1983-08-01,1482.6
1983-09-01,1434.3
1983-10-01,1406.7
1983-11-01,1398.2
1983-12-01,1422.8
1984-01-01,1408.6
1984-02-01,1423.2
1984-03-01,1422.2
1984-04-01,1451.4
1984-05-01,1499.3
1984-06-01,1432.1
1984-07-01,1410.6
1984-08-01,1442.3
1984-09-01,1525.7
1984-10-01,1471.1
1984-11-01,1475.8
1984-12-01,1414.3
1985-01-01,1394.5
1985-02-01,1402.9
1985-03-01,1433.4
1985-04-01,1419.1
1985-05-01,1393.4
1985-06-01,1394.7
1985-07-01,1363.2
1985-08-01,1365.2
1985-09-01,1356.7
1985-10-01,1379.1
1985-11-01,1367.4
1985-12-01,1338.2
1986-01-01,1318.3
1986-02-01,1321.6
1986-03-01,1309.2
1986-04-01,1298.4
1986-05-01,1278.7
1986-06-01,1287.5
1986-07-01,1280.4
1986-08-01,1281.7
1986-09-01,1275.4
1986-10-01,1261.9
1986-11-01,1257.9
1986-12-01,1264.8
1987-01-01,1271.6
1987-02-01,1272.3
1987-03-01,1272.2
1987-04-01,1237.9
1987-05-01,1203.9
1987-06-01,1210.3
1987-07-01,1180.2
1987-08-01,1158.4
1987-09-01,1149.5
1987-10-01,1126.6
1987-11-01,1109.3
1987-12-01,1099.8
1988-01-01,1099.9
1988-02-01,1066.4
1988-03-01,1071.4
1988-04-01,1059.9
1988-05-01,1066.9
1988-06-01,1045.2
1988-07-01,1080.9
1988-08-01,1089.5
1988-09-01,1085.2
1988-10-01,1066.4
1988-11-01,1067.5
1988-12-01,1039.5
1989-01-01,1055.9
1989-02-01,1058
1989-03-01,1057.6
1989-04-01,1094.9
1989-05-01,1076.7
1989-06-01,1052.6
1989-07-01,1063.7
1989-08-01,1038.4
1989-09-01,1032
1989-10-01,1029.9
1989-11-01,1062.7
1989-12-01,1083.8
1990-01-01,1123.1
1990-02-01,1095.6
1990-03-01,1032.3
1990-04-01,1072.6
1990-05-01,1103.5
1990-06-01,1080.7
1990-07-01,1115.8
1990-08-01,1160
1990-09-01,1212.7
1990-10-01,1270.4
1990-11-01,1314.4
1990-12-01,1355.5
1991-01-01,1399.2
1991-02-01,1454.3
1991-03-01,1493.2
1991-04-01,1472.3
1991-05-01,1465.8
1991-06-01,1504.9
1991-07-01,1499.5
1991-08-01,1504.3
1991-09-01,1480.5
1991-10-01,1486.9
1991-11-01,1486.7
1991-12-01,1476.8
1992-01-01,1487.6
1992-02-01,1500
1992-03-01,1565.8
1992-04-01,1532.1
1992-05-01,1565.8
1992-06-01,1653
1992-07-01,1622.7
1992-08-01,1656.9
1992-09-01,1661.8
1992-10-01,1634.2
1992-11-01,1747
1992-12-01,1684.7
1993-01-01,1594.7
1993-02-01,1574.5
1993-03-01,1618
1993-04-01,1673
1993-05-01,1679.1
1993-06-01,1702.2
1993-07-01,1688.7
1993-08-01,1640.9
1993-09-01,1652.3
1993-10-01,1625.8
1993-11-01,1627.4
1993-12-01,1650.4
1994-01-01,1641.6
1994-02-01,1606.3
1994-03-01,1534.8
1994-04-01,1593.3
1994-05-01,1553.9
1994-06-01,1506.7
1994-07-01,1478.3
1994-08-01,1496.2
1994-09-01,1472.5
1994-10-01,1453.1
1994-11-01,1411.3
1994-12-01,1410.6
1995-01-01,1402.6
1995-02-01,1400.4
1995-03-01,1429.1
1995-04-01,1387.7
1995-05-01,1394.7
1995-06-01,1394.7
1995-07-01,1418.3
1995-08-01,1403.8
1995-09-01,1356.9
1995-10-01,1369.6
1995-11-01,1357
1995-12-01,1379.7
1996-01-01,1395.1
1996-02-01,1410.8
1996-03-01,1413.1
1996-04-01,1376.7
1996-05-01,1368
1996-06-01,1453.3
1996-07-01,1451.2
1996-08-01,1402.9
1996-09-01,1475.2
1996-10-01,1479.3
1996-11-01,1471.3
1996-12-01,1453.1
1997-01-01,1416
1997-02-01,1423.7
1997-03-01,1398.2
1997-04-01,1415.3
1997-05-01,1408
1997-06-01,1376.2
1997-07-01,1344.4
1997-08-01,1344.8
1997-09-01,1339.3
1997-10-01,1347.4
1997-11-01,1346.3
1997-12-01,1283.1
1998-01-01,1337.9
1998-02-01,1302.6
1998-03-01,1273.4
1998-04-01,1260.9
1998-05-01,1264.3
1998-06-01,1278.2
1998-07-01,1269.6
1998-08-01,1239.7
1998-09-01,1264.7
1998-10-01,1233.1
1998-11-01,1240.2
1998-12-01,1259
1999-01-01,1226
1999-02-01,1223.3
1999-03-01,1219
1999-04-01,1275.9
1999-05-01,1238.8
1999-06-01,1180.3
1999-07-01,1179.3
1999-08-01,1158.9
1999-09-01,1171.3
1999-10-01,1125.6
1999-11-01,1084.1
1999-12-01,1059.8
2000-01-01,1068.1
2000-02-01,1081.1
2000-03-01,1082.3
2000-04-01,1064.5
2000-05-01,1047.5
2000-06-01,1061
2000-07-01,1068
2000-08-01,1113.1
2000-09-01,1104.1
2000-10-01,1120.4
2000-11-01,1110.7
2000-12-01,1083.2
2001-01-01,1098.9
2001-02-01,1122.5
2001-03-01,1146.7
2001-04-01,1145.5
2001-05-01,1126.7
2001-06-01,1157.1
2001-07-01,1159
2001-08-01,1166.9
2001-09-01,1173.2
2001-10-01,1205.8
2001-11-01,1242.5
2001-12-01,1307.6
2002-01-01,1300.3
2002-02-01,1289.5
2002-03-01,1294.4
2002-04-01,1270.2
2002-05-01,1279.5
2002-06-01,1264.3
2002-07-01,1273.6
2002-08-01,1241.9
2002-09-01,1259
2002-10-01,1250.7
2002-11-01,1245.5
2002-12-01,1263.9
2003-01-01,1246.9
2003-02-01,1254.3
2003-03-01,1251
2003-04-01,1290.7
2003-05-01,1328.4
2003-06-01,1298.7
2003-07-01,1300.8
2003-08-01,1332.8
2003-09-01,1343.1
2003-10-01,1284
2003-11-01,1258.5
2003-12-01,1254.3
2004-01-01,1252.1
2004-02-01,1258.2
2004-03-01,1251
2004-04-01,1235
2004-05-01,1226
2004-06-01,1245.5
2004-07-01,1203.5
2004-08-01,1197.2
2004-09-01,1198
2004-10-01,1219
2004-11-01,1242.4
2004-12-01,1228.8
2005-01-01,1211.3
2005-02-01,1217.2
2005-03-01,1189.4
2005-04-01,1166.2
2005-05-01,1190.4
2005-06-01,1175.4
2005-07-01,1143.4
2005-08-01,1155.2
2005-09-01,1164.2
2005-10-01,1160.3
2005-11-01,1093.1
2005-12-01,1141
2006-01-01,1146.5
2006-02-01,1118.1
2006-03-01,1108.2
2006-04-01,1100.4
2006-05-01,1063.8
2006-06-01,1069
2006-07-01,1112.1
2006-08-01,1129.3
2006-09-01,1132.5
2006-10-01,1086.9
2006-11-01,1112.7
2006-12-01,1079.5
2007-01-01,1110.5
2007-02-01,1098.3
2007-03-01,1090.5
2007-04-01,1093.4
2007-05-01,1062
2007-06-01,1082.3
2007-07-01,1094.4
2007-08-01,1072.1
2007-09-01,1059.7
2007-10-01,1054.3
2007-11-01,1085.7
2007-12-01,1080.7
2008-01-01,1067.7
2008-02-01,1075.8
2008-03-01,1101.2
2008-04-01,1103
2008-05-01,1104.6
2008-06-01,1094.5
2008-07-01,1104.2
2008-08-01,1108.4
2008-09-01,1124.9
2008-10-01,1113.8
2008-11-01,1177.7
2008-12-01,1247
2009-01-01,1338.9
2009-02-01,1458.4
2009-03-01,1484.6
2009-04-01,1491.7
2009-05-01,1554.2
2009-06-01,1575.8
2009-07-01,1583.3
2009-08-01,1593.1
2009-09-01,1518.5
2009-10-01,1515.3
2009-11-01,1550.5
2009-12-01,1563.4
2010-01-01,1515.5
2010-02-01,1509.2
2010-03-01,1503.1
2010-04-01,1494
2010-05-01,1499.9
2010-06-01,1462.8
2010-07-01,1494.6
2010-08-01,1498.6
2010-09-01,1495.1
2010-10-01,1455.9
2010-11-01,1415.3
2010-12-01,1416.8
2011-01-01,1443.7
2011-02-01,1436.9
2011-03-01,1424.6
2011-04-01,1418.2
2011-05-01,1375.6
2011-06-01,1386.6
2011-07-01,1356.5
2011-08-01,1364.8
2011-09-01,1346.2
2011-10-01,1377
2011-11-01,1398.4
2011-12-01,1399.8
2012-01-01,1421.2
2012-02-01,1386.2
2012-03-01,1356.2
2012-04-01,1370.6
