"Date","CANURMALEMDSMEI"
1962-11-01,327.5065
1962-12-01,336.7626
1963-01-01,330.5916
1963-02-01,323.933
1963-03-01,332.6485
1963-04-01,320.3477
1963-05-01,323.3612
1963-06-01,309.2119
1963-07-01,301.3622
1963-08-01,294.3216
1963-09-01,293.9583
1963-10-01,285.7349
1963-11-01,283.9108
1963-12-01,281.0286
1964-01-01,280.2353
1964-02-01,281.0319
1964-03-01,278.2588
1964-04-01,279.9045
1964-05-01,261.0169
1964-06-01,263.7619
1964-07-01,252.0709
1964-08-01,247.4836
1964-09-01,244.4136
1964-10-01,265.7223
1964-11-01,229.8936
1964-12-01,227.5538
1965-01-01,241.146
1965-02-01,242.608
1965-03-01,235.8137
1965-04-01,259.7513
1965-05-01,233.9471
1965-06-01,231.6165
1965-07-01,212.8363
1965-08-01,207.8538
1965-09-01,195.6641
1965-10-01,166.0785
1965-11-01,188.7227
1965-12-01,198.5707
1966-01-01,171.4474
1966-02-01,166.2008
1966-03-01,163.7449
1966-04-01,160.5298
1966-05-01,166.7588
1966-06-01,166.879
1966-07-01,184.1716
1966-08-01,182.9124
1966-09-01,196.2277
1966-10-01,158.3961
1966-11-01,175.0409
1966-12-01,174.3024
1967-01-01,185.5028
1967-02-01,187.0833
1967-03-01,194.7512
1967-04-01,199.0518
1967-05-01,201.6659
1967-06-01,198.1154
1967-07-01,202.8451
1967-08-01,201.0213
1967-09-01,205.0883
1967-10-01,216.3892
1967-11-01,216.9935
1967-12-01,232.8174
1968-01-01,235.0649
1968-02-01,242.8486
1968-03-01,249.8241
1968-04-01,242.4151
1968-05-01,241.2637
1968-06-01,259.8541
1968-07-01,252.314
1968-08-01,242.567
1968-09-01,237.6709
1968-10-01,232.5847
1968-11-01,244.5837
1968-12-01,238.7617
1969-01-01,228.5484
1969-02-01,232.5866
1969-03-01,225.2791
1969-04-01,229.84
1969-05-01,236.3768
1969-06-01,237.1796
1969-07-01,231.029
1969-08-01,235.4788
1969-09-01,232.7869
1969-10-01,244.7652
1969-11-01,242.3502
1969-12-01,241.1033
1970-01-01,242.5456
1970-02-01,265.2499
1970-03-01,285.7684
1970-04-01,301.7631
1970-05-01,328.2418
1970-06-01,332.6301
1970-07-01,336.1676
1970-08-01,337.1316
1970-09-01,340.9219
1970-10-01,329.3837
1970-11-01,328.6293
1970-12-01,339.8431
1971-01-01,339.7676
1971-02-01,341.4966
1971-03-01,341.1095
1971-04-01,353.6115
1971-05-01,334.4533
1971-06-01,334.9031
1971-07-01,336.4823
1971-08-01,329.8233
1971-09-01,345.224
1971-10-01,326.9533
1971-11-01,335.6724
1971-12-01,324.7838
1972-01-01,320.1447
1972-02-01,307.7533
1972-03-01,321.4903
1972-04-01,319.5179
1972-05-01,333.0548
1972-06-01,341.2801
1972-07-01,352.6747
1972-08-01,359.8899
1972-09-01,352.6808
1972-10-01,359.7767
1972-11-01,342.4534
1972-12-01,352.3761
1973-01-01,321.6875
1973-02-01,307.6926
1973-03-01,296.8525
1973-04-01,286.8063
1973-05-01,276.9611
1973-06-01,285.6847
1973-07-01,281.8181
1973-08-01,285.2774
1973-09-01,295.6465
1973-10-01,291.9647
1973-11-01,305.1342
1973-12-01,296.2474
1974-01-01,291.3999
1974-02-01,291.685
1974-03-01,284.4272
1974-04-01,284.6919
1974-05-01,293.9009
1974-06-01,263.2148
1974-07-01,282.9746
1974-08-01,287.7019
1974-09-01,291.4193
1974-10-01,302.21
1974-11-01,315.4734
1974-12-01,341.8266
1975-01-01,380.8246
1975-02-01,367.8514
1975-03-01,383.6845
1975-04-01,382.4428
1975-05-01,391.8504
1975-06-01,393.3024
1975-07-01,388.1244
1975-08-01,409.6852
1975-09-01,408.626
1975-10-01,406.9959
1975-11-01,404.2487
1975-12-01,398.8371
1976-01-01,421
1976-02-01,412.3
1976-03-01,397.9
1976-04-01,401.8
1976-05-01,405.2
1976-06-01,419.6
1976-07-01,445.3
1976-08-01,414.1
1976-09-01,397.7
1976-10-01,449.7
1976-11-01,438.7
1976-12-01,448.7
1977-01-01,457.3
1977-02-01,473.5
1977-03-01,478.4
1977-04-01,475
1977-05-01,475.6
1977-06-01,486.6
1977-07-01,508.7
1977-08-01,503.3
1977-09-01,515
1977-10-01,501.9
1977-11-01,514.5
1977-12-01,525.1
1978-01-01,507.4
1978-02-01,513.9
1978-03-01,530.5
1978-04-01,535.7
1978-05-01,529.1
1978-06-01,527
1978-07-01,531.9
1978-08-01,532.3
1978-09-01,526.2
1978-10-01,505.8
1978-11-01,511.3
1978-12-01,509.7
1979-01-01,511.1
1979-02-01,508.5
1979-03-01,499.3
1979-04-01,503.7
1979-05-01,480.4
1979-06-01,455.1
1979-07-01,434.9
1979-08-01,437
1979-09-01,434.3
1979-10-01,453.7
1979-11-01,463.4
1979-12-01,464.8
1980-01-01,486.6
1980-02-01,496.3
1980-03-01,495.2
1980-04-01,505.8
1980-05-01,514
1980-06-01,524
1980-07-01,508.8
1980-08-01,505.6
1980-09-01,489.7
1980-10-01,487.6
1980-11-01,487.1
1980-12-01,488.7
1981-01-01,499.1
1981-02-01,500.5
1981-03-01,512.7
1981-04-01,481.1
1981-05-01,492.1
1981-06-01,499.8
1981-07-01,495
1981-08-01,472.1
1981-09-01,560.1
1981-10-01,569.3
1981-11-01,559.8
1981-12-01,615.9
1982-01-01,618.1
1982-02-01,634
1982-03-01,669.6
1982-04-01,707.4
1982-05-01,755.2
1982-06-01,824.6
1982-07-01,900.2
1982-08-01,915.5
1982-09-01,957.1
1982-10-01,991.3
1982-11-01,967.8
1982-12-01,977
1983-01-01,931.8
1983-02-01,939
1983-03-01,927.2
1983-04-01,934.6
1983-05-01,941.7
1983-06-01,944.6
1983-07-01,925.5
1983-08-01,896.3
1983-09-01,857.1
1983-10-01,832.4
1983-11-01,833
1983-12-01,837.6
1984-01-01,825.8
1984-02-01,828.9
1984-03-01,834.2
1984-04-01,851.8
1984-05-01,881
1984-06-01,835.4
1984-07-01,814.5
1984-08-01,844.6
1984-09-01,886.4
1984-10-01,837.4
1984-11-01,853.2
1984-12-01,809.1
1985-01-01,824.8
1985-02-01,810.7
1985-03-01,837
1985-04-01,804.7
1985-05-01,796.4
1985-06-01,799.8
1985-07-01,773.6
1985-08-01,779.4
1985-09-01,764.4
1985-10-01,791.3
1985-11-01,771.9
1985-12-01,760.4
1986-01-01,740.5
1986-02-01,744
1986-03-01,736.4
1986-04-01,724.2
1986-05-01,724.8
1986-06-01,734.7
1986-07-01,728.2
1986-08-01,732.4
1986-09-01,728.3
1986-10-01,701.8
1986-11-01,701.3
1986-12-01,709.9
1987-01-01,707.7
1987-02-01,709
1987-03-01,707.3
1987-04-01,679.4
1987-05-01,661.7
1987-06-01,660.2
1987-07-01,644
1987-08-01,636.1
1987-09-01,627.1
1987-10-01,611.9
1987-11-01,595.5
1987-12-01,597.9
1988-01-01,594.4
1988-02-01,577.3
1988-03-01,581.6
1988-04-01,578.4
1988-05-01,579.1
1988-06-01,560.1
1988-07-01,574.6
1988-08-01,564.9
1988-09-01,581.5
1988-10-01,586.7
1988-11-01,567.8
1988-12-01,571.2
1989-01-01,574.9
1989-02-01,578.2
1989-03-01,583.8
1989-04-01,598.7
1989-05-01,581
1989-06-01,578.5
1989-07-01,583.2
1989-08-01,556
1989-09-01,559.8
1989-10-01,559
1989-11-01,589.7
1989-12-01,601.7
1990-01-01,631.7
1990-02-01,600
1990-03-01,573.1
1990-04-01,591.8
1990-05-01,608.9
1990-06-01,595.3
1990-07-01,624
1990-08-01,653.1
1990-09-01,682.9
1990-10-01,706.4
1990-11-01,746.3
1990-12-01,778
1991-01-01,803.9
1991-02-01,843.5
1991-03-01,861.9
1991-04-01,854.5
1991-05-01,854.8
1991-06-01,869.2
1991-07-01,867.2
1991-08-01,880.3
1991-09-01,861.3
1991-10-01,858.8
1991-11-01,861.1
1991-12-01,860.9
1992-01-01,871.5
1992-02-01,877.9
1992-03-01,925.7
1992-04-01,903.8
1992-05-01,936.1
1992-06-01,1003.3
1992-07-01,962.3
1992-08-01,998.8
1992-09-01,988.5
1992-10-01,982.8
1992-11-01,1023.5
1992-12-01,976.8
1993-01-01,929.8
1993-02-01,912
1993-03-01,937.7
1993-04-01,951.1
1993-05-01,960.3
1993-06-01,999.1
1993-07-01,977.6
1993-08-01,949.6
1993-09-01,968.9
1993-10-01,940.2
1993-11-01,939.8
1993-12-01,943.3
1994-01-01,952.3
1994-02-01,939.2
1994-03-01,887.3
1994-04-01,915.9
1994-05-01,881.9
1994-06-01,863.9
1994-07-01,850.8
1994-08-01,856.3
1994-09-01,848.1
1994-10-01,823.4
1994-11-01,814.9
1994-12-01,810.5
1995-01-01,787.5
1995-02-01,780.9
1995-03-01,802.4
1995-04-01,789
1995-05-01,799.9
1995-06-01,795.5
1995-07-01,806.6
1995-08-01,794.8
1995-09-01,766.5
1995-10-01,778.3
1995-11-01,758.8
1995-12-01,781
1996-01-01,795
1996-02-01,802.4
1996-03-01,805
1996-04-01,779.8
1996-05-01,785.5
1996-06-01,822.9
1996-07-01,809.2
1996-08-01,775.9
1996-09-01,813.8
1996-10-01,826
1996-11-01,827.6
1996-12-01,815.3
1997-01-01,792.1
1997-02-01,805.6
1997-03-01,786.7
1997-04-01,794
1997-05-01,785.8
1997-06-01,744.3
1997-07-01,746
1997-08-01,747.4
1997-09-01,742.6
1997-10-01,734
1997-11-01,732.1
1997-12-01,715.1
1998-01-01,730.4
1998-02-01,712.3
1998-03-01,695.9
1998-04-01,700.9
1998-05-01,698.6
1998-06-01,718.6
1998-07-01,727.2
1998-08-01,699.3
1998-09-01,709.7
1998-10-01,705.4
1998-11-01,708
1998-12-01,709.7
1999-01-01,682.6
1999-02-01,684.4
1999-03-01,680.6
1999-04-01,703.6
1999-05-01,681.7
1999-06-01,653.8
1999-07-01,656.7
1999-08-01,658.6
1999-09-01,673.7
1999-10-01,637.5
1999-11-01,610.9
1999-12-01,591.2
2000-01-01,598
2000-02-01,591.5
2000-03-01,588.9
2000-04-01,588.3
2000-05-01,579.7
2000-06-01,598.9
2000-07-01,579.4
2000-08-01,613.5
2000-09-01,604.7
2000-10-01,604.2
2000-11-01,613.3
2000-12-01,594.1
2001-01-01,601.8
2001-02-01,625.1
2001-03-01,650.4
2001-04-01,646.9
2001-05-01,634.8
2001-06-01,654
2001-07-01,647.1
2001-08-01,654.6
2001-09-01,653.7
2001-10-01,681.6
2001-11-01,713.7
2001-12-01,758.3
2002-01-01,769.6
2002-02-01,745.9
2002-03-01,741.8
2002-04-01,724
2002-05-01,724.9
2002-06-01,712
2002-07-01,721.2
2002-08-01,702.2
2002-09-01,714.1
2002-10-01,713.8
2002-11-01,702.7
2002-12-01,720.2
2003-01-01,696.6
2003-02-01,704.7
2003-03-01,697.5
2003-04-01,710.8
2003-05-01,741.5
2003-06-01,733.2
2003-07-01,741
2003-08-01,759.4
2003-09-01,748.1
2003-10-01,727.7
2003-11-01,707.6
2003-12-01,706
2004-01-01,696.7
2004-02-01,703.4
2004-03-01,704.8
2004-04-01,683.9
2004-05-01,690.5
2004-06-01,699.1
2004-07-01,655.4
2004-08-01,649.5
2004-09-01,661.2
2004-10-01,666.5
2004-11-01,676
2004-12-01,687.8
2005-01-01,675.4
2005-02-01,677
2005-03-01,664.2
2005-04-01,656.9
2005-05-01,654.1
2005-06-01,654.2
2005-07-01,646.3
2005-08-01,645.8
2005-09-01,629.3
2005-10-01,617.4
2005-11-01,608.2
2005-12-01,608.4
2006-01-01,632.7
2006-02-01,603
2006-03-01,596.6
2006-04-01,589.4
2006-05-01,572.1
2006-06-01,581
2006-07-01,598.9
2006-08-01,623.1
2006-09-01,645.1
2006-10-01,603.4
2006-11-01,618.6
2006-12-01,601.8
2007-01-01,621.8
2007-02-01,619.4
2007-03-01,610
2007-04-01,622
2007-05-01,589.2
2007-06-01,604.8
2007-07-01,608.6
2007-08-01,589.9
2007-09-01,579.3
2007-10-01,605.4
2007-11-01,615.6
2007-12-01,619.3
2008-01-01,599.7
2008-02-01,593.9
2008-03-01,621
2008-04-01,627.6
2008-05-01,617.3
2008-06-01,633.5
2008-07-01,618.9
2008-08-01,611.7
2008-09-01,643.8
2008-10-01,642.3
2008-11-01,682.5
2008-12-01,711.8
2009-01-01,799.4
2009-02-01,882.8
2009-03-01,892.5
2009-04-01,903
2009-05-01,938.8
2009-06-01,961.8
2009-07-01,946.5
2009-08-01,950.8
2009-09-01,921.6
2009-10-01,908.7
2009-11-01,916.8
2009-12-01,937.1
2010-01-01,898.8
2010-02-01,886.4
2010-03-01,881.1
2010-04-01,858.2
2010-05-01,873.7
2010-06-01,836.6
2010-07-01,850.5
2010-08-01,855.2
2010-09-01,837.5
2010-10-01,807.7
2010-11-01,801.9
2010-12-01,795.2
2011-01-01,803.7
2011-02-01,801.4
2011-03-01,793.8
2011-04-01,781.1
2011-05-01,760
2011-06-01,769.5
2011-07-01,752
2011-08-01,758.4
2011-09-01,753
2011-10-01,765.9
2011-11-01,767.2
2011-12-01,786.1
2012-01-01,788.4
2012-02-01,763.5
2012-03-01,757.4
2012-04-01,764.6
