"Date","LFEAMNTTCAM647N"
1999-03-01,2106000
1999-04-01,2120300
1999-05-01,2182900
1999-06-01,2234600
1999-07-01,2265600
1999-08-01,2272800
1999-09-01,2242000
1999-10-01,2252300
1999-11-01,2218100
1999-12-01,2202000
2000-01-01,2175000
2000-02-01,2165200
2000-03-01,2179500
2000-04-01,2209800
2000-05-01,2267100
2000-06-01,2289400
2000-07-01,2284900
2000-08-01,2301900
2000-09-01,2260400
2000-10-01,2272500
2000-11-01,2252400
2000-12-01,2249300
2001-01-01,2200200
2001-02-01,2181400
2001-03-01,2197200
2001-04-01,2208300
2001-05-01,2246800
2001-06-01,2259300
2001-07-01,2277100
2001-08-01,2290000
2001-09-01,2244500
2001-10-01,2229100
2001-11-01,2174900
2001-12-01,2155600
2002-01-01,2141500
2002-02-01,2183500
2002-03-01,2215400
2002-04-01,2221400
2002-05-01,2283700
2002-06-01,2343200
2002-07-01,2366500
2002-08-01,2410100
2002-09-01,2350600
2002-10-01,2328900
2002-11-01,2333100
2002-12-01,2289100
2003-01-01,2245200
2003-02-01,2263800
2003-03-01,2231600
2003-04-01,2247300
2003-05-01,2294300
2003-06-01,2316600
2003-07-01,2342900
2003-08-01,2346900
2003-09-01,2273500
2003-10-01,2263400
2003-11-01,2269000
2003-12-01,2233800
2004-01-01,2212300
2004-02-01,2240500
2004-03-01,2255700
2004-04-01,2282600
2004-05-01,2328700
2004-06-01,2355300
2004-07-01,2376200
2004-08-01,2378200
2004-09-01,2319800
2004-10-01,2310300
2004-11-01,2273400
2004-12-01,2233000
2005-01-01,2222500
2005-02-01,2201300
2005-03-01,2207700
2005-04-01,2194300
2005-05-01,2220600
2005-06-01,2261100
2005-07-01,2257000
2005-08-01,2255300
2005-09-01,2185800
2005-10-01,2165000
2005-11-01,2154100
2005-12-01,2116300
2006-01-01,2026500
2006-02-01,2069400
2006-03-01,2074700
2006-04-01,2090700
2006-05-01,2119500
2006-06-01,2136900
2006-07-01,2125000
2006-08-01,2136500
2006-09-01,2094300
2006-10-01,2084900
2006-11-01,2074500
2006-12-01,2051500
2007-01-01,2007200
2007-02-01,1995900
2007-03-01,1983400
2007-04-01,1980400
2007-05-01,2030900
2007-06-01,2059300
2007-07-01,2073000
2007-08-01,2087800
2007-09-01,2016900
2007-10-01,1999700
2007-11-01,1970000
2007-12-01,1929000
2008-01-01,1899700
2008-02-01,1885900
2008-03-01,1890800
2008-04-01,1902300
2008-05-01,1964200
2008-06-01,1990400
2008-07-01,1965100
2008-08-01,1992600
2008-09-01,1930700
2008-10-01,1904800
2008-11-01,1870000
2008-12-01,1856000
2009-01-01,1745800
2009-02-01,1739300
2009-03-01,1746700
2009-04-01,1750400
2009-05-01,1765100
2009-06-01,1780200
2009-07-01,1780300
2009-08-01,1791900
2009-09-01,1778200
2009-10-01,1773200
2009-11-01,1763700
2009-12-01,1741700
2010-01-01,1694000
2010-02-01,1705500
2010-03-01,1687300
2010-04-01,1700500
2010-05-01,1736600
2010-06-01,1768900
2010-07-01,1781700
2010-08-01,1775700
2010-09-01,1746400
2010-10-01,1745400
2010-11-01,1740200
2010-12-01,1738200
2011-01-01,1709500
2011-02-01,1723500
2011-03-01,1727800
2011-04-01,1739600
2011-05-01,1787500
2011-06-01,1789800
2011-07-01,1792700
2011-08-01,1790000
2011-09-01,1762800
2011-10-01,1738100
2011-11-01,1737300
2011-12-01,1740200
2012-01-01,1708500
2012-02-01,1716900
2012-03-01,1733400
2012-04-01,1756700
2012-05-01,1794200
2012-06-01,1821500
2012-07-01,1840800
2012-08-01,1838900
2012-09-01,1796600
2012-10-01,1782800
2012-11-01,1767000
2012-12-01,1761700
2013-01-01,1710000
2013-02-01,1712800
2013-03-01,1701400
2013-04-01,1716700
2013-05-01,1748200
2013-06-01,1757900
2013-07-01,1777100
2013-08-01,1765400
2013-09-01,1723000
2013-10-01,1729600
2013-11-01,1733200
2013-12-01,1715400
2014-01-01,1669100
2014-02-01,1672800
2014-03-01,1676100
2014-04-01,1686600
2014-05-01,1719200
2014-06-01,1755500
2014-07-01,1774100
2014-08-01,1776000
2014-09-01,1740800
2014-10-01,1743600
2014-11-01,1733500
2014-12-01,1713000
2015-01-01,1677700
2015-02-01,1671300
2015-03-01,1675100
2015-04-01,1697000
2015-05-01,1754200
2015-06-01,1769500
2015-07-01,1785100
2015-08-01,1783700
2015-09-01,1748400
2015-10-01,1744700
2015-11-01,1761100
2015-12-01,1744600
2016-01-01,1715800
2016-02-01,1714200
2016-03-01,1696500
2016-04-01,1700900
2016-05-01,1737700
2016-06-01,1750100
2016-07-01,1767200
2016-08-01,1775900
2016-09-01,1751200
2016-10-01,1722700
2016-11-01,1712400
2016-12-01,1713700
2017-01-01,1690400
2017-02-01,1696700
2017-03-01,1701400
2017-04-01,1726800
2017-05-01,1779400
2017-06-01,1800700
2017-07-01,1830800
2017-08-01,1818900
2017-09-01,1778200
2017-10-01,1786400
2017-11-01,1800900
2017-12-01,1798900
2018-01-01,1774700
2018-02-01,1757700
2018-03-01,1763500
2018-04-01,1778500
2018-05-01,1808700
2018-06-01,1818800
2018-07-01,1811300
2018-08-01,1800800
2018-09-01,1761000
2018-10-01,1770200
2018-11-01,1759800
2018-12-01,1770600
2019-01-01,1728600
2019-02-01,1718400
2019-03-01,1716100
2019-04-01,1744200
2019-05-01,1793400
2019-06-01,1799200
2019-07-01,1797500
2019-08-01,1799100
2019-09-01,1758300
2019-10-01,1730600
2019-11-01,1708900
2019-12-01,1707900
2020-01-01,1705200
2020-02-01,1717300
2020-03-01,1682500
2020-04-01,1431600
2020-05-01,1545700
2020-06-01,1631500
2020-07-01,1680200
2020-08-01,1710500
2020-09-01,1728200
2020-10-01,1727400
2020-11-01,1732400
2020-12-01,1740200
2021-01-01,1710500
2021-02-01,1723800
2021-03-01,1733400
2021-04-01,1740300
2021-05-01,1752400
2021-06-01,1766500
2021-07-01,1752400
2021-08-01,1761300
2021-09-01,1739200
2021-10-01,1747200
2021-11-01,1772100
2021-12-01,1774300
2022-01-01,1752200
2022-02-01,1768300
2022-03-01,1772200
2022-04-01,1782100
2022-05-01,1784800
2022-06-01,1815300
2022-07-01,1830200
2022-08-01,1816600
2022-09-01,1765000
2022-10-01,1776800
2022-11-01,1780400
2022-12-01,1777800
2023-01-01,1762700
2023-02-01,1778100
2023-03-01,1778000
2023-04-01,1788800
2023-05-01,1832900
2023-06-01,1867000
2023-07-01,1882100
2023-08-01,1839100
2023-09-01,1803000
2023-10-01,1786200
2023-11-01,1822000
