"Date","M1010AM144NNBR"
1942-11-01,2
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,12
1943-04-01,0
1943-05-01,0
1943-06-01,10
1943-07-01,0
1943-08-01,0
1943-09-01,0.5
1943-10-01,0
1943-11-01,0
1943-12-01,0
1944-01-01,0
1944-02-01,0
1944-03-01,0
1944-04-01,0
1944-05-01,2
1944-06-01,0
1944-07-01,0
1944-08-01,0
1944-09-01,0
1944-10-01,0
1944-11-01,0
1944-12-01,0
1945-01-01,0
1945-02-01,0
1945-03-01,0
1945-04-01,0
1945-05-01,0
1945-06-01,0
1945-07-01,0
1945-08-01,0
1945-09-01,0
1945-10-01,1.9
1945-11-01,0
1945-12-01,0
1946-01-01,0
1946-02-01,0
1946-03-01,0.51
1946-04-01,0
1946-05-01,0
1946-06-01,0.5
1946-07-01,0
1946-08-01,35
1946-09-01,0
1946-10-01,0
1946-11-01,0
1946-12-01,0.2
1947-01-01,1.54
1947-02-01,55
1947-03-01,0.3
1947-04-01,1.25
1947-05-01,2.5
1947-06-01,0.1
1947-07-01,0
1947-08-01,0
1947-09-01,0.8
1947-10-01,0
1947-11-01,1.1
1947-12-01,2.9
1948-01-01,0.1
1948-02-01,0
1948-03-01,0
1948-04-01,1.3
1948-05-01,0.46
1948-06-01,0
1948-07-01,0.15
1948-08-01,0
1948-09-01,1.5
1948-10-01,1.17
1948-11-01,2.44
1948-12-01,0.25
1949-01-01,0
1949-02-01,0.14
1949-03-01,0
1949-04-01,0
1949-05-01,2.34
1949-06-01,3.26
1949-07-01,0
1949-08-01,0
1949-09-01,0
1949-10-01,0
1949-11-01,0
1949-12-01,2
1950-01-01,0
1950-02-01,0
1950-03-01,29.88
1950-04-01,52.5
1950-05-01,11.37
1950-06-01,0
1950-07-01,12.02
1950-08-01,0.35
1950-09-01,0
1950-10-01,0
1950-11-01,20
1950-12-01,0
1951-01-01,1.05
1951-02-01,0.06
1951-03-01,1.9
1951-04-01,0
1951-05-01,0.65
1951-06-01,0
1951-07-01,0
1951-08-01,0.15
1951-09-01,1.29
1951-10-01,0
1951-11-01,0.22
1951-12-01,0.15
1952-01-01,4.56
1952-02-01,1
1952-03-01,0.2
1952-04-01,0.2
1952-05-01,0
1952-06-01,25.25
1952-07-01,0.1
1952-08-01,1.65
1952-09-01,0.48
1952-10-01,0.23
1952-11-01,0
1952-12-01,0
1953-01-01,0
1953-02-01,0
1953-03-01,2.2
1953-04-01,0
1953-05-01,1.05
1953-06-01,150.3
1953-07-01,21.66
1953-08-01,1
1953-09-01,23.95
1953-10-01,0.25
1953-11-01,17.75
1953-12-01,0
1954-01-01,0.5
1954-02-01,0.5
1954-03-01,2.4
1954-04-01,15
1954-05-01,0
1954-06-01,100
1954-07-01,7.05
1954-08-01,0
1954-09-01,0.55
1954-10-01,0
1954-11-01,0.25
1954-12-01,10.5
1955-01-01,4.52
1955-02-01,0.88
1955-03-01,50.25
1955-04-01,17.39
1955-05-01,0
1955-06-01,1.5
1955-07-01,1.2
1955-08-01,0
1955-09-01,0
1955-10-01,2
1955-11-01,2
1955-12-01,0.4
1956-01-01,3.82
1956-02-01,1.4
1956-03-01,0
1956-04-01,11.55
1956-05-01,1.12
1956-06-01,5
1956-07-01,0
1956-08-01,0
1956-09-01,0
1956-10-01,0
1956-11-01,0
1956-12-01,3
1957-01-01,0.25
1957-02-01,0
1957-03-01,0
1957-04-01,5.5
1957-05-01,1.22
1957-06-01,3.02
1957-07-01,0
1957-08-01,0
1957-09-01,0
1957-10-01,0
1957-11-01,3.16
