"Date","LFINTTMACAM647N"
1999-03-01,3367300
1999-04-01,3289800
1999-05-01,3136800
1999-06-01,3071600
1999-07-01,2928800
1999-08-01,3e+06
1999-09-01,3227300
1999-10-01,3244200
1999-11-01,3300100
1999-12-01,3343300
2000-01-01,3430100
2000-02-01,3407000
2000-03-01,3393900
2000-04-01,3363000
2000-05-01,3178300
2000-06-01,3134100
2000-07-01,3002700
2000-08-01,3041200
2000-09-01,3297500
2000-10-01,3309400
2000-11-01,3342800
2000-12-01,3390000
2001-01-01,3474400
2001-02-01,3447600
2001-03-01,3432100
2001-04-01,3402300
2001-05-01,3230500
2001-06-01,3176200
2001-07-01,3073400
2001-08-01,3102400
2001-09-01,3380300
2001-10-01,3379600
2001-11-01,3421800
2001-12-01,3448600
2002-01-01,3475800
2002-02-01,3460500
2002-03-01,3419700
2002-04-01,3407300
2002-05-01,3190500
2002-06-01,3150300
2002-07-01,2996600
2002-08-01,3032100
2002-09-01,3294300
2002-10-01,3323200
2002-11-01,3341600
2002-12-01,3374600
2003-01-01,3446800
2003-02-01,3402100
2003-03-01,3403000
2003-04-01,3368500
2003-05-01,3182100
2003-06-01,3113100
2003-07-01,2992300
2003-08-01,3045200
2003-09-01,3304800
2003-10-01,3326200
2003-11-01,3353000
2003-12-01,3434200
2004-01-01,3497600
2004-02-01,3491700
2004-03-01,3469900
2004-04-01,3437600
2004-05-01,3265300
2004-06-01,3193400
2004-07-01,3080900
2004-08-01,3142500
2004-09-01,3387500
2004-10-01,3385800
2004-11-01,3423500
2004-12-01,3480900
2005-01-01,3588400
2005-02-01,3563100
2005-03-01,3557100
2005-04-01,3550300
2005-05-01,3325000
2005-06-01,3286400
2005-07-01,3141700
2005-08-01,3201500
2005-09-01,3488200
2005-10-01,3493500
2005-11-01,3550600
2005-12-01,3614100
2006-01-01,3664100
2006-02-01,3660000
2006-03-01,3633000
2006-04-01,3620700
2006-05-01,3398900
2006-06-01,3362100
2006-07-01,3222700
2006-08-01,3273400
2006-09-01,3527200
2006-10-01,3563300
2006-11-01,3581000
2006-12-01,3648000
2007-01-01,3694400
2007-02-01,3699300
2007-03-01,3689000
2007-04-01,3648900
2007-05-01,3453000
2007-06-01,3389100
2007-07-01,3273700
2007-08-01,3336100
2007-09-01,3609200
2007-10-01,3583500
2007-11-01,3589000
2007-12-01,3651100
2008-01-01,3710900
2008-02-01,3725900
2008-03-01,3666000
2008-04-01,3646600
2008-05-01,3481500
2008-06-01,3395900
2008-07-01,3330100
2008-08-01,3372100
2008-09-01,3583800
2008-10-01,3597900
2008-11-01,3650800
2008-12-01,3744100
2009-01-01,3821200
2009-02-01,3793100
2009-03-01,3783000
2009-04-01,3762700
2009-05-01,3568200
2009-06-01,3537800
2009-07-01,3448100
2009-08-01,3527700
2009-09-01,3806100
2009-10-01,3795000
2009-11-01,3792200
2009-12-01,3877400
2010-01-01,3980300
2010-02-01,3978600
2010-03-01,3945500
2010-04-01,3880900
2010-05-01,3692600
2010-06-01,3647400
2010-07-01,3528800
2010-08-01,3558700
2010-09-01,3830500
2010-10-01,3897800
2010-11-01,3893100
2010-12-01,3952200
2011-01-01,4018300
2011-02-01,4005500
2011-03-01,3960800
2011-04-01,3911700
2011-05-01,3749100
2011-06-01,3683900
2011-07-01,3601400
2011-08-01,3654200
2011-09-01,3893900
2011-10-01,3925300
2011-11-01,3975000
2011-12-01,4046000
2012-01-01,4135500
2012-02-01,4135800
2012-03-01,4097400
2012-04-01,3997300
2012-05-01,3782500
2012-06-01,3786800
2012-07-01,3698900
2012-08-01,3706200
2012-09-01,3941200
2012-10-01,3960100
2012-11-01,4018700
2012-12-01,4077600
2013-01-01,4165300
2013-02-01,4152500
2013-03-01,4140300
2013-04-01,4075100
2013-05-01,3844600
2013-06-01,3843900
2013-07-01,3758900
2013-08-01,3790400
2013-09-01,4053400
2013-10-01,4058800
2013-11-01,4099800
2013-12-01,4160300
2014-01-01,4235500
2014-02-01,4229600
2014-03-01,4205200
2014-04-01,4207400
2014-05-01,4004500
2014-06-01,3958900
2014-07-01,3876100
2014-08-01,3908400
2014-09-01,4131700
2014-10-01,4153300
2014-11-01,4223100
2014-12-01,4252900
2015-01-01,4334400
2015-02-01,4280000
2015-03-01,4287200
2015-04-01,4254500
2015-05-01,4025400
2015-06-01,3984700
2015-07-01,3904600
2015-08-01,3902400
2015-09-01,4159200
2015-10-01,4175800
2015-11-01,4249200
2015-12-01,4304700
2016-01-01,4385200
2016-02-01,4322300
2016-03-01,4350500
2016-04-01,4324800
2016-05-01,4143300
2016-06-01,4136000
2016-07-01,4063200
2016-08-01,4055100
2016-09-01,4293100
2016-10-01,4311000
2016-11-01,4347200
2016-12-01,4398700
2017-01-01,4427100
2017-02-01,4435800
2017-03-01,4393100
2017-04-01,4401100
2017-05-01,4170700
2017-06-01,4153700
2017-07-01,4086200
2017-08-01,4097400
2017-09-01,4360500
2017-10-01,4341800
2017-11-01,4371800
2017-12-01,4420100
2018-01-01,4530100
2018-02-01,4543200
2018-03-01,4503700
2018-04-01,4501500
2018-05-01,4323500
2018-06-01,4247700
2018-07-01,4195900
2018-08-01,4266600
2018-09-01,4493800
2018-10-01,4513700
2018-11-01,4498800
2018-12-01,4574600
2019-01-01,4600300
2019-02-01,4582600
2019-03-01,4553300
2019-04-01,4497700
2019-05-01,4330000
2019-06-01,4301300
2019-07-01,4227200
2019-08-01,4220900
2019-09-01,4513300
2019-10-01,4551200
2019-11-01,4594600
2019-12-01,4665700
2020-01-01,4757700
2020-02-01,4696800
2020-03-01,4958500
2020-04-01,5444000
2020-05-01,4995300
2020-06-01,4608200
2020-07-01,4473800
2020-08-01,4462600
2020-09-01,4630300
2020-10-01,4644300
2020-11-01,4710500
2020-12-01,4777700
2021-01-01,4860700
2021-02-01,4813900
2021-03-01,4733500
2021-04-01,4768000
2021-05-01,4603300
2021-06-01,4485000
2021-07-01,4415000
2021-08-01,4459900
2021-09-01,4654200
2021-10-01,4712200
2021-11-01,4703400
2021-12-01,4790500
2022-01-01,4930300
2022-02-01,4855700
2022-03-01,4872300
2022-04-01,4811800
2022-05-01,4642000
2022-06-01,4658200
2022-07-01,4588800
2022-08-01,4582500
2022-09-01,4838900
2022-10-01,4843800
2022-11-01,4870300
2022-12-01,4947200
2023-01-01,4941100
2023-02-01,4993500
2023-03-01,4969900
2023-04-01,4942600
2023-05-01,4751300
2023-06-01,4666800
2023-07-01,4650800
2023-08-01,4694700
2023-09-01,4922600
2023-10-01,4901100
2023-11-01,4966700
