"Date","LFHUADFECAM647S"
1989-08-01,346000
1989-09-01,352000
1989-10-01,336500
1989-11-01,350300
1989-12-01,355600
1990-01-01,360300
1990-02-01,360200
1990-03-01,328100
1990-04-01,342300
1990-05-01,356000
1990-06-01,349100
1990-07-01,351300
1990-08-01,368100
1990-09-01,383400
1990-10-01,396200
1990-11-01,409200
1990-12-01,412500
1991-01-01,433300
1991-02-01,454400
1991-03-01,458100
1991-04-01,451100
1991-05-01,445000
1991-06-01,464500
1991-07-01,469000
1991-08-01,469000
1991-09-01,451500
1991-10-01,463300
1991-11-01,461900
1991-12-01,459300
1992-01-01,448700
1992-02-01,448900
1992-03-01,469500
1992-04-01,454000
1992-05-01,457600
1992-06-01,471700
1992-07-01,478900
1992-08-01,478600
1992-09-01,482800
1992-10-01,486400
1992-11-01,541700
1992-12-01,520800
1993-01-01,507500
1993-02-01,505600
1993-03-01,509100
1993-04-01,546100
1993-05-01,542500
1993-06-01,529600
1993-07-01,537100
1993-08-01,508200
1993-09-01,517500
1993-10-01,517600
1993-11-01,513000
1993-12-01,530500
1994-01-01,510300
1994-02-01,492700
1994-03-01,486900
1994-04-01,503900
1994-05-01,505900
1994-06-01,485500
1994-07-01,472700
1994-08-01,484000
1994-09-01,478400
1994-10-01,465600
1994-11-01,447000
1994-12-01,443300
1995-01-01,464400
1995-02-01,466300
1995-03-01,466200
1995-04-01,442800
1995-05-01,442500
1995-06-01,449300
1995-07-01,452600
1995-08-01,456600
1995-09-01,439900
1995-10-01,440000
1995-11-01,446100
1995-12-01,439600
1996-01-01,442400
1996-02-01,450500
1996-03-01,458500
1996-04-01,450100
1996-05-01,439300
1996-06-01,467600
1996-07-01,475800
1996-08-01,464000
1996-09-01,488300
1996-10-01,485000
1996-11-01,473500
1996-12-01,473800
1997-01-01,455700
1997-02-01,447500
1997-03-01,435900
1997-04-01,446500
1997-05-01,451700
1997-06-01,442100
1997-07-01,419300
1997-08-01,415600
1997-09-01,421100
1997-10-01,442000
1997-11-01,442700
1997-12-01,407300
1998-01-01,431100
1998-02-01,426600
1998-03-01,414500
1998-04-01,401000
1998-05-01,397300
1998-06-01,396900
1998-07-01,391500
1998-08-01,391100
1998-09-01,403400
1998-10-01,377100
1998-11-01,379800
1998-12-01,389500
1999-01-01,390500
1999-02-01,387800
1999-03-01,386600
1999-04-01,398600
1999-05-01,392900
1999-06-01,370100
1999-07-01,368300
1999-08-01,359900
1999-09-01,346000
1999-10-01,333000
1999-11-01,331500
1999-12-01,330300
2000-01-01,334400
2000-02-01,344500
2000-03-01,339600
2000-04-01,333600
2000-05-01,329300
2000-06-01,327600
2000-07-01,347400
2000-08-01,353800
2000-09-01,358400
2000-10-01,370100
2000-11-01,355300
2000-12-01,347500
2001-01-01,357300
2001-02-01,352500
2001-03-01,357200
2001-04-01,357200
2001-05-01,363400
2001-06-01,363800
2001-07-01,364900
2001-08-01,374900
2001-09-01,374100
2001-10-01,377300
2001-11-01,366100
2001-12-01,387600
2002-01-01,381700
2002-02-01,388400
2002-03-01,394800
2002-04-01,400500
2002-05-01,388400
2002-06-01,4e+05
2002-07-01,396000
2002-08-01,381100
2002-09-01,390400
2002-10-01,391800
2002-11-01,391000
2002-12-01,395300
2003-01-01,394900
2003-02-01,395200
2003-03-01,399700
2003-04-01,417800
2003-05-01,425100
2003-06-01,402300
2003-07-01,395600
2003-08-01,401500
2003-09-01,418300
2003-10-01,397200
2003-11-01,397700
2003-12-01,394100
2004-01-01,392800
2004-02-01,373300
2004-03-01,377600
2004-04-01,374700
2004-05-01,366200
2004-06-01,387700
2004-07-01,388900
2004-08-01,387000
2004-09-01,379100
2004-10-01,391000
2004-11-01,407100
2004-12-01,391000
2005-01-01,377900
2005-02-01,397500
2005-03-01,379100
2005-04-01,362400
2005-05-01,385400
2005-06-01,376500
2005-07-01,356400
2005-08-01,370600
2005-09-01,382500
2005-10-01,383900
2005-11-01,347700
2005-12-01,375300
2006-01-01,378100
2006-02-01,367600
2006-03-01,362300
2006-04-01,377100
2006-05-01,357700
2006-06-01,366300
2006-07-01,370200
2006-08-01,354600
2006-09-01,338700
2006-10-01,350300
2006-11-01,357300
2006-12-01,345800
2007-01-01,352300
2007-02-01,350300
2007-03-01,352700
2007-04-01,346600
2007-05-01,342100
2007-06-01,340100
2007-07-01,346100
2007-08-01,340300
2007-09-01,346600
2007-10-01,321500
2007-11-01,338800
2007-12-01,331300
2008-01-01,328200
2008-02-01,338200
2008-03-01,348000
2008-04-01,332300
2008-05-01,350900
2008-06-01,327300
2008-07-01,346300
2008-08-01,362300
2008-09-01,346800
2008-10-01,340000
2008-11-01,352000
2008-12-01,392700
2009-01-01,403900
2009-02-01,411800
2009-03-01,433300
2009-04-01,438100
2009-05-01,452000
2009-06-01,465200
2009-07-01,453500
2009-08-01,458000
2009-09-01,445500
2009-10-01,459800
2009-11-01,457200
2009-12-01,451200
2010-01-01,453600
2010-02-01,462800
2010-03-01,454900
2010-04-01,460200
2010-05-01,436800
2010-06-01,458500
2010-07-01,480500
2010-08-01,473100
2010-09-01,483700
2010-10-01,488200
2010-11-01,473900
2010-12-01,470700
2011-01-01,471600
2011-02-01,472300
2011-03-01,461300
2011-04-01,461700
2011-05-01,456300
2011-06-01,460200
2011-07-01,436700
2011-08-01,450000
2011-09-01,451900
2011-10-01,462200
2011-11-01,474200
2011-12-01,441500
2012-01-01,463100
2012-02-01,456100
2012-03-01,440200
2012-04-01,459200
2012-05-01,466100
2012-06-01,440300
2012-07-01,428200
2012-08-01,423600
2012-09-01,436700
2012-10-01,438600
2012-11-01,441500
2012-12-01,447400
2013-01-01,439000
2013-02-01,452100
2013-03-01,454000
2013-04-01,436800
2013-05-01,424900
2013-06-01,431800
2013-07-01,448600
2013-08-01,439000
2013-09-01,445500
2013-10-01,431000
2013-11-01,423800
2013-12-01,448800
2014-01-01,438400
2014-02-01,434000
2014-03-01,428000
2014-04-01,434200
2014-05-01,449300
2014-06-01,433800
2014-07-01,430300
2014-08-01,425500
2014-09-01,404900
2014-10-01,414100
2014-11-01,411400
2014-12-01,397800
2015-01-01,410600
2015-02-01,410100
2015-03-01,426400
2015-04-01,418200
2015-05-01,404000
2015-06-01,420400
2015-07-01,414100
2015-08-01,425900
2015-09-01,431400
2015-10-01,432300
2015-11-01,437600
2015-12-01,439300
2016-01-01,438200
2016-02-01,430600
2016-03-01,432100
2016-04-01,448200
2016-05-01,432300
2016-06-01,425800
2016-07-01,418200
2016-08-01,413400
2016-09-01,423100
2016-10-01,410300
2016-11-01,413300
2016-12-01,434100
2017-01-01,423000
2017-02-01,417400
2017-03-01,414200
2017-04-01,409600
2017-05-01,422300
2017-06-01,418000
2017-07-01,433400
2017-08-01,417900
2017-09-01,411100
2017-10-01,420100
2017-11-01,411200
2017-12-01,402600
2018-01-01,396400
2018-02-01,397800
2018-03-01,382400
2018-04-01,371900
2018-05-01,383500
2018-06-01,397200
2018-07-01,389900
2018-08-01,402600
2018-09-01,397500
2018-10-01,390200
2018-11-01,383800
2018-12-01,382400
2019-01-01,371500
2019-02-01,372400
2019-03-01,388700
2019-04-01,386100
2019-05-01,339500
2019-06-01,347800
2019-07-01,371500
2019-08-01,367600
2019-09-01,376900
2019-10-01,380700
2019-11-01,390600
2019-12-01,373000
2020-01-01,387100
2020-02-01,395900
2020-03-01,595900
2020-04-01,911700
2020-05-01,906200
2020-06-01,809300
2020-07-01,671600
2020-08-01,619800
2020-09-01,585800
2020-10-01,583700
2020-11-01,575400
2020-12-01,603800
2021-01-01,656100
2021-02-01,586000
2021-03-01,536200
2021-04-01,594800
2021-05-01,569900
2021-06-01,528400
2021-07-01,536100
2021-08-01,511500
2021-09-01,517900
2021-10-01,490400
2021-11-01,448400
2021-12-01,443700
2022-01-01,480300
2022-02-01,371000
2022-03-01,402600
2022-04-01,382400
2022-05-01,364500
2022-06-01,354800
2022-07-01,354300
2022-08-01,394600
2022-09-01,360800
2022-10-01,364600
2022-11-01,356400
2022-12-01,349900
2023-01-01,348500
2023-02-01,362000
2023-03-01,355000
2023-04-01,344300
2023-05-01,360400
2023-06-01,378100
2023-07-01,419400
2023-08-01,399900
2023-09-01,393100
2023-10-01,394900
2023-11-01,400500
