"Date","LFAC64MACAM647S"
1998-05-01,8143900
1998-06-01,8167700
1998-07-01,8192100
1998-08-01,8182300
1998-09-01,8202700
1998-10-01,8191900
1998-11-01,8214600
1998-12-01,8221600
1999-01-01,8249200
1999-02-01,8243000
1999-03-01,8257600
1999-04-01,8315300
1999-05-01,8309400
1999-06-01,8274600
1999-07-01,8303500
1999-08-01,8305000
1999-09-01,8338400
1999-10-01,8352200
1999-11-01,8353000
1999-12-01,8364900
2000-01-01,8375900
2000-02-01,8371400
2000-03-01,8379700
2000-04-01,8399300
2000-05-01,8388400
2000-06-01,8394300
2000-07-01,8405000
2000-08-01,8433400
2000-09-01,8439100
2000-10-01,8463800
2000-11-01,8486600
2000-12-01,8494500
2001-01-01,8490100
2001-02-01,8501000
2001-03-01,8520600
2001-04-01,8524900
2001-05-01,8519900
2001-06-01,8530700
2001-07-01,8515100
2001-08-01,8533000
2001-09-01,8528100
2001-10-01,8545100
2001-11-01,8554500
2001-12-01,8595000
2002-01-01,8652200
2002-02-01,8649300
2002-03-01,8685300
2002-04-01,8676900
2002-05-01,8714100
2002-06-01,8721500
2002-07-01,8750000
2002-08-01,8755600
2002-09-01,8765600
2002-10-01,8759700
2002-11-01,8783200
2002-12-01,8812500
2003-01-01,8815800
2003-02-01,8843200
2003-03-01,8823100
2003-04-01,8848400
2003-05-01,8860900
2003-06-01,8858100
2003-07-01,8879200
2003-08-01,8881400
2003-09-01,8883300
2003-10-01,8885800
2003-11-01,8903600
2003-12-01,8895500
2004-01-01,8918900
2004-02-01,8915100
2004-03-01,8921500
2004-04-01,8939200
2004-05-01,8931100
2004-06-01,8954000
2004-07-01,8937400
2004-08-01,8941200
2004-09-01,8959500
2004-10-01,8991800
2004-11-01,8996000
2004-12-01,9002600
2005-01-01,8996900
2005-02-01,9003100
2005-03-01,9000600
2005-04-01,8980500
2005-05-01,9000300
2005-06-01,9004700
2005-07-01,9023300
2005-08-01,9041500
2005-09-01,9029900
2005-10-01,9040900
2005-11-01,9024300
2005-12-01,9044200
2006-01-01,9053300
2006-02-01,9072000
2006-03-01,9090500
2006-04-01,9082200
2006-05-01,9104100
2006-06-01,9101400
2006-07-01,9131200
2006-08-01,9149000
2006-09-01,9165700
2006-10-01,9134400
2006-11-01,9157500
2006-12-01,9177400
2007-01-01,9199100
2007-02-01,9200500
2007-03-01,9179800
2007-04-01,9201700
2007-05-01,9205800
2007-06-01,9228200
2007-07-01,9236000
2007-08-01,9221500
2007-09-01,9216300
2007-10-01,9250100
2007-11-01,9279700
2007-12-01,9313100
2008-01-01,9327100
2008-02-01,9317500
2008-03-01,9341100
2008-04-01,9331400
2008-05-01,9319000
2008-06-01,9344900
2008-07-01,9317700
2008-08-01,9332900
2008-09-01,9375200
2008-10-01,9389000
2008-11-01,9398000
2008-12-01,9374600
2009-01-01,9385600
2009-02-01,9416800
2009-03-01,9397500
2009-04-01,9366000
2009-05-01,9374700
2009-06-01,9357700
2009-07-01,9363800
2009-08-01,9338500
2009-09-01,9315200
2009-10-01,9350800
2009-11-01,9389400
2009-12-01,9384200
2010-01-01,9371400
2010-02-01,9388500
2010-03-01,9383800
2010-04-01,9389600
2010-05-01,9412700
2010-06-01,9405600
2010-07-01,9436100
2010-08-01,9454600
2010-09-01,9448500
2010-10-01,9407000
2010-11-01,9449400
2010-12-01,9463800
2011-01-01,9493100
2011-02-01,9502000
2011-03-01,9513100
2011-04-01,9508700
2011-05-01,9466300
2011-06-01,9503900
2011-07-01,9501400
2011-08-01,9502800
2011-09-01,9519200
2011-10-01,9511300
2011-11-01,9498200
2011-12-01,9505600
2012-01-01,9524500
2012-02-01,9504900
2012-03-01,9510400
2012-04-01,9551000
2012-05-01,9569900
2012-06-01,9554500
2012-07-01,9554100
2012-08-01,9586900
2012-09-01,9610700
2012-10-01,9614000
2012-11-01,9607000
2012-12-01,9625400
2013-01-01,9603400
2013-02-01,9604400
2013-03-01,9594900
2013-04-01,9629200
2013-05-01,9653100
2013-06-01,9652100
2013-07-01,9640100
2013-08-01,9635800
2013-09-01,9609300
2013-10-01,9639400
2013-11-01,9652900
2013-12-01,9635200
2014-01-01,9641600
2014-02-01,9635600
2014-03-01,9648600
2014-04-01,9621400
2014-05-01,9633100
2014-06-01,9643300
2014-07-01,9663900
2014-08-01,9643500
2014-09-01,9679000
2014-10-01,9681100
2014-11-01,9674100
2014-12-01,9691900
2015-01-01,9690600
2015-02-01,9731600
2015-03-01,9712500
2015-04-01,9700400
2015-05-01,9726400
2015-06-01,9725400
2015-07-01,9746600
2015-08-01,9754700
2015-09-01,9747900
2015-10-01,9738800
2015-11-01,9718500
2015-12-01,9736400
2016-01-01,9746500
2016-02-01,9774200
2016-03-01,9746600
2016-04-01,9764600
2016-05-01,9735700
2016-06-01,9726100
2016-07-01,9720500
2016-08-01,9762900
2016-09-01,9778700
2016-10-01,9787500
2016-11-01,9798200
2016-12-01,9805500
2017-01-01,9843900
2017-02-01,9817500
2017-03-01,9855600
2017-04-01,9836700
2017-05-01,9856700
2017-06-01,9844800
2017-07-01,9847100
2017-08-01,9864100
2017-09-01,9853900
2017-10-01,9892000
2017-11-01,9912700
2017-12-01,9925200
2018-01-01,9894300
2018-02-01,9890000
2018-03-01,9915500
2018-04-01,9913900
2018-05-01,9919600
2018-06-01,9980700
2018-07-01,9976000
2018-08-01,9951300
2018-09-01,9986100
2018-10-01,9992500
2018-11-01,10029100
2018-12-01,10028000
2019-01-01,10070900
2019-02-01,10068800
2019-03-01,10070300
2019-04-01,10116400
2019-05-01,10128600
2019-06-01,10127800
2019-07-01,10133200
2019-08-01,10164600
2019-09-01,10137700
2019-10-01,10105200
2019-11-01,10120600
2019-12-01,10107800
2020-01-01,10100200
2020-02-01,10143700
2020-03-01,9899500
2020-04-01,9406300
2020-05-01,9677700
2020-06-01,10001500
2020-07-01,10065900
2020-08-01,10107700
2020-09-01,10168800
2020-10-01,10188200
2020-11-01,10146800
2020-12-01,10153400
2021-01-01,10144000
2021-02-01,10154300
2021-03-01,10216300
2021-04-01,10159600
2021-05-01,10150300
2021-06-01,10204100
2021-07-01,10212000
2021-08-01,10206600
2021-09-01,10250500
2021-10-01,10218300
2021-11-01,10268400
2021-12-01,10278000
2022-01-01,10242000
2022-02-01,10291800
2022-03-01,10258900
2022-04-01,10305700
2022-05-01,10306300
2022-06-01,10266700
2022-07-01,10254600
2022-08-01,10294200
2022-09-01,10296600
2022-10-01,10308000
2022-11-01,10332200
2022-12-01,10345900
2023-01-01,10412300
2023-02-01,10415700
2023-03-01,10427200
2023-04-01,10455200
2023-05-01,10486800
2023-06-01,10560500
2023-07-01,10524600
2023-08-01,10548500
2023-09-01,10593800
2023-10-01,10650200
2023-11-01,10667500
