"Date","MANMM101CAM189S"
1966-12-01,1.41e+10
1967-01-01,1.43e+10
1967-02-01,1.46e+10
1967-03-01,1.48e+10
1967-04-01,1.49e+10
1967-05-01,1.49e+10
1967-06-01,1.49e+10
1967-07-01,1.49e+10
1967-08-01,1.49e+10
1967-09-01,1.52e+10
1967-10-01,1.54e+10
1967-11-01,1.52e+10
1967-12-01,1.52e+10
1968-01-01,1.54e+10
1968-02-01,1.53e+10
1968-03-01,1.51e+10
1968-04-01,1.52e+10
1968-05-01,1.52e+10
1968-06-01,1.52e+10
1968-07-01,1.56e+10
1968-08-01,1.61e+10
1968-09-01,1.6e+10
1968-10-01,1.6e+10
1968-11-01,1.62e+10
1968-12-01,1.63e+10
1969-01-01,1.66e+10
1969-02-01,1.64e+10
1969-03-01,1.66e+10
1969-04-01,1.68e+10
1969-05-01,1.7e+10
1969-06-01,1.69e+10
1969-07-01,1.68e+10
1969-08-01,1.66e+10
1969-09-01,1.67e+10
1969-10-01,1.69e+10
1969-11-01,1.67e+10
1969-12-01,1.68e+10
1970-01-01,1.68e+10
1970-02-01,1.69e+10
1970-03-01,1.7e+10
1970-04-01,1.7e+10
1970-05-01,1.69e+10
1970-06-01,1.7e+10
1970-07-01,1.72e+10
1970-08-01,1.73e+10
1970-09-01,1.72e+10
1970-10-01,1.74e+10
1970-11-01,1.75e+10
1970-12-01,1.77e+10
1971-01-01,1.79e+10
1971-02-01,1.82e+10
1971-03-01,1.85e+10
1971-04-01,1.86e+10
1971-05-01,1.9e+10
1971-06-01,1.94e+10
1971-07-01,1.93e+10
1971-08-01,1.98e+10
1971-09-01,2.01e+10
1971-10-01,2.01e+10
1971-11-01,2.05e+10
1971-12-01,2.08e+10
1972-01-01,2.09e+10
1972-02-01,2.11e+10
1972-03-01,2.14e+10
1972-04-01,2.16e+10
1972-05-01,2.17e+10
1972-06-01,2.2e+10
1972-07-01,2.22e+10
1972-08-01,2.26e+10
1972-09-01,2.3e+10
1972-10-01,2.34e+10
1972-11-01,2.38e+10
1972-12-01,2.39e+10
1973-01-01,2.43e+10
1973-02-01,2.45e+10
1973-03-01,2.45e+10
1973-04-01,2.51e+10
1973-05-01,2.54e+10
1973-06-01,2.54e+10
1973-07-01,2.59e+10
1973-08-01,2.6e+10
1973-09-01,2.62e+10
1973-10-01,2.65e+10
1973-11-01,2.65e+10
1973-12-01,2.66e+10
1974-01-01,2.7e+10
1974-02-01,2.71e+10
1974-03-01,2.74e+10
1974-04-01,2.84e+10
1974-05-01,2.89e+10
1974-06-01,2.81e+10
1974-07-01,2.8e+10
1974-08-01,2.79e+10
1974-09-01,2.81e+10
1974-10-01,2.8e+10
1974-11-01,2.82e+10
1974-12-01,2.83e+10
1975-01-01,2.9e+10
1975-02-01,2.98e+10
1975-03-01,3.0683e+10
1975-04-01,3.1011e+10
1975-05-01,3.1034e+10
1975-06-01,3.1152e+10
1975-07-01,3.1955e+10
1975-08-01,3.1988e+10
1975-09-01,3.2411e+10
1975-10-01,3.2673e+10
1975-11-01,3.297e+10
1975-12-01,3.3978e+10
1976-01-01,3.3191e+10
1976-02-01,3.3269e+10
1976-03-01,3.3801e+10
1976-04-01,3.3604e+10
1976-05-01,3.3781e+10
1976-06-01,3.4189e+10
1976-07-01,3.391e+10
1976-08-01,3.4157e+10
1976-09-01,3.4397e+10
1976-10-01,3.4389e+10
1976-11-01,3.45e+10
1976-12-01,3.4804e+10
1977-01-01,3.5149e+10
1977-02-01,3.5189e+10
1977-03-01,3.6028e+10
1977-04-01,3.6214e+10
1977-05-01,3.6585e+10
1977-06-01,3.7116e+10
1977-07-01,3.6991e+10
1977-08-01,3.7406e+10
1977-09-01,3.7416e+10
1977-10-01,3.7746e+10
1977-11-01,3.8274e+10
1977-12-01,3.8662e+10
1978-01-01,3.9004e+10
1978-02-01,3.9083e+10
1978-03-01,3.9982e+10
1978-04-01,3.9629e+10
1978-05-01,4.0069e+10
1978-06-01,4.0163e+10
1978-07-01,4.0493e+10
1978-08-01,4.0859e+10
1978-09-01,4.1174e+10
1978-10-01,4.1426e+10
1978-11-01,4.2768e+10
1978-12-01,4.1785e+10
1979-01-01,4.1893e+10
1979-02-01,4.1606e+10
1979-03-01,4.1672e+10
1979-04-01,4.2165e+10
1979-05-01,4.2875e+10
1979-06-01,4.3225e+10
1979-07-01,4.3735e+10
1979-08-01,4.3809e+10
1979-09-01,4.3891e+10
1979-10-01,4.4105e+10
1979-11-01,4.3718e+10
1979-12-01,4.3622e+10
1980-01-01,4.4132e+10
1980-02-01,4.4009e+10
1980-03-01,4.5486e+10
1980-04-01,4.5188e+10
1980-05-01,4.4742e+10
1980-06-01,4.5315e+10
1980-07-01,4.6154e+10
1980-08-01,4.6581e+10
1980-09-01,4.7473e+10
1980-10-01,4.8537e+10
1980-11-01,4.9286e+10
1980-12-01,4.9726e+10
1981-01-01,4.8525e+10
1981-02-01,4.8415e+10
1981-03-01,4.9255e+10
1981-04-01,4.9712e+10
1981-05-01,4.9512e+10
1981-06-01,4.9121e+10
1981-07-01,4.9581e+10
1981-08-01,4.9765e+10
1981-09-01,4.9335e+10
1981-10-01,4.8742e+10
1981-11-01,4.7987e+10
1981-12-01,4.8593e+10
1982-01-01,4.8723e+10
1982-02-01,4.8961e+10
1982-03-01,4.9437e+10
1982-04-01,5.0052e+10
1982-05-01,5.0697e+10
1982-06-01,5.1531e+10
1982-07-01,5.0606e+10
1982-08-01,5.0621e+10
1982-09-01,5.1216e+10
1982-10-01,5.1577e+10
1982-11-01,5.2667e+10
1982-12-01,5.3794e+10
1983-01-01,5.4668e+10
1983-02-01,5.5167e+10
1983-03-01,5.6394e+10
1983-04-01,5.6633e+10
1983-05-01,5.7186e+10
1983-06-01,5.8148e+10
1983-07-01,5.8318e+10
1983-08-01,5.9405e+10
1983-09-01,5.976e+10
1983-10-01,5.9809e+10
1983-11-01,6.0707e+10
1983-12-01,6.1074e+10
1984-01-01,6.0474e+10
1984-02-01,6.0256e+10
1984-03-01,6.0887e+10
1984-04-01,6.1124e+10
1984-05-01,6.1854e+10
1984-06-01,6.2604e+10
1984-07-01,6.3521e+10
1984-08-01,6.4128e+10
1984-09-01,6.5077e+10
1984-10-01,6.6424e+10
1984-11-01,6.7072e+10
1984-12-01,6.8928e+10
1985-01-01,7.0436e+10
1985-02-01,7.1224e+10
1985-03-01,7.3407e+10
1985-04-01,7.4171e+10
1985-05-01,7.6452e+10
1985-06-01,7.7747e+10
1985-07-01,7.9339e+10
1985-08-01,8.0964e+10
1985-09-01,8.285e+10
1985-10-01,8.5235e+10
1985-11-01,8.6729e+10
1985-12-01,8.7466e+10
1986-01-01,8.9043e+10
1986-02-01,8.8951e+10
1986-03-01,8.9949e+10
1986-04-01,9.1347e+10
1986-05-01,9.2686e+10
1986-06-01,9.3786e+10
1986-07-01,9.5087e+10
1986-08-01,9.5724e+10
1986-09-01,9.6591e+10
1986-10-01,9.7833e+10
1986-11-01,9.8862e+10
1986-12-01,1.00528e+11
1987-01-01,1.01044e+11
1987-02-01,1.03234e+11
1987-03-01,1.05443e+11
1987-04-01,1.0757e+11
1987-05-01,1.08023e+11
1987-06-01,1.08195e+11
1987-07-01,1.08431e+11
1987-08-01,1.08397e+11
1987-09-01,1.08634e+11
1987-10-01,1.07968e+11
1987-11-01,1.05497e+11
1987-12-01,1.06064e+11
1988-01-01,1.05734e+11
1988-02-01,1.05437e+11
1988-03-01,1.07487e+11
1988-04-01,1.07471e+11
1988-05-01,1.07421e+11
1988-06-01,1.09757e+11
1988-07-01,1.10372e+11
1988-08-01,1.121e+11
1988-09-01,1.11822e+11
1988-10-01,1.10884e+11
1988-11-01,1.13578e+11
1988-12-01,1.13654e+11
1989-01-01,1.13559e+11
1989-02-01,1.13239e+11
1989-03-01,1.15362e+11
1989-04-01,1.1389e+11
1989-05-01,1.15064e+11
1989-06-01,1.15295e+11
1989-07-01,1.16035e+11
1989-08-01,1.17162e+11
1989-09-01,1.1845e+11
1989-10-01,1.19559e+11
1989-11-01,1.2168e+11
1989-12-01,1.22426e+11
1990-01-01,1.22173e+11
1990-02-01,1.22593e+11
1990-03-01,1.23363e+11
1990-04-01,1.23241e+11
1990-05-01,1.23893e+11
1990-06-01,1.23019e+11
1990-07-01,1.21857e+11
1990-08-01,1.22035e+11
1990-09-01,1.21651e+11
1990-10-01,1.22731e+11
1990-11-01,1.23767e+11
1990-12-01,1.25114e+11
1991-01-01,1.26541e+11
1991-02-01,1.26565e+11
1991-03-01,1.27798e+11
1991-04-01,1.28147e+11
1991-05-01,1.29345e+11
1991-06-01,1.28764e+11
1991-07-01,1.3016e+11
1991-08-01,1.29928e+11
1991-09-01,1.29273e+11
1991-10-01,1.28908e+11
1991-11-01,1.3036e+11
1991-12-01,1.31166e+11
1992-01-01,1.31385e+11
1992-02-01,1.31871e+11
1992-03-01,1.32511e+11
1992-04-01,1.32833e+11
1992-05-01,1.33241e+11
1992-06-01,1.32825e+11
1992-07-01,1.34117e+11
1992-08-01,1.35001e+11
1992-09-01,1.37031e+11
1992-10-01,1.37239e+11
1992-11-01,1.37354e+11
1992-12-01,1.36592e+11
1993-01-01,1.36373e+11
1993-02-01,1.36168e+11
1993-03-01,1.36031e+11
1993-04-01,1.36141e+11
1993-05-01,1.38417e+11
1993-06-01,1.41466e+11
1993-07-01,1.41455e+11
1993-08-01,1.43002e+11
1993-09-01,1.45372e+11
1993-10-01,1.45483e+11
1993-11-01,1.4664e+11
1993-12-01,1.48243e+11
1994-01-01,1.49824e+11
1994-02-01,1.52136e+11
1994-03-01,1.53076e+11
1994-04-01,1.5397e+11
1994-05-01,1.53906e+11
1994-06-01,1.53745e+11
1994-07-01,1.54311e+11
1994-08-01,1.53454e+11
1994-09-01,1.52752e+11
1994-10-01,1.53489e+11
1994-11-01,1.52866e+11
1994-12-01,1.53048e+11
1995-01-01,1.54004e+11
1995-02-01,1.52998e+11
1995-03-01,1.52863e+11
1995-04-01,1.53054e+11
1995-05-01,1.51515e+11
1995-06-01,1.52645e+11
1995-07-01,1.53499e+11
1995-08-01,1.54309e+11
1995-09-01,1.55578e+11
1995-10-01,1.56523e+11
1995-11-01,1.56789e+11
1995-12-01,1.57156e+11
1996-01-01,1.57534e+11
1996-02-01,1.59556e+11
1996-03-01,1.62558e+11
1996-04-01,1.62854e+11
1996-05-01,1.65283e+11
1996-06-01,1.67373e+11
1996-07-01,1.67375e+11
1996-08-01,1.68533e+11
1996-09-01,1.69398e+11
1996-10-01,1.71966e+11
1996-11-01,1.74162e+11
1996-12-01,1.75978e+11
1997-01-01,1.77158e+11
1997-02-01,1.79569e+11
1997-03-01,1.80693e+11
1997-04-01,1.82261e+11
1997-05-01,1.83648e+11
1997-06-01,1.85297e+11
1997-07-01,1.86033e+11
1997-08-01,1.88111e+11
1997-09-01,1.88084e+11
1997-10-01,1.89478e+11
1997-11-01,1.92253e+11
1997-12-01,1.93323e+11
1998-01-01,1.95027e+11
1998-02-01,1.94658e+11
1998-03-01,1.95396e+11
1998-04-01,1.95251e+11
1998-05-01,1.96723e+11
1998-06-01,1.96538e+11
1998-07-01,1.98291e+11
1998-08-01,1.99524e+11
1998-09-01,2.00328e+11
1998-10-01,2.00787e+11
1998-11-01,2.00559e+11
1998-12-01,2.00484e+11
1999-01-01,2.02763e+11
1999-02-01,2.03817e+11
1999-03-01,2.0418e+11
1999-04-01,2.0624e+11
1999-05-01,2.08052e+11
1999-06-01,2.07591e+11
1999-07-01,2.09232e+11
1999-08-01,2.11231e+11
1999-09-01,2.11581e+11
1999-10-01,2.12416e+11
1999-11-01,2.13541e+11
1999-12-01,2.15489e+11
2000-01-01,2.16688e+11
2000-02-01,2.21673e+11
2000-03-01,2.25082e+11
2000-04-01,2.28485e+11
2000-05-01,2.28101e+11
2000-06-01,2.30062e+11
2000-07-01,2.31897e+11
2000-08-01,2.32699e+11
2000-09-01,2.3528e+11
2000-10-01,2.37172e+11
2000-11-01,2.38162e+11
2000-12-01,2.41495e+11
2001-01-01,2.41236e+11
2001-02-01,2.44021e+11
2001-03-01,2.46074e+11
2001-04-01,2.4751e+11
2001-05-01,2.51786e+11
2001-06-01,2.50389e+11
2001-07-01,2.52626e+11
2001-08-01,2.53387e+11
2001-09-01,2.59557e+11
2001-10-01,2.60571e+11
2001-11-01,2.65155e+11
2001-12-01,2.69505e+11
2002-01-01,2.71787e+11
2002-02-01,2.72881e+11
2002-03-01,2.74278e+11
2002-04-01,2.7502e+11
2002-05-01,2.752e+11
2002-06-01,2.77003e+11
2002-07-01,2.78738e+11
2002-08-01,2.81298e+11
2002-09-01,2.82817e+11
2002-10-01,2.84626e+11
2002-11-01,2.84463e+11
2002-12-01,2.83074e+11
2003-01-01,2.83707e+11
2003-02-01,2.83112e+11
2003-03-01,2.83057e+11
2003-04-01,2.82288e+11
2003-05-01,2.84292e+11
2003-06-01,2.86165e+11
2003-07-01,2.91375e+11
2003-08-01,2.93614e+11
2003-09-01,2.94963e+11
2003-10-01,2.94154e+11
2003-11-01,2.95696e+11
2003-12-01,2.9728e+11
2004-01-01,3.0074e+11
2004-02-01,3.03689e+11
2004-03-01,3.06122e+11
2004-04-01,3.09306e+11
2004-05-01,3.13952e+11
2004-06-01,3.15344e+11
2004-07-01,3.15878e+11
2004-08-01,3.16026e+11
2004-09-01,3.16179e+11
2004-10-01,3.17248e+11
2004-11-01,3.17483e+11
2004-12-01,3.21653e+11
2005-01-01,3.24382e+11
2005-02-01,3.26783e+11
2005-03-01,3.28193e+11
2005-04-01,3.30593e+11
2005-05-01,3.33187e+11
2005-06-01,3.3371e+11
2005-07-01,3.3211e+11
2005-08-01,3.31882e+11
2005-09-01,3.35806e+11
2005-10-01,3.37808e+11
2005-11-01,3.38801e+11
2005-12-01,3.4019e+11
2006-01-01,3.43239e+11
2006-02-01,3.48088e+11
2006-03-01,3.5094e+11
2006-04-01,3.5334e+11
2006-05-01,3.58142e+11
2006-06-01,3.59272e+11
2006-07-01,3.62166e+11
2006-08-01,3.64164e+11
2006-09-01,3.67115e+11
2006-10-01,3.69905e+11
2006-11-01,3.74316e+11
2006-12-01,3.76251e+11
2007-01-01,3.78011e+11
2007-02-01,3.80869e+11
2007-03-01,3.84263e+11
2007-04-01,3.87519e+11
2007-05-01,3.90086e+11
2007-06-01,3.9369e+11
2007-07-01,3.97349e+11
2007-08-01,4.0003e+11
2007-09-01,4.02146e+11
2007-10-01,3.97987e+11
2007-11-01,3.99783e+11
2007-12-01,4.02643e+11
2008-01-01,4.06328e+11
2008-02-01,4.08334e+11
2008-03-01,4.11393e+11
2008-04-01,4.1435e+11
2008-05-01,4.22241e+11
2008-06-01,4.24607e+11
2008-07-01,4.26536e+11
2008-08-01,4.2961e+11
2008-09-01,4.35155e+11
2008-10-01,4.40703e+11
2008-11-01,4.47092e+11
2008-12-01,4.51954e+11
2009-01-01,4.5417e+11
2009-02-01,4.55009e+11
2009-03-01,4.59321e+11
2009-04-01,4.65497e+11
2009-05-01,4.70097e+11
2009-06-01,4.72537e+11
2009-07-01,4.80489e+11
2009-08-01,4.88209e+11
2009-09-01,4.91861e+11
2009-10-01,4.97395e+11
2009-11-01,5.04477e+11
2009-12-01,5.06972e+11
2010-01-01,5.09659e+11
2010-02-01,5.16825e+11
2010-03-01,5.19057e+11
2010-04-01,5.2307e+11
2010-05-01,5.30994e+11
2010-06-01,5.32427e+11
2010-07-01,5.35744e+11
2010-08-01,5.3654e+11
2010-09-01,5.40594e+11
2010-10-01,5.43676e+11
2010-11-01,5.4623e+11
2010-12-01,5.5028e+11
2011-01-01,5.53112e+11
2011-02-01,5.56445e+11
2011-03-01,5.58922e+11
2011-04-01,5.59941e+11
2011-05-01,5.62807e+11
2011-06-01,5.67932e+11
2011-07-01,5.71598e+11
2011-08-01,5.74604e+11
2011-09-01,5.88e+11
2011-10-01,5.93573e+11
2011-11-01,5.94149e+11
2011-12-01,5.96155e+11
2012-01-01,6.07058e+11
2012-02-01,6.08998e+11
2012-03-01,6.11193e+11
2012-04-01,6.18802e+11
2012-05-01,6.25973e+11
2012-06-01,6.32008e+11
2012-07-01,6.3616e+11
2012-08-01,6.37607e+11
2012-09-01,6.36174e+11
2012-10-01,6.36379e+11
2012-11-01,6.4287e+11
2012-12-01,6.4579e+11
2013-01-01,6.49357e+11
2013-02-01,6.62746e+11
2013-03-01,6.69691e+11
2013-04-01,6.72515e+11
2013-05-01,6.72589e+11
2013-06-01,6.76324e+11
2013-07-01,6.79369e+11
2013-08-01,6.84908e+11
2013-09-01,6.87343e+11
2013-10-01,6.91851e+11
2013-11-01,6.99625e+11
2013-12-01,7.053e+11
2014-01-01,7.13601e+11
2014-02-01,7.14033e+11
2014-03-01,7.17899e+11
2014-04-01,7.17214e+11
2014-05-01,7.23029e+11
2014-06-01,7.25893e+11
2014-07-01,7.2837e+11
2014-08-01,7.35188e+11
2014-09-01,7.40468e+11
2014-10-01,7.47696e+11
2014-11-01,7.49238e+11
2014-12-01,7.53656e+11
2015-01-01,7.55073e+11
2015-02-01,7.62334e+11
2015-03-01,7.66809e+11
2015-04-01,7.71243e+11
2015-05-01,7.7407e+11
2015-06-01,7.81445e+11
2015-07-01,7.9265e+11
2015-08-01,8.00711e+11
2015-09-01,8.06454e+11
2015-10-01,8.09158e+11
2015-11-01,8.13116e+11
2015-12-01,8.15904e+11
2016-01-01,8.23196e+11
2016-02-01,8.2978e+11
2016-03-01,8.31456e+11
2016-04-01,8.34127e+11
2016-05-01,8.39032e+11
2016-06-01,8.44136e+11
2016-07-01,8.59918e+11
2016-08-01,8.67111e+11
2016-09-01,8.75802e+11
2016-10-01,8.83642e+11
2016-11-01,8.89909e+11
2016-12-01,8.95146e+11
2017-01-01,9.08387e+11
2017-02-01,9.0656e+11
2017-03-01,9.15745e+11
2017-04-01,9.28014e+11
2017-05-01,9.40231e+11
2017-06-01,9.44515e+11
2017-07-01,9.46954e+11
2017-08-01,9.45268e+11
2017-09-01,9.45972e+11
2017-10-01,9.51221e+11
2017-11-01,9.52952e+11
2017-12-01,9.61536e+11
2018-01-01,9.63836e+11
2018-02-01,9.57515e+11
2018-03-01,9.5888e+11
2018-04-01,9.70882e+11
2018-05-01,9.70057e+11
2018-06-01,9.82117e+11
2018-07-01,9.8286e+11
2018-08-01,9.85831e+11
2018-09-01,9.94153e+11
2018-10-01,9.95544e+11
2018-11-01,1.004701e+12
2018-12-01,1.025416e+12
2019-01-01,1.005147e+12
2019-02-01,9.93373e+11
2019-03-01,9.93962e+11
2019-04-01,1.009952e+12
2019-05-01,1.019865e+12
2019-06-01,1.029835e+12
2019-07-01,1.040106e+12
2019-08-01,1.049382e+12
2019-09-01,1.063172e+12
2019-10-01,1.068505e+12
2019-11-01,1.077424e+12
2019-12-01,1.100753e+12
2020-01-01,1.086488e+12
2020-02-01,1.100214e+12
2020-03-01,1.139676e+12
2020-04-01,1.200168e+12
2020-05-01,1.240389e+12
2020-06-01,1.280465e+12
2020-07-01,1.305008e+12
2020-08-01,1.334828e+12
2020-09-01,1.361606e+12
2020-10-01,1.382801e+12
2020-11-01,1.400623e+12
2020-12-01,1.414341e+12
2021-01-01,1.414893e+12
2021-02-01,1.43576e+12
2021-03-01,1.448999e+12
2021-04-01,1.49112e+12
2021-05-01,1.52274e+12
2021-06-01,1.544045e+12
2021-07-01,1.564192e+12
2021-08-01,1.580822e+12
2021-09-01,1.586188e+12
2021-10-01,1.589737e+12
2021-11-01,1.610178e+12
2021-12-01,1.612933e+12
2022-01-01,1.61206e+12
2022-02-01,1.620041e+12
2022-03-01,1.614038e+12
2022-04-01,1.621429e+12
2022-05-01,1.625566e+12
2022-06-01,1.624709e+12
2022-07-01,1.613952e+12
2022-08-01,1.591859e+12
2022-09-01,1.591906e+12
2022-10-01,1.571452e+12
2022-11-01,1.559204e+12
2022-12-01,1.553268e+12
2023-01-01,1.52895e+12
2023-02-01,1.522326e+12
2023-03-01,1.502605e+12
2023-04-01,1.50567e+12
2023-05-01,1.503387e+12
2023-06-01,1.505653e+12
2023-07-01,1.510782e+12
2023-08-01,1.511596e+12
2023-09-01,1.511695e+12
