"Date","LRIN64FECAM156S"
2010-07-01,25.4995727988964
2010-08-01,25.3996004135254
2010-09-01,25.6189777170516
2010-10-01,25.6328895258783
2010-11-01,25.8431241699006
2010-12-01,25.9102000066483
2011-01-01,25.5008239542669
2011-02-01,25.5731177402927
2011-03-01,25.8468145139471
2011-04-01,25.6579212039691
2011-05-01,25.8261837808212
2011-06-01,25.7987123436776
2011-07-01,25.8473172639497
2011-08-01,25.7475022681433
2011-09-01,25.9905838928361
2011-10-01,26.039060036801
2011-11-01,25.9431703829208
2011-12-01,26.0395946590185
2012-01-01,25.8010120184963
2012-02-01,25.9432477242998
2012-03-01,25.8138677959502
2012-04-01,25.3462068969002
2012-05-01,25.5959530210877
2012-06-01,25.8257265411338
2012-07-01,25.7658695375536
2012-08-01,25.3622886722503
2012-09-01,25.3414189721874
2012-10-01,25.3578514997456
2012-11-01,25.2133447442029
2012-12-01,25.049958650734
2013-01-01,25.0660129290345
2013-02-01,24.7913988013909
2013-03-01,25.0672344519549
2013-04-01,25.2133245232054
2013-05-01,25.288477723547
2013-06-01,25.2417441767336
2013-07-01,25.1731664701199
2013-08-01,25.0042649866253
2013-09-01,25.1783919495895
2013-10-01,25.2439581888769
2013-11-01,25.371434461428
2013-12-01,25.3928091709379
2014-01-01,25.5222704730306
2014-02-01,25.5873837806558
2014-03-01,25.7082347359608
2014-04-01,25.6440674862761
2014-05-01,25.4721374823159
2014-06-01,25.5191450780208
2014-07-01,25.4930839127771
2014-08-01,25.8302124034317
2014-09-01,25.6842057328138
2014-10-01,25.7714135620778
2014-11-01,25.6143991109054
2014-12-01,25.9087472509322
2015-01-01,25.8146659409389
2015-02-01,25.7190253617658
2015-03-01,25.3850154348004
2015-04-01,25.6165338105559
2015-05-01,25.6753990116198
2015-06-01,25.8211123291887
2015-07-01,25.7761762816576
2015-08-01,25.6229909164763
2015-09-01,25.5599533474852
2015-10-01,25.6655990425693
2015-11-01,25.6338624007468
2015-12-01,25.563846150182
2016-01-01,25.5313833951098
2016-02-01,25.6663024129833
2016-03-01,25.4153439555847
2016-04-01,25.2641399490218
2016-05-01,25.4004292850599
2016-06-01,25.5832569917039
2016-07-01,25.6911024234418
2016-08-01,25.8348589989813
2016-09-01,25.6527184194949
2016-10-01,25.4610069295338
2016-11-01,25.609711327715
2016-12-01,25.3263049513367
2017-01-01,24.9212343616937
2017-02-01,25.1169521044061
2017-03-01,25.132040241613
2017-04-01,25.2321117532752
2017-05-01,25.0563647982146
2017-06-01,24.7919037579683
2017-07-01,24.8363724545126
2017-08-01,25.1364293130655
2017-09-01,25.2244690077164
2017-10-01,24.9902674665942
2017-11-01,24.9737884960005
2017-12-01,24.8271666247823
2018-01-01,25.1529417120043
2018-02-01,25.1622634110975
2018-03-01,25.133029764829
2018-04-01,25.1754612988347
2018-05-01,25.1487633164415
2018-06-01,25.0320840442598
2018-07-01,24.7347698002334
2018-08-01,24.388318695604
2018-09-01,24.6018296980432
2018-10-01,24.6341008122941
2018-11-01,24.6323431966842
2018-12-01,24.4955418647846
2019-01-01,24.5924222895918
2019-02-01,24.4967424682575
2019-03-01,24.6765911333362
2019-04-01,24.1894227977747
2019-05-01,24.5138717034252
2019-06-01,24.2396669377649
2019-07-01,24.4141333231283
2019-08-01,24.3565490107731
2019-09-01,24.0307382135302
2019-10-01,24.0695495034694
2019-11-01,23.9316590869297
2019-12-01,24.0048605396255
2020-01-01,23.9532212676605
2020-02-01,24.1586772688175
2020-03-01,27.0749477601142
2020-04-01,31.2194277496773
2020-05-01,30.1594138913473
2020-06-01,26.7286002486457
2020-07-01,25.8106885046256
2020-08-01,25.1257999905933
2020-09-01,24.6622706425597
2020-10-01,24.3823019795727
2020-11-01,24.3852601010897
2020-12-01,24.5609638132875
2021-01-01,24.8448548595071
2021-02-01,24.5507347647795
2021-03-01,24.3657356338556
2021-04-01,24.5698143452668
2021-05-01,24.8476833746329
2021-06-01,24.1107114219511
2021-07-01,23.9605610558801
2021-08-01,23.5393073558523
2021-09-01,23.1326227445794
2021-10-01,23.348423174774
2021-11-01,23.1808300246439
2021-12-01,23.0858503807513
2022-01-01,23.3834685690753
2022-02-01,23.1335689439774
2022-03-01,23.0771295652257
2022-04-01,23.1077514788496
2022-05-01,22.9468952876436
2022-06-01,23.3343326372709
2022-07-01,23.5471624861608
2022-08-01,23.5655871775108
2022-09-01,23.5714890364732
2022-10-01,23.100623101762
2022-11-01,23.1465720764686
2022-12-01,23.0240015168196
2023-01-01,22.5104370280601
2023-02-01,22.4692330580957
2023-03-01,22.5432927412585
2023-04-01,22.6690363857614
2023-05-01,22.7351216000264
2023-06-01,22.7297190222391
2023-07-01,22.589265814817
2023-08-01,22.9178668031887
2023-09-01,23.1165689169579
2023-10-01,23.1964824075149
2023-11-01,23.2002837171512
