"Date","LFEAICTTCAM647N"
1997-02-01,2849700
1997-03-01,2876200
1997-04-01,2912700
1997-05-01,3043800
1997-06-01,3161100
1997-07-01,3206800
1997-08-01,3231500
1997-09-01,3167800
1997-10-01,3143900
1997-11-01,3101500
1997-12-01,3053900
1998-01-01,2934400
1998-02-01,2966900
1998-03-01,2971400
1998-04-01,3020300
1998-05-01,3134700
1998-06-01,3229300
1998-07-01,3283400
1998-08-01,3315900
1998-09-01,3216300
1998-10-01,3222200
1998-11-01,3195000
1998-12-01,3120100
1999-01-01,3023200
1999-02-01,3035000
1999-03-01,3050500
1999-04-01,3088900
1999-05-01,3214100
1999-06-01,3314400
1999-07-01,3373800
1999-08-01,3373700
1999-09-01,3315900
1999-10-01,3330900
1999-11-01,3288000
1999-12-01,3245400
2000-01-01,3155600
2000-02-01,3165200
2000-03-01,3178300
2000-04-01,3229100
2000-05-01,3360100
2000-06-01,3413400
2000-07-01,3453100
2000-08-01,3460200
2000-09-01,3403000
2000-10-01,3389700
2000-11-01,3365500
2000-12-01,3317300
2001-01-01,3209400
2001-02-01,3214800
2001-03-01,3237700
2001-04-01,3270800
2001-05-01,3383800
2001-06-01,3447400
2001-07-01,3483200
2001-08-01,3496900
2001-09-01,3418800
2001-10-01,3390600
2001-11-01,3313700
2001-12-01,3258700
2002-01-01,3193100
2002-02-01,3245700
2002-03-01,3278900
2002-04-01,3307900
2002-05-01,3463200
2002-06-01,3561100
2002-07-01,3620500
2002-08-01,3662800
2002-09-01,3576700
2002-10-01,3549200
2002-11-01,3519500
2002-12-01,3451400
2003-01-01,3339300
2003-02-01,3367500
2003-03-01,3363200
2003-04-01,3377300
2003-05-01,3502600
2003-06-01,3592100
2003-07-01,3655400
2003-08-01,3664200
2003-09-01,3564200
2003-10-01,3543800
2003-11-01,3523900
2003-12-01,3455700
2004-01-01,3356400
2004-02-01,3373500
2004-03-01,3407900
2004-04-01,3461300
2004-05-01,3593100
2004-06-01,3682200
2004-07-01,3749700
2004-08-01,3752900
2004-09-01,3658200
2004-10-01,3661500
2004-11-01,3604500
2004-12-01,3538400
2005-01-01,3454100
2005-02-01,3411800
2005-03-01,3428800
2005-04-01,3464400
2005-05-01,3568800
2005-06-01,3687900
2005-07-01,3687000
2005-08-01,3733800
2005-09-01,3635500
2005-10-01,3595800
2005-11-01,3581300
2005-12-01,3498600
2006-01-01,3356300
2006-02-01,3406300
2006-03-01,3431100
2006-04-01,3475400
2006-05-01,3616700
2006-06-01,3647200
2006-07-01,3692800
2006-08-01,3686600
2006-09-01,3618600
2006-10-01,3609600
2006-11-01,3588900
2006-12-01,3535000
2007-01-01,3436700
2007-02-01,3432600
2007-03-01,3412200
2007-04-01,3447100
2007-05-01,3592800
2007-06-01,3655800
2007-07-01,3728800
2007-08-01,3737300
2007-09-01,3619500
2007-10-01,3605900
2007-11-01,3571900
2007-12-01,3488100
2008-01-01,3410000
2008-02-01,3415800
2008-03-01,3429900
2008-04-01,3482700
2008-05-01,3635900
2008-06-01,3717300
2008-07-01,3735600
2008-08-01,3777300
2008-09-01,3683200
2008-10-01,3653700
2008-11-01,3601800
2008-12-01,3497900
2009-01-01,3283500
2009-02-01,3243700
2009-03-01,3238800
2009-04-01,3241400
2009-05-01,3353600
2009-06-01,3422200
2009-07-01,3467300
2009-08-01,3469300
2009-09-01,3436800
2009-10-01,3427100
2009-11-01,3390900
2009-12-01,3302500
2010-01-01,3186200
2010-02-01,3198900
2010-03-01,3187300
2010-04-01,3259600
2010-05-01,3371100
2010-06-01,3468300
2010-07-01,3509600
2010-08-01,3519200
2010-09-01,3466300
2010-10-01,3445800
2010-11-01,3437400
2010-12-01,3369000
2011-01-01,3267600
2011-02-01,3301900
2011-03-01,3305900
2011-04-01,3358800
2011-05-01,3522700
2011-06-01,3554900
2011-07-01,3609500
2011-08-01,3606300
2011-09-01,3555100
2011-10-01,3525700
2011-11-01,3502200
2011-12-01,3433100
2012-01-01,3321400
2012-02-01,3356700
2012-03-01,3379400
2012-04-01,3443400
2012-05-01,3579500
2012-06-01,3652000
2012-07-01,3714500
2012-08-01,3709400
2012-09-01,3640800
2012-10-01,3612800
2012-11-01,3579200
2012-12-01,3511900
2013-01-01,3389900
2013-02-01,3402800
2013-03-01,3387900
2013-04-01,3456300
2013-05-01,3589800
2013-06-01,3632300
2013-07-01,3686000
2013-08-01,3680300
2013-09-01,3605900
2013-10-01,3612900
2013-11-01,3579100
2013-12-01,3496700
2014-01-01,3373700
2014-02-01,3384200
2014-03-01,3388100
2014-04-01,3414700
2014-05-01,3525600
2014-06-01,3631500
2014-07-01,3668800
2014-08-01,3670300
2014-09-01,3635500
2014-10-01,3622700
2014-11-01,3586900
2014-12-01,3506600
2015-01-01,3375300
2015-02-01,3365500
2015-03-01,3362200
2015-04-01,3414800
2015-05-01,3547700
2015-06-01,3627100
2015-07-01,3658100
2015-08-01,3668900
2015-09-01,3612600
2015-10-01,3572600
2015-11-01,3565700
2015-12-01,3493600
2016-01-01,3369500
2016-02-01,3392500
2016-03-01,3366300
2016-04-01,3394600
2016-05-01,3544400
2016-06-01,3570200
2016-07-01,3614600
2016-08-01,3638800
2016-09-01,3586300
2016-10-01,3581400
2016-11-01,3525700
2016-12-01,3457500
2017-01-01,3371800
2017-02-01,3383300
2017-03-01,3378800
2017-04-01,3438500
2017-05-01,3591400
2017-06-01,3655400
2017-07-01,3716300
2017-08-01,3706800
2017-09-01,3648400
2017-10-01,3671000
2017-11-01,3655200
2017-12-01,3618600
2018-01-01,3491800
2018-02-01,3488100
2018-03-01,3517600
2018-04-01,3534800
2018-05-01,3641900
2018-06-01,3720400
2018-07-01,3723800
2018-08-01,3724600
2018-09-01,3680400
2018-10-01,3671600
2018-11-01,3668800
2018-12-01,3607800
2019-01-01,3463000
2019-02-01,3466500
2019-03-01,3468000
2019-04-01,3550300
2019-05-01,3670500
2019-06-01,3715400
2019-07-01,3762800
2019-08-01,3783100
2019-09-01,3735200
2019-10-01,3686700
2019-11-01,3634600
2019-12-01,3588000
2020-01-01,3491800
2020-02-01,3513400
2020-03-01,3442700
2020-04-01,2915900
2020-05-01,3199900
2020-06-01,3445000
2020-07-01,3517500
2020-08-01,3569700
2020-09-01,3591300
2020-10-01,3595200
2020-11-01,3563600
2020-12-01,3531100
2021-01-01,3443700
2021-02-01,3467000
2021-03-01,3492000
2021-04-01,3525600
2021-05-01,3601200
2021-06-01,3653200
2021-07-01,3698500
2021-08-01,3701900
2021-09-01,3664800
2021-10-01,3648600
2021-11-01,3634700
2021-12-01,3618000
2022-01-01,3534400
2022-02-01,3609600
2022-03-01,3629100
2022-04-01,3678800
2022-05-01,3781400
2022-06-01,3839000
2022-07-01,3904800
2022-08-01,3891100
2022-09-01,3800200
2022-10-01,3823000
2022-11-01,3786500
2022-12-01,3750800
2023-01-01,3687500
2023-02-01,3716800
2023-03-01,3706900
2023-04-01,3750300
2023-05-01,3892200
2023-06-01,3935200
2023-07-01,3948300
2023-08-01,3936800
2023-09-01,3846400
2023-10-01,3829500
2023-11-01,3857500
