"Date","INTGSBCAM193N"
1962-12-01,5.1
1963-01-01,5.05
1963-02-01,5.11
1963-03-01,5.09
1963-04-01,5
1963-05-01,4.94
1963-06-01,4.96
1963-07-01,5.12
1963-08-01,5.28
1963-09-01,5.11
1963-10-01,5.09
1963-11-01,5.15
1963-12-01,5.18
1964-01-01,5.17
1964-02-01,5.17
1964-03-01,5.25
1964-04-01,5.24
1964-05-01,5.21
1964-06-01,5.21
1964-07-01,5.22
1964-08-01,5.23
1964-09-01,5.21
1964-10-01,5.16
1964-11-01,5.11
1964-12-01,5.03
1965-01-01,4.96
1965-02-01,5.03
1965-03-01,5.06
1965-04-01,5.05
1965-05-01,5.12
1965-06-01,5.16
1965-07-01,5.28
1965-08-01,5.35
1965-09-01,5.32
1965-10-01,5.37
1965-11-01,5.4
1965-12-01,5.4
1966-01-01,5.41
1966-02-01,5.61
1966-03-01,5.58
1966-04-01,5.6
1966-05-01,5.61
1966-06-01,5.66
1966-07-01,5.74
1966-08-01,5.94
1966-09-01,5.75
1966-10-01,5.71
1966-11-01,5.91
1966-12-01,5.76
1967-01-01,5.6
1967-02-01,5.64
1967-03-01,5.48
1967-04-01,5.56
1967-05-01,5.72
1967-06-01,5.87
1967-07-01,5.88
1967-08-01,5.99
1967-09-01,6.19
1967-10-01,6.36
1967-11-01,6.41
1967-12-01,6.54
1968-01-01,6.54
1968-02-01,6.72
1968-03-01,6.91
1968-04-01,6.62
1968-05-01,6.97
1968-06-01,6.62
1968-07-01,6.49
1968-08-01,6.43
1968-09-01,6.6
1968-10-01,6.83
1968-11-01,6.95
1968-12-01,7.3
1969-01-01,7.16
1969-02-01,7.2
1969-03-01,7.22
1969-04-01,7.29
1969-05-01,7.48
1969-06-01,7.5
1969-07-01,7.52
1969-08-01,7.53
1969-09-01,7.81
1969-10-01,7.82
1969-11-01,8.15
1969-12-01,8.33
1970-01-01,8.31
1970-02-01,8.13
1970-03-01,7.93
1970-04-01,8.04
1970-05-01,8.23
1970-06-01,8.09
1970-07-01,7.91
1970-08-01,8
1970-09-01,7.88
1970-10-01,7.94
1970-11-01,7.5
1970-12-01,6.99
1971-01-01,6.67
1971-02-01,6.85
1971-03-01,6.76
1971-04-01,6.97
1971-05-01,7.38
1971-06-01,7.3
1971-07-01,7.49
1971-08-01,7.15
1971-09-01,6.97
1971-10-01,6.71
1971-11-01,6.56
1971-12-01,6.56
1972-01-01,6.73
1972-02-01,6.9
1972-03-01,7.24
1972-04-01,7.27
1972-05-01,7.34
1972-06-01,7.45
1972-07-01,7.49
1972-08-01,7.44
1972-09-01,7.46
1972-10-01,7.26
1972-11-01,7.08
1972-12-01,7.12
1973-01-01,7.16
1973-02-01,7.21
1973-03-01,7.3
1973-04-01,7.39
1973-05-01,7.72
1973-06-01,7.74
1973-07-01,7.73
1973-08-01,7.82
1973-09-01,7.72
1973-10-01,7.6
1973-11-01,7.64
1973-12-01,7.7
1974-01-01,7.75
1974-02-01,7.74
1974-03-01,8.19
1974-04-01,8.81
1974-05-01,8.91
1974-06-01,9.46
1974-07-01,9.63
1974-08-01,9.84
1974-09-01,9.67
1974-10-01,9.2
1974-11-01,8.87
1974-12-01,8.77
1975-01-01,8.3
1975-02-01,8.17
1975-03-01,8.47
1975-04-01,9.04
1975-05-01,8.71
1975-06-01,8.88
1975-07-01,9.34
1975-08-01,9.39
1975-09-01,9.72
1975-10-01,9.33
1975-11-01,9.58
1975-12-01,9.49
1976-01-01,9.29
1976-02-01,9.27
1976-03-01,9.39
1976-04-01,9.34
1976-05-01,9.32
1976-06-01,9.35
1976-07-01,9.37
1976-08-01,9.24
1976-09-01,9.16
1976-10-01,9.09
1976-11-01,8.82
1976-12-01,8.47
1977-01-01,8.52
1977-02-01,8.62
1977-03-01,8.83
1977-04-01,8.85
1977-05-01,8.77
1977-06-01,8.72
1977-07-01,8.7
1977-08-01,8.57
1977-09-01,8.61
1977-10-01,8.7
1977-11-01,8.74
1977-12-01,8.77
1978-01-01,9.06
1978-02-01,9.15
1978-03-01,9.17
1978-04-01,9.22
1978-05-01,9.23
1978-06-01,9.23
1978-07-01,9.17
1978-08-01,9.16
1978-09-01,9.15
1978-10-01,9.48
1978-11-01,9.54
1978-12-01,9.68
1979-01-01,9.82
1979-02-01,9.97
1979-03-01,9.91
1979-04-01,9.66
1979-05-01,9.68
1979-06-01,9.73
1979-07-01,9.84
1979-08-01,10.15
1979-09-01,10.38
1979-10-01,11.16
1979-11-01,10.94
1979-12-01,11.32
1980-01-01,12.13
1980-02-01,12.91
1980-03-01,13.45
1980-04-01,12.01
1980-05-01,11.42
1980-06-01,11.29
1980-07-01,12.32
1980-08-01,12.4
1980-09-01,12.98
1980-10-01,13.22
1980-11-01,13.01
1980-12-01,12.67
1981-01-01,12.96
1981-02-01,13.38
1981-03-01,13.48
1981-04-01,15.07
1981-05-01,14.96
1981-06-01,15.03
1981-07-01,17.07
1981-08-01,16.77
1981-09-01,17.66
1981-10-01,16.66
1981-11-01,14.32
1981-12-01,15.27
1982-01-01,15.94
1982-02-01,15.01
1982-03-01,15.06
1982-04-01,14.75
1982-05-01,14.72
1982-06-01,16.03
1982-07-01,15.62
1982-08-01,13.96
1982-09-01,13.48
1982-10-01,12.63
1982-11-01,12.18
1982-12-01,11.69
1983-01-01,12.28
1983-02-01,11.8
1983-03-01,11.7
1983-04-01,11.18
1983-05-01,11.3
1983-06-01,11.56
1983-07-01,12.03
1983-08-01,12.34
1983-09-01,11.76
1983-10-01,11.73
1983-11-01,11.8
1983-12-01,12.02
1984-01-01,11.92
1984-02-01,12.4
1984-03-01,13.06
1984-04-01,13.31
1984-05-01,13.93
1984-06-01,13.81
1984-07-01,13.41
1984-08-01,12.89
1984-09-01,12.63
1984-10-01,12.18
1984-11-01,11.81
1984-12-01,11.66
1985-01-01,11.38
1985-02-01,12.3
1985-03-01,11.93
1985-04-01,11.5
1985-05-01,10.76
1985-06-01,10.88
1985-07-01,10.91
1985-08-01,10.79
1985-09-01,10.96
1985-10-01,10.72
1985-11-01,10.34
1985-12-01,10.06
1986-01-01,10.49
1986-02-01,9.96
1986-03-01,9.54
1986-04-01,9.32
1986-05-01,9.52
1986-06-01,9.42
1986-07-01,9.36
1986-08-01,9.16
1986-09-01,9.45
1986-10-01,9.53
1986-11-01,9.26
1986-12-01,9.23
1987-01-01,8.94
1987-02-01,9.1
1987-03-01,8.98
1987-04-01,9.82
1987-05-01,9.92
1987-06-01,9.78
1987-07-01,10.23
1987-08-01,10.44
1987-09-01,11.14
1987-10-01,10.21
1987-11-01,10.5
1987-12-01,10.34
1988-01-01,9.74
1988-02-01,9.61
1988-03-01,10.13
1988-04-01,10.36
1988-05-01,10.38
1988-06-01,10.13
1988-07-01,10.42
1988-08-01,10.65
1988-09-01,10.46
1988-10-01,10.13
1988-11-01,10.32
1988-12-01,10.36
1989-01-01,10.18
1989-02-01,10.55
1989-03-01,10.49
1989-04-01,10.19
1989-05-01,9.85
1989-06-01,9.6
1989-07-01,9.62
1989-08-01,9.62
1989-09-01,9.91
1989-10-01,9.54
1989-11-01,9.8
1989-12-01,9.69
1990-01-01,10.04
1990-02-01,10.64
1990-03-01,10.91
1990-04-01,11.54
1990-05-01,10.86
1990-06-01,10.72
1990-07-01,10.78
1990-08-01,10.83
1990-09-01,11.54
1990-10-01,11.15
1990-11-01,10.7
1990-12-01,10.51
1991-01-01,10.22
1991-02-01,9.89
1991-03-01,9.88
1991-04-01,9.91
1991-05-01,9.91
1991-06-01,10.36
1991-07-01,10.17
1991-08-01,9.97
1991-09-01,9.59
1991-10-01,9.12
1991-11-01,9.18
1991-12-01,8.97
1992-01-01,8.92
1992-02-01,8.97
1992-03-01,9.28
1992-04-01,9.51
1992-05-01,9.17
1992-06-01,8.87
1992-07-01,8.21
1992-08-01,8.19
1992-09-01,8.53
1992-10-01,8.33
1992-11-01,8.66
1992-12-01,8.54
1993-01-01,8.67
1993-02-01,8.19
1993-03-01,8.27
1993-04-01,8.27
1993-05-01,8.12
1993-06-01,7.96
1993-07-01,7.79
1993-08-01,7.4
1993-09-01,7.55
1993-10-01,7.35
1993-11-01,7.45
1993-12-01,7.12
1994-01-01,6.86
1994-02-01,7.33
1994-03-01,8.25
1994-04-01,8.18
1994-05-01,8.55
1994-06-01,9.29
1994-07-01,9.5
1994-08-01,8.89
1994-09-01,9.04
1994-10-01,9.29
1994-11-01,9.24
1994-12-01,9.16
1995-01-01,9.41
1995-02-01,8.86
1995-03-01,8.7
1995-04-01,8.44
1995-05-01,8.11
1995-06-01,8.02
1995-07-01,8.5
1995-08-01,8.24
1995-09-01,8.11
1995-10-01,8.11
1995-11-01,7.44
1995-12-01,7.43
1996-01-01,7.35
1996-02-01,7.84
1996-03-01,7.94
1996-04-01,8.07
1996-05-01,7.92
1996-06-01,7.98
1996-07-01,7.86
1996-08-01,7.6
1996-09-01,7.48
1996-10-01,6.81
1996-11-01,6.42
1996-12-01,6.77
1997-01-01,7.07
1997-02-01,6.78
1997-03-01,6.97
1997-04-01,6.97
1997-05-01,6.95
1997-06-01,6.49
1997-07-01,6.11
1997-08-01,6.38
1997-09-01,5.99
1997-10-01,5.8
1997-11-01,5.78
1997-12-01,5.8
1998-01-01,5.63
1998-02-01,5.64
1998-03-01,5.54
1998-04-01,5.64
1998-05-01,5.49
1998-06-01,5.45
1998-07-01,5.56
1998-08-01,5.78
1998-09-01,5.15
1998-10-01,5.27
1998-11-01,5.35
1998-12-01,5.08
1999-01-01,5.08
1999-02-01,5.37
1999-03-01,5.23
1999-04-01,5.34
1999-05-01,5.54
1999-06-01,5.63
1999-07-01,5.74
1999-08-01,5.69
1999-09-01,5.92
1999-10-01,6.38
1999-11-01,6.12
1999-12-01,6.25
2000-01-01,6.36
2000-02-01,5.98
2000-03-01,5.96
2000-04-01,6.03
2000-05-01,5.94
2000-06-01,5.9
2000-07-01,5.83
2000-08-01,5.79
2000-09-01,5.83
2000-10-01,5.79
2000-11-01,5.63
2000-12-01,5.59
2001-01-01,5.71
2001-02-01,5.63
2001-03-01,5.74
2001-04-01,5.94
2001-05-01,6.08
2001-06-01,5.97
2001-07-01,6.01
2001-08-01,5.72
2001-09-01,5.86
2001-10-01,5.32
2001-11-01,5.66
2001-12-01,5.75
2002-01-01,5.72
2002-02-01,5.68
2002-03-01,6
2002-04-01,5.89
2002-05-01,5.76
2002-06-01,5.73
2002-07-01,5.7
2002-08-01,5.55
2002-09-01,5.38
2002-10-01,5.61
2002-11-01,5.55
2002-12-01,5.37
2003-01-01,5.45
2003-02-01,5.39
2003-03-01,5.52
2003-04-01,5.34
2003-05-01,5.01
2003-06-01,4.98
2003-07-01,5.35
2003-08-01,5.4
2003-09-01,5.19
2003-10-01,5.33
2003-11-01,5.24
2003-12-01,5.14
2004-01-01,5.15
2004-02-01,4.98
2004-03-01,4.94
2004-04-01,5.23
2004-05-01,5.23
2004-06-01,5.3
2004-07-01,5.29
2004-08-01,5.14
2004-09-01,5.02
2004-10-01,4.96
2004-11-01,4.87
2004-12-01,4.86
2005-01-01,4.69
2005-02-01,4.71
2005-03-01,4.75
2005-04-01,4.55
2005-05-01,4.41
2005-06-01,4.27
2005-07-01,4.31
2005-08-01,4.11
2005-09-01,4.21
2005-10-01,4.38
2005-11-01,4.2
2005-12-01,4.04
2006-01-01,4.22
2006-02-01,4.17
2006-03-01,4.26
2006-04-01,4.59
2006-05-01,4.51
2006-06-01,4.69
2006-07-01,4.46
2006-08-01,4.22
2006-09-01,4.08
2006-10-01,4.25
2006-11-01,4.03
2006-12-01,4.11
2007-01-01,4.23
2007-02-01,4.1
2007-03-01,4.21
2007-04-01,4.21
2007-05-01,4.43
2007-06-01,4.59
2007-07-01,4.52
2007-08-01,4.44
2007-09-01,4.5
2007-10-01,4.39
2007-11-01,4.22
2007-12-01,4.18
2008-01-01,4.17
2008-02-01,4.14
2008-03-01,3.91
2008-04-01,4.02
2008-05-01,4.07
2008-06-01,4.07
2008-07-01,4.18
2008-08-01,4.02
2008-09-01,4.14
2008-10-01,4.31
2008-11-01,4
2008-12-01,3.45
2009-01-01,3.74
2009-02-01,3.7
2009-03-01,3.63
2009-04-01,3.72
2009-05-01,4.11
2009-06-01,3.96
2009-07-01,4.1
2009-08-01,3.96
2009-09-01,3.87
2009-10-01,3.98
2009-11-01,3.84
2009-12-01,4.08
2010-01-01,3.92
2010-02-01,3.98
2010-03-01,3.99
2010-04-01,3.99
2010-05-01,3.58
2010-06-01,3.59
2010-07-01,3.71
2010-08-01,3.39
2010-09-01,3.25
2010-10-01,3.38
2010-11-01,3.6
2010-12-01,3.51
2011-01-01,3.71
2011-02-01,3.69
2011-03-01,3.66
2011-04-01,3.67
2011-05-01,3.41
2011-06-01,3.47
2011-07-01,3.28
2011-08-01,3
2011-09-01,2.74
2011-10-01,2.91
2011-11-01,2.61
2011-12-01,2.42
2012-01-01,2.55
2012-02-01,2.48
2012-03-01,2.56
2012-04-01,2.55
2012-05-01,2.2
2012-06-01,2.24
2012-07-01,2.14
2012-08-01,2.28
2012-09-01,2.24
2012-10-01,2.27
2012-11-01,2.2
2012-12-01,2.27
2013-01-01,2.47
2013-02-01,2.39
2013-03-01,2.34
2013-04-01,2.19
2013-05-01,2.48
2013-06-01,2.9
2013-07-01,2.88
2013-08-01,3
2013-09-01,3
2013-10-01,2.87
2013-11-01,3.01
2013-12-01,3.09
2014-01-01,2.8
2014-02-01,2.8
2014-03-01,2.82
2014-04-01,2.76
2014-05-01,2.6
2014-06-01,2.72
2014-07-01,2.59
2014-08-01,2.44
2014-09-01,2.61
2014-10-01,2.46
2014-11-01,2.36
2014-12-01,2.22
2015-01-01,1.75
2015-02-01,1.76
2015-03-01,1.79
2015-04-01,2.01
2015-05-01,2.08
2015-06-01,2.29
2015-07-01,2.09
2015-08-01,2.08
2015-09-01,2.09
2015-10-01,2.13
2015-11-01,2.17
2015-12-01,2.04
2016-01-01,1.9
2016-02-01,1.78
2016-03-01,1.86
2016-04-01,1.94
2016-05-01,1.87
2016-06-01,1.67
2016-07-01,1.6
2016-08-01,1.53
2016-09-01,1.52
2016-10-01,1.68
2016-11-01,2.06
2016-12-01,2.24
2017-01-01,2.34
2017-02-01,2.29
2017-03-01,2.14
2017-04-01,2.01
