"Date","LFIN64MACAM647N"
2010-10-01,2181300
2010-11-01,2170200
2010-12-01,2223200
2011-01-01,2285100
2011-02-01,2270400
2011-03-01,2224500
2011-04-01,2163500
2011-05-01,1998300
2011-06-01,1938500
2011-07-01,1841900
2011-08-01,1880700
2011-09-01,2121500
2011-10-01,2154600
2011-11-01,2198900
2011-12-01,2251600
2012-01-01,2330000
2012-02-01,2328300
2012-03-01,2291600
2012-04-01,2191100
2012-05-01,1973000
2012-06-01,1968700
2012-07-01,1871800
2012-08-01,1868000
2012-09-01,2102400
2012-10-01,2119800
2012-11-01,2160400
2012-12-01,2194300
2013-01-01,2285300
2013-02-01,2276800
2013-03-01,2267200
2013-04-01,2185300
2013-05-01,1959800
2013-06-01,1942900
2013-07-01,1857300
2013-08-01,1886500
2013-09-01,2161800
2013-10-01,2155600
2013-11-01,2194200
2013-12-01,2250600
2014-01-01,2316100
2014-02-01,2299200
2014-03-01,2270400
2014-04-01,2264800
2014-05-01,2050500
2014-06-01,1999600
2014-07-01,1902000
2014-08-01,1941500
2014-09-01,2156000
2014-10-01,2166800
2014-11-01,2223800
2014-12-01,2242300
2015-01-01,2316800
2015-02-01,2254600
2015-03-01,2257800
2015-04-01,2224200
2015-05-01,1995100
2015-06-01,1948000
2015-07-01,1845400
2015-08-01,1853400
2015-09-01,2111500
2015-10-01,2132000
2015-11-01,2198600
2015-12-01,2222800
2016-01-01,2294300
2016-02-01,2243500
2016-03-01,2252500
2016-04-01,2211700
2016-05-01,2024100
2016-06-01,2013000
2016-07-01,1934600
2016-08-01,1914000
2016-09-01,2154900
2016-10-01,2158200
2016-11-01,2185100
2016-12-01,2229800
2017-01-01,2246100
2017-02-01,2270900
2017-03-01,2213900
2017-04-01,2217500
2017-05-01,1992300
2017-06-01,1974300
2017-07-01,1889100
2017-08-01,1898800
2017-09-01,2169900
2017-10-01,2147300
2017-11-01,2161600
2017-12-01,2213400
2018-01-01,2309700
2018-02-01,2310300
2018-03-01,2265400
2018-04-01,2252700
2018-05-01,2064100
2018-06-01,1970100
2018-07-01,1899400
2018-08-01,1946600
2018-09-01,2175000
2018-10-01,2183600
2018-11-01,2176900
2018-12-01,2249700
2019-01-01,2277600
2019-02-01,2265200
2019-03-01,2236500
2019-04-01,2180600
2019-05-01,1994700
2019-06-01,1958200
2019-07-01,1868200
2019-08-01,1866400
2019-09-01,2143500
2019-10-01,2192700
2019-11-01,2213400
2019-12-01,2288900
2020-01-01,2364100
2020-02-01,2293800
2020-03-01,2522300
2020-04-01,2978400
2020-05-01,2529200
2020-06-01,2132300
2020-07-01,1981100
2020-08-01,1970200
2020-09-01,2151100
2020-10-01,2142000
2020-11-01,2213100
2020-12-01,2266100
2021-01-01,2350700
2021-02-01,2308600
2021-03-01,2209600
2021-04-01,2235800
2021-05-01,2072100
2021-06-01,1943000
2021-07-01,1840600
2021-08-01,1888200
2021-09-01,2087500
2021-10-01,2134100
2021-11-01,2121300
2021-12-01,2184300
2022-01-01,2312800
2022-02-01,2230300
2022-03-01,2232200
2022-04-01,2169200
2022-05-01,1977400
2022-06-01,1989000
2022-07-01,1902400
