"Date","LFEM25MACAM647S"
2011-03-01,6107700
2011-04-01,6111500
2011-05-01,6112800
2011-06-01,6114600
2011-07-01,6113800
2011-08-01,6131900
2011-09-01,6122300
2011-10-01,6119200
2011-11-01,6098500
2011-12-01,6090200
2012-01-01,6114400
2012-02-01,6127200
2012-03-01,6120800
2012-04-01,6134200
2012-05-01,6154500
2012-06-01,6154700
2012-07-01,6145400
2012-08-01,6150000
2012-09-01,6170700
2012-10-01,6161000
2012-11-01,6158500
2012-12-01,6194600
2013-01-01,6150400
2013-02-01,6178600
2013-03-01,6157000
2013-04-01,6171100
2013-05-01,6163200
2013-06-01,6158800
2013-07-01,6167100
2013-08-01,6141900
2013-09-01,6149000
2013-10-01,6151100
2013-11-01,6167200
2013-12-01,6133400
2014-01-01,6158500
2014-02-01,6135500
2014-03-01,6146300
2014-04-01,6146500
2014-05-01,6134500
2014-06-01,6127100
2014-07-01,6136800
2014-08-01,6160100
2014-09-01,6170300
2014-10-01,6167600
2014-11-01,6177400
2014-12-01,6218100
2015-01-01,6180900
2015-02-01,6172500
2015-03-01,6162300
2015-04-01,6151400
2015-05-01,6157200
2015-06-01,6161000
2015-07-01,6165900
2015-08-01,6177700
2015-09-01,6173100
2015-10-01,6184700
2015-11-01,6152800
2015-12-01,6145600
2016-01-01,6141700
2016-02-01,6148700
2016-03-01,6150700
2016-04-01,6145100
2016-05-01,6158900
2016-06-01,6170100
2016-07-01,6157500
2016-08-01,6155500
2016-09-01,6154800
2016-10-01,6155900
2016-11-01,6178200
2016-12-01,6171100
2017-01-01,6196700
2017-02-01,6191100
2017-03-01,6213000
2017-04-01,6219100
2017-05-01,6230600
2017-06-01,6230800
2017-07-01,6256000
2017-08-01,6263000
2017-09-01,6238300
2017-10-01,6250900
2017-11-01,6269900
2017-12-01,6291300
2018-01-01,6304800
2018-02-01,6305400
2018-03-01,6299100
2018-04-01,6313800
2018-05-01,6289500
2018-06-01,6316400
2018-07-01,6309500
2018-08-01,6292100
2018-09-01,6331700
2018-10-01,6350400
2018-11-01,6365700
2018-12-01,6367800
2019-01-01,6361700
2019-02-01,6366700
2019-03-01,6374200
2019-04-01,6379000
2019-05-01,6415200
2019-06-01,6405900
2019-07-01,6421300
2019-08-01,6444000
2019-09-01,6464300
2019-10-01,6425000
2019-11-01,6404800
2019-12-01,6423900
2020-01-01,6418200
2020-02-01,6438100
2020-03-01,6248500
2020-04-01,5615900
2020-05-01,5740300
2020-06-01,6072500
2020-07-01,6142400
2020-08-01,6216400
2020-09-01,6280900
2020-10-01,6303300
2020-11-01,6313100
2020-12-01,6308100
2021-01-01,6268500
2021-02-01,6327100
2021-03-01,6349500
2021-04-01,6347000
2021-05-01,6356500
2021-06-01,6356900
2021-07-01,6382900
2021-08-01,6404300
2021-09-01,6453200
2021-10-01,6491100
2021-11-01,6531100
2021-12-01,6600100
2022-01-01,6565400
2022-02-01,6629000
2022-03-01,6653300
2022-04-01,6663500
2022-05-01,6656100
2022-06-01,6674400
2022-07-01,6677300
2022-08-01,6675300
2022-09-01,6672600
2022-10-01,6685300
2022-11-01,6693900
2022-12-01,6694800
2023-01-01,6744300
2023-02-01,6742800
2023-03-01,6742100
2023-04-01,6760300
2023-05-01,6803700
2023-06-01,6834400
2023-07-01,6807500
2023-08-01,6840200
2023-09-01,6871800
2023-10-01,6859800
2023-11-01,6866600
