"Date","CANLOLITOTRGYSAM"
1977-06-01,4.17216730359804
1977-07-01,4.34874442094876
1977-08-01,4.48230565218548
1977-09-01,4.59856168185303
1977-10-01,4.67581887488158
1977-11-01,4.68940246419047
1977-12-01,4.63939136655007
1978-01-01,4.56324474429119
1978-02-01,4.5025072055424
1978-03-01,4.49113099014203
1978-04-01,4.54208997400802
1978-05-01,4.62876313150127
1978-06-01,4.73056041213831
1978-07-01,4.83700755347115
1978-08-01,4.92671851269954
1978-09-01,4.96519725480488
1978-10-01,4.90951796872775
1978-11-01,4.75742624246832
1978-12-01,4.51532247556128
1979-01-01,4.20995441327832
1979-02-01,3.85094515825536
1979-03-01,3.4597051461273
1979-04-01,3.06544472624804
1979-05-01,2.697228569541
1979-06-01,2.36890964788304
1979-07-01,2.07125715871231
1979-08-01,1.79116704784714
1979-09-01,1.50903070333147
1979-10-01,1.2579439437403
1979-11-01,1.06819545926229
1979-12-01,0.952922247810068
1980-01-01,0.8934103215659
1980-02-01,0.818783344008124
1980-03-01,0.729312014550982
1980-04-01,0.685442872550021
1980-05-01,0.758184202793492
1980-06-01,1.00916646122767
1980-07-01,1.43655023724463
1980-08-01,1.96898120818574
1980-09-01,2.5184249020894
1980-10-01,2.96793241549443
1980-11-01,3.21337404636538
1980-12-01,3.2241900452397
1981-01-01,3.0735904905743
1981-02-01,2.90274989032284
1981-03-01,2.72405959921614
1981-04-01,2.4436307128099
1981-05-01,1.94689755221285
1981-06-01,1.16794039775706
1981-07-01,0.157366169486451
1981-08-01,-0.956652253682104
1981-09-01,-2.01681594161798
1981-10-01,-2.88320331913948
1981-11-01,-3.48636529379891
1981-12-01,-3.81644211127167
1982-01-01,-3.94738697338963
1982-02-01,-3.96563278086596
1982-03-01,-3.90940996981076
1982-04-01,-3.74138200384308
1982-05-01,-3.39844331925711
1982-06-01,-2.83783185397777
1982-07-01,-2.05636727765913
1982-08-01,-1.06729465071125
1982-09-01,0.0773223457623801
1982-10-01,1.33324860511195
1982-11-01,2.68329164499933
1982-12-01,4.08982617832584
1983-01-01,5.48623585404587
1983-02-01,6.80831786798553
1983-03-01,8.00362132218228
1983-04-01,9.02460130601362
1983-05-01,9.8205854544265
1983-06-01,10.3501169905139
1983-07-01,10.5807753845715
1983-08-01,10.4999338230088
1983-09-01,10.1377515975628
1983-10-01,9.50344581892493
1983-11-01,8.61206397353742
1983-12-01,7.50237370477409
1984-01-01,6.2815802664746
1984-02-01,5.05603208829011
1984-03-01,3.90555748486795
1984-04-01,2.8727040510119
1984-05-01,1.98872440275882
1984-06-01,1.27619894759881
1984-07-01,0.745999354821582
1984-08-01,0.390759566020494
1984-09-01,0.18020481944942
1984-10-01,0.121426129810507
1984-11-01,0.221173118061885
1984-12-01,0.488581726496424
1985-01-01,0.908483414128611
1985-02-01,1.42880380066523
1985-03-01,2.00910848767643
1985-04-01,2.61358915731398
1985-05-01,3.2096154580147
1985-06-01,3.75735352243643
1985-07-01,4.23806001882031
1985-08-01,4.64542951540374
1985-09-01,4.97477368393541
1985-10-01,5.20292920480803
1985-11-01,5.30285315460109
1985-12-01,5.26322836071929
1986-01-01,5.10921396479167
1986-02-01,4.8981934971358
1986-03-01,4.66999408216194
1986-04-01,4.43318190650184
1986-05-01,4.18673545188989
1986-06-01,3.94367829213996
1986-07-01,3.73316804803147
1986-08-01,3.58017986471603
1986-09-01,3.51305901588251
1986-10-01,3.5585429520921
1986-11-01,3.73866148274661
1986-12-01,4.06645869618456
1987-01-01,4.49115476260009
1987-02-01,4.92304289494571
1987-03-01,5.28858184927359
1987-04-01,5.54977027725715
1987-05-01,5.69988774631761
1987-06-01,5.74411805055494
1987-07-01,5.6613449083957
1987-08-01,5.43512116621993
1987-09-01,5.07701779502582
1987-10-01,4.62163088195695
1987-11-01,4.11142546696912
1987-12-01,3.56631672583254
1988-01-01,2.99606846927402
1988-02-01,2.43986001481796
1988-03-01,1.937283689664
1988-04-01,1.52319975884749
1988-05-01,1.2273676877993
1988-06-01,1.05456816958256
1988-07-01,0.980020926516317
1988-08-01,0.999784381747532
1988-09-01,1.08237652347787
1988-10-01,1.1766201859029
1988-11-01,1.23280928493666
1988-12-01,1.21508613197252
1989-01-01,1.11494834042863
1989-02-01,0.931871066645994
1989-03-01,0.685692353620721
1989-04-01,0.418529732333398
1989-05-01,0.164690760184676
1989-06-01,-0.0449472723697879
1989-07-01,-0.17924665988335
1989-08-01,-0.257812070265952
1989-09-01,-0.29874632596119
1989-10-01,-0.324557558406089
1989-11-01,-0.348082668503029
1989-12-01,-0.370253489489266
1990-01-01,-0.370365773532229
1990-02-01,-0.313421357374556
1990-03-01,-0.225551270035199
1990-04-01,-0.154580457070167
1990-05-01,-0.139806041311928
1990-06-01,-0.223831299027252
1990-07-01,-0.406451922624627
1990-08-01,-0.643835288232481
1990-09-01,-0.867773926777616
1990-10-01,-1.0122839483415
1990-11-01,-1.03944747355693
1990-12-01,-0.915279555200772
