"Date","EXP0006"
2002-09-01,4997.6
2002-10-01,5691.8
2002-11-01,5340.9
2002-12-01,4626.1
2003-01-01,4434.2
2003-02-01,5061.4
2003-03-01,5513.2
2003-04-01,5459.6
2003-05-01,6142.3
2003-06-01,5524.8
2003-07-01,4285
2003-08-01,4607.4
2003-09-01,5253.6
2003-10-01,5891.6
2003-11-01,5468.6
2003-12-01,4908.9
2004-01-01,4316.9
2004-02-01,5007
2004-03-01,6001
2004-04-01,5828.8
2004-05-01,5933.9
2004-06-01,5868.540408
2004-07-01,4904
2004-08-01,5350.6
2004-09-01,5986.8
2004-10-01,6103.6
2004-11-01,5854.1
2004-12-01,5576.3
2005-01-01,5223.1
2005-02-01,5689.3
2005-03-01,6820.2
2005-04-01,6577.5
2005-05-01,6839.8
2005-06-01,6881.9
2005-07-01,5113.9
2005-08-01,6365.8
2005-09-01,6719.8
2005-10-01,6838.9
2005-11-01,6559.4
2005-12-01,6160.8
2006-01-01,5933.9
2006-02-01,6321.4
2006-03-01,7653.5
2006-04-01,7076.2
2006-05-01,7723
2006-06-01,7413.3
2006-07-01,6014.1
2006-08-01,7339
2006-09-01,6979.1
2006-10-01,7339.5
2006-11-01,7027.5
2006-12-01,6550.1
2007-01-01,5736.3
2007-02-01,6229.2
2007-03-01,7663.3
2007-04-01,7440.1
2007-05-01,7951
2007-06-01,7866.1
2007-07-01,6458.2
2007-08-01,7497.3
2007-09-01,7527.8
2007-10-01,8144.3
2007-11-01,7922
2007-12-01,6901.6
2008-01-01,6577.4
2008-02-01,7236
2008-03-01,7795.4
2008-04-01,7973.5
2008-05-01,8479.3
2008-06-01,8513.6
2008-07-01,7707.5
2008-08-01,7788.5
2008-09-01,7636.8
2008-10-01,7699.7
2008-11-01,6341
2008-12-01,5487.1
2009-01-01,4868.66134
2009-02-01,5116.226966
2009-03-01,5639.725878
2009-04-01,5552.947212
2009-05-01,5794.140328
2009-06-01,6139.266506
2009-07-01,5740.370417
2009-08-01,6667.515223
2009-09-01,6655.272559
2009-10-01,6808.270959
2009-11-01,6759.977209
2009-12-01,6669.071333
2010-01-01,5965.796346
2010-02-01,6779.483016
2010-03-01,7815.862128
2010-04-01,7462.306769
2010-05-01,7521.758329
2010-06-01,7790.674294
2010-07-01,6713.82988
2010-08-01,7329.916194
2010-09-01,7383.085096
2010-10-01,7382.49493
2010-11-01,7142.869664
2010-12-01,6788.352503
2011-01-01,6264.354489
2011-02-01,6595.180231
2011-03-01,8447.095413
2011-04-01,7984.122875
2011-05-01,8215.539195
2011-06-01,8255.394417
2011-07-01,7564.515006
2011-08-01,8493.861221
2011-09-01,8087.691532
2011-10-01,8360.204071
2011-11-01,7569.96881
2011-12-01,7372.26312
2012-01-01,6906.944481
2012-02-01,7746.140054
2012-03-01,8891.849113
2012-04-01,8511.547047
2012-05-01,8970.903921
2012-06-01,9058.894326
2012-07-01,8058.266332
2012-08-01,8803.630812
2012-09-01,8019.979716
2012-10-01,8639.025561
2012-11-01,8199.270927
2012-12-01,7435.658738
2013-01-01,7397.072794
2013-02-01,7725.065163
2013-03-01,8910.439259
2013-04-01,9229.587289
2013-05-01,9362.972567
2013-06-01,8972.518459
2013-07-01,7877.514092
2013-08-01,9034.024932
2013-09-01,8702.003619
2013-10-01,9128.272522
2013-11-01,8605.421774
2013-12-01,7541.292684
2014-01-01,6770.836008
2014-02-01,7562.192179
2014-03-01,8973.108555
2014-04-01,9068.467361
2014-05-01,9244.223688
2014-06-01,9601.653635
2014-07-01,8722.088952
2014-08-01,8932.03378
2014-09-01,8860.45164
2014-10-01,9361.063555
2014-11-01,8368.004697
2014-12-01,8191.478758
2015-01-01,6658.245005
2015-02-01,6837.139453
2015-03-01,8343.091228
2015-04-01,8395.663493
2015-05-01,8443.134456
2015-06-01,8828.001884
2015-07-01,7516.921799
2015-08-01,7929.51395
2015-09-01,7668.581342
2015-10-01,8004.648547
2015-11-01,7323.461397
2015-12-01,7132.332688
2016-01-01,6258.540876
2016-02-01,6888.5029
2016-03-01,7800.51395
2016-04-01,8051.411216
2016-05-01,8024.080074
2016-06-01,8465.627551
2016-07-01,7098.971043
2016-08-01,8044.444555
2016-09-01,7750.888785
2016-10-01,7569.638167
2016-11-01,6996.666596
2016-12-01,6671.825101
2017-01-01,6350.684935
2017-02-01,6861.094314
2017-03-01,8152.331487
2017-04-01,7620.778504
2017-05-01,8330.270494
2017-06-01,8577.80249
2017-07-01,7331.363649
2017-08-01,8424.346371
2017-09-01,8199.247141
2017-10-01,8071.272718
2017-11-01,7807.005054
2017-12-01,7171.145066
2018-01-01,6746.465592
2018-02-01,7406.109308
2018-03-01,9179.296963
2018-04-01,8606.120982
2018-05-01,8869.2758
2018-06-01,8823.448957
2018-07-01,7464.651885
2018-08-01,8447.140517
2018-09-01,7872.201122
2018-10-01,7968.079036
2018-11-01,7354.238446
2018-12-01,6821.2706
2019-01-01,6406.211394
2019-02-01,7064.283797
2019-03-01,8451.384062
2019-04-01,8267.238821
2019-05-01,8507.999473
2019-06-01,8186.306068
2019-07-01,7364.661386
2019-08-01,8291.002264
2019-09-01,7901.918668
2019-10-01,7713.208895
2019-11-01,6968.433796
2019-12-01,6823.048218
2020-01-01,6647.518856
2020-02-01,7316.929639
2020-03-01,7742.745984
2020-04-01,3909.6421
2020-05-01,4032.339193
2020-06-01,6139.316176
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
