"Date","LRAC55TTCAM156N"
1991-07-01,48.2693754702784
1991-08-01,48.5849253793738
1991-09-01,48.8045477344926
1991-10-01,48.8965978433503
1991-11-01,48.0882537294722
1991-12-01,47.25935828877
1992-01-01,47.1718606399866
1992-02-01,47.1907765570826
1992-03-01,47.540299006097
1992-04-01,47.3594121821901
1992-05-01,48.0091819699499
1992-06-01,48.4438881935753
1992-07-01,47.7751365778389
1992-08-01,48.3554962691234
1992-09-01,49.0040836736395
1992-10-01,49.5751416194602
1992-11-01,49.5128247834777
1992-12-01,48.5577523413111
1993-01-01,47.8094445600166
1993-02-01,48.4695999334609
1993-03-01,48.6927968743506
1993-04-01,48.5855522784863
1993-05-01,48.0156094320824
1993-06-01,48.063205043132
1993-07-01,47.6170741815168
1993-08-01,47.4165769644779
1993-09-01,47.6153050672182
1993-10-01,47.3610250051664
1993-11-01,47.4208070045017
1993-12-01,46.3563588346951
1994-01-01,46.0339709762533
1994-02-01,47.3166110630586
1994-03-01,48.2039254413035
1994-04-01,49.0401611378304
1994-05-01,49.0556741665298
1994-06-01,49.2370169825252
1994-07-01,47.7296942873535
1994-08-01,48.333879155068
1994-09-01,48.4906740837696
1994-10-01,48.2382275997384
1994-11-01,47.76357174952
1994-12-01,47.3647683200653
1995-01-01,47.8709519536667
1995-02-01,47.6074019727725
1995-03-01,47.7680026067123
1995-04-01,46.9642711809229
1995-05-01,46.7463317481608
1995-06-01,47.2002273926991
1995-07-01,46.6266379974847
1995-08-01,47.0337952832482
1995-09-01,47.1376518218624
1995-10-01,47.3143504287332
1995-11-01,46.8342155238596
1995-12-01,46.1951475515724
1996-01-01,46.2245515017134
1996-02-01,46.7042480370445
1996-03-01,46.9031531531532
1996-04-01,46.8244084682441
1996-05-01,47.0196550340955
1996-06-01,47.9227595048275
1996-07-01,47.3496819618354
1996-08-01,47.554543274994
1996-09-01,47.3686310497546
1996-10-01,47.4972102662203
1996-11-01,47.4920382165605
1996-12-01,46.9442124935385
1997-01-01,46.648665819568
1997-02-01,47.7790116601888
1997-03-01,48.0394486692015
1997-04-01,48.0014233187048
1997-05-01,48.4566195626431
1997-06-01,48.6015914283463
1997-07-01,47.9705812947377
1997-08-01,48.4081183998744
1997-09-01,48.4702471892506
1997-10-01,48.7624633431085
1997-11-01,48.7881035088404
1997-12-01,47.9626022594468
1998-01-01,47.5631558492033
1998-02-01,48.6022255825676
1998-03-01,48.4870763039777
1998-04-01,47.7586007181744
1998-05-01,47.6535408800185
1998-06-01,48.580429520919
1998-07-01,48.500996779635
1998-08-01,49.020732920205
1998-09-01,49.7749294270237
1998-10-01,49.6079774682195
1998-11-01,49.4702866907158
1998-12-01,48.8027582026218
1999-01-01,48.7418769835273
1999-02-01,48.7134084316016
1999-03-01,49.112915351075
1999-04-01,50.0843739453257
1999-05-01,49.6670656890618
1999-06-01,49.567357899448
1999-07-01,49.1441542010866
1999-08-01,50.1187384044527
1999-09-01,50.4775655264327
1999-10-01,50.3250591016548
1999-11-01,50.1732271856111
1999-12-01,50.4100319935277
2000-01-01,50.44744370278
2000-02-01,50.6949524506218
2000-03-01,50.2481570688271
2000-04-01,50.7755042598121
2000-05-01,50.887573964497
2000-06-01,50.9831613253666
2000-07-01,50.1174090531411
2000-08-01,51.6475206165148
2000-09-01,51.1045655375552
2000-10-01,51.3346949012863
2000-11-01,51.1812430751635
2000-12-01,51.1888211599472
2001-01-01,50.2750860753203
2001-02-01,50.4654702488408
2001-03-01,51.536859935773
2001-04-01,51.1157968722544
2001-05-01,51.0471387546403
2001-06-01,51.5019362941772
2001-07-01,50.5382318216543
2001-08-01,51.1569990660994
2001-09-01,51.452096324112
2001-10-01,51.3774057429071
2001-11-01,51.3168232280102
2001-12-01,52.2274365775692
2002-01-01,52.4251840843072
2002-02-01,52.1971556332582
2002-03-01,52.3042939857425
2002-04-01,52.4905999401058
2002-05-01,52.7161311692614
2002-06-01,52.8505951792133
2002-07-01,52.0514250106588
2002-08-01,53.4358873865047
2002-09-01,54.0586209137584
2002-10-01,54.7152103559871
2002-11-01,55.4334160729829
2002-12-01,55.7468126786345
2003-01-01,55.6990347120118
2003-02-01,56.1552668449879
2003-03-01,56.2270016495369
2003-04-01,56.4834401540744
2003-05-01,56.4306608372912
2003-06-01,56.3969322272656
2003-07-01,55.4221376664691
2003-08-01,56.4733668966375
2003-09-01,57.1950125305529
2003-10-01,57.293047633729
2003-11-01,57.5334890008603
2003-12-01,57.6183477249067
2004-01-01,57.0457109749032
2004-02-01,57.3645529640428
2004-03-01,56.6270165561912
2004-04-01,57.0945945945946
2004-05-01,57.5958879403631
2004-06-01,57.2052793822764
2004-07-01,56.0430710493348
2004-08-01,56.8538925357175
2004-09-01,57.5907395346083
2004-10-01,57.9740934171314
2004-11-01,58.3801429285651
2004-12-01,57.8530808465732
2005-01-01,57.4410931706035
2005-02-01,57.7485677727048
2005-03-01,57.6323265116818
2005-04-01,57.8924557196104
2005-05-01,58.4937696048807
2005-06-01,58.1308625684863
2005-07-01,57.285412020358
2005-08-01,57.9597881186991
2005-09-01,58.3737898532209
2005-10-01,58.4682440846824
2005-11-01,57.9542889390519
2005-12-01,57.6030384020256
2006-01-01,57.3069273649122
2006-02-01,57.5291192983436
2006-03-01,58.1000919040856
2006-04-01,57.9330260454268
2006-05-01,58.6300384540902
2006-06-01,58.3190820323275
2006-07-01,58.2409724705041
2006-08-01,58.4452238724174
2006-09-01,58.8158146397443
2006-10-01,58.6584568439407
2006-11-01,58.6561973591262
2006-12-01,58.69571107318
2007-01-01,58.1574828646986
2007-02-01,58.7437429355724
2007-03-01,59.1534931157573
2007-04-01,59.8026104632502
2007-05-01,59.4329305700035
2007-06-01,59.3196446619501
2007-07-01,58.5659377070908
2007-08-01,59.5764929812039
2007-09-01,59.8644836404862
2007-10-01,60.576897793905
2007-11-01,59.7886234297553
2007-12-01,59.7284712775976
2008-01-01,59.7555572928882
2008-02-01,59.5487510072522
2008-03-01,60.5833549390718
2008-04-01,59.8790635174944
2008-05-01,60.4608009896397
2008-06-01,60.172582053521
2008-07-01,58.9375816407551
2008-08-01,59.2281364936657
2008-09-01,60.2408105080949
2008-10-01,60.8473801787165
2008-11-01,60.294192110993
2008-12-01,60.2903673778563
2009-01-01,60.6155936980923
2009-02-01,60.6631386220561
2009-03-01,61.3616467822216
2009-04-01,61.785170960421
2009-05-01,61.6700651514398
2009-06-01,61.7461969178931
2009-07-01,61.1521454509523
2009-08-01,61.5960591133005
2009-09-01,61.6692843820556
2009-10-01,61.7778756514718
2009-11-01,61.4356121602498
2009-12-01,61.0621837290775
2010-01-01,60.4169696969697
2010-02-01,60.8266099811585
2010-03-01,60.8603497278289
2010-04-01,61.2017002473524
2010-05-01,61.5056750155644
2010-06-01,61.8322796135035
2010-07-01,61.5388275599543
2010-08-01,61.9783763277694
2010-09-01,63.0967863983542
2010-10-01,63.3481921743437
2010-11-01,63.295457218811
2010-12-01,62.8564053223195
2011-01-01,62.4774785314833
2011-02-01,62.8088760295868
2011-03-01,62.5771155860784
2011-04-01,63.3835861460196
2011-05-01,63.0746061167748
2011-06-01,62.5933547596476
2011-07-01,61.281613439173
2011-08-01,61.8695762263196
2011-09-01,62.0200813363049
2011-10-01,61.8537547593926
2011-11-01,61.8456606365926
2011-12-01,62.7440669440761
2012-01-01,62.3884616262352
2012-02-01,62.4860481538006
2012-03-01,63.2110446471217
2012-04-01,63.6493633247838
2012-05-01,63.5397548319851
2012-06-01,63.1697993711972
2012-07-01,61.9628994403322
2012-08-01,63.422985088075
2012-09-01,63.8074467128339
2012-10-01,63.8907589425968
2012-11-01,63.456369826196
2012-12-01,63.6585147762328
2013-01-01,63.7285717470296
2013-02-01,64.2911178355286
2013-03-01,64.0709654498623
2013-04-01,64.559709425939
2013-05-01,64.8757956152758
2013-06-01,64.3378542286911
2013-07-01,63.5517719263512
2013-08-01,64.4089751470976
2013-09-01,64.4473159727546
2013-10-01,64.5929876715922
2013-11-01,64.2871168321152
2013-12-01,64.0817926438884
2014-01-01,63.8139312562465
2014-02-01,64.3303261623872
2014-03-01,64.3045755594996
2014-04-01,64.9704218662291
2014-05-01,65.0378126817917
2014-06-01,65.2561677985042
2014-07-01,64.1536547700755
2014-08-01,63.7282185212142
2014-09-01,64.0904625635331
2014-10-01,64.2750564863367
2014-11-01,63.5802731798647
2014-12-01,63.1591242115993
2015-01-01,63.4647171010807
2015-02-01,64.4544051419752
2015-03-01,64.8518612306913
2015-04-01,64.7633690684302
2015-05-01,64.9465032686608
2015-06-01,65.0543045246782
2015-07-01,64.1452186649927
2015-08-01,64.600476170586
2015-09-01,64.729780407517
2015-10-01,64.7036805988771
2015-11-01,64.6361711842597
2015-12-01,64.7835094261446
2016-01-01,64.42138767749
2016-02-01,65.2672385351369
2016-03-01,65.1381056271354
2016-04-01,65.7182184238639
2016-05-01,65.9171961467514
2016-06-01,65.5422130392979
2016-07-01,64.774607324496
2016-08-01,65.8282033511354
2016-09-01,66.3627482904591
2016-10-01,66.5305210111355
2016-11-01,65.3565993710054
2016-12-01,65.5544075042039
2017-01-01,65.2717127607957
2017-02-01,65.5557349913198
2017-03-01,65.2504282978938
2017-04-01,65.3600032197046
2017-05-01,65.4610085755026
2017-06-01,65.7450477183415
2017-07-01,64.8090319481143
2017-08-01,66.0573004075761
2017-09-01,66.1360145231113
2017-10-01,66.4661354581673
2017-11-01,66.4777021919879
2017-12-01,66.5726487238057
2018-01-01,65.5064420218038
2018-02-01,65.6235154394299
2018-03-01,65.9294396679514
2018-04-01,65.6954034326297
2018-05-01,66.0672076898834
2018-06-01,66.5145734177713
2018-07-01,65.889813869473
2018-08-01,66.6549005765384
2018-09-01,67.2954127002781
2018-10-01,67.1440309895528
2018-11-01,67.5304371616736
2018-12-01,66.5872845458627
2019-01-01,65.5835802276626
2019-02-01,65.8469147341161
2019-03-01,66.3042421177523
2019-04-01,66.7178122632898
2019-05-01,66.7862962675564
2019-06-01,67.218863830117
2019-07-01,66.3454095061155
2019-08-01,66.9619371808758
2019-09-01,67.7044681508967
2019-10-01,67.7637424189748
2019-11-01,67.3931508435968
2019-12-01,66.8280918387035
2020-01-01,66.4731858765451
2020-02-01,67.1517511227617
2020-03-01,65.4967831413492
2020-04-01,62.8441603450268
2020-05-01,63.5380381439926
2020-06-01,64.8844097395853
2020-07-01,65.2412175284096
2020-08-01,66.5096335038265
2020-09-01,66.7640894494972
2020-10-01,67.790874305382
2020-11-01,67.229411425385
2020-12-01,67.6493211799546
2021-01-01,67.1904450513521
2021-02-01,67.5309188128714
2021-03-01,68.3117282763396
2021-04-01,68.105935300227
2021-05-01,68.2008770580089
2021-06-01,68.6464965090112
2021-07-01,67.7010388611004
2021-08-01,68.5280360339551
2021-09-01,68.6829587690412
2021-10-01,68.497610974106
2021-11-01,68.0616060757932
2021-12-01,67.1282278749542
2022-01-01,66.7091245947198
2022-02-01,66.9190066046116
2022-03-01,67.1503371524625
2022-04-01,67.1795565693078
2022-05-01,67.0051448686705
2022-06-01,66.1112723754233
2022-07-01,66.0057315467431
2022-08-01,66.4676809768388
2022-09-01,67.4321624609655
2022-10-01,67.5640005434466
2022-11-01,67.064856360352
2022-12-01,66.8610527952725
2023-01-01,67.2304398598676
2023-02-01,67.9098663966034
2023-03-01,68.2606492848513
2023-04-01,68.279129620964
2023-05-01,68.2713134427381
2023-06-01,68.0144474814526
2023-07-01,67.4220077748042
2023-08-01,67.3020155220613
2023-09-01,67.9963220909304
2023-10-01,68.5069893104664
2023-11-01,68.3625891387822
