"Date","LFHU24MACAM647S"
1995-06-01,215300
1995-07-01,217900
1995-08-01,217100
1995-09-01,220400
1995-10-01,214600
1995-11-01,206500
1995-12-01,216400
1996-01-01,214200
1996-02-01,223300
1996-03-01,222700
1996-04-01,205800
1996-05-01,215000
1996-06-01,227100
1996-07-01,209000
1996-08-01,199400
1996-09-01,216800
1996-10-01,221100
1996-11-01,235300
1996-12-01,218800
1997-01-01,223600
1997-02-01,217800
1997-03-01,220800
1997-04-01,215800
1997-05-01,217900
1997-06-01,220900
1997-07-01,222100
1997-08-01,220500
1997-09-01,213400
1997-10-01,214500
1997-11-01,216100
1997-12-01,218900
1998-01-01,220200
1998-02-01,209500
1998-03-01,206200
1998-04-01,212300
1998-05-01,197700
1998-06-01,225900
1998-07-01,219800
1998-08-01,213100
1998-09-01,216700
1998-10-01,204400
1998-11-01,212200
1998-12-01,209900
1999-01-01,211300
1999-02-01,207700
1999-03-01,204500
1999-04-01,218400
1999-05-01,218100
1999-06-01,194900
1999-07-01,205200
1999-08-01,195600
1999-09-01,214800
1999-10-01,199000
1999-11-01,190400
1999-12-01,194000
2000-01-01,188300
2000-02-01,191600
2000-03-01,188800
2000-04-01,190900
2000-05-01,186700
2000-06-01,185000
2000-07-01,185300
2000-08-01,195200
2000-09-01,192700
2000-10-01,198900
2000-11-01,192000
2000-12-01,188700
2001-01-01,176800
2001-02-01,200500
2001-03-01,205900
2001-04-01,200700
2001-05-01,193300
2001-06-01,200700
2001-07-01,203400
2001-08-01,201200
2001-09-01,193200
2001-10-01,206800
2001-11-01,218700
2001-12-01,221800
2002-01-01,227600
2002-02-01,228100
2002-03-01,232700
2002-04-01,218900
2002-05-01,224200
2002-06-01,219100
2002-07-01,214600
2002-08-01,219900
2002-09-01,217300
2002-10-01,228500
2002-11-01,235000
2002-12-01,221500
2003-01-01,219800
2003-02-01,224100
2003-03-01,208600
2003-04-01,214700
2003-05-01,230400
2003-06-01,222000
2003-07-01,230900
2003-08-01,225100
2003-09-01,227900
2003-10-01,228000
2003-11-01,226400
2003-12-01,236200
2004-01-01,228100
2004-02-01,222700
2004-03-01,223300
2004-04-01,214400
2004-05-01,225200
2004-06-01,209500
2004-07-01,216400
2004-08-01,219300
2004-09-01,216300
2004-10-01,218900
2004-11-01,209300
2004-12-01,212500
2005-01-01,210900
2005-02-01,214300
2005-03-01,210300
2005-04-01,198700
2005-05-01,216000
2005-06-01,218900
2005-07-01,221900
2005-08-01,206000
2005-09-01,202200
2005-10-01,188900
2005-11-01,178500
2005-12-01,189100
2006-01-01,198800
2006-02-01,183700
2006-03-01,183200
2006-04-01,187200
2006-05-01,171100
2006-06-01,188100
2006-07-01,190000
2006-08-01,202200
2006-09-01,208700
2006-10-01,186800
2006-11-01,197300
2006-12-01,188400
2007-01-01,195600
2007-02-01,185600
2007-03-01,188500
2007-04-01,188900
2007-05-01,177300
2007-06-01,175500
2007-07-01,175400
2007-08-01,177900
2007-09-01,183400
2007-10-01,188400
2007-11-01,192900
2007-12-01,192100
2008-01-01,185000
2008-02-01,186300
2008-03-01,189400
2008-04-01,208400
2008-05-01,202800
2008-06-01,199900
2008-07-01,186600
2008-08-01,186700
2008-09-01,200900
2008-10-01,202300
2008-11-01,215200
2008-12-01,210400
2009-01-01,237300
2009-02-01,263800
2009-03-01,266200
2009-04-01,269400
2009-05-01,278600
2009-06-01,276100
2009-07-01,278700
2009-08-01,269300
2009-09-01,258300
2009-10-01,260100
2009-11-01,271900
2009-12-01,275700
2010-01-01,263400
2010-02-01,265200
2010-03-01,272200
2010-04-01,256000
2010-05-01,246400
2010-06-01,238300
2010-07-01,246400
2010-08-01,247700
2010-09-01,239200
2010-10-01,237700
2010-11-01,236100
2010-12-01,232900
2011-01-01,240100
2011-02-01,233600
2011-03-01,241800
2011-04-01,230000
2011-05-01,239700
2011-06-01,240800
2011-07-01,234700
2011-08-01,222600
2011-09-01,229600
2011-10-01,233800
2011-11-01,230100
2011-12-01,230400
2012-01-01,235400
2012-02-01,240800
2012-03-01,217900
2012-04-01,220000
2012-05-01,238600
2012-06-01,234700
2012-07-01,227100
2012-08-01,234300
2012-09-01,244300
2012-10-01,238400
2012-11-01,231300
2012-12-01,230900
2013-01-01,213100
2013-02-01,207000
2013-03-01,221500
2013-04-01,229000
2013-05-01,218000
2013-06-01,227800
2013-07-01,226000
2013-08-01,240400
2013-09-01,212400
2013-10-01,225600
2013-11-01,226400
2013-12-01,230900
2014-01-01,222200
2014-02-01,215500
2014-03-01,219700
2014-04-01,216000
2014-05-01,224800
2014-06-01,217700
2014-07-01,213500
2014-08-01,221700
2014-09-01,244800
2014-10-01,214500
2014-11-01,217100
2014-12-01,216300
2015-01-01,213500
2015-02-01,229000
2015-03-01,211000
2015-04-01,229800
2015-05-01,208900
2015-06-01,202000
2015-07-01,217600
2015-08-01,214700
2015-09-01,214700
2015-10-01,216500
2015-11-01,200400
2015-12-01,222500
2016-01-01,208000
2016-02-01,213800
2016-03-01,216700
2016-04-01,223800
2016-05-01,218100
2016-06-01,216000
2016-07-01,210300
2016-08-01,200100
2016-09-01,210200
2016-10-01,194100
2016-11-01,202500
2016-12-01,188200
2017-01-01,218800
2017-02-01,201400
2017-03-01,203900
2017-04-01,188700
2017-05-01,199700
2017-06-01,184100
2017-07-01,181100
2017-08-01,184200
2017-09-01,170400
2017-10-01,175300
2017-11-01,177000
2017-12-01,177900
2018-01-01,170700
2018-02-01,186100
2018-03-01,179000
2018-04-01,181600
2018-05-01,172300
2018-06-01,194200
2018-07-01,184000
2018-08-01,171700
2018-09-01,164900
2018-10-01,183400
2018-11-01,178100
2018-12-01,174100
2019-01-01,167900
2019-02-01,180200
2019-03-01,183900
2019-04-01,166600
2019-05-01,172000
2019-06-01,184000
2019-07-01,194100
2019-08-01,202100
2019-09-01,207000
2019-10-01,191300
2019-11-01,189900
2019-12-01,185400
2020-01-01,152700
2020-02-01,183400
2020-03-01,218700
2020-04-01,317300
2020-05-01,404100
2020-06-01,424600
2020-07-01,394200
2020-08-01,381900
2020-09-01,288800
2020-10-01,283100
2020-11-01,269300
2020-12-01,267700
2021-01-01,267800
2021-02-01,243500
2021-03-01,210700
2021-04-01,255000
2021-05-01,224400
2021-06-01,218800
2021-07-01,201600
2021-08-01,204200
2021-09-01,196400
2021-10-01,148900
2021-11-01,188000
2021-12-01,187900
2022-01-01,193000
2022-02-01,175600
2022-03-01,137300
2022-04-01,177400
2022-05-01,170200
2022-06-01,165600
2022-07-01,145200
2022-08-01,162800
2022-09-01,169000
2022-10-01,161900
2022-11-01,173900
2022-12-01,161600
2023-01-01,154500
2023-02-01,163700
2023-03-01,150300
2023-04-01,160800
2023-05-01,181200
2023-06-01,196600
2023-07-01,155300
2023-08-01,195300
2023-09-01,174400
2023-10-01,182700
2023-11-01,190700
