"Date","LFAC25TTCAM647S"
2010-05-01,12471800
2010-06-01,12502300
2010-07-01,12509100
2010-08-01,12513700
2010-09-01,12498800
2010-10-01,12448700
2010-11-01,12447800
2010-12-01,12445200
2011-01-01,12495300
2011-02-01,12494800
2011-03-01,12502600
2011-04-01,12508500
2011-05-01,12476800
2011-06-01,12501800
2011-07-01,12480100
2011-08-01,12502000
2011-09-01,12496300
2011-10-01,12504700
2011-11-01,12483300
2011-12-01,12472400
2012-01-01,12513400
2012-02-01,12507200
2012-03-01,12502300
2012-04-01,12555400
2012-05-01,12580300
2012-06-01,12543500
2012-07-01,12556000
2012-08-01,12566700
2012-09-01,12593200
2012-10-01,12600600
2012-11-01,12612500
2012-12-01,12632500
2013-01-01,12571300
2013-02-01,12592600
2013-03-01,12575100
2013-04-01,12577200
2013-05-01,12581900
2013-06-01,12586600
2013-07-01,12599700
2013-08-01,12587200
2013-09-01,12582200
2013-10-01,12585400
2013-11-01,12583300
2013-12-01,12588500
2014-01-01,12574800
2014-02-01,12557200
2014-03-01,12553900
2014-04-01,12525400
2014-05-01,12523300
2014-06-01,12518300
2014-07-01,12535700
2014-08-01,12528900
2014-09-01,12526500
2014-10-01,12540900
2014-11-01,12542400
2014-12-01,12543800
2015-01-01,12541500
2015-02-01,12554600
2015-03-01,12554100
2015-04-01,12542900
2015-05-01,12538100
2015-06-01,12559400
2015-07-01,12566400
2015-08-01,12590100
2015-09-01,12597900
2015-10-01,12585100
2015-11-01,12589200
2015-12-01,12590000
2016-01-01,12595200
2016-02-01,12580600
2016-03-01,12587900
2016-04-01,12598800
2016-05-01,12610300
2016-06-01,12585900
2016-07-01,12554300
2016-08-01,12560300
2016-09-01,12555100
2016-10-01,12564900
2016-11-01,12605500
2016-12-01,12622300
2017-01-01,12655100
2017-02-01,12649900
2017-03-01,12685000
2017-04-01,12672200
2017-05-01,12689100
2017-06-01,12695800
2017-07-01,12720100
2017-08-01,12694300
2017-09-01,12702300
2017-10-01,12702000
2017-11-01,12681600
2017-12-01,12696200
2018-01-01,12673500
2018-02-01,12708300
2018-03-01,12717000
2018-04-01,12731000
2018-05-01,12711900
2018-06-01,12751200
2018-07-01,12780500
2018-08-01,12803200
2018-09-01,12836100
2018-10-01,12850800
2018-11-01,12849800
2018-12-01,12890600
2019-01-01,12885800
2019-02-01,12911300
2019-03-01,12885600
2019-04-01,12923800
2019-05-01,12909100
2019-06-01,12930800
2019-07-01,12942700
2019-08-01,12963300
2019-09-01,12975900
2019-10-01,12950200
2019-11-01,12975100
2019-12-01,12975000
2020-01-01,12995300
2020-02-01,12990900
2020-03-01,12736500
2020-04-01,12149600
2020-05-01,12422000
2020-06-01,12823100
2020-07-01,12870800
2020-08-01,12884000
2020-09-01,13075400
2020-10-01,13106800
2020-11-01,13080300
2020-12-01,13055700
2021-01-01,13004900
2021-02-01,13046200
2021-03-01,13063900
2021-04-01,13036600
2021-05-01,13023600
2021-06-01,13053700
2021-07-01,13102000
2021-08-01,13089600
2021-09-01,13232300
2021-10-01,13221300
2021-11-01,13249500
2021-12-01,13294100
2022-01-01,13269700
2022-02-01,13340100
2022-03-01,13345700
2022-04-01,13362200
2022-05-01,13406100
2022-06-01,13379200
2022-07-01,13373500
2022-08-01,13422800
2022-09-01,13423700
2022-10-01,13443800
2022-11-01,13466600
2022-12-01,13468200
2023-01-01,13563300
2023-02-01,13583800
2023-03-01,13601300
2023-04-01,13611400
2023-05-01,13672100
2023-06-01,13727100
2023-07-01,13754800
2023-08-01,13772700
2023-09-01,13865500
2023-10-01,13874900
2023-11-01,13906500
