"Date","LFAC55TTCAM647S"
2006-04-01,2076700
2006-05-01,2098600
2006-06-01,2114200
2006-07-01,2144900
2006-08-01,2127300
2006-09-01,2133400
2006-10-01,2130200
2006-11-01,2153000
2006-12-01,2179100
2007-01-01,2169100
2007-02-01,2201000
2007-03-01,2197000
2007-04-01,2219300
2007-05-01,2212200
2007-06-01,2233900
2007-07-01,2242900
2007-08-01,2253300
2007-09-01,2255400
2007-10-01,2282000
2007-11-01,2275600
2007-12-01,2300200
2008-01-01,2310500
2008-02-01,2309200
2008-03-01,2325200
2008-04-01,2293000
2008-05-01,2333700
2008-06-01,2345700
2008-07-01,2325200
2008-08-01,2335700
2008-09-01,2354200
2008-10-01,2370200
2008-11-01,2379700
2008-12-01,2404700
2009-01-01,2450500
2009-02-01,2466100
2009-03-01,2476200
2009-04-01,2475000
2009-05-01,2466600
2009-06-01,2458800
2009-07-01,2489500
2009-08-01,2518400
2009-09-01,2480900
2009-10-01,2477900
2009-11-01,2510300
2009-12-01,2521400
2010-01-01,2539000
2010-02-01,2561700
2010-03-01,2544200
2010-04-01,2536300
2010-05-01,2562100
2010-06-01,2569700
2010-07-01,2606900
2010-08-01,2604400
2010-09-01,2649000
2010-10-01,2658300
2010-11-01,2690500
2010-12-01,2687500
2011-01-01,2698500
2011-02-01,2716300
2011-03-01,2694300
2011-04-01,2712900
2011-05-01,2682000
2011-06-01,2693300
2011-07-01,2687600
2011-08-01,2681100
2011-09-01,2687300
2011-10-01,2682600
2011-11-01,2702600
2011-12-01,2753200
2012-01-01,2759100
2012-02-01,2756500
2012-03-01,2780200
2012-04-01,2782400
2012-05-01,2775300
2012-06-01,2782300
2012-07-01,2776400
2012-08-01,2814500
2012-09-01,2828300
2012-10-01,2843700
2012-11-01,2840000
2012-12-01,2850500
2013-01-01,2878400
2013-02-01,2886900
2013-03-01,2881200
2013-04-01,2892600
2013-05-01,2914000
2013-06-01,2907400
2013-07-01,2926900
2013-08-01,2942200
2013-09-01,2932400
2013-10-01,2941900
2013-11-01,2960700
2013-12-01,2947700
2014-01-01,2961800
2014-02-01,2965200
2014-03-01,2967900
2014-04-01,2989300
2014-05-01,3004100
2014-06-01,3022300
2014-07-01,3024400
2014-08-01,2986400
2014-09-01,2992900
2014-10-01,3006400
2014-11-01,3001400
2014-12-01,2977600
2015-01-01,3014600
2015-02-01,3050600
2015-03-01,3073800
2015-04-01,3059700
2015-05-01,3086000
2015-06-01,3091600
2015-07-01,3096400
2015-08-01,3110800
2015-09-01,3088200
2015-10-01,3093100
2015-11-01,3118400
2015-12-01,3133800
2016-01-01,3154100
2016-02-01,3178100
2016-03-01,3178300
2016-04-01,3194700
2016-05-01,3189700
2016-06-01,3185800
2016-07-01,3195300
2016-08-01,3204900
2016-09-01,3236800
2016-10-01,3252700
2016-11-01,3215800
2016-12-01,3234000
2017-01-01,3263700
2017-02-01,3248300
2017-03-01,3240300
2017-04-01,3241700
2017-05-01,3249800
2017-06-01,3269500
2017-07-01,3264800
2017-08-01,3300600
2017-09-01,3284200
2017-10-01,3312100
2017-11-01,3334600
2017-12-01,3354400
2018-01-01,3337500
2018-02-01,3306900
2018-03-01,3328400
2018-04-01,3318400
2018-05-01,3366900
2018-06-01,3376500
2018-07-01,3390000
2018-08-01,3396100
2018-09-01,3406900
2018-10-01,3413100
2018-11-01,3451600
2018-12-01,3414300
2019-01-01,3407900
2019-02-01,3369600
2019-03-01,3402100
2019-04-01,3420900
2019-05-01,3468300
2019-06-01,3465400
2019-07-01,3459000
2019-08-01,3453500
2019-09-01,3485000
2019-10-01,3482300
2019-11-01,3483300
2019-12-01,3471900
2020-01-01,3498000
2020-02-01,3465600
2020-03-01,3410400
2020-04-01,3279700
2020-05-01,3355100
2020-06-01,3343100
2020-07-01,3441100
2020-08-01,3515500
2020-09-01,3413400
2020-10-01,3458000
2020-11-01,3462000
2020-12-01,3484300
2021-01-01,3579000
2021-02-01,3496800
2021-03-01,3560400
2021-04-01,3531800
2021-05-01,3599000
2021-06-01,3556800
2021-07-01,3545100
2021-08-01,3533500
2021-09-01,3521800
2021-10-01,3528700
2021-11-01,3535700
2021-12-01,3487500
2022-01-01,3516500
2022-02-01,3438100
2022-03-01,3465000
2022-04-01,3454900
2022-05-01,3479300
2022-06-01,3419100
2022-07-01,3425600
2022-08-01,3376000
2022-09-01,3455400
2022-10-01,3472100
2022-11-01,3463700
2022-12-01,3450400
2023-01-01,3484100
2023-02-01,3445000
2023-03-01,3489800
2023-04-01,3488000
2023-05-01,3517800
2023-06-01,3482500
2023-07-01,3498100
2023-08-01,3432600
2023-09-01,3455400
2023-10-01,3489100
2023-11-01,3495800
