"Date","LRUN55FECAM156S"
2010-06-01,5.46902272360923
2010-07-01,6.03006419707989
2010-08-01,6.46833367929694
2010-09-01,6.17980195601508
2010-10-01,6.3891868804587
2010-11-01,5.96086207032908
2010-12-01,6.03254116239736
2011-01-01,6.41070518831594
2011-02-01,6.65097063647305
2011-03-01,6.66301517675769
2011-04-01,7.19362097381194
2011-05-01,7.00733663286213
2011-06-01,5.83254512563352
2011-07-01,5.52652610765627
2011-08-01,6.11658418314052
2011-09-01,5.6543075308898
2011-10-01,6.46585727657186
2011-11-01,6.6285604944688
2011-12-01,6.80703431314944
2012-01-01,7.08574202004264
2012-02-01,5.83430524880686
2012-03-01,5.99811328933647
2012-04-01,6.19202842757622
2012-05-01,6.23093764565712
2012-06-01,6.18777502773476
2012-07-01,6.11813552035108
2012-08-01,5.30880918239422
