"Date","CANCPGRGO01GYM"
1977-10-01,9.11854103343464
1977-11-01,9.99999999999999
1977-12-01,10.5740181268882
1978-01-01,9.88023952095809
1978-02-01,9.1715976331361
1978-03-01,9.6774193548387
1978-04-01,9.30232558139536
1978-05-01,10.3746397694524
1978-06-01,10.5714285714286
1978-07-01,11.8980169971672
1978-08-01,11.0169491525424
1978-09-01,9.52380952380952
1978-10-01,10.5849582172702
1978-11-01,9.91735537190084
1978-12-01,9.56284153005464
1979-01-01,10.3542234332425
1979-02-01,11.1111111111111
1979-03-01,11.4973262032086
1979-04-01,11.968085106383
1979-05-01,10.7049608355091
1979-06-01,9.81912144702842
1979-07-01,8.60759493670886
1979-08-01,9.41475826972011
1979-09-01,11.2531969309463
1979-10-01,10.3274559193955
1979-11-01,10.7769423558897
1979-12-01,11.4713216957606
1980-01-01,10.8641975308642
1980-02-01,10.7317073170732
1980-03-01,9.83213429256593
1980-04-01,9.50118764845605
1980-05-01,10.377358490566
1980-06-01,11.764705882353
1980-07-01,11.4219114219114
1980-08-01,12.3255813953488
1980-09-01,11.9540229885058
1980-10-01,12.3287671232877
1980-11-01,13.1221719457013
1980-12-01,12.751677852349
1981-01-01,13.5857461024499
1981-02-01,13.4361233480176
1981-03-01,14.1921397379913
1981-04-01,14.0997830802603
1981-05-01,13.2478632478633
1981-06-01,13.6842105263158
1981-07-01,13.8075313807532
1981-08-01,13.4575569358178
1981-09-01,13.1416837782341
1981-10-01,12.6016260162602
1981-11-01,11.6
1981-12-01,10.9126984126984
1982-01-01,9.80392156862746
1982-02-01,10.0970873786408
1982-03-01,10.1338432122371
1982-04-01,9.88593155893535
1982-05-01,10.9433962264151
1982-06-01,9.99999999999999
1982-07-01,9.19117647058822
1982-08-01,8.75912408759125
1982-09-01,8.89292196007258
1982-10-01,8.30324909747291
1982-11-01,8.60215053763442
1982-12-01,8.22898032200356
1983-01-01,7.50000000000001
1983-02-01,6.70194003527336
1983-03-01,6.4236111111111
1983-04-01,6.05536332179931
1983-05-01,4.25170068027211
1983-06-01,5.05050505050506
1983-07-01,5.38720538720539
1983-08-01,5.36912751677853
1983-09-01,4.5
1983-10-01,5.16666666666667
1983-11-01,4.12541254125413
1983-12-01,4.62809917355372
1984-01-01,5.98006644518271
1984-02-01,6.44628099173554
1984-03-01,5.22022838499185
1984-04-01,5.38336052202283
1984-05-01,5.38336052202283
1984-06-01,4.00641025641026
1984-07-01,4.31309904153355
1984-08-01,3.66242038216559
1984-09-01,3.82775119617223
1984-10-01,3.486529318542
1984-11-01,4.27892234548336
1984-12-01,3.94944707740917
1985-01-01,4.07523510971787
1985-02-01,3.57142857142858
1985-03-01,3.56589147286822
1985-04-01,3.71517027863779
1985-05-01,3.86996904024768
1985-06-01,4.31432973805856
1985-07-01,3.67534456355284
1985-08-01,3.99385560675885
1985-09-01,3.99385560675885
1985-10-01,3.82848392036752
1985-11-01,3.64741641337386
1985-12-01,4.40729483282675
1986-01-01,4.21686746987952
1986-02-01,4.04797601199401
1986-03-01,3.59281437125749
1986-04-01,3.28358208955224
1986-05-01,3.42771982116246
1986-06-01,2.51107828655835
1986-07-01,2.95420974889217
1986-08-01,3.24963072378139
1986-09-01,3.397341211226
1986-10-01,3.53982300884958
1986-11-01,3.81231671554251
1986-12-01,3.05676855895195
1987-01-01,2.89017341040463
1987-02-01,3.02593659942362
1987-03-01,3.757225433526
1987-04-01,4.19075144508669
1987-05-01,4.46685878962535
1987-06-01,4.89913544668587
1987-07-01,5.02152080344333
1987-08-01,4.29184549356224
1987-09-01,4.14285714285715
1987-10-01,4.27350427350428
1987-11-01,3.95480225988701
1987-12-01,3.8135593220339
1988-01-01,3.93258426966291
1988-02-01,3.63636363636364
1988-03-01,3.2033426183844
1988-04-01,3.46740638002774
1988-05-01,3.72413793103449
1988-06-01,3.43406593406594
1988-07-01,3.41530054644808
1988-08-01,3.97805212620026
1988-09-01,3.97805212620026
1988-10-01,3.551912568306
1988-11-01,3.39673913043479
1988-12-01,3.40136054421769
1989-01-01,3.24324324324326
1989-02-01,3.91363022941971
1989-03-01,4.18353576248313
1989-04-01,3.75335120643432
1989-05-01,4.52127659574467
1989-06-01,4.78087649402391
1989-07-01,4.7556142668428
1989-08-01,4.35356200527703
1989-09-01,4.35356200527703
1989-10-01,4.61741424802111
1989-11-01,4.73061760840999
1989-12-01,4.3421052631579
1990-01-01,5.23560209424083
1990-02-01,4.93506493506492
1990-03-01,4.92227979274612
1990-04-01,4.39276485788113
1990-05-01,3.18066157760815
1990-06-01,3.42205323193915
1990-07-01,3.15258511979822
1990-08-01,3.28697850821746
1990-09-01,3.28697850821746
1990-10-01,3.90920554854981
1990-11-01,4.2659974905897
1990-12-01,4.53972257250946
1991-01-01,5.97014925373135
1991-02-01,4.95049504950496
1991-03-01,5.55555555555555
1991-04-01,5.69306930693071
1991-05-01,5.91861898890261
1991-06-01,6.00490196078432
1991-07-01,5.62347188264061
1991-08-01,5.63035495716033
1991-09-01,5.14075887392901
1991-10-01,3.64077669902913
1991-11-01,3.24909747292419
1991-12-01,2.65379975874547
1992-01-01,0.704225352112664
1992-02-01,1.17924528301887
1992-03-01,0.818713450292411
1992-04-01,0.936768149882905
1992-05-01,0.349243306169965
1992-06-01,0.115606936416185
1992-07-01,0.34722222222221
1992-08-01,0.347624565469294
1992-09-01,0.465657741559941
1992-10-01,0.936768149882905
1992-11-01,1.2820512820513
1992-12-01,2.11515863689778
1993-01-01,1.86480186480188
1993-02-01,2.33100233100233
1993-03-01,1.62412993039442
1993-04-01,1.50812064965196
1993-05-01,1.74013921113688
1993-06-01,1.5011547344111
1993-07-01,1.38408304498271
1993-08-01,1.270207852194
1993-09-01,1.62224797219004
1993-10-01,1.74013921113688
1993-11-01,1.84119677790563
1993-12-01,1.72612197928654
1994-01-01,1.25858123569793
1994-02-01,-1.13895216400911
1994-03-01,-1.14155251141553
1994-04-01,-1.02857142857143
1994-05-01,-1.7103762827822
1994-06-01,-1.47895335608648
1994-07-01,-1.36518771331059
1994-08-01,-1.02622576966933
1994-09-01,-1.25427594070696
1994-10-01,-1.5963511972634
1994-11-01,-1.5819209039548
1994-12-01,-1.47058823529413
1995-01-01,-0.790960451977402
1995-02-01,1.61290322580645
1995-03-01,2.07852193995383
1995-04-01,2.42494226327945
1995-05-01,3.01624129930393
1995-06-01,2.42494226327945
1995-07-01,2.19146482122261
1995-08-01,1.61290322580645
1995-09-01,1.96304849884527
1995-10-01,2.20162224797219
1995-11-01,1.72215843857635
1995-12-01,1.72215843857635
1996-01-01,1.0250569476082
1996-02-01,0.907029478458051
1996-03-01,1.13122171945701
1996-04-01,1.35287485907554
1996-05-01,1.57657657657658
1996-06-01,1.57835400225478
1996-07-01,1.12866817155755
1996-08-01,1.70068027210884
1996-09-01,1.69875424688562
1996-10-01,2.38095238095238
1996-11-01,2.5959367945824
1996-12-01,2.5959367945824
1997-01-01,2.70574971815106
1997-02-01,2.69662921348315
1997-03-01,2.34899328859059
1997-04-01,1.44605116796441
1997-05-01,1.10864745011087
1997-06-01,1.33185349611544
1997-07-01,1.56250000000001
1997-08-01,1.67224080267559
1997-09-01,1.44766146993317
1997-10-01,1.10741971207088
1997-11-01,0.550055005500551
1997-12-01,0.33003300330033
1998-01-01,0.768386388583986
1998-02-01,0.218818380743971
1998-03-01,0
1998-04-01,0.109649122807018
1998-05-01,0.438596491228058
1998-06-01,0.438116100766704
1998-07-01,0.32967032967033
1998-08-01,0.109649122807018
1998-09-01,-0.329308452250263
1998-10-01,0
1998-11-01,0.328227571115974
1998-12-01,0.109649122807018
1999-01-01,0
1999-02-01,0.109170305676868
1999-03-01,0.765027322404372
1999-04-01,1.64293537787513
1999-05-01,1.528384279476
1999-06-01,1.41766630316249
1999-07-01,1.97152245345015
1999-08-01,2.40963855421687
1999-09-01,3.19383259911895
1999-10-01,2.95728368017525
1999-11-01,2.39912758996729
1999-12-01,3.06681270536691
2000-01-01,2.39651416122005
2000-02-01,3.27153762268266
2000-03-01,3.90455531453361
2000-04-01,2.26293103448277
2000-05-01,2.47311827956988
2000-06-01,3.44086021505377
2000-07-01,3.43716433941998
2000-08-01,2.5668449197861
2000-09-01,3.0949839914621
2000-10-01,3.08510638297873
2000-11-01,4.0468583599574
2000-12-01,3.93198724760893
2001-01-01,3.19148936170212
2001-02-01,2.85110876451954
2001-03-01,2.4008350730689
2001-04-01,4.42571127502634
2001-05-01,5.35152151101784
2001-06-01,4.05405405405403
2001-07-01,2.6998961578401
