"Date","CCUSSP01CAM650N"
1975-06-01,0.971062342202369
1975-07-01,0.969743978183243
1975-08-01,0.968992238672556
1975-09-01,0.975419431306496
1975-10-01,0.983090837593394
1975-11-01,0.989119673698124
1975-12-01,0.984251968503937
1976-01-01,0.999000999999002
1976-02-01,1.01399310484689
1976-03-01,1.01584721657863
1976-04-01,1.02082482645978
1976-05-01,1.02207686017989
1976-06-01,1.03199174406605
1976-07-01,1.02480016396803
1976-08-01,1.02082482645978
1976-09-01,1.02944204241301
1976-10-01,1.02859494037091
1976-11-01,0.964878416008506
1976-12-01,0.991276764472641
1977-01-01,0.982318261470351
1977-02-01,0.956297217175098
1977-03-01,0.948856627763545
1977-04-01,0.955840174385011
1977-05-01,0.950931922317725
1977-06-01,0.94401962669669
1977-07-01,0.93475415965601
1977-08-01,0.930405656866394
1977-09-01,0.930578820026056
1977-10-01,0.90407739719806
1977-11-01,0.902201371346084
1977-12-01,0.914076782449726
1978-01-01,0.903016073686112
1978-02-01,0.896700143472023
1978-03-01,0.881911985183879
1978-04-01,0.885112401441738
1978-05-01,0.891662951404369
1978-06-01,0.89078923926599
1978-07-01,0.881134901753458
1978-08-01,0.869262865090403
1978-09-01,0.84430934781907
1978-10-01,0.859328005499699
1978-11-01,0.854481749513101
1978-12-01,0.84331253162422
1979-01-01,0.833819721222215
1979-02-01,0.837942014412603
1979-03-01,0.862515094014145
1979-04-01,0.874278712412321
1979-05-01,0.862068965517241
1979-06-01,0.85535882302626
1979-07-01,0.854189800973776
1979-08-01,0.858369106080422
1979-09-01,0.861846081718918
1979-10-01,0.843170327514084
1979-11-01,0.85638435262811
1979-12-01,0.857191846881466
1980-01-01,0.863930885529158
1980-02-01,0.872981238524498
1980-03-01,0.835980605249958
1980-04-01,0.841042893187553
1980-05-01,0.863259668508287
1980-06-01,0.869036246363398
1980-07-01,0.862515101453468
1980-08-01,0.86437895120044
1980-09-01,0.854408756445734
1980-10-01,0.849834282314949
1980-11-01,0.839701066420354
1980-12-01,0.837661256807348
1981-01-01,0.837030223797022
1981-02-01,0.832085212448704
1981-03-01,0.844309362076236
1981-04-01,0.835421888053467
1981-05-01,0.831117021276596
1981-06-01,0.83201598162922
1981-07-01,0.809257910496075
1981-08-01,0.831393422276301
1981-09-01,0.828843769820504
1981-10-01,0.833402790510899
1981-11-01,0.84990651750728
1981-12-01,0.843525938422606
1982-01-01,0.834724540901503
1982-02-01,0.812347691408186
1982-03-01,0.814929508597506
1982-04-01,0.818330612261298
1982-05-01,0.803858527362207
1982-06-01,0.774773384789443
1982-07-01,0.798530709882063
1982-08-01,0.806907124989914
1982-09-01,0.80899604246417
1982-10-01,0.815993478710677
1982-11-01,0.809061495218944
1982-12-01,0.813802083333333
1983-01-01,0.808603541683513
1983-02-01,0.813802083333333
1983-03-01,0.808342096906815
1983-04-01,0.816793269623458
1983-05-01,0.812809890374786
1983-06-01,0.814796708885193
1983-07-01,0.810832731783287
1983-08-01,0.811161589967242
1983-09-01,0.811556565492615
1983-10-01,0.811227393617485
1983-11-01,0.806776932688801
1983-12-01,0.803600129221794
1984-01-01,0.801089488112549
1984-02-01,0.800320134456344
1984-03-01,0.783637652093391
1984-04-01,0.776578395589035
1984-05-01,0.772260412172835
1984-06-01,0.759301448438128
