"Date","LFESEETTCAM647S"
1998-03-01,11572600
1998-04-01,11586100
1998-05-01,11596600
1998-06-01,11608200
1998-07-01,11650400
1998-08-01,11664900
1998-09-01,11685700
1998-10-01,11704000
1998-11-01,11747000
1998-12-01,11767200
1999-01-01,11824000
1999-02-01,11815700
1999-03-01,11839700
1999-04-01,11858000
1999-05-01,11877200
1999-06-01,11913900
1999-07-01,11998000
1999-08-01,12023700
1999-09-01,12060700
1999-10-01,12099600
1999-11-01,12127600
1999-12-01,12157900
2000-01-01,12170800
2000-02-01,12185200
2000-03-01,12249100
2000-04-01,12355800
2000-05-01,12350300
2000-06-01,12374300
2000-07-01,12395600
2000-08-01,12426400
2000-09-01,12473500
2000-10-01,12504300
2000-11-01,12548100
2000-12-01,12589200
2001-01-01,12599900
2001-02-01,12591600
2001-03-01,12592000
2001-04-01,12622100
2001-05-01,12661300
2001-06-01,12645500
2001-07-01,12670000
2001-08-01,12672500
2001-09-01,12701600
2001-10-01,12704500
2001-11-01,12707400
2001-12-01,12722900
2002-01-01,12759700
2002-02-01,12783400
2002-03-01,12854200
2002-04-01,12878500
2002-05-01,12905600
2002-06-01,12953000
2002-07-01,12981800
2002-08-01,13081400
2002-09-01,13060400
2002-10-01,13038300
2002-11-01,13096100
2002-12-01,13126200
2003-01-01,13159900
2003-02-01,13209400
2003-03-01,13212200
2003-04-01,13212800
2003-05-01,13206800
2003-06-01,13230600
2003-07-01,13242300
2003-08-01,13200200
2003-09-01,13244700
2003-10-01,13280500
2003-11-01,13325700
2003-12-01,13378000
2004-01-01,13385500
2004-02-01,13409100
2004-03-01,13408800
2004-04-01,13443400
2004-05-01,13446700
2004-06-01,13477700
2004-07-01,13467800
2004-08-01,13470800
2004-09-01,13514900
2004-10-01,13521300
2004-11-01,13513700
2004-12-01,13544700
2005-01-01,13562700
2005-02-01,13551900
2005-03-01,13546400
2005-04-01,13571100
2005-05-01,13570600
2005-06-01,13585100
2005-07-01,13634900
2005-08-01,13668700
2005-09-01,13630800
2005-10-01,13654900
2005-11-01,13689200
2005-12-01,13685000
2006-01-01,13682100
2006-02-01,13719700
2006-03-01,13784600
2006-04-01,13821100
2006-05-01,13939300
2006-06-01,13948100
2006-07-01,13967400
2006-08-01,13954400
2006-09-01,13973000
2006-10-01,14009100
2006-11-01,14002000
2006-12-01,14039900
2007-01-01,14079600
2007-02-01,14090600
2007-03-01,14106600
2007-04-01,14098400
2007-05-01,14086100
2007-06-01,14131700
2007-07-01,14202000
2007-08-01,14224700
2007-09-01,14270900
2007-10-01,14295100
2007-11-01,14312100
2007-12-01,14324200
2008-01-01,14349100
2008-02-01,14379400
2008-03-01,14384200
2008-04-01,14364900
2008-05-01,14379400
2008-06-01,14383800
2008-07-01,14377800
2008-08-01,14378900
2008-09-01,14381200
2008-10-01,14439700
2008-11-01,14347500
2008-12-01,14322500
2009-01-01,14189100
2009-02-01,14138000
