"Date","CANODMNTO02MLM"
2020-09-01,55565945000
2020-10-01,54116278000
2020-11-01,52452739000
2020-12-01,51360073000
2021-01-01,55121885000
2021-02-01,50006216000
2021-03-01,65575949000
2021-04-01,56633958000
2021-05-01,60938050000
2021-06-01,66513479000
2021-07-01,59221763000
2021-08-01,62367793000
2021-09-01,63229362000
2021-10-01,62606011000
2021-11-01,67646407000
2021-12-01,63765802000
2022-01-01,62157399000
2022-02-01,65896421000
2022-03-01,80150985000
2022-04-01,73652195000
2022-05-01,74901511000
2022-06-01,82319481000
2022-07-01,67328838000
2022-08-01,74141310000
2022-09-01,76608678000
2022-10-01,72039325000
2022-11-01,72572310000
2022-12-01,65714931000
2023-01-01,69456291000
2023-02-01,64992491000
2023-03-01,76314855000
2023-04-01,67805580000
2023-05-01,75312682000
2023-06-01,75328614000
2023-07-01,66743613000
2023-08-01,75615417000
2023-09-01,72378013000
