"Date","LFUN64MACAM647S"
1987-11-01,6e+05
1987-12-01,593100
1988-01-01,587000
1988-02-01,561400
1988-03-01,556800
1988-04-01,561600
1988-05-01,577200
1988-06-01,562000
1988-07-01,567300
1988-08-01,569200
1988-09-01,590600
1988-10-01,605800
1988-11-01,581400
1988-12-01,565200
1989-01-01,555900
1989-02-01,563300
1989-03-01,564300
1989-04-01,581600
1989-05-01,577700
1989-06-01,580900
1989-07-01,569800
1989-08-01,561300
1989-09-01,573200
1989-10-01,579200
1989-11-01,585200
1989-12-01,594400
1990-01-01,619100
1990-02-01,583000
1990-03-01,551700
1990-04-01,584400
1990-05-01,603800
1990-06-01,595500
1990-07-01,631100
1990-08-01,654700
1990-09-01,683500
1990-10-01,716600
1990-11-01,741500
1990-12-01,775100
1991-01-01,807700
1991-02-01,854000
1991-03-01,884200
1991-04-01,861000
1991-05-01,852100
1991-06-01,857500
1991-07-01,864000
1991-08-01,864700
1991-09-01,845500
1991-10-01,851600
1991-11-01,854900
1991-12-01,853600
1992-01-01,876400
1992-02-01,885200
1992-03-01,933600
1992-04-01,906800
1992-05-01,930300
1992-06-01,963800
1992-07-01,947100
1992-08-01,980600
1992-09-01,957900
1992-10-01,958900
1992-11-01,1014000
1992-12-01,969500
1993-01-01,935700
1993-02-01,908000
1993-03-01,943300
1993-04-01,948800
1993-05-01,950800
1993-06-01,970200
1993-07-01,964500
1993-08-01,924500
1993-09-01,945300
1993-10-01,923700
1993-11-01,934900
1993-12-01,936800
1994-01-01,959300
1994-02-01,934200
1994-03-01,884100
1994-04-01,914100
1994-05-01,880200
1994-06-01,847300
1994-07-01,839000
1994-08-01,841600
1994-09-01,842300
1994-10-01,821900
1994-11-01,816300
1994-12-01,805200
1995-01-01,785800
1995-02-01,773800
1995-03-01,796700
1995-04-01,785200
1995-05-01,798800
1995-06-01,786300
1995-07-01,803600
1995-08-01,786900
1995-09-01,758000
1995-10-01,777400
1995-11-01,753500
1995-12-01,774100
1996-01-01,795600
1996-02-01,799400
1996-03-01,802500
1996-04-01,777600
1996-05-01,785300
1996-06-01,815000
1996-07-01,798500
1996-08-01,766300
1996-09-01,803600
1996-10-01,816900
1996-11-01,820800
1996-12-01,809700
1997-01-01,793200
1997-02-01,805500
1997-03-01,786000
1997-04-01,795900
1997-05-01,784000
1997-06-01,738100
1997-07-01,746800
1997-08-01,740700
1997-09-01,739600
1997-10-01,730300
1997-11-01,726500
1997-12-01,709800
1998-01-01,728300
1998-02-01,705400
1998-03-01,687200
1998-04-01,697600
1998-05-01,697400
1998-06-01,715700
1998-07-01,728400
1998-08-01,695700
1998-09-01,704200
1998-10-01,698000
1998-11-01,698600
1998-12-01,701000
1999-01-01,677900
1999-02-01,671900
1999-03-01,672200
1999-04-01,702700
1999-05-01,677400
1999-06-01,647900
1999-07-01,658900
1999-08-01,657500
1999-09-01,666100
1999-10-01,638000
1999-11-01,610100
1999-12-01,587300
2000-01-01,587900
2000-02-01,573800
2000-03-01,571400
2000-04-01,577500
2000-05-01,577400
2000-06-01,601400
2000-07-01,582000
2000-08-01,614100
2000-09-01,603000
2000-10-01,607300
2000-11-01,609100
2000-12-01,589400
2001-01-01,599900
2001-02-01,616100
2001-03-01,645200
2001-04-01,643600
2001-05-01,635500
2001-06-01,649500
2001-07-01,633700
2001-08-01,643500
2001-09-01,633500
2001-10-01,653900
2001-11-01,677800
2001-12-01,757600
2002-01-01,786600
2002-02-01,752800
2002-03-01,741300
2002-04-01,717200
2002-05-01,721100
2002-06-01,692200
2002-07-01,707600
2002-08-01,690200
2002-09-01,705100
2002-10-01,708700
2002-11-01,703200
2002-12-01,711900
2003-01-01,697400
2003-02-01,704900
2003-03-01,689200
2003-04-01,705100
2003-05-01,731600
2003-06-01,722200
2003-07-01,731900
2003-08-01,745800
2003-09-01,727400
2003-10-01,717800
2003-11-01,703700
2003-12-01,689900
2004-01-01,691000
2004-02-01,699400
2004-03-01,702200
2004-04-01,687500
2004-05-01,677500
2004-06-01,686200
2004-07-01,655000
2004-08-01,643300
2004-09-01,654100
2004-10-01,660100
2004-11-01,666300
2004-12-01,677600
2005-01-01,659000
2005-02-01,664300
2005-03-01,655500
2005-04-01,652400
2005-05-01,660300
2005-06-01,647100
2005-07-01,655900
2005-08-01,644400
2005-09-01,626600
2005-10-01,618100
2005-11-01,605100
2005-12-01,602500
2006-01-01,630600
2006-02-01,619300
2006-03-01,602900
2006-04-01,595500
2006-05-01,586300
2006-06-01,590600
2006-07-01,617100
2006-08-01,629300
2006-09-01,644000
2006-10-01,614800
2006-11-01,640500
2006-12-01,626100
2007-01-01,614100
2007-02-01,615800
2007-03-01,610500
2007-04-01,615100
2007-05-01,598800
2007-06-01,599800
2007-07-01,583600
2007-08-01,589400
2007-09-01,587000
2007-10-01,615200
2007-11-01,607200
2007-12-01,623000
2008-01-01,607800
2008-02-01,595400
2008-03-01,616600
2008-04-01,625300
2008-05-01,619100
2008-06-01,643600
2008-07-01,630200
2008-08-01,624400
2008-09-01,662100
2008-10-01,663600
2008-11-01,705400
2008-12-01,710000
2009-01-01,817400
2009-02-01,912700
2009-03-01,930400
2009-04-01,940900
2009-05-01,943100
2009-06-01,940500
2009-07-01,936000
2009-08-01,925700
2009-09-01,906100
2009-10-01,900800
2009-11-01,916900
2009-12-01,926000
2010-01-01,906400
2010-02-01,905900
2010-03-01,891400
2010-04-01,863500
2010-05-01,869100
2010-06-01,833500
2010-07-01,855100
2010-08-01,851500
2010-09-01,826700
2010-10-01,804500
2010-11-01,800800
2010-12-01,796500
2011-01-01,800200
2011-02-01,805600
2011-03-01,812000
2011-04-01,804200
2011-05-01,784200
2011-06-01,783300
2011-07-01,758800
2011-08-01,744200
2011-09-01,750900
2011-10-01,749100
2011-11-01,757200
2011-12-01,771600
2012-01-01,783700
2012-02-01,764000
2012-03-01,743400
2012-04-01,749000
2012-05-01,762600
2012-06-01,750500
2012-07-01,754200
2012-08-01,763000
2012-09-01,759700
2012-10-01,772800
2012-11-01,758600
2012-12-01,733700
2013-01-01,721400
2013-02-01,696100
2013-03-01,728200
2013-04-01,734700
2013-05-01,734300
2013-06-01,746200
2013-07-01,747700
2013-08-01,756000
2013-09-01,732000
2013-10-01,756900
2013-11-01,759200
2013-12-01,776700
2014-01-01,754500
2014-02-01,754200
2014-03-01,744200
2014-04-01,731200
2014-05-01,750000
2014-06-01,755300
2014-07-01,749600
2014-08-01,733500
2014-09-01,750100
2014-10-01,723600
2014-11-01,707900
2014-12-01,681000
2015-01-01,708700
2015-02-01,744000
2015-03-01,720100
2015-04-01,736600
2015-05-01,736000
2015-06-01,732600
2015-07-01,746700
2015-08-01,751300
2015-09-01,747300
2015-10-01,746800
2015-11-01,764700
2015-12-01,786500
2016-01-01,795700
2016-02-01,808600
2016-03-01,798400
2016-04-01,799800
2016-05-01,752800
2016-06-01,748200
2016-07-01,742200
2016-08-01,746400
2016-09-01,745500
2016-10-01,739300
2016-11-01,740200
2016-12-01,742800
2017-01-01,740500
2017-02-01,708700
2017-03-01,730400
2017-04-01,702200
2017-05-01,719200
2017-06-01,683800
2017-07-01,660000
2017-08-01,650100
2017-09-01,667700
2017-10-01,665700
2017-11-01,641300
2017-12-01,638700
2018-01-01,611000
2018-02-01,614500
2018-03-01,603400
2018-04-01,613200
2018-05-01,612500
2018-06-01,630500
2018-07-01,629100
2018-08-01,627800
2018-09-01,610600
2018-10-01,611400
2018-11-01,606800
2018-12-01,603300
2019-01-01,635400
2019-02-01,631200
2019-03-01,627000
2019-04-01,622300
2019-05-01,604700
2019-06-01,624100
2019-07-01,627400
2019-08-01,641200
2019-09-01,620100
2019-10-01,614200
2019-11-01,644400
2019-12-01,612000
2020-01-01,596500
2020-02-01,616900
2020-03-01,763500
2020-04-01,1319600
2020-05-01,1390300
2020-06-01,1234600
2020-07-01,1162200
2020-08-01,1089800
2020-09-01,957900
2020-10-01,949200
2020-11-01,897700
2020-12-01,916300
2021-01-01,982200
2021-02-01,857900
2021-03-01,799100
2021-04-01,845000
2021-05-01,830600
2021-06-01,829100
2021-07-01,786500
2021-08-01,754100
2021-09-01,737300
2021-10-01,660500
2021-11-01,661000
2021-12-01,619200
2022-01-01,685400
2022-02-01,585100
2022-03-01,510800
2022-04-01,555800
2022-05-01,565200
2022-06-01,540900
2022-07-01,515300
2022-08-01,555800
2022-09-01,560900
2022-10-01,539600
2022-11-01,560300
2022-12-01,545600
2023-01-01,558000
2023-02-01,537200
2023-03-01,532800
2023-04-01,549000
2023-05-01,559600
2023-06-01,594500
2023-07-01,571900
2023-08-01,590800
2023-09-01,610000
2023-10-01,643400
2023-11-01,640200
