"Date","VALEXPCAM052N"
2020-04-01,2.2163e+10
2020-05-01,2.4915e+10
2020-06-01,3.1628e+10
2020-07-01,3.2685e+10
2020-08-01,3.3303e+10
2020-09-01,3.4987e+10
2020-10-01,3.5922e+10
2020-11-01,3.6024e+10
2020-12-01,3.753e+10
2021-01-01,3.8319e+10
2021-02-01,3.6302e+10
2021-03-01,4.3142e+10
2021-04-01,3.9713e+10
2021-05-01,4.2109e+10
2021-06-01,4.4908e+10
2021-07-01,4.1801e+10
2021-08-01,4.2515e+10
2021-09-01,4.1389e+10
2021-10-01,4.5531e+10
2021-11-01,4.6628e+10
2021-12-01,4.5185e+10
2022-01-01,4.3412e+10
