"Date","CANSTMNIS01STM"
1989-11-01,1.53
1989-12-01,1.53
1990-01-01,1.62
1990-02-01,1.58
1990-03-01,1.56
1990-04-01,1.59
1990-05-01,1.57
1990-06-01,1.57
1990-07-01,1.55
1990-08-01,1.6
1990-09-01,1.61
1990-10-01,1.57
1990-11-01,1.61
1990-12-01,1.64
1991-01-01,1.64
1991-02-01,1.68
1991-03-01,1.68
1991-04-01,1.62
1991-05-01,1.6
1991-06-01,1.58
1991-07-01,1.56
1991-08-01,1.56
1991-09-01,1.55
1991-10-01,1.56
1991-11-01,1.56
1991-12-01,1.57
1992-01-01,1.6
1992-02-01,1.56
1992-03-01,1.56
1992-04-01,1.53
1992-05-01,1.52
1992-06-01,1.48
1992-07-01,1.5
1992-08-01,1.49
1992-09-01,1.5
1992-10-01,1.46
1992-11-01,1.47
1992-12-01,1.45
1993-01-01,1.44
1993-02-01,1.42
1993-03-01,1.37
1993-04-01,1.39
1993-05-01,1.4
1993-06-01,1.41
1993-07-01,1.43
1993-08-01,1.4
1993-09-01,1.36
1993-10-01,1.38
1993-11-01,1.38
1993-12-01,1.41
1994-01-01,1.43
1994-02-01,1.44
1994-03-01,1.37
1994-04-01,1.37
1994-05-01,1.33
1994-06-01,1.33
1994-07-01,1.33
1994-08-01,1.3
1994-09-01,1.33
1994-10-01,1.31
1994-11-01,1.28
1994-12-01,1.28
1995-01-01,1.23
1995-02-01,1.28
1995-03-01,1.31
1995-04-01,1.34
1995-05-01,1.34
1995-06-01,1.36
1995-07-01,1.41
1995-08-01,1.35
1995-09-01,1.38
1995-10-01,1.4
1995-11-01,1.4
1995-12-01,1.39
1996-01-01,1.38
1996-02-01,1.4
1996-03-01,1.44
1996-04-01,1.41
1996-05-01,1.37
1996-06-01,1.35
1996-07-01,1.33
1996-08-01,1.35
1996-09-01,1.34
1996-10-01,1.4
1996-11-01,1.36
1996-12-01,1.38
1997-01-01,1.34
1997-02-01,1.35
1997-03-01,1.37
1997-04-01,1.35
1997-05-01,1.35
1997-06-01,1.36
1997-07-01,1.28
1997-08-01,1.35
1997-09-01,1.34
1997-10-01,1.35
1997-11-01,1.35
1997-12-01,1.33
1998-01-01,1.39
1998-02-01,1.36
1998-03-01,1.34
1998-04-01,1.36
1998-05-01,1.38
1998-06-01,1.46
1998-07-01,1.5
1998-08-01,1.42
1998-09-01,1.41
1998-10-01,1.38
1998-11-01,1.37
1998-12-01,1.34
1999-01-01,1.34
1999-02-01,1.33
1999-03-01,1.3
1999-04-01,1.32
1999-05-01,1.32
1999-06-01,1.3
1999-07-01,1.32
1999-08-01,1.29
1999-09-01,1.29
1999-10-01,1.32
1999-11-01,1.29
1999-12-01,1.27
2000-01-01,1.29
2000-02-01,1.33
2000-03-01,1.29
2000-04-01,1.34
2000-05-01,1.32
2000-06-01,1.32
2000-07-01,1.35
2000-08-01,1.33
2000-09-01,1.35
2000-10-01,1.33
2000-11-01,1.35
2000-12-01,1.35
2001-01-01,1.38
2001-02-01,1.45
2001-03-01,1.42
2001-04-01,1.42
2001-05-01,1.41
2001-06-01,1.44
2001-07-01,1.47
2001-08-01,1.45
2001-09-01,1.46
2001-10-01,1.5
2001-11-01,1.45
2001-12-01,1.46
2002-01-01,1.43
2002-02-01,1.39
2002-03-01,1.38
2002-04-01,1.36
2002-05-01,1.36
2002-06-01,1.34
2002-07-01,1.35
2002-08-01,1.35
2002-09-01,1.34
2002-10-01,1.35
2002-11-01,1.36
2002-12-01,1.38
2003-01-01,1.34
2003-02-01,1.33
2003-03-01,1.33
2003-04-01,1.36
2003-05-01,1.36
2003-06-01,1.38
2003-07-01,1.31
2003-08-01,1.36
2003-09-01,1.29
2003-10-01,1.3
2003-11-01,1.29
2003-12-01,1.29
2004-01-01,1.3
2004-02-01,1.29
2004-03-01,1.27
2004-04-01,1.27
2004-05-01,1.28
2004-06-01,1.27
2004-07-01,1.29
2004-08-01,1.3
2004-09-01,1.31
2004-10-01,1.31
2004-11-01,1.33
2004-12-01,1.34
2005-01-01,1.3
2005-02-01,1.31
2005-03-01,1.34
2005-04-01,1.33
2005-05-01,1.33
2005-06-01,1.33
2005-07-01,1.35
2005-08-01,1.31
2005-09-01,1.28
2005-10-01,1.27
2005-11-01,1.29
2005-12-01,1.26
2006-01-01,1.26
2006-02-01,1.3
2006-03-01,1.29
2006-04-01,1.29
2006-05-01,1.31
2006-06-01,1.28
2006-07-01,1.29
2006-08-01,1.28
2006-09-01,1.31
2006-10-01,1.33
2006-11-01,1.31
2006-12-01,1.24
2007-01-01,1.29
2007-02-01,1.3
2007-03-01,1.27
2007-04-01,1.28
2007-05-01,1.29
2007-06-01,1.31
2007-07-01,1.32
2007-08-01,1.32
2007-09-01,1.32
2007-10-01,1.31
2007-11-01,1.31
2007-12-01,1.36
2008-01-01,1.36
2008-02-01,1.31
2008-03-01,1.34
2008-04-01,1.32
2008-05-01,1.3
2008-06-01,1.29
2008-07-01,1.26
2008-08-01,1.32
2008-09-01,1.33
2008-10-01,1.36
2008-11-01,1.44
2008-12-01,1.56
2009-01-01,1.63
2009-02-01,1.58
2009-03-01,1.6
2009-04-01,1.56
2009-05-01,1.62
2009-06-01,1.57
2009-07-01,1.47
2009-08-01,1.48
2009-09-01,1.43
2009-10-01,1.43
2009-11-01,1.41
2009-12-01,1.38
2010-01-01,1.36
2010-02-01,1.36
2010-03-01,1.34
2010-04-01,1.31
2010-05-01,1.29
2010-06-01,1.31
2010-07-01,1.33
2010-08-01,1.34
2010-09-01,1.33
2010-10-01,1.32
2010-11-01,1.36
2010-12-01,1.33
2011-01-01,1.29
2011-02-01,1.32
2011-03-01,1.33
2011-04-01,1.36
2011-05-01,1.39
2011-06-01,1.41
2011-07-01,1.37
2011-08-01,1.35
2011-09-01,1.34
2011-10-01,1.34
2011-11-01,1.33
2011-12-01,1.31
2012-01-01,1.33
2012-02-01,1.35
2012-03-01,1.33
2012-04-01,1.33
2012-05-01,1.34
2012-06-01,1.34
2012-07-01,1.37
2012-08-01,1.37
2012-09-01,1.37
2012-10-01,1.39
2012-11-01,1.36
2012-12-01,1.38
2013-01-01,1.4
2013-02-01,1.35
2013-03-01,1.37
2013-04-01,1.38
2013-05-01,1.37
2013-06-01,1.38
2013-07-01,1.39
2013-08-01,1.37
2013-09-01,1.36
2013-10-01,1.35
2013-11-01,1.35
2013-12-01,1.38
2014-01-01,1.41
2014-02-01,1.38
2014-03-01,1.38
2014-04-01,1.39
2014-05-01,1.35
2014-06-01,1.35
2014-07-01,1.32
2014-08-01,1.36
2014-09-01,1.33
2014-10-01,1.33
2014-11-01,1.36
2014-12-01,1.33
2015-01-01,1.41
2015-02-01,1.43
2015-03-01,1.38
2015-04-01,1.42
2015-05-01,1.41
2015-06-01,1.39
2015-07-01,1.38
2015-08-01,1.39
2015-09-01,1.4
2015-10-01,1.42
2015-11-01,1.42
2015-12-01,1.4
2016-01-01,1.35
2016-02-01,1.4
2016-03-01,1.41
2016-04-01,1.37
2016-05-01,1.39
2016-06-01,1.38
2016-07-01,1.38
2016-08-01,1.37
2016-09-01,1.37
2016-10-01,1.37
2016-11-01,1.35
2016-12-01,1.32
2017-01-01,1.32
2017-02-01,1.35
2017-03-01,1.37
2017-04-01,1.36
2017-05-01,1.35
2017-06-01,1.37
2017-07-01,1.4
2017-08-01,1.38
2017-09-01,1.37
2017-10-01,1.38
2017-11-01,1.35
2017-12-01,1.36
2018-01-01,1.39
2018-02-01,1.38
2018-03-01,1.39
2018-04-01,1.42
2018-05-01,1.42
2018-06-01,1.39
2018-07-01,1.4
2018-08-01,1.43
2018-09-01,1.46
2018-10-01,1.45
2018-11-01,1.47
2018-12-01,1.5
2019-01-01,1.49
2019-02-01,1.51
2019-03-01,1.5
2019-04-01,1.51
2019-05-01,1.49
2019-06-01,1.52
2019-07-01,1.55
2019-08-01,1.54
2019-09-01,1.53
2019-10-01,1.53
2019-11-01,1.54
2019-12-01,1.54
2020-01-01,1.57
2020-02-01,1.54
2020-03-01,1.77
2020-04-01,2.43
2020-05-01,2.14
2020-06-01,1.75
2020-07-01,1.62
2020-08-01,1.62
2020-09-01,1.59
2020-10-01,1.58
2020-11-01,1.6
2020-12-01,1.56
2021-01-01,1.54
2021-02-01,1.56
2021-03-01,1.51
2021-04-01,1.54
2021-05-01,1.54
2021-06-01,1.51
2021-07-01,1.57
2021-08-01,1.58
2021-09-01,1.63
2021-10-01,1.6
2021-11-01,1.57
2021-12-01,1.58
2022-01-01,1.63
2022-02-01,1.55
2022-03-01,1.54
2022-04-01,1.53
2022-05-01,1.58
2022-06-01,1.62
2022-07-01,1.65
2022-08-01,1.71
2022-09-01,1.73
2022-10-01,1.7
2022-11-01,1.68
2022-12-01,1.71
2023-01-01,1.63
2023-02-01,1.72
2023-03-01,1.72
2023-04-01,1.73
2023-05-01,1.7
2023-06-01,1.74
2023-07-01,1.7
2023-08-01,1.68
2023-09-01,1.7
