"Date","XTIMVA01CAM659S"
1975-05-01,3.07455319220718
1975-06-01,10.0014406899413
1975-07-01,-4.71897536832509
1975-08-01,-0.0698365332242183
1975-09-01,-0.27386603492089
1975-10-01,-2.11900579161419
1975-11-01,-0.767769414378928
1975-12-01,-3.87054092917341
1976-01-01,3.80218306166527
1976-02-01,13.8399741115554
1976-03-01,5.87796117949944
1976-04-01,12.7212871377259
1976-05-01,14.190732226065
1976-06-01,11.2058262496597
1976-07-01,19.0139376073596
1976-08-01,11.7030850935347
1976-09-01,10.6717567448231
1976-10-01,7.73270630011135
1976-11-01,12.6253141391303
1976-12-01,9.9825968419524
1977-01-01,6.49930902577914
1977-02-01,4.39695142195473
1977-03-01,7.44598564486774
1977-04-01,7.83137524102679
1977-05-01,10.7588073851679
1977-06-01,2.27476643645128
