"Date","FAUTOSAAR"
1976-10-01,1.859
1976-11-01,1.753
1976-12-01,1.577
1977-01-01,1.771
1977-02-01,1.865
1977-03-01,1.902
1977-04-01,2.312
1977-05-01,2.35
1977-06-01,2.148
1977-07-01,2.179
1977-08-01,2.136
1977-09-01,2.087
1977-10-01,1.952
1977-11-01,2.077
1977-12-01,2.118
1978-01-01,2.026
1978-02-01,1.907
1978-03-01,1.993
1978-04-01,2.035
1978-05-01,2.016
1978-06-01,2.069
1978-07-01,1.976
1978-08-01,2.083
1978-09-01,2.07
1978-10-01,2.022
1978-11-01,1.968
1978-12-01,1.836
1979-01-01,1.937
1979-02-01,2.094
1979-03-01,2.58
1979-04-01,2.515
1979-05-01,2.562
1979-06-01,2.324
1979-07-01,2.285
1979-08-01,2.22
1979-09-01,2.23
1979-10-01,2.269
1979-11-01,2.392
1979-12-01,2.537
1980-01-01,2.981
1980-02-01,2.615
1980-03-01,2.384
1980-04-01,2.183
1980-05-01,2.026
1980-06-01,2.196
1980-07-01,2.502
1980-08-01,2.227
1980-09-01,2.329
1980-10-01,2.458
1980-11-01,2.444
1980-12-01,2.461
1981-01-01,2.48
1981-02-01,2.635
1981-03-01,2.551
1981-04-01,2.352
1981-05-01,2.274
1981-06-01,2.297
1981-07-01,2.338
1981-08-01,2.248
1981-09-01,2.128
1981-10-01,2.15
1981-11-01,2.207
1981-12-01,2.248
1982-01-01,2.447
1982-02-01,2.068
1982-03-01,2.024
1982-04-01,1.855
1982-05-01,2.027
1982-06-01,2.182
1982-07-01,2.195
1982-08-01,2.189
1982-09-01,2.266
1982-10-01,2.381
1982-11-01,2.518
1982-12-01,2.504
1983-01-01,2.484
1983-02-01,2.184
1983-03-01,2.208
1983-04-01,2.185
1983-05-01,2.248
1983-06-01,2.542
1983-07-01,2.468
1983-08-01,2.314
1983-09-01,2.126
1983-10-01,2.749
1983-11-01,2.539
1983-12-01,2.58
1984-01-01,2.552
1984-02-01,2.33
1984-03-01,2.284
1984-04-01,2.248
1984-05-01,2.548
1984-06-01,2.498
1984-07-01,2.335
1984-08-01,2.382
1984-09-01,2.383
1984-10-01,2.585
1984-11-01,2.545
1984-12-01,2.574
1985-01-01,2.514
1985-02-01,2.531
1985-03-01,2.365
1985-04-01,2.468
1985-05-01,2.852
1985-06-01,2.777
1985-07-01,2.839
1985-08-01,2.828
1985-09-01,2.909
1985-10-01,3.018
1985-11-01,3.056
1985-12-01,3.126
1986-01-01,2.965
1986-02-01,2.962
1986-03-01,2.95
1986-04-01,3.158
1986-05-01,3.131
1986-06-01,2.993
1986-07-01,3.226
1986-08-01,3.233
1986-09-01,3.532
1986-10-01,3.158
1986-11-01,3.284
1986-12-01,3.697
1987-01-01,2.524
1987-02-01,3.02
1987-03-01,2.936
1987-04-01,2.942
1987-05-01,2.81
1987-06-01,3.098
1987-07-01,3.246
1987-08-01,3.496
1987-09-01,3.422
1987-10-01,3.211
1987-11-01,3.13
1987-12-01,3.244
1988-01-01,3.13
1988-02-01,3.163
1988-03-01,3.047
1988-04-01,3.091
1988-05-01,3.001
1988-06-01,3.053
1988-07-01,2.906
1988-08-01,2.989
1988-09-01,2.909
1988-10-01,2.922
1988-11-01,2.891
1988-12-01,2.972
1989-01-01,2.73
1989-02-01,2.724
1989-03-01,2.764
1989-04-01,3.035
1989-05-01,2.801
1989-06-01,2.719
1989-07-01,2.686
1989-08-01,2.935
1989-09-01,2.652
1989-10-01,2.596
1989-11-01,2.462
1989-12-01,2.281
1990-01-01,2.634
1990-02-01,2.598
1990-03-01,2.629
1990-04-01,2.539
1990-05-01,2.437
1990-06-01,2.477
1990-07-01,2.364
1990-08-01,2.315
1990-09-01,2.251
1990-10-01,2.227
1990-11-01,2.234
1990-12-01,2.134
1991-01-01,1.77
1991-02-01,2.023
1991-03-01,2.236
1991-04-01,2.143
1991-05-01,2.087
1991-06-01,2.044
1991-07-01,2.09
1991-08-01,2.039
1991-09-01,2.123
1991-10-01,2.034
1991-11-01,1.967
1991-12-01,1.902
1992-01-01,2.014
1992-02-01,2.132
1992-03-01,2.022
1992-04-01,1.928
1992-05-01,1.967
1992-06-01,2.069
1992-07-01,1.788
1992-08-01,1.823
1992-09-01,1.862
1992-10-01,1.889
1992-11-01,1.855
1992-12-01,1.904
1993-01-01,1.82
1993-02-01,1.784
1993-03-01,1.688
1993-04-01,1.928
1993-05-01,1.937
1993-06-01,1.765
1993-07-01,1.844
1993-08-01,1.706
1993-09-01,1.735
1993-10-01,1.75
1993-11-01,1.721
1993-12-01,1.726
1994-01-01,1.721
1994-02-01,1.751
1994-03-01,1.808
1994-04-01,1.873
1994-05-01,1.696
1994-06-01,1.753
1994-07-01,1.829
1994-08-01,1.859
1994-09-01,1.693
1994-10-01,1.685
1994-11-01,1.584
1994-12-01,1.57
1995-01-01,1.559
1995-02-01,1.6
1995-03-01,1.565
1995-04-01,1.528
1995-05-01,1.633
1995-06-01,1.622
1995-07-01,1.468
1995-08-01,1.509
1995-09-01,1.459
1995-10-01,1.388
1995-11-01,1.359
1995-12-01,1.384
1996-01-01,1.21
1996-02-01,1.24
1996-03-01,1.351
1996-04-01,1.237
1996-05-01,1.267
1996-06-01,1.302
1996-07-01,1.213
1996-08-01,1.317
1996-09-01,1.304
1996-10-01,1.257
1996-11-01,1.3
1996-12-01,1.269
1997-01-01,1.342
1997-02-01,1.317
1997-03-01,1.394
1997-04-01,1.258
1997-05-01,1.247
1997-06-01,1.292
1997-07-01,1.345
1997-08-01,1.453
1997-09-01,1.382
1997-10-01,1.362
1997-11-01,1.35
1997-12-01,1.529
1998-01-01,1.251
1998-02-01,1.406
1998-03-01,1.355
1998-04-01,1.337
1998-05-01,1.394
1998-06-01,1.359
1998-07-01,1.392
1998-08-01,1.442
1998-09-01,1.235
1998-10-01,1.435
1998-11-01,1.395
1998-12-01,1.557
1999-01-01,1.451
1999-02-01,1.544
1999-03-01,1.562
1999-04-01,1.594
1999-05-01,1.782
1999-06-01,1.686
1999-07-01,1.77
1999-08-01,1.698
1999-09-01,1.712
1999-10-01,2.069
1999-11-01,1.914
1999-12-01,1.848
2000-01-01,2.021
2000-02-01,2.062
2000-03-01,1.968
2000-04-01,2.029
2000-05-01,2.033
2000-06-01,2.031
2000-07-01,2.019
2000-08-01,1.939
2000-09-01,2.077
2000-10-01,2.067
2000-11-01,1.931
2000-12-01,2.016
2001-01-01,2.043
2001-02-01,2.002
2001-03-01,1.976
2001-04-01,2.118
2001-05-01,2.032
2001-06-01,2.064
2001-07-01,2.023
2001-08-01,2.071
2001-09-01,1.947
2001-10-01,2.473
2001-11-01,2.212
2001-12-01,2.212
2002-01-01,2.278
2002-02-01,2.262
2002-03-01,2.25
2002-04-01,2.234
2002-05-01,2.129
2002-06-01,2.185
2002-07-01,2.312
2002-08-01,2.231
2002-09-01,2.299
2002-10-01,2.031
2002-11-01,2.243
2002-12-01,2.253
2003-01-01,2.294
2003-02-01,2.172
2003-03-01,2.148
2003-04-01,2.03
2003-05-01,1.978
2003-06-01,2.042
2003-07-01,2.051
2003-08-01,2.107
2003-09-01,2.096
2003-10-01,1.955
2003-11-01,2.134
2003-12-01,1.988
2004-01-01,1.894
2004-02-01,2.141
2004-03-01,2.157
2004-04-01,2.142
2004-05-01,2.225
2004-06-01,2.108
2004-07-01,1.991
2004-08-01,2.047
2004-09-01,2.1
2004-10-01,2.42
2004-11-01,2.275
2004-12-01,2.288
2005-01-01,2.092
2005-02-01,2.206
2005-03-01,2.186
2005-04-01,2.254
2005-05-01,2.156
2005-06-01,2.195
2005-07-01,2.237
2005-08-01,2.209
2005-09-01,2.266
2005-10-01,2.199
2005-11-01,2.113
2005-12-01,2.13
2006-01-01,2.163
2006-02-01,2.057
2006-03-01,2.122
2006-04-01,2.339
2006-05-01,2.368
2006-06-01,2.344
2006-07-01,2.535
2006-08-01,2.417
2006-09-01,2.388
2006-10-01,2.37
2006-11-01,2.403
2006-12-01,2.628
2007-01-01,2.448
2007-02-01,2.43
2007-03-01,2.424
2007-04-01,2.358
2007-05-01,2.432
2007-06-01,2.307
2007-07-01,2.252
2007-08-01,2.216
2007-09-01,2.346
2007-10-01,2.37
2007-11-01,2.399
2007-12-01,2.398
2008-01-01,2.265
2008-02-01,2.333
2008-03-01,2.535
2008-04-01,2.641
2008-05-01,2.822
2008-06-01,2.812
2008-07-01,2.534
2008-08-01,2.295
2008-09-01,1.94
2008-10-01,1.84
2008-11-01,1.72
2008-12-01,1.604
2009-01-01,1.673
2009-02-01,1.699
2009-03-01,1.766
2009-04-01,1.624
2009-05-01,1.75
2009-06-01,1.811
2009-07-01,2.096
2009-08-01,2.775
2009-09-01,1.687
2009-10-01,1.763
2009-11-01,1.745
2009-12-01,1.731
2010-01-01,1.794
2010-02-01,1.657
2010-03-01,1.684
2010-04-01,1.668
2010-05-01,1.773
2010-06-01,1.835
2010-07-01,1.888
2010-08-01,2.01
2010-09-01,1.956
2010-10-01,2.009
2010-11-01,1.908
2010-12-01,1.948
2011-01-01,1.887
2011-02-01,1.988
2011-03-01,2.099
2011-04-01,2.125
2011-05-01,1.985
2011-06-01,1.868
2011-07-01,1.857
2011-08-01,1.779
2011-09-01,1.835
2011-10-01,1.97
2011-11-01,1.982
2011-12-01,1.989
2012-01-01,2.149
2012-02-01,2.36
2012-03-01,2.174
2012-04-01,2.202
2012-05-01,1.997
2012-06-01,1.995
2012-07-01,2.014
2012-08-01,1.962
2012-09-01,2.159
2012-10-01,2.151
2012-11-01,2.215
2012-12-01,2.127
2013-01-01,2.141
2013-02-01,2.175
2013-03-01,2.011
2013-04-01,2.023
2013-05-01,2.069
2013-06-01,2.126
2013-07-01,2.2
2013-08-01,2.288
2013-09-01,2.196
2013-10-01,2.163
2013-11-01,2.209
2013-12-01,2.238
2014-01-01,2.067
2014-02-01,2.108
2014-03-01,2.198
2014-04-01,2.161
2014-05-01,2.212
2014-06-01,2.216
2014-07-01,2.196
2014-08-01,2.11
2014-09-01,1.976
2014-10-01,1.945
2014-11-01,1.904
2014-12-01,2.086
2015-01-01,1.928
2015-02-01,1.935
2015-03-01,2.133
2015-04-01,1.971
2015-05-01,1.967
2015-06-01,1.978
2015-07-01,1.883
2015-08-01,1.955
2015-09-01,1.925
2015-10-01,1.888
2015-11-01,1.872
2015-12-01,1.765
2016-01-01,1.742
2016-02-01,1.776
2016-03-01,1.758
2016-04-01,1.791
2016-05-01,1.77
2016-06-01,1.756
2016-07-01,1.722
2016-08-01,1.695
2016-09-01,1.719
2016-10-01,1.687
2016-11-01,1.712
2016-12-01,1.726
2017-01-01,1.642
2017-02-01,1.582
2017-03-01,1.516
2017-04-01,1.437
2017-05-01,1.395
2017-06-01,1.344
2017-07-01,1.417
2017-08-01,1.451
2017-09-01,1.564
2017-10-01,1.536
2017-11-01,1.562
2017-12-01,1.51
2018-01-01,1.291
2018-02-01,1.288
2018-03-01,1.277
2018-04-01,1.249
2018-05-01,1.286
2018-06-01,1.196
2018-07-01,1.141
2018-08-01,1.15
2018-09-01,1.249
2018-10-01,1.191
2018-11-01,1.192
2018-12-01,1.171
2019-01-01,1.154
2019-02-01,1.126
2019-03-01,1.195
2019-04-01,1.213
2019-05-01,1.238
2019-06-01,1.308
2019-07-01,1.237
2019-08-01,1.183
2019-09-01,1.131
2019-10-01,1.15
2019-11-01,1.102
2019-12-01,1.073
2020-01-01,1.023
2020-02-01,1.042
2020-03-01,0.651
2020-04-01,0.494
2020-05-01,0.8
2020-06-01,0.834
2020-07-01,0.859
2020-08-01,0.814
2020-09-01,0.892
2020-10-01,0.901
2020-11-01,0.871
2020-12-01,0.923
2021-01-01,1.044
2021-02-01,1.033
2021-03-01,1.182
2021-04-01,1.25
2021-05-01,1.206
2021-06-01,1.124
2021-07-01,1.049
2021-08-01,0.942
2021-09-01,0.881
2021-10-01,0.672
2021-11-01,0.627
2021-12-01,0.681
2022-01-01,0.847
2022-02-01,0.81
2022-03-01,0.755
2022-04-01,0.851
2022-05-01,0.817
2022-06-01,0.737
2022-07-01,0.784
2022-08-01,0.844
2022-09-01,0.834
2022-10-01,0.835
2022-11-01,0.854
2022-12-01,0.815
2023-01-01,0.887
2023-02-01,0.843
2023-03-01,0.835
2023-04-01,0.877
2023-05-01,0.831
2023-06-01,0.806
2023-07-01,0.828
2023-08-01,0.822
2023-09-01,0.885
2023-10-01,0.776
2023-11-01,0.829
