"Date","IR3TCP01CAM156N"
1970-05-01,7.855
1970-06-01,7.3275
1970-07-01,7.624
1970-08-01,7.6275
1970-09-01,6.86
1970-10-01,6.835
1970-11-01,6.12
1970-12-01,5.582
1971-01-01,5.775
1971-02-01,5.4725
1971-03-01,4.092
1971-04-01,3.745
1971-05-01,3.9025
1971-06-01,3.91
1971-07-01,4.4375
1971-08-01,4.545
1971-09-01,4.796
1971-10-01,5.155
1971-11-01,4.605
1971-12-01,4.396
1972-01-01,4.0625
1972-02-01,4.4975
1972-03-01,5.256
1972-04-01,5.7525
1972-05-01,6.018
1972-06-01,5.515
1972-07-01,4.98
1972-08-01,4.836
1972-09-01,5.025
1972-10-01,5.025
1972-11-01,5.124
1972-12-01,5.085
1973-01-01,5.116
1973-02-01,4.9375
1973-03-01,5.1025
1973-04-01,5.5825
1973-05-01,6.35
1973-06-01,7.085
1973-07-01,7.705
1973-08-01,8.31
1973-09-01,8.8025
1973-10-01,9.35
1973-11-01,9.35
1973-12-01,9.925
1974-01-01,9.468
1974-02-01,8.745
1974-03-01,8.9075
1974-04-01,10.4175
1974-05-01,11.782
1974-06-01,11.375
1974-07-01,11.648
1974-08-01,11.805
1974-09-01,11.54
1974-10-01,10.752
1974-11-01,9.795
1974-12-01,10.4175
1975-01-01,8.476
1975-02-01,6.895
1975-03-01,6.77
1975-04-01,7.094
1975-05-01,7.51
1975-06-01,7.2825
1975-07-01,7.484
1975-08-01,8.355
1975-09-01,8.94
1975-10-01,8.888
1975-11-01,9.1725
1975-12-01,9.418
1976-01-01,9.04
1976-02-01,8.9075
1976-03-01,9.806
1976-04-01,9.73
1976-05-01,9.435
1976-06-01,9.39
1976-07-01,9.34
1976-08-01,9.34
1976-09-01,9.47
1976-10-01,9.27
1976-11-01,9.04
1976-12-01,8.55
1977-01-01,8.1275
1977-02-01,7.835
1977-03-01,7.77
1977-04-01,7.64
1977-05-01,7.38
1977-06-01,7.042
1977-07-01,7.185
1977-08-01,7.51
1977-09-01,7.315
1977-10-01,7.38
1977-11-01,7.458
1977-12-01,7.2725
1978-01-01,7.1675
1978-02-01,7.2675
1978-03-01,7.57
1978-04-01,8.3575
1978-05-01,8.172
1978-06-01,8.3575
1978-07-01,8.4475
1978-08-01,8.942
1978-09-01,9.27
1978-10-01,9.78
1978-11-01,10.626
1978-12-01,10.6075
1979-01-01,10.97
1979-02-01,11.005
1979-03-01,11.11
1979-04-01,11.24
1979-05-01,11.286
1979-06-01,11.19
1979-07-01,11.2625
1979-08-01,11.79
1979-09-01,12
1979-10-01,13.47
1979-11-01,14.1625
1979-12-01,14.05
1980-01-01,13.91
1980-02-01,14.0375
1980-03-01,14.725
1980-04-01,16.13
1980-05-01,12.975
1980-06-01,11.6375
1980-07-01,11.03
1980-08-01,10.5625
1980-09-01,10.7625
1980-10-01,11.67
1980-11-01,13.0875
1980-12-01,17.02
1981-01-01,17.0125
1981-02-01,17.475
1981-03-01,16.9625
1981-04-01,17.22
1981-05-01,18.975
1981-06-01,19.25
1981-07-01,19.66
1981-08-01,22.0125
1981-09-01,20.54
1981-10-01,18.7875
1981-11-01,16.6125
1981-12-01,16
1982-01-01,15.025
1982-02-01,15.325
1982-03-01,15.74
1982-04-01,15.7375
1982-05-01,15.5375
1982-06-01,16.88
1982-07-01,16.2625
1982-08-01,14.7625
1982-09-01,13.61
1982-10-01,12.0125
1982-11-01,11.05
1982-12-01,10.56
1983-01-01,9.8875
1983-02-01,9.75
1983-03-01,9.37
1983-04-01,9.3625
1983-05-01,9.225
1983-06-01,9.35
1983-07-01,9.35
1983-08-01,9.44
1983-09-01,9.325
1983-10-01,9.3
1983-11-01,9.38
1983-12-01,9.85
1984-01-01,9.8375
1984-02-01,9.83
1984-03-01,10.35
1984-04-01,10.7
1984-05-01,11.43
1984-06-01,11.775
1984-07-01,12.9125
1984-08-01,12.38
1984-09-01,12.175
1984-10-01,11.95
1984-11-01,10.9875
1984-12-01,10.3375
1985-01-01,9.67
1985-02-01,10.575
1985-03-01,11.3
1985-04-01,10.1625
1985-05-01,9.75
1985-06-01,9.4875
1985-07-01,9.26
1985-08-01,9.1125
1985-09-01,9.0625
1985-10-01,8.71
1985-11-01,8.825
1985-12-01,9.2375
1986-01-01,10.16
1986-02-01,11.725
1986-03-01,11.025
1986-04-01,9.55
1986-05-01,8.575
1986-06-01,8.7
1986-07-01,8.47
1986-08-01,8.5125
1986-09-01,8.35
1986-10-01,8.44
1986-11-01,8.3875
1986-12-01,8.36
1987-01-01,7.925
1987-02-01,7.4375
1987-03-01,7.175
1987-04-01,7.62
1987-05-01,8.25
1987-06-01,8.4625
1987-07-01,8.64
1987-08-01,9.1375
1987-09-01,9.36
1987-10-01,9.1625
1987-11-01,8.775
1987-12-01,8.97
1988-01-01,8.7125
1988-02-01,8.55
1988-03-01,8.59
1988-04-01,8.8625
1988-05-01,9.0375
1988-06-01,9.37
1988-07-01,9.4125
1988-08-01,9.91
1988-09-01,10.475
1988-10-01,10.4375
1988-11-01,10.85
1988-12-01,11.1125
1989-01-01,11.2875
1989-02-01,11.5625
1989-03-01,12.21
1989-04-01,12.475
1989-05-01,12.402
1989-06-01,12.3125
1989-07-01,12.225
1989-08-01,12.292
1989-09-01,12.3275
1989-10-01,12.33
1989-11-01,12.352
1989-12-01,12.345
1990-01-01,12.244
1990-02-01,12.8425
1990-03-01,13.3575
1990-04-01,13.515
1990-05-01,13.76
1990-06-01,13.8175
1990-07-01,13.675
1990-08-01,13.256
1990-09-01,12.755
1990-10-01,12.578
1990-11-01,12.405
1990-12-01,12.05
1991-01-01,11.366
1991-02-01,10.52
1991-03-01,9.9575
1991-04-01,9.7075
1991-05-01,9.198
1991-06-01,8.8325
1991-07-01,8.76
1991-08-01,8.7225
1991-09-01,8.59
1991-10-01,8.366
1991-11-01,7.8475
1991-12-01,7.455
1992-01-01,7.31
1992-02-01,7.2525
1992-03-01,7.54
1992-04-01,7.118
1992-05-01,6.6175
1992-06-01,6.0325
1992-07-01,5.574
1992-08-01,5.1725
1992-09-01,5.038
1992-10-01,7.6375
1992-11-01,6.9325
1992-12-01,7.9
1993-01-01,6.9925
1993-02-01,6.395
1993-03-01,5.61
1993-04-01,5.275
1993-05-01,5.325
1993-06-01,4.88
1993-07-01,4.4725
1993-08-01,4.3075
1993-09-01,4.786
1993-10-01,4.7375
1993-11-01,4.3625
1993-12-01,4.092
1994-01-01,3.8725
1994-02-01,3.805
1994-03-01,4.206
1994-04-01,5.8875
1994-05-01,6.285
1994-06-01,6.394
1994-07-01,6.3625
1994-08-01,5.68
1994-09-01,5.6425
1994-10-01,5.44
1994-11-01,5.68
1994-12-01,6.5975
1995-01-01,7.838
1995-02-01,8.118
1995-03-01,8.314782609
1995-04-01,8.148421053
1995-05-01,7.561363636
1995-06-01,7.047727273
1995-07-01,6.666
1995-08-01,6.586818182
1995-09-01,6.6875
1995-10-01,6.697619048
1995-11-01,6.008095238
1995-12-01,5.895263158
1996-01-01,5.546818182
1996-02-01,5.222857143
1996-03-01,5.214761905
1996-04-01,5.008571429
1996-05-01,4.809090909
1996-06-01,4.849
1996-07-01,4.732727273
1996-08-01,4.267619048
1996-09-01,4.0785
1996-10-01,3.516818182
1996-11-01,3.0195
1996-12-01,3.1225
1997-01-01,3.152727273
1997-02-01,3.116
1997-03-01,3.2175
1997-04-01,3.460454545
1997-05-01,3.321904762
1997-06-01,3.265238095
1997-07-01,3.531818182
1997-08-01,3.638
1997-09-01,3.626666667
1997-10-01,3.799545455
1997-11-01,3.994736842
1997-12-01,4.567142857
1998-01-01,4.651904762
1998-02-01,4.9775
1998-03-01,4.874090909
1998-04-01,4.898095238
1998-05-01,5.02
1998-06-01,5.016818182
1998-07-01,5.051363636
1998-08-01,5.3055
1998-09-01,5.60047619
1998-10-01,5.275238095
1998-11-01,5.147
1998-12-01,5.002857143
1999-01-01,5.0045
1999-02-01,5.0335
1999-03-01,5.057391304
1999-04-01,4.716666667
1999-05-01,4.6155
1999-06-01,4.815454545
1999-07-01,4.792857143
1999-08-01,4.924761905
1999-09-01,4.83047619
1999-10-01,5.014
1999-11-01,5.040952381
1999-12-01,5.135238095
2000-01-01,5.2605
2000-02-01,5.312380952
2000-03-01,5.405652174
2000-04-01,5.516315789
2000-05-01,5.861818182
2000-06-01,5.917272727
2000-07-01,5.8785
2000-08-01,5.892727273
2000-09-01,5.8515
2000-10-01,5.844761905
2000-11-01,5.876666667
2000-12-01,5.763684211
2001-01-01,5.456363636
2001-02-01,5.2075
2001-03-01,4.748181818
2001-04-01,4.6025
2001-05-01,4.445909091
2001-06-01,4.41952381
2001-07-01,4.304285714
2001-08-01,4.062727273
2001-09-01,3.497894737
2001-10-01,2.896363636
2001-11-01,2.284761905
2001-12-01,2.117368421
2002-01-01,2.014090909
2002-02-01,2.116
2002-03-01,2.2405
2002-04-01,2.402727273
2002-05-01,2.610909091
2002-06-01,2.789
2002-07-01,2.875909091
2002-08-01,2.945714286
2002-09-01,2.9155
2002-10-01,2.880909091
2002-11-01,2.836
2002-12-01,2.857
2003-01-01,2.87
2003-02-01,2.921
2003-03-01,3.201904762
2003-04-01,3.301904762
2003-05-01,3.322857143
2003-06-01,3.215714286
2003-07-01,3.010454545
2003-08-01,2.854210526
2003-09-01,2.712857143
2003-10-01,2.695
2003-11-01,2.76
2003-12-01,2.707142857
2004-01-01,2.508095238
2004-02-01,2.323
2004-03-01,2.159565217
2004-04-01,2.068571429
2004-05-01,2.0675
2004-06-01,2.101818182
2004-07-01,2.105238095
2004-08-01,2.145238095
2004-09-01,2.412857143
2004-10-01,2.575
2004-11-01,2.703809524
2004-12-01,2.571904762
2005-01-01,2.564
2005-02-01,2.5825
2005-03-01,2.625909091
2005-04-01,2.584761905
2005-05-01,2.586190476
2005-06-01,2.583181818
2005-07-01,2.631
2005-08-01,2.77
2005-09-01,2.89
2005-10-01,3.099
2005-11-01,3.295714286
2005-12-01,3.469
2006-01-01,3.618571429
2006-02-01,3.763
2006-03-01,3.940869565
2006-04-01,4.122631579
2006-05-01,4.258636364
2006-06-01,4.417727273
2006-07-01,4.378
2006-08-01,4.344090909
2006-09-01,4.3215
2006-10-01,4.327619048
2006-11-01,4.312380952
2006-12-01,4.320588235
2007-01-01,4.333636364
2007-02-01,4.348
2007-03-01,4.345909091
2007-04-01,4.35
2007-05-01,4.368636364
2007-06-01,4.52952381
2007-07-01,4.68
2007-08-01,4.947272727
2007-09-01,5.119473684
2007-10-01,4.915
2007-11-01,4.767619048
2007-12-01,4.796315789
2008-01-01,4.246363636
2008-02-01,3.82
2008-03-01,3.583
2008-04-01,3.457
2008-05-01,3.1505
2008-06-01,3.177647059
2008-07-01,3.267
2008-08-01,3.23
2008-09-01,3.716666667
2008-10-01,3.318636364
2008-11-01,2.776315789
2008-12-01,2.344285714
2009-01-01,1.589047619
2009-02-01,1.231052632
2009-03-01,1.062727273
2009-04-01,0.898095238
2009-05-01,0.6365
2009-06-01,0.56
2009-07-01,0.383636364
2009-08-01,0.4205
2009-09-01,0.398095238
2009-10-01,0.386666667
2009-11-01,0.3805
2009-12-01,0.379047619
2010-01-01,0.38
2010-02-01,0.375789474
2010-03-01,0.385652174
2010-04-01,0.487619048
2010-05-01,0.6035
2010-06-01,0.724090909
2010-07-01,0.832857143
2010-08-01,0.902857143
2010-09-01,1.114285714
2010-10-01,1.157
2010-11-01,1.167142857
2010-12-01,1.17952381
2011-01-01,1.18
2011-02-01,1.188421053
2011-03-01,1.183913043
2011-04-01,1.184
2011-05-01,1.187142857
2011-06-01,1.169545455
2011-07-01,1.17
2011-08-01,1.151818182
2011-09-01,1.15
2011-10-01,1.1515
2011-11-01,1.15952381
2011-12-01,1.156
2012-01-01,1.158571429
2012-02-01,1.16
2012-03-01,1.152272727
2012-04-01,1.147
2012-05-01,1.179545455
2012-06-01,1.160952381
2012-07-01,1.16
2012-08-01,1.16
2012-09-01,1.16
2012-10-01,1.16
2012-11-01,1.16
2012-12-01,1.16
2013-01-01,1.16
2013-02-01,1.16
2013-03-01,1.16
2013-04-01,1.16
2013-05-01,1.16
2013-06-01,1.162
2013-07-01,1.167272727
2013-08-01,1.17
2013-09-01,1.168
2013-10-01,1.166818182
2013-11-01,1.17
2013-12-01,1.169
2014-01-01,1.17
2014-02-01,1.17
2014-03-01,1.17
2014-04-01,1.17
2014-05-01,1.177619048
2014-06-01,1.174285714
2014-07-01,1.17
2014-08-01,1.17
2014-09-01,1.17
2014-10-01,1.17
2014-11-01,1.175263158
2014-12-01,1.188571429
2015-01-01,1.122857143
2015-02-01,0.886315789
2015-03-01,0.893636364
2015-04-01,0.896190476
2015-05-01,0.89
2015-06-01,0.89
2015-07-01,0.740454545
2015-08-01,0.61
2015-09-01,0.651904762
2015-10-01,0.714761905
2015-11-01,0.7585
2015-12-01,0.817142857
2016-01-01,0.7965
2016-02-01,0.799
2016-03-01,0.8
2016-04-01,0.836190476
2016-05-01,0.836666667
2016-06-01,0.827727273
2016-07-01,0.8105
2016-08-01,0.82
2016-09-01,0.810952381
2016-10-01,0.816
2016-11-01,0.82
2016-12-01,0.823
2017-01-01,0.872380952
2017-02-01,0.876842105
2017-03-01,0.845652174
2017-04-01,0.843157895
2017-05-01,0.797727273
2017-06-01,0.828636364
2017-07-01,1.123
2017-08-01,1.198636364
2017-09-01,1.321
2017-10-01,1.329047619
2017-11-01,1.328095238
2017-12-01,1.372105263
2018-01-01,1.552727273
2018-02-01,1.547894737
2018-03-01,1.596190476
2018-04-01,1.639047619
2018-05-01,1.65
2018-06-01,1.65
2018-07-01,1.796190476
2018-08-01,1.842727273
2018-09-01,1.874736842
2018-10-01,2.013181818
2018-11-01,2.131904762
2018-12-01,2.192631579
2019-01-01,2.142984091
2019-02-01,1.988762632
2019-03-01,1.862237619
2019-04-01,1.863494286
2019-05-01,1.872109545
2019-06-01,1.8421995
2019-07-01,1.839895455
2019-08-01,1.840029048
2019-09-01,1.8327845
2019-10-01,1.844795
2019-11-01,1.845125
2019-12-01,1.9093095
2020-01-01,1.912473636
2020-02-01,1.802298421
2020-03-01,1.268552381
2020-04-01,0.48284619
2020-05-01,0.345920526
2020-06-01,0.305564091
2020-07-01,0.282998636
2020-08-01,0.25565
2020-09-01,0.25141619
2020-10-01,0.245218095
2020-11-01,0.237422
2020-12-01,0.235100952
2021-01-01,0.1978955
2021-02-01,0.178374737
2021-03-01,0.187311739
2021-04-01,0.1818125
2021-05-01,0.182691
2021-06-01,0.185575909
2021-07-01,0.203786667
2021-08-01,0.21185
2021-09-01,0.2215805
2021-10-01,0.2301405
2021-11-01,0.259345238
2021-12-01,0.270582381
2022-01-01,0.4571955
2022-02-01,0.620983684
2022-03-01,0.875734783
2022-04-01,1.34664
2022-05-01,1.781894286
2022-06-01,2.247345455
2022-07-01,3.030118421
2022-08-01,3.382212727
2022-09-01,3.791927
2022-10-01,4.2308335
2022-11-01,4.378057895
2022-12-01,4.5530185
2023-01-01,4.762475714
2023-02-01,4.688829474
2023-03-01,4.776982609
2023-04-01,4.799086316
2023-05-01,4.78852
2023-06-01,5.021802727
2023-07-01,5.2193255
2023-08-01,5.227468636
2023-09-01,5.2275005
2023-10-01,5.3206925
2023-11-01,5.235939524
