"Date","LFINTTFECAM647N"
1983-12-01,4688000
1984-01-01,4763300
1984-02-01,4703500
1984-03-01,4649800
1984-04-01,4679500
1984-05-01,4552500
1984-06-01,4517200
1984-07-01,4478400
1984-08-01,4489500
1984-09-01,4568200
1984-10-01,4594800
1984-11-01,4600800
1984-12-01,4645600
1985-01-01,4706100
1985-02-01,4654200
1985-03-01,4588500
1985-04-01,4594800
1985-05-01,4516600
1985-06-01,4466600
1985-07-01,4423500
1985-08-01,4426400
1985-09-01,4539100
1985-10-01,4532400
1985-11-01,4537200
1985-12-01,4571100
1986-01-01,4611400
1986-02-01,4582800
1986-03-01,4540200
1986-04-01,4547300
1986-05-01,4492000
1986-06-01,4398400
1986-07-01,4390500
1986-08-01,4409400
1986-09-01,4563000
1986-10-01,4553500
1986-11-01,4586500
1986-12-01,4621000
1987-01-01,4644700
1987-02-01,4616700
1987-03-01,4547700
1987-04-01,4563000
1987-05-01,4471400
1987-06-01,4395100
1987-07-01,4372000
1987-08-01,4387800
1987-09-01,4526400
1987-10-01,4506600
1987-11-01,4528500
1987-12-01,4539800
1988-01-01,4596500
1988-02-01,4557600
1988-03-01,4508100
1988-04-01,4523500
1988-05-01,4427600
1988-06-01,4372600
1988-07-01,4323000
1988-08-01,4335200
1988-09-01,4480700
1988-10-01,4469500
1988-11-01,4491900
1988-12-01,4526600
1989-01-01,4517500
1989-02-01,4517000
1989-03-01,4469200
1989-04-01,4490200
1989-05-01,4408900
1989-06-01,4382500
1989-07-01,4345900
1989-08-01,4347100
1989-09-01,4508300
1989-10-01,4496000
1989-11-01,4507400
1989-12-01,4511800
1990-01-01,4549100
1990-02-01,4521400
1990-03-01,4535000
1990-04-01,4529600
1990-05-01,4439300
1990-06-01,4380200
1990-07-01,4349100
1990-08-01,4361000
1990-09-01,4514600
1990-10-01,4498200
1990-11-01,4540500
1990-12-01,4589900
1991-01-01,4637800
1991-02-01,4622200
1991-03-01,4562400
1991-04-01,4607800
1991-05-01,4502300
1991-06-01,4438400
1991-07-01,4404700
1991-08-01,4414400
1991-09-01,4609100
1991-10-01,4593400
1991-11-01,4648100
1991-12-01,4697300
1992-01-01,4753800
1992-02-01,4719600
1992-03-01,4704800
1992-04-01,4746200
1992-05-01,4650700
1992-06-01,4575400
1992-07-01,4537000
1992-08-01,4554400
1992-09-01,4737300
1992-10-01,4741800
1992-11-01,4710800
1992-12-01,4772800
1993-01-01,4872800
1993-02-01,4859900
1993-03-01,4796700
1993-04-01,4817600
1993-05-01,4708200
1993-06-01,4643700
1993-07-01,4611800
1993-08-01,4642500
1993-09-01,4787100
1993-10-01,4798700
1993-11-01,4805200
1993-12-01,4854600
1994-01-01,4931000
1994-02-01,4925200
1994-03-01,4901400
1994-04-01,4914300
1994-05-01,4787600
1994-06-01,4737700
1994-07-01,4709600
1994-08-01,4709200
1994-09-01,4850400
1994-10-01,4863300
1994-11-01,4892300
1994-12-01,4912600
1995-01-01,4944800
1995-02-01,4950300
1995-03-01,4913300
1995-04-01,4981900
1995-05-01,4865500
1995-06-01,4799000
1995-07-01,4759300
1995-08-01,4783000
1995-09-01,4945800
1995-10-01,4955300
1995-11-01,5008700
1995-12-01,5033900
1996-01-01,5072000
1996-02-01,5036800
1996-03-01,5033200
1996-04-01,5058700
1996-05-01,4941600
1996-06-01,4852800
1996-07-01,4820800
1996-08-01,4838700
1996-09-01,4975800
1996-10-01,5000400
1996-11-01,5032200
1996-12-01,5076300
1997-01-01,5110700
1997-02-01,5092000
1997-03-01,5073900
1997-04-01,5062900
1997-05-01,4943500
1997-06-01,4844600
1997-07-01,4854100
1997-08-01,4838000
1997-09-01,5014300
1997-10-01,5019400
1997-11-01,5034400
1997-12-01,5104300
1998-01-01,5128000
1998-02-01,5090200
1998-03-01,5074900
1998-04-01,5060400
1998-05-01,4940500
1998-06-01,4881100
1998-07-01,4849900
1998-08-01,4834900
1998-09-01,4956800
1998-10-01,4979200
1998-11-01,4987700
1998-12-01,5005800
1999-01-01,5060700
1999-02-01,5049500
1999-03-01,5052100
1999-04-01,4999900
1999-05-01,4878300
1999-06-01,4853700
1999-07-01,4811700
1999-08-01,4822000
1999-09-01,4996900
1999-10-01,5022700
1999-11-01,5053900
1999-12-01,5072800
2000-01-01,5121800
2000-02-01,5060100
2000-03-01,5046300
2000-04-01,5047500
2000-05-01,4920600
2000-06-01,4866900
2000-07-01,4843000
2000-08-01,4817900
2000-09-01,4976000
2000-10-01,4969700
2000-11-01,4990800
2000-12-01,5022700
2001-01-01,5073200
2001-02-01,5084900
2001-03-01,5056300
2001-04-01,5037600
2001-05-01,4916500
2001-06-01,4897700
2001-07-01,4874200
2001-08-01,4859300
2001-09-01,5025200
2001-10-01,5040500
2001-11-01,5027400
2001-12-01,5041500
2002-01-01,5069900
2002-02-01,5080800
2002-03-01,5041600
2002-04-01,5018800
2002-05-01,4875700
2002-06-01,4821900
2002-07-01,4789400
2002-08-01,4733900
2002-09-01,4899300
2002-10-01,4898400
2002-11-01,4895500
2002-12-01,4903000
2003-01-01,4970800
2003-02-01,4944300
2003-03-01,4935300
2003-04-01,4935200
2003-05-01,4790500
2003-06-01,4745300
2003-07-01,4739800
2003-08-01,4696300
2003-09-01,4866400
2003-10-01,4878200
2003-11-01,4879400
2003-12-01,4876500
2004-01-01,4972200
2004-02-01,4965900
2004-03-01,4975100
2004-04-01,4961400
2004-05-01,4810200
2004-06-01,4755800
2004-07-01,4779100
2004-08-01,4782700
2004-09-01,4968200
2004-10-01,4967800
2004-11-01,4947000
2004-12-01,4989600
2005-01-01,5074800
2005-02-01,5046900
2005-03-01,5079400
2005-04-01,5069700
2005-05-01,4925000
2005-06-01,4898000
2005-07-01,4921500
2005-08-01,4880700
2005-09-01,5068900
2005-10-01,5047100
2005-11-01,5085000
2005-12-01,5093800
2006-01-01,5115100
2006-02-01,5133100
2006-03-01,5122200
2006-04-01,5096400
2006-05-01,4949400
2006-06-01,4931400
2006-07-01,4909900
2006-08-01,4936600
2006-09-01,5127900
2006-10-01,5114800
2006-11-01,5121100
2006-12-01,5128500
2007-01-01,5155900
2007-02-01,5143800
2007-03-01,5106800
2007-04-01,5134300
2007-05-01,4998600
2007-06-01,4964100
2007-07-01,4944400
2007-08-01,4909300
2007-09-01,5081800
2007-10-01,5078100
2007-11-01,5092600
2007-12-01,5130500
2008-01-01,5192900
2008-02-01,5147300
2008-03-01,5168700
2008-04-01,5175100
2008-05-01,4999000
2008-06-01,4998500
2008-07-01,5036700
2008-08-01,4992000
2008-09-01,5188000
2008-10-01,5151500
2008-11-01,5192800
2008-12-01,5181600
2009-01-01,5288000
2009-02-01,5248500
2009-03-01,5227400
2009-04-01,5223000
2009-05-01,5064400
2009-06-01,5056600
2009-07-01,5101100
2009-08-01,5029300
2009-09-01,5250700
2009-10-01,5287100
2009-11-01,5245400
2009-12-01,5307900
2010-01-01,5335600
2010-02-01,5337600
2010-03-01,5331900
2010-04-01,5308600
2010-05-01,5173600
2010-06-01,5119200
2010-07-01,5149200
2010-08-01,5083000
2010-09-01,5311400
2010-10-01,5323100
2010-11-01,5368800
2010-12-01,5401600
2011-01-01,5386200
2011-02-01,5383400
2011-03-01,5417800
2011-04-01,5374100
2011-05-01,5262800
2011-06-01,5230700
2011-07-01,5263600
2011-08-01,5211600
2011-09-01,5446200
2011-10-01,5459400
2011-11-01,5455100
2011-12-01,5500800
2012-01-01,5499400
2012-02-01,5507500
2012-03-01,5492400
2012-04-01,5426500
2012-05-01,5321100
2012-06-01,5310700
2012-07-01,5356200
2012-08-01,5254600
2012-09-01,5453400
2012-10-01,5451600
2012-11-01,5445100
2012-12-01,5467100
2013-01-01,5500800
2013-02-01,5459700
2013-03-01,5486600
2013-04-01,5492400
2013-05-01,5371400
2013-06-01,5332300
2013-07-01,5375800
2013-08-01,5297300
2013-09-01,5518500
2013-10-01,5527900
2013-11-01,5562500
2013-12-01,5591800
2014-01-01,5647800
2014-02-01,5638100
2014-03-01,5647000
2014-04-01,5633300
2014-05-01,5469900
2014-06-01,5439800
2014-07-01,5484100
2014-08-01,5480900
2014-09-01,5665100
2014-10-01,5681700
2014-11-01,5687200
2014-12-01,5746300
2015-01-01,5767900
2015-02-01,5745000
2015-03-01,5695100
2015-04-01,5710800
2015-05-01,5584000
2015-06-01,5571500
2015-07-01,5609100
2015-08-01,5535400
2015-09-01,5713600
2015-10-01,5719500
2015-11-01,5739900
2015-12-01,5755600
2016-01-01,5812900
2016-02-01,5815500
2016-03-01,5781300
2016-04-01,5767000
2016-05-01,5647200
2016-06-01,5614100
2016-07-01,5671800
2016-08-01,5646300
2016-09-01,5808200
2016-10-01,5796000
2016-11-01,5846400
2016-12-01,5830100
2017-01-01,5847900
2017-02-01,5868200
2017-03-01,5855700
2017-04-01,5875500
2017-05-01,5702600
2017-06-01,5627900
2017-07-01,5675300
2017-08-01,5673200
2017-09-01,5872300
2017-10-01,5856300
2017-11-01,5880400
2017-12-01,5876800
2018-01-01,5980200
2018-02-01,5977000
2018-03-01,5975100
2018-04-01,5978900
2018-05-01,5823500
2018-06-01,5772700
2018-07-01,5804200
2018-08-01,5734000
2018-09-01,5934800
2018-10-01,5939400
2018-11-01,5967100
2018-12-01,5962100
2019-01-01,6030600
2019-02-01,5989700
2019-03-01,6007200
2019-04-01,5967000
2019-05-01,5855200
2019-06-01,5807300
2019-07-01,5894700
2019-08-01,5830000
2019-09-01,5974800
2019-10-01,5985100
2019-11-01,6013600
2019-12-01,6045500
2020-01-01,6107000
2020-02-01,6112200
2020-03-01,6489900
2020-04-01,7032100
2020-05-01,6705900
2020-06-01,6245700
2020-07-01,6207100
2020-08-01,6077100
2020-09-01,6200300
2020-10-01,6173700
2020-11-01,6195600
2020-12-01,6254000
2021-01-01,6367100
2021-02-01,6295300
2021-03-01,6244300
2021-04-01,6289300
2021-05-01,6159200
2021-06-01,6026500
2021-07-01,6076000
2021-08-01,5995100
2021-09-01,6130900
2021-10-01,6165400
2021-11-01,6172200
2021-12-01,6183300
2022-01-01,6290300
2022-02-01,6213600
2022-03-01,6187400
2022-04-01,6200700
2022-05-01,6030500
2022-06-01,6043200
2022-07-01,6143300
2022-08-01,6111600
2022-09-01,6295000
2022-10-01,6240200
2022-11-01,6282100
2022-12-01,6297300
2023-01-01,6294000
2023-02-01,6259600
2023-03-01,6269200
2023-04-01,6304800
2023-05-01,6163000
2023-06-01,6145600
2023-07-01,6199900
2023-08-01,6203700
2023-09-01,6402600
2023-10-01,6426500
2023-11-01,6459900
