"Date","XTEXVA01CAM664N"
1994-04-01,1.8083e+10
1994-05-01,18412900000
1994-06-01,20584800000
1994-07-01,16859500000
1994-08-01,19178500000
1994-09-01,19810200000
1994-10-01,20970300000
1994-11-01,21827300000
1994-12-01,20766100000
1995-01-01,21387400000
1995-02-01,20747200000
1995-03-01,23106400000
1995-04-01,21497800000
1995-05-01,22508700000
1995-06-01,23024100000
1995-07-01,17900200000
1995-08-01,22018400000
1995-09-01,22260400000
1995-10-01,23146600000
1995-11-01,2.2932e+10
1995-12-01,21737800000
1996-01-01,21572400000
1996-02-01,21885800000
1996-03-01,23057400000
1996-04-01,23275500000
1996-05-01,24183800000
1996-06-01,23635900000
1996-07-01,20963300000
1996-08-01,23151900000
1996-09-01,23911900000
1996-10-01,2.3762e+10
1996-11-01,23753500000
1996-12-01,22665900000
1997-01-01,23909200000
1997-02-01,23303500000
1997-03-01,25280200000
1997-04-01,25360500000
1997-05-01,25427700000
1997-06-01,24653500000
1997-07-01,22579700000
1997-08-01,24200400000
1997-09-01,25564100000
1997-10-01,26379800000
1997-11-01,25606800000
1997-12-01,25803900000
1998-01-01,2.3995e+10
1998-02-01,24941900000
1998-03-01,27270300000
1998-04-01,26804600000
1998-05-01,26481100000
1998-06-01,2.6228e+10
1998-07-01,23230100000
1998-08-01,26281500000
1998-09-01,28023500000
1998-10-01,29384500000
1998-11-01,28350600000
1998-12-01,27424100000
1999-01-01,26571500000
1999-02-01,27559300000
1999-03-01,30916200000
1999-04-01,28711900000
1999-05-01,28837700000
1999-06-01,30404700000
1999-07-01,26452200000
1999-08-01,30467300000
1999-09-01,30781700000
1999-10-01,31622500000
1999-11-01,32478800000
1999-12-01,3.0617e+10
2000-01-01,3.0629e+10
2000-02-01,31646200000
2000-03-01,36362200000
2000-04-01,32441200000
2000-05-01,35971800000
2000-06-01,36303900000
2000-07-01,3.0601e+10
2000-08-01,35254200000
2000-09-01,34719900000
2000-10-01,3.7106e+10
2000-11-01,36968700000
2000-12-01,35211100000
2001-01-01,37237800000
2001-02-01,33240100000
2001-03-01,37703400000
2001-04-01,35104100000
2001-05-01,3.6611e+10
2001-06-01,34592800000
2001-07-01,29605900000
2001-08-01,32944900000
2001-09-01,31155900000
2001-10-01,33190500000
2001-11-01,33712600000
2001-12-01,28986700000
2002-01-01,31076400000
2002-02-01,31047900000
2002-03-01,33231200000
2002-04-01,34379500000
2002-05-01,34858100000
2002-06-01,3.2423e+10
2002-07-01,30196400000
2002-08-01,3.3686e+10
2002-09-01,33635200000
2002-10-01,36350200000
2002-11-01,34206800000
2002-12-01,3.1291e+10
2003-01-01,33047800000
2003-02-01,31446200000
2003-03-01,35763900000
2003-04-01,32687800000
2003-05-01,31988200000
2003-06-01,30825800000
2003-07-01,28990300000
2003-08-01,29973200000
2003-09-01,32244400000
2003-10-01,33002900000
2003-11-01,30858700000
2003-12-01,30343200000
2004-01-01,29828900000
2004-02-01,31524300000
2004-03-01,36307900000
2004-04-01,35219900000
2004-05-01,36097500000
2004-06-01,38940900000
2004-07-01,32768700000
2004-08-01,35658400000
2004-09-01,34460800000
2004-10-01,34696800000
2004-11-01,34034200000
2004-12-01,32751500000
2005-01-01,33014200000
2005-02-01,32922500000
2005-03-01,36253100000
