"Date","LREM55MACAM156N"
1991-08-01,57.2823779193206
1991-09-01,57.5394803871625
1991-10-01,57.6557460533016
1991-11-01,56.651959952486
1991-12-01,55.1577875805904
1992-01-01,53.7143826322931
1992-02-01,54.2903171103951
1992-03-01,53.9452495974235
1992-04-01,54.2143159678102
1992-05-01,55.8293116586233
1992-06-01,56.2108647825351
1992-07-01,55.806478897065
1992-08-01,55.4653816890692
1992-09-01,56.3461213452763
1992-10-01,56.465917729538
1992-11-01,55.4204660587639
1992-12-01,54.7349763673194
1993-01-01,54.2984898337974
1993-02-01,54.0472175379427
1993-03-01,54.3738412270352
1993-04-01,54.084554488799
1993-05-01,53.6402659708779
1993-06-01,54.8595930721372
1993-07-01,54.8097118373519
1993-08-01,54.3135280295401
1993-09-01,54.5530773100788
1993-10-01,53.7030831099196
1993-11-01,53.0637870416876
1993-12-01,51.9531576746131
1994-01-01,50.8817384036774
1994-02-01,52.0203706795792
1994-03-01,52.3980315289015
1994-04-01,53.0455795350388
1994-05-01,54.2571785268414
1994-06-01,55.2053883252952
1994-07-01,53.8046187074265
1994-08-01,54.1078838174274
1994-09-01,55.319678248611
1994-10-01,55.2581420402751
1994-11-01,54.7788636740103
1994-12-01,53.7913907284768
1995-01-01,52.4975190208402
1995-02-01,53.3145974541246
1995-03-01,53.597092591063
1995-04-01,52.9834117355781
1995-05-01,53.3882934872218
1995-06-01,53.7846964829915
1995-07-01,53.4479921000658
1995-08-01,53.6210439786272
1995-09-01,53.7368593955322
1995-10-01,53.889709502708
1995-11-01,53.0786258916127
1995-12-01,52.7643541649603
1996-01-01,51.5548281505728
1996-02-01,52.4478953821005
1996-03-01,52.9186056004572
1996-04-01,52.805415103572
1996-05-01,53.8029315960912
1996-06-01,54.7746868391085
1996-07-01,54.9870045484081
1996-08-01,54.4945643355509
1996-09-01,53.9982176132221
1996-10-01,54.3335761107065
1996-11-01,54.0295853205076
1996-12-01,53.5492207058063
1997-01-01,52.6451612903226
1997-02-01,53.999838878595
1997-03-01,54.3852590923721
1997-04-01,54.4490844844202
1997-05-01,55.8656082110496
1997-06-01,56.8581946222791
1997-07-01,55.6088207094918
1997-08-01,56.332748444728
1997-09-01,56.283326701154
1997-10-01,56.255461116848
1997-11-01,54.9944506104329
1997-12-01,54.5066075809132
1998-01-01,53.6275361174706
1998-02-01,53.7134756241632
1998-03-01,53.2694121345489
1998-04-01,52.5762685279586
1998-05-01,54.6443383676344
1998-06-01,55.6647940074906
1998-07-01,55.4578013080037
1998-08-01,55.9586699813549
1998-09-01,56.9336845367214
1998-10-01,56.0871917755276
1998-11-01,55.1750732685485
1998-12-01,54.3635524088041
1999-01-01,55.0337630448128
1999-02-01,53.9220938241371
1999-03-01,53.8443918454608
1999-04-01,55.4531607006855
1999-05-01,56.2376538519982
1999-06-01,57.6319975759412
1999-07-01,56.6160356684047
1999-08-01,57.5131876412962
1999-09-01,58.4843244868807
1999-10-01,58.6439660991525
1999-11-01,57.7682981589582
1999-12-01,57.2836556410065
2000-01-01,56.4259121370067
2000-02-01,56.3864547749888
2000-03-01,56.3745462626861
2000-04-01,56.7174105823234
2000-05-01,58.1258287903345
2000-06-01,58.4846035128978
2000-07-01,57.517777289055
2000-08-01,57.9028132992327
2000-09-01,57.8061224489796
2000-10-01,57.4222157603955
2000-11-01,57.4142556739903
2000-12-01,57.9735300499024
2001-01-01,55.1714203399597
2001-02-01,55.7391179428243
2001-03-01,56.8523557210368
2001-04-01,56.9452367370222
2001-05-01,57.7447776040926
2001-06-01,58.4501061571125
2001-07-01,57.9570271222261
2001-08-01,58.395902041962
