"Date","LFEMTTMACAM647N"
1977-10-01,6263800
1977-11-01,6190800
1977-12-01,6095100
1978-01-01,5946200
1978-02-01,5991300
1978-03-01,6042500
1978-04-01,6068500
1978-05-01,6340000
1978-06-01,6525400
1978-07-01,6679900
1978-08-01,6697600
1978-09-01,6422800
1978-10-01,6439400
1978-11-01,6364100
1978-12-01,6274900
1979-01-01,6157600
1979-02-01,6165500
1979-03-01,6236500
1979-04-01,6305800
1979-05-01,6569300
1979-06-01,6741400
1979-07-01,6922800
1979-08-01,6921800
1979-09-01,6654600
1979-10-01,6639900
1979-11-01,6562800
1979-12-01,6466000
1980-01-01,6333000
1980-02-01,6359000
1980-03-01,6381400
1980-04-01,6425700
1980-05-01,6615400
1980-06-01,6851200
1980-07-01,6962300
1980-08-01,6987600
1980-09-01,6744900
1980-10-01,6722100
1980-11-01,6672300
1980-12-01,6576400
1981-01-01,6464100
1981-02-01,6509000
1981-03-01,6535700
1981-04-01,6602900
1981-05-01,6805600
1981-06-01,7017500
1981-07-01,7130300
1981-08-01,7139200
1981-09-01,6813500
1981-10-01,6765100
1981-11-01,6670900
1981-12-01,6527300
1982-01-01,6340700
1982-02-01,6348300
1982-03-01,6353300
1982-04-01,6344200
1982-05-01,6521700
1982-06-01,6660400
1982-07-01,6742300
1982-08-01,6667700
1982-09-01,6414200
1982-10-01,6368200
1982-11-01,6252400
1982-12-01,6155100
1983-01-01,6016100
1983-02-01,6056800
1983-03-01,6114900
1983-04-01,6174200
1983-05-01,6443700
1983-06-01,6629400
1983-07-01,6787300
1983-08-01,6799700
1983-09-01,6594700
1983-10-01,6555000
1983-11-01,6456500
1983-12-01,6367900
1984-01-01,6202800
1984-02-01,6247600
1984-03-01,6270000
1984-04-01,6332400
1984-05-01,6577100
1984-06-01,6791000
1984-07-01,6958500
1984-08-01,6915300
1984-09-01,6669800
1984-10-01,6662200
1984-11-01,6532400
1984-12-01,6467900
1985-01-01,6351000
1985-02-01,6365800
1985-03-01,6409200
1985-04-01,6499700
1985-05-01,6755500
1985-06-01,6910400
1985-07-01,7084500
1985-08-01,7071400
1985-09-01,6810500
1985-10-01,6783400
1985-11-01,6734300
1985-12-01,6658800
1986-01-01,6550700
1986-02-01,6560400
1986-03-01,6601600
1986-04-01,6710100
1986-05-01,6919000
1986-06-01,7112900
1986-07-01,7212300
1986-08-01,7205100
1986-09-01,6965600
1986-10-01,6950500
1986-11-01,6873700
1986-12-01,6781800
1987-01-01,6640900
1987-02-01,6669600
1987-03-01,6711700
1987-04-01,6802000
1987-05-01,7060400
1987-06-01,7264600
1987-07-01,7368800
1987-08-01,7381700
1987-09-01,7153900
1987-10-01,7156800
1987-11-01,7078500
1987-12-01,7014600
1988-01-01,6881300
1988-02-01,6909200
1988-03-01,6938200
1988-04-01,6976800
1988-05-01,7248700
1988-06-01,7394400
1988-07-01,7514000
1988-08-01,7514200
1988-09-01,7263000
1988-10-01,7237000
1988-11-01,7166100
1988-12-01,7095500
1989-01-01,6990700
1989-02-01,7009200
1989-03-01,7056100
1989-04-01,7080300
1989-05-01,7354500
1989-06-01,7517900
1989-07-01,7626200
1989-08-01,7653400
1989-09-01,7411200
1989-10-01,7376400
1989-11-01,7263400
1989-12-01,7164500
1990-01-01,7041500
1990-02-01,7062300
1990-03-01,7087100
1990-04-01,7154000
1990-05-01,7356300
1990-06-01,7517300
1990-07-01,7633200
1990-08-01,7606900
1990-09-01,7377600
1990-10-01,7318200
1990-11-01,7148400
1990-12-01,7024200
1991-01-01,6850600
1991-02-01,6815000
1991-03-01,6805600
1991-04-01,6888500
1991-05-01,7125500
1991-06-01,7285700
1991-07-01,7408300
1991-08-01,7389900
1991-09-01,7177700
1991-10-01,7150000
1991-11-01,7008500
1991-12-01,6897400
1992-01-01,6728200
1992-02-01,6709000
1992-03-01,6731800
1992-04-01,6769300
1992-05-01,7011100
1992-06-01,7191500
1992-07-01,7294900
1992-08-01,7254600
1992-09-01,7064500
1992-10-01,7031900
1992-11-01,6912600
1992-12-01,6829900
1993-01-01,6702000
1993-02-01,6734100
1993-03-01,6754600
1993-04-01,6788400
1993-05-01,7018500
1993-06-01,7215500
1993-07-01,7320600
1993-08-01,7312200
1993-09-01,7114200
1993-10-01,7078100
1993-11-01,6995500
1993-12-01,6894500
1994-01-01,6731400
1994-02-01,6788100
1994-03-01,6829500
1994-04-01,6882400
1994-05-01,7197500
1994-06-01,7362800
1994-07-01,7489500
1994-08-01,7496500
1994-09-01,7310400
1994-10-01,7276000
1994-11-01,7230400
1994-12-01,7108200
1995-01-01,6981700
1995-02-01,6991800
1995-03-01,7031500
1995-04-01,7048100
1995-05-01,7301900
1995-06-01,7465100
1995-07-01,7557000
1995-08-01,7575100
1995-09-01,7381100
1995-10-01,7347400
1995-11-01,7254800
1995-12-01,7194000
1996-01-01,7043300
1996-02-01,7057800
1996-03-01,7074400
1996-04-01,7141100
1996-05-01,7360900
1996-06-01,7512900
1996-07-01,7651200
1996-08-01,7660400
1996-09-01,7422600
1996-10-01,7374400
1996-11-01,7290200
1996-12-01,7240300
1997-01-01,7107800
1997-02-01,7130200
1997-03-01,7171400
1997-04-01,7199400
1997-05-01,7477400
1997-06-01,7693500
1997-07-01,7782800
1997-08-01,7823300
1997-09-01,7653400
1997-10-01,7627500
1997-11-01,7542600
1997-12-01,7478400
1998-01-01,7297100
1998-02-01,7345500
1998-03-01,7363600
1998-04-01,7423200
1998-05-01,7651700
1998-06-01,7825300
1998-07-01,7915300
1998-08-01,7932600
1998-09-01,7742800
1998-10-01,7701500
1998-11-01,7637400
1998-12-01,7564400
1999-01-01,7446000
1999-02-01,7484000
1999-03-01,7505100
1999-04-01,7584800
1999-05-01,7814300
1999-06-01,7984500
1999-07-01,8091400
1999-08-01,8070000
1999-09-01,7912300
1999-10-01,7915800
1999-11-01,7862700
1999-12-01,7830000
2000-01-01,7666100
2000-02-01,7712500
2000-03-01,7739100
2000-04-01,7789900
2000-05-01,8041500
2000-06-01,8139000
2000-07-01,8251100
2000-08-01,8238700
2000-09-01,8069000
2000-10-01,8053900
2000-11-01,7999300
2000-12-01,7952300
2001-01-01,7765400
2001-02-01,7797100
2001-03-01,7798100
2001-04-01,7872100
2001-05-01,8101400
2001-06-01,8220700
2001-07-01,8319700
2001-08-01,8315200
2001-09-01,8118100
2001-10-01,8091900
2001-11-01,8004900
2001-12-01,7898600
2002-01-01,7755600
2002-02-01,7825500
2002-03-01,7893000
2002-04-01,7971200
2002-05-01,8226200
2002-06-01,8381700
2002-07-01,8501000
2002-08-01,8517900
2002-09-01,8324100
2002-10-01,8284800
2002-11-01,8232700
2002-12-01,8171800
2003-01-01,8033200
2003-02-01,8088500
2003-03-01,8119000
2003-04-01,8179200
2003-05-01,8369000
2003-06-01,8550100
2003-07-01,8624900
2003-08-01,8601900
2003-09-01,8435700
2003-10-01,8423600
2003-11-01,8374900
2003-12-01,8290900
2004-01-01,8149000
2004-02-01,8163100
2004-03-01,8183800
2004-04-01,8285400
2004-05-01,8490700
2004-06-01,8663800
2004-07-01,8769000
2004-08-01,8754200
2004-09-01,8582000
2004-10-01,8583400
2004-11-01,8507200
2004-12-01,8427700
2005-01-01,8261000
2005-02-01,8294400
2005-03-01,8313100
2005-04-01,8368900
2005-05-01,8652400
2005-06-01,8777800
2005-07-01,8877500
2005-08-01,8872800
2005-09-01,8675800
2005-10-01,8689000
2005-11-01,8615200
2005-12-01,8549300
2006-01-01,8374400
2006-02-01,8427300
2006-03-01,8468000
2006-04-01,8530800
2006-05-01,8829800
2006-06-01,8933100
2006-07-01,9010000
2006-08-01,8994900
2006-09-01,8791100
2006-10-01,8793700
2006-11-01,8726000
2006-12-01,8671700
2007-01-01,8539100
2007-02-01,8569700
2007-03-01,8569400
2007-04-01,8649900
2007-05-01,8922100
2007-06-01,9065700
2007-07-01,9175100
2007-08-01,9142200
2007-09-01,8932900
2007-10-01,8940800
2007-11-01,8918700
2007-12-01,8843400
2008-01-01,8703200
2008-02-01,8736200
2008-03-01,8760300
2008-04-01,8810100
2008-05-01,9034900
2008-06-01,9195600
2008-07-01,9243900
2008-08-01,9256000
2008-09-01,9081600
2008-10-01,9070600
2008-11-01,8947900
2008-12-01,8829800
2009-01-01,8567300
2009-02-01,8537700
2009-03-01,8494700
2009-04-01,8553900
2009-05-01,8793300
2009-06-01,8936900
2009-07-01,8996000
2009-08-01,8977900
2009-09-01,8795400
2009-10-01,8817300
2009-11-01,8776500
2009-12-01,8663600
2010-01-01,8499000
2010-02-01,8536600
2010-03-01,8547000
2010-04-01,8690100
2010-05-01,8912900
2010-06-01,9113800
2010-07-01,9174600
2010-08-01,9182400
2010-09-01,9036300
2010-10-01,8989000
2010-11-01,8966500
2010-12-01,8890400
2011-01-01,8735700
2011-02-01,8770100
2011-03-01,8780600
2011-04-01,8888100
2011-05-01,9137900
2011-06-01,9284200
2011-07-01,9354300
2011-08-01,9353100
2011-09-01,9206000
2011-10-01,9171100
2011-11-01,9092500
2011-12-01,8990200
2012-01-01,8804600
2012-02-01,8846900
2012-03-01,8889200
2012-04-01,9029200
2012-05-01,9284600
2012-06-01,9383300
2012-07-01,9446200
2012-08-01,9458500
2012-09-01,9311700
2012-10-01,9273100
2012-11-01,9218600
2012-12-01,9173100
2013-01-01,8992700
2013-02-01,9058000
2013-03-01,9023300
2013-04-01,9124400
2013-05-01,9414800
2013-06-01,9494000
2013-07-01,9551500
2013-08-01,9542500
2013-09-01,9408600
2013-10-01,9374500
2013-11-01,9309200
2013-12-01,9195000
2014-01-01,9054500
2014-02-01,9078200
2014-03-01,9105200
2014-04-01,9151400
2014-05-01,9392700
2014-06-01,9531300
2014-07-01,9590600
2014-08-01,9605300
2014-09-01,9457500
2014-10-01,9460200
2014-11-01,9382800
2014-12-01,9342500
2015-01-01,9143700
2015-02-01,9171400
2015-03-01,9165700
2015-04-01,9230600
2015-05-01,9503300
2015-06-01,9645400
2015-07-01,9678900
2015-08-01,9700500
2015-09-01,9531700
2015-10-01,9520400
2015-11-01,9413300
2015-12-01,9309000
2016-01-01,9129200
2016-02-01,9183900
2016-03-01,9160800
2016-04-01,9230400
2016-05-01,9550600
2016-06-01,9625800
2016-07-01,9676100
2016-08-01,9697100
2016-09-01,9556500
2016-10-01,9548200
2016-11-01,9510500
2016-12-01,9446500
2017-01-01,9309100
2017-02-01,9350900
2017-03-01,9368300
2017-04-01,9432900
2017-05-01,9730800
2017-06-01,9841800
2017-07-01,9914100
2017-08-01,9944400
2017-09-01,9761400
2017-10-01,9785000
2017-11-01,9781400
2017-12-01,9735000
2018-01-01,9551200
2018-02-01,9553100
2018-03-01,9606700
2018-04-01,9652100
2018-05-01,9918400
2018-06-01,10042900
2018-07-01,10092600
2018-08-01,10041500
2018-09-01,9925500
2018-10-01,9915400
2018-11-01,9933400
2018-12-01,9871400
2019-01-01,9715500
2019-02-01,9747200
2019-03-01,9784800
2019-04-01,9896200
2019-05-01,10151200
2019-06-01,10236900
2019-07-01,10302000
2019-08-01,10316100
2019-09-01,10160300
2019-10-01,10132600
2019-11-01,10044500
2019-12-01,9990200
2020-01-01,9825900
2020-02-01,9877200
2020-03-01,9441900
2020-04-01,8434000
2020-05-01,8859700
2020-06-01,9476900
2020-07-01,9657700
2020-08-01,9768500
2020-09-01,9821600
2020-10-01,9831000
2020-11-01,9786900
2020-12-01,9699000
2021-01-01,9467900
2021-02-01,9634300
2021-03-01,9756900
2021-04-01,9718700
2021-05-01,9933900
2021-06-01,10122700
2021-07-01,10210400
2021-08-01,10205600
2021-09-01,10140500
2021-10-01,10170500
2021-11-01,10171700
2021-12-01,10145500
2022-01-01,9868700
2022-02-01,10056300
2022-03-01,10111300
2022-04-01,10179500
2022-05-01,10425800
2022-06-01,10489700
2022-07-01,10558100
2022-08-01,10553300
2022-09-01,10395700
2022-10-01,10431400
2022-11-01,10383400
2022-12-01,10339600
2023-01-01,10239600
2023-02-01,10262500
2023-03-01,10311600
2023-04-01,10377400
2023-05-01,10653900
2023-06-01,10791800
2023-07-01,10823100
2023-08-01,10818000
2023-09-01,10682300
2023-10-01,10720800
2023-11-01,10677500
