"Date","CANCPIENGMINMEI"
1976-06-01,15.2550878171174
1976-07-01,15.2550878171174
1976-08-01,15.2550878171174
1976-09-01,15.9241706161137
1976-10-01,16.1248954558127
1976-11-01,16.057987175913
1976-12-01,16.057987175913
1977-01-01,16.3925285754112
1977-02-01,16.3925285754112
1977-03-01,17.0616113744076
1977-04-01,17.1954279342069
1977-05-01,17.2623362141065
1977-06-01,17.2623362141065
1977-07-01,17.2623362141065
1977-08-01,17.2623362141065
1977-09-01,17.730694173404
1977-10-01,17.8645107332032
1977-11-01,17.9314190131029
1977-12-01,17.8645107332032
1978-01-01,17.9314190131029
1978-02-01,18.1321438528018
1978-03-01,18.8012266517982
1978-04-01,18.7343183718985
1978-05-01,18.7343183718985
1978-06-01,18.6674100919989
1978-07-01,18.7343183718985
1978-08-01,19.0019514914971
1978-09-01,19.4703094507945
1978-10-01,19.4703094507945
1978-11-01,19.4703094507945
1978-12-01,19.6041260105938
1979-01-01,20.0055756899916
1979-02-01,20.0724839698913
1979-03-01,20.0724839698913
1979-04-01,20.2063005296905
1979-05-01,20.2732088095902
1979-06-01,20.2732088095902
1979-07-01,20.4739336492891
1979-08-01,20.5408419291887
1979-09-01,21.410649567884
1979-10-01,21.6113744075829
1979-11-01,21.8120992472818
1979-12-01,22.0797323668804
1980-01-01,22.4811820462782
1980-02-01,22.5480903261779
1980-03-01,23.1502648452746
1980-04-01,23.3509896849735
1980-05-01,23.4178979648732
1980-06-01,23.5517145246724
1980-07-01,23.819347644271
1980-08-01,24.0869807638695
1980-09-01,24.0869807638695
1980-10-01,25.6258712015612
1980-11-01,26.2949540005576
1980-12-01,26.3618622804572
1981-01-01,28.0345692779481
1981-02-01,28.1683858377474
1981-03-01,29.5065514357402
1981-04-01,29.5065514357402
1981-05-01,30.1756342347365
1981-06-01,31.6476163925286
1981-07-01,31.9821577920268
1981-08-01,32.115974351826
1981-09-01,33.1195985503206
1981-10-01,33.4541399498188
1981-11-01,33.4541399498188
1981-12-01,34.3908558684137
1982-01-01,34.7923055478115
1982-02-01,34.8592138277112
1982-03-01,36.732645664901
1982-04-01,36.8664622247003
1982-05-01,37.3348201839978
1982-06-01,37.4017284638974
1982-07-01,37.4017284638974
1982-08-01,37.7362698633956
1982-09-01,39.4089768608865
1982-10-01,38.9406189015891
1982-11-01,39.2082520211876
