"Date","CANPROINDMISMEI"
1976-07-01,51.0191642035492
1976-08-01,51.5421348482396
1976-09-01,51.6711059286374
1976-10-01,50.7952363936277
1976-11-01,51.8118875475333
1976-12-01,51.965424548007
1977-01-01,52.9395577633199
1977-02-01,52.2521844227378
1977-03-01,52.3395824076228
1977-04-01,51.9692039203263
1977-05-01,52.5899658237798
1977-06-01,53.1261642715879
1977-07-01,52.8228696429599
1977-08-01,52.9697927418747
1977-09-01,52.740668295014
1977-10-01,53.1006535084322
1977-11-01,53.2598595673849
1977-12-01,53.3954445493417
1978-01-01,53.4960703373444
1978-02-01,53.8933768524163
1978-03-01,53.6977943348898
1978-04-01,54.7026349502975
1978-05-01,54.0454965882702
1978-06-01,55.1320661300838
1978-07-01,54.3161941306438
1978-08-01,54.576970820679
1978-09-01,55.9479381295239
1978-10-01,56.1350170593318
1978-11-01,56.6697982425201
1978-12-01,57.5541713652484
1979-01-01,57.4653561157436
1979-02-01,57.556533472948
1979-03-01,57.4313417648694
1979-04-01,57.0633253852726
1979-05-01,58.0360413359657
1979-06-01,57.6477108301523
1979-07-01,58.285007487503
1979-08-01,58.2576070381877
1979-09-01,58.1376119670483
1979-10-01,58.0502139821633
1979-11-01,57.5612576883472
1979-12-01,56.8134143906554
1980-01-01,57.5777924422443
1980-02-01,56.5512204360004
1980-03-01,57.2078863764878
1980-04-01,55.9370724341057
1980-05-01,54.5580739590823
1980-06-01,54.2136786564813
1980-07-01,54.7002728425979
1980-08-01,54.4461100541215
1980-09-01,55.6994443995265
1980-10-01,56.343827379976
1980-11-01,56.4534291772372
1980-12-01,56.9041193263199
1981-01-01,56.2805228936268
1981-02-01,56.6211388239084
1981-03-01,56.4992540666093
1981-04-01,57.678890651787
1981-05-01,56.7822345690208
1981-06-01,57.125212607002
1981-07-01,57.1814307702523
1981-08-01,55.0286058128416
1981-09-01,56.3872901616485
1981-10-01,55.5648042606496
1981-11-01,54.5240596082081
1981-12-01,54.8481407845925
1982-01-01,54.0643934498669
1982-02-01,54.1376187885544
1982-03-01,53.480952848067
1982-04-01,51.9923525757823
1982-05-01,52.3981626785727
1982-06-01,51.4906409003884
1982-07-01,50.4621792079848
1982-08-01,51.4145810324614
1982-09-01,50.8065745105857
1982-10-01,49.854645107649
1982-11-01,50.6794931163475
1982-12-01,50.3204527460091
1983-01-01,51.2497059150297
1983-02-01,51.294585961322
1983-03-01,51.6427606362423
1983-04-01,52.4879227711573
1983-05-01,52.8200351137204
1983-06-01,54.4442203679618
1983-07-01,54.4423306818021
1983-08-01,55.8213291568256
1983-09-01,56.9518339018517
1983-10-01,56.4444531679787
1983-11-01,57.2055242687882
1983-12-01,58.9397837418307
1984-01-01,58.5656258822149
1984-02-01,58.3676812569888
1984-03-01,59.2033949611055
1984-04-01,60.9773378435012
1984-05-01,61.7265984058127
1984-06-01,61.736519258151
1984-07-01,62.6416789286358
1984-08-01,62.7049834149849
1984-09-01,61.6514833809656
1984-10-01,62.9104867848497
1984-11-01,62.710652473464
1984-12-01,62.7890744490905
1985-01-01,63.3153520445602
1985-02-01,64.1028787516052
1985-03-01,64.4250702418299
1985-04-01,63.9332794187742
1985-05-01,64.3877489401763
1985-06-01,64.3140511799489
1985-07-01,64.4973507374375
1985-08-01,64.6910435688043
1985-09-01,64.9324509757029
1985-10-01,65.5225054790617
1985-11-01,65.6042344054676
1985-12-01,65.6821839595543
1986-01-01,66.0407519083528
