"Date","CANPRCNTO01GPSAM"
1976-02-01,1.16999097613341
1976-03-01,1.96229200627441
1976-04-01,1.87927965973877
1976-05-01,0.136199443358834
1976-06-01,1.37196924896509
1976-07-01,-3.0043168825108
1976-08-01,-1.30209899560955
1976-09-01,-3.10471953931933
1976-10-01,1.06911514999055
1976-11-01,1.68004480119472
1976-12-01,1.18107826938376
1977-01-01,0.205636869481079
1977-02-01,2.08836310960887
1977-03-01,1.32434669504552
1977-04-01,1.15240984945736
1977-05-01,0.657610106429
1977-06-01,0.836700191982583
1977-07-01,0.19323122389247
1977-08-01,0.0453784849258483
1977-09-01,-1.62437987243093
1977-10-01,1.06333928880182
1977-11-01,-1.83342362635797
1977-12-01,-1.77762286510981
1978-01-01,-3.77040454222851
1978-02-01,2.75344949448386
1978-03-01,0.230283817328105
