"Date","LFINTTTTCAM647N"
2004-05-01,8075400
2004-06-01,7949200
2004-07-01,7860000
2004-08-01,7925200
2004-09-01,8355800
2004-10-01,8353700
2004-11-01,8370400
2004-12-01,8470500
2005-01-01,8663100
2005-02-01,8610000
2005-03-01,8636500
2005-04-01,8619900
2005-05-01,8250000
2005-06-01,8184400
2005-07-01,8063200
2005-08-01,8082200
2005-09-01,8557000
2005-10-01,8540600
2005-11-01,8635600
2005-12-01,8707800
2006-01-01,8779200
2006-02-01,8793000
2006-03-01,8755200
2006-04-01,8717100
2006-05-01,8348300
2006-06-01,8293500
2006-07-01,8132500
2006-08-01,8210000
2006-09-01,8655100
2006-10-01,8678100
2006-11-01,8702000
2006-12-01,8776500
2007-01-01,8850400
2007-02-01,8843100
2007-03-01,8795800
2007-04-01,8783200
2007-05-01,8451600
2007-06-01,8353200
2007-07-01,8218100
2007-08-01,8245400
2007-09-01,8691000
2007-10-01,8661500
2007-11-01,8681600
2007-12-01,8781600
2008-01-01,8903800
2008-02-01,8873100
2008-03-01,8834700
2008-04-01,8821700
2008-05-01,8480500
2008-06-01,8394400
2008-07-01,8366900
2008-08-01,8364000
2008-09-01,8771700
2008-10-01,8749400
2008-11-01,8843600
2008-12-01,8925700
2009-01-01,9109100
2009-02-01,9041600
2009-03-01,9010400
2009-04-01,8985600
2009-05-01,8632700
2009-06-01,8594400
2009-07-01,8549200
2009-08-01,8557000
2009-09-01,9056700
2009-10-01,9082100
2009-11-01,9037600
2009-12-01,9185400
2010-01-01,9315900
2010-02-01,9316100
2010-03-01,9277400
2010-04-01,9189500
2010-05-01,8866200
2010-06-01,8766500
2010-07-01,8678000
2010-08-01,8641600
2010-09-01,9141900
2010-10-01,9220900
2010-11-01,9262000
2010-12-01,9353800
2011-01-01,9404500
2011-02-01,9388900
2011-03-01,9378600
2011-04-01,9285800
2011-05-01,9012000
2011-06-01,8914600
2011-07-01,8865000
2011-08-01,8865800
2011-09-01,9340100
2011-10-01,9384600
2011-11-01,9430000
2011-12-01,9546800
2012-01-01,9634900
2012-02-01,9643300
2012-03-01,9589800
2012-04-01,9423800
2012-05-01,9103600
2012-06-01,9097600
2012-07-01,9055100
2012-08-01,8960800
2012-09-01,9394600
2012-10-01,9411700
2012-11-01,9463800
2012-12-01,9544700
2013-01-01,9666100
2013-02-01,9612200
2013-03-01,9626900
2013-04-01,9567500
2013-05-01,9216100
2013-06-01,9176300
2013-07-01,9134700
2013-08-01,9087700
2013-09-01,9571900
2013-10-01,9586700
2013-11-01,9662400
2013-12-01,9752100
2014-01-01,9883300
2014-02-01,9867800
2014-03-01,9852100
2014-04-01,9840700
2014-05-01,9474400
2014-06-01,9398700
2014-07-01,9360100
2014-08-01,9389300
2014-09-01,9796800
2014-10-01,9835000
2014-11-01,9910200
2014-12-01,9999100
2015-01-01,10102200
2015-02-01,10025000
2015-03-01,9982300
2015-04-01,9965300
2015-05-01,9609400
2015-06-01,9556200
2015-07-01,9513700
2015-08-01,9437700
2015-09-01,9872800
2015-10-01,9895300
2015-11-01,9989100
2015-12-01,10060300
2016-01-01,10198100
2016-02-01,10137800
2016-03-01,10131800
2016-04-01,10091800
2016-05-01,9790600
2016-06-01,9750100
2016-07-01,9735000
2016-08-01,9701400
2016-09-01,10101400
2016-10-01,10107000
2016-11-01,10193500
2016-12-01,10228800
2017-01-01,10275000
2017-02-01,10304100
2017-03-01,10248900
2017-04-01,10276600
2017-05-01,9873300
2017-06-01,9781500
2017-07-01,9761500
2017-08-01,9770600
2017-09-01,10232800
2017-10-01,10198100
2017-11-01,10252200
2017-12-01,10296900
2018-01-01,10510300
2018-02-01,10520200
2018-03-01,10478800
2018-04-01,10480400
2018-05-01,10147000
2018-06-01,10020400
2018-07-01,10000100
2018-08-01,10000600
2018-09-01,10428600
2018-10-01,10453100
2018-11-01,10465900
2018-12-01,10536700
2019-01-01,10630900
2019-02-01,10572400
2019-03-01,10560500
2019-04-01,10464700
2019-05-01,10185200
2019-06-01,10108600
2019-07-01,10121900
2019-08-01,10050900
2019-09-01,10488100
2019-10-01,10536300
2019-11-01,10608100
2019-12-01,10711200
2020-01-01,10864600
2020-02-01,10808900
2020-03-01,11448400
2020-04-01,12476000
2020-05-01,11701200
2020-06-01,10853900
2020-07-01,10681000
2020-08-01,10539700
2020-09-01,10830500
2020-10-01,10818000
2020-11-01,10906100
2020-12-01,11031700
2021-01-01,11227800
2021-02-01,11109100
2021-03-01,10977800
2021-04-01,11057300
2021-05-01,10762500
2021-06-01,10511500
2021-07-01,10491000
2021-08-01,10455000
2021-09-01,10785100
2021-10-01,10877600
2021-11-01,10875500
2021-12-01,10973800
2022-01-01,11220700
2022-02-01,11069200
2022-03-01,11059700
2022-04-01,11012500
2022-05-01,10672500
2022-06-01,10701300
2022-07-01,10732200
2022-08-01,10694100
2022-09-01,11133900
2022-10-01,11084100
2022-11-01,11152400
2022-12-01,11244400
2023-01-01,11235100
2023-02-01,11253100
2023-03-01,11239100
2023-04-01,11247300
2023-05-01,10914200
2023-06-01,10812500
2023-07-01,10850700
2023-08-01,10898300
2023-09-01,11325200
2023-10-01,11327700
2023-11-01,11426500
