"Date","LFHUADTTCAM647S"
1988-11-01,746000
1988-12-01,715100
1989-01-01,729700
1989-02-01,739800
1989-03-01,754300
1989-04-01,770000
1989-05-01,761900
1989-06-01,740200
1989-07-01,751400
1989-08-01,733500
1989-09-01,741100
1989-10-01,709200
1989-11-01,747300
1989-12-01,765200
1990-01-01,784000
1990-02-01,772500
1990-03-01,736300
1990-04-01,758200
1990-05-01,781400
1990-06-01,772700
1990-07-01,792300
1990-08-01,820600
1990-09-01,858000
1990-10-01,886700
1990-11-01,932000
1990-12-01,956300
1991-01-01,987600
1991-02-01,1040500
1991-03-01,1068200
1991-04-01,1047800
1991-05-01,1041200
1991-06-01,1066800
1991-07-01,1065500
1991-08-01,1084300
1991-09-01,1051200
1991-10-01,1073700
1991-11-01,1074200
1991-12-01,1071400
1992-01-01,1072100
1992-02-01,1081400
1992-03-01,1127500
1992-04-01,1104400
1992-05-01,1125500
1992-06-01,1172000
1992-07-01,1173200
1992-08-01,1201700
1992-09-01,1217300
1992-10-01,1216000
1992-11-01,1295000
1992-12-01,1230500
1993-01-01,1187300
1993-02-01,1169700
1993-03-01,1177500
1993-04-01,1226700
1993-05-01,1237200
1993-06-01,1230900
1993-07-01,1241500
1993-08-01,1197700
1993-09-01,1248900
1993-10-01,1207300
1993-11-01,1198400
1993-12-01,1227300
1994-01-01,1214100
1994-02-01,1170100
1994-03-01,1128100
1994-04-01,1174900
1994-05-01,1144300
1994-06-01,1114300
1994-07-01,1089600
1994-08-01,1101600
1994-09-01,1118800
1994-10-01,1062400
1994-11-01,1055000
1994-12-01,1040800
1995-01-01,1052700
1995-02-01,1049300
1995-03-01,1060800
1995-04-01,1021900
1995-05-01,1035900
1995-06-01,1029500
1995-07-01,1041300
1995-08-01,1034300
1995-09-01,986000
1995-10-01,1003700
1995-11-01,998400
1995-12-01,1004100
1996-01-01,1023100
1996-02-01,1029600
1996-03-01,1040800
1996-04-01,1024100
1996-05-01,1009800
1996-06-01,1063300
1996-07-01,1076000
1996-08-01,1040400
1996-09-01,1085300
1996-10-01,1089900
1996-11-01,1065800
1996-12-01,1070300
1997-01-01,1024200
1997-02-01,1035200
1997-03-01,1001700
1997-04-01,1024600
1997-05-01,1019600
1997-06-01,965500
1997-07-01,943200
1997-08-01,942500
1997-09-01,950200
1997-10-01,961600
1997-11-01,958700
1997-12-01,903400
1998-01-01,941200
1998-02-01,929500
1998-03-01,904200
1998-04-01,889600
1998-05-01,898300
1998-06-01,889500
1998-07-01,898900
1998-08-01,877300
1998-09-01,896300
1998-10-01,878100
1998-11-01,875500
1998-12-01,889300
1999-01-01,861800
1999-02-01,864400
1999-03-01,862600
1999-04-01,883700
1999-05-01,856500
1999-06-01,828900
1999-07-01,819800
1999-08-01,823000
1999-09-01,804900
1999-10-01,771400
1999-11-01,751900
1999-12-01,727500
2000-01-01,744000
2000-02-01,744300
2000-03-01,739700
2000-04-01,731000
2000-05-01,722400
2000-06-01,741500
2000-07-01,741500
2000-08-01,772100
2000-09-01,770600
2000-10-01,775300
2000-11-01,776600
2000-12-01,752800
2001-01-01,781900
2001-02-01,778300
2001-03-01,801600
2001-04-01,802700
2001-05-01,811000
2001-06-01,820300
2001-07-01,792600
2001-08-01,823800
2001-09-01,823600
2001-10-01,837900
2001-11-01,836900
2001-12-01,929800
2002-01-01,929400
2002-02-01,913800
2002-03-01,901000
2002-04-01,897900
2002-05-01,893200
2002-06-01,881600
2002-07-01,893500
2002-08-01,857400
2002-09-01,885200
2002-10-01,880700
2002-11-01,864600
2002-12-01,895100
2003-01-01,875400
2003-02-01,882400
2003-03-01,881500
2003-04-01,906800
2003-05-01,934900
2003-06-01,903600
2003-07-01,908100
2003-08-01,935800
2003-09-01,931700
2003-10-01,899700
2003-11-01,882600
2003-12-01,858800
2004-01-01,859800
2004-02-01,852200
2004-03-01,860600
2004-04-01,846400
2004-05-01,822500
2004-06-01,870700
2004-07-01,835300
2004-08-01,817900
2004-09-01,822700
2004-10-01,835300
2004-11-01,870000
2004-12-01,864900
2005-01-01,830900
2005-02-01,853100
2005-03-01,830100
2005-04-01,820400
2005-05-01,838000
2005-06-01,809600
2005-07-01,796300
2005-08-01,815000
2005-09-01,813200
2005-10-01,815700
2005-11-01,780200
2005-12-01,798200
2006-01-01,826800
2006-02-01,811800
2006-03-01,794100
2006-04-01,798300
2006-05-01,782000
2006-06-01,780700
2006-07-01,807400
2006-08-01,792800
2006-09-01,789100
2006-10-01,788300
2006-11-01,811200
2006-12-01,794800
2007-01-01,788700
2007-02-01,789500
2007-03-01,791800
2007-04-01,788200
2007-05-01,772500
2007-06-01,772400
2007-07-01,759200
2007-08-01,756000
2007-09-01,748300
2007-10-01,750400
2007-11-01,760900
2007-12-01,769500
2008-01-01,765200
2008-02-01,760200
2008-03-01,791300
2008-04-01,766400
2008-05-01,774200
2008-06-01,769300
2008-07-01,795800
2008-08-01,802300
2008-09-01,808800
2008-10-01,805100
2008-11-01,844300
2008-12-01,904800
2009-01-01,981100
2009-02-01,1050500
2009-03-01,1087100
2009-04-01,1106300
2009-05-01,1132200
2009-06-01,1159100
2009-07-01,1140800
2009-08-01,1150800
2009-09-01,1133200
2009-10-01,1133700
2009-11-01,1118800
2009-12-01,1116600
2010-01-01,1094100
2010-02-01,1104000
2010-03-01,1078000
2010-04-01,1075100
2010-05-01,1074500
2010-06-01,1074100
2010-07-01,1111600
2010-08-01,1097200
2010-09-01,1097100
2010-10-01,1075300
2010-11-01,1058300
2010-12-01,1057000
2011-01-01,1047300
2011-02-01,1060500
2011-03-01,1044100
2011-04-01,1044600
2011-05-01,1024100
2011-06-01,1021400
2011-07-01,974000
2011-08-01,988000
2011-09-01,989000
2011-10-01,993500
2011-11-01,1018400
2011-12-01,1004100
2012-01-01,1026700
2012-02-01,997000
2012-03-01,982000
2012-04-01,1006900
2012-05-01,1011000
2012-06-01,975400
2012-07-01,972700
2012-08-01,970300
2012-09-01,976700
2012-10-01,999900
2012-11-01,992400
2012-12-01,970800
2013-01-01,968300
2013-02-01,963300
2013-03-01,984200
2013-04-01,969200
2013-05-01,960200
2013-06-01,971300
2013-07-01,992500
2013-08-01,976400
2013-09-01,984500
2013-10-01,978600
2013-11-01,970700
2013-12-01,1018600
2014-01-01,989300
2014-02-01,991700
2014-03-01,973200
2014-04-01,979000
2014-05-01,996800
2014-06-01,988400
2014-07-01,988900
2014-08-01,958100
2014-09-01,929900
2014-10-01,934700
2014-11-01,916500
2014-12-01,890000
2015-01-01,929500
2015-02-01,942600
2015-03-01,956700
2015-04-01,945900
2015-05-01,951200
2015-06-01,966300
2015-07-01,964600
2015-08-01,992500
2015-09-01,997400
2015-10-01,982200
2015-11-01,1026700
2015-12-01,1030400
2016-01-01,1042000
2016-02-01,1042200
2016-03-01,1028000
2016-04-01,1042400
2016-05-01,995500
2016-06-01,983600
2016-07-01,978000
2016-08-01,989600
2016-09-01,1001000
2016-10-01,994200
2016-11-01,981900
2016-12-01,1013200
2017-01-01,965900
2017-02-01,950500
2017-03-01,962500
2017-04-01,944400
2017-05-01,972700
2017-06-01,953600
2017-07-01,938100
2017-08-01,908100
2017-09-01,939100
2017-10-01,943500
2017-11-01,905900
2017-12-01,892700
2018-01-01,863500
2018-02-01,865700
2018-03-01,846300
2018-04-01,836800
2018-05-01,845200
2018-06-01,855300
2018-07-01,860900
2018-08-01,882900
2018-09-01,865800
2018-10-01,837800
2018-11-01,841200
2018-12-01,835900
2019-01-01,849400
2019-02-01,857100
2019-03-01,867800
2019-04-01,867900
2019-05-01,800400
2019-06-01,812900
2019-07-01,832300
2019-08-01,836500
2019-09-01,797600
2019-10-01,816400
2019-11-01,865200
2019-12-01,825300
2020-01-01,838400
2020-02-01,859800
2020-03-01,1175100
2020-04-01,1900800
2020-05-01,1940400
2020-06-01,1693800
2020-07-01,1515400
2020-08-01,1401400
2020-09-01,1345300
2020-10-01,1319100
2020-11-01,1268800
2020-12-01,1299100
2021-01-01,1346200
2021-02-01,1226600
2021-03-01,1160700
2021-04-01,1212000
2021-05-01,1218300
2021-06-01,1199700
2021-07-01,1185600
2021-08-01,1134000
2021-09-01,1139700
2021-10-01,1071400
2021-11-01,977600
2021-12-01,919200
2022-01-01,979000
2022-02-01,821500
2022-03-01,827900
2022-04-01,798200
2022-05-01,790300
2022-06-01,745900
2022-07-01,749200
2022-08-01,827000
2022-09-01,776500
2022-10-01,765700
2022-11-01,766100
2022-12-01,756000
2023-01-01,762600
2023-02-01,768200
2023-03-01,777700
2023-04-01,768400
2023-05-01,775600
2023-06-01,797900
2023-07-01,861100
2023-08-01,838900
2023-09-01,873600
2023-10-01,882500
2023-11-01,888400
