"Date","LRIN55FECAM156N"
1991-07-01,65.2234751831426
1991-08-01,64.6690813302601
1991-09-01,63.9305121027499
1991-10-01,64.026348291478
1991-11-01,64.7426924660354
1991-12-01,65.2066523958505
1992-01-01,64.687963115429
1992-02-01,65.4919720049403
1992-03-01,65.6018442285526
1992-04-01,65.286466908133
1992-05-01,65.1440329218107
1992-06-01,64.8370638578012
1992-07-01,65.3175386640342
1992-08-01,63.7858728722967
1992-09-01,63.4988490628083
1992-10-01,62.9191321499014
1992-11-01,62.6632711739095
1992-12-01,63.6692124497002
1993-01-01,64.5238095238095
1993-02-01,63.5565402921385
1993-03-01,63.6617176605693
1993-04-01,62.865808672842
1993-05-01,63.7935272429332
1993-06-01,64.2383563886388
1993-07-01,64.6000327171602
1993-08-01,65.0351364602059
1993-09-01,64.5113886847906
1993-10-01,64.2111274269865
1993-11-01,64.0580419010353
1993-12-01,65.4666883857306
1994-01-01,65.0663194726992
1994-02-01,64.2415867338644
1994-03-01,62.7659574468085
1994-04-01,61.9909135161447
1994-05-01,61.9965967101532
1994-06-01,61.6125637496964
1994-07-01,63.4452082490902
1994-08-01,62.3364032961706
1994-09-01,62.6493380690991
1994-10-01,62.9698338441684
1994-11-01,63.6334327395825
1994-12-01,64.1050426937329
1995-01-01,62.9084178335748
1995-02-01,63.7986490833065
1995-03-01,63.7152498794794
1995-04-01,64.3333065746167
1995-05-01,64.4672492583981
1995-06-01,63.7004405286344
1995-07-01,64.5434904377051
1995-08-01,63.5978582274435
1995-09-01,62.9112104758863
1995-10-01,63.1969370662838
1995-11-01,63.7529880478088
1995-12-01,64.4722177997134
1996-01-01,64.1001191895113
1996-02-01,63.9473057693834
1996-03-01,63.784083703234
1996-04-01,63.5391923990499
1996-05-01,63.2806324110672
1996-06-01,62.5690825832938
1996-07-01,63.7159072993852
1996-08-01,62.9320525942839
1996-09-01,63.3018867924528
1996-10-01,63.6277974087161
1996-11-01,64.0627450980392
1996-12-01,64.9874647445942
1997-01-01,64.6147829487681
1997-02-01,63.6200296851808
1997-03-01,63.1065688875019
1997-04-01,63.0587135960131
1997-05-01,62.9635388323097
1997-06-01,63.1264546159814
1997-07-01,63.5089078233927
1997-08-01,63.1591155095098
1997-09-01,62.9763925320167
1997-10-01,62.4489795918367
1997-11-01,61.7726189561073
1997-12-01,62.188291260646
1998-01-01,62.6779972439136
1998-02-01,60.8675729341683
1998-03-01,60.8536585365854
1998-04-01,61.5045257473188
1998-05-01,62.5882352941176
1998-06-01,61.5501059642749
1998-07-01,61.9108761329305
1998-08-01,61.5975885455916
1998-09-01,60.4343578567671
1998-10-01,60.2534303066657
1998-11-01,60.2139277432867
1998-12-01,60.8627509515636
1999-01-01,61.4543018755582
1999-02-01,61.0715345799941
1999-03-01,60.5138456982082
1999-04-01,59.9305709432011
1999-05-01,60.6882322599661
1999-06-01,61.6266255234737
1999-07-01,61.535078073455
1999-08-01,60.7236842105263
1999-09-01,60.1969365426696
1999-10-01,60.6040756914119
1999-11-01,60.1742919389978
1999-12-01,59.1782013189362
2000-01-01,58.8753975137323
2000-02-01,58.52375117134
2000-03-01,59.4159113796576
2000-04-01,58.7555619348356
2000-05-01,59.0811507084586
2000-06-01,59.4274291425716
2000-07-01,59.5868945868946
2000-08-01,57.7037773359841
2000-09-01,58.6202011616376
2000-10-01,57.5213735603759
2000-11-01,57.9362841838173
2000-12-01,58.2747469066367
2001-01-01,58.7164952061026
2001-02-01,58.6293530602275
2001-03-01,57.8416365154467
2001-04-01,58.2149539186474
2001-05-01,58.9502762430939
2001-06-01,58.504197055181
2001-07-01,59.4809285763199
2001-08-01,59.1923050685586
2001-09-01,58.3123853522658
2001-10-01,58.0001353088424
2001-11-01,57.5412596833951
2001-12-01,56.2969420600858
2002-01-01,56.6442416572304
2002-02-01,57.4090035138898
2002-03-01,57.3417805055105
2002-04-01,57.6443569553806
2002-05-01,57.7726975832789
2002-06-01,57.4967490247074
2002-07-01,58.2126228660114
2002-08-01,55.8153013910356
2002-09-01,55.6580802255543
2002-10-01,54.1352903637524
2002-11-01,53.4295340410654
2002-12-01,52.2766132607181
2003-01-01,52.5148115467036
2003-02-01,52.0753532182104
2003-03-01,51.6044285982361
2003-04-01,52.2039596563317
2003-05-01,52.1520714462912
2003-06-01,52.5740740740741
2003-07-01,53.5083943176926
2003-08-01,52.4754901960784
2003-09-01,51.9031352934
2003-10-01,51.9025042548019
2003-11-01,50.6390453691926
2003-12-01,50.1418482525502
2004-01-01,50.7213272421255
2004-02-01,51.1342551026516
2004-03-01,51.9148174659986
2004-04-01,51.1710854832957
2004-05-01,50.7582938388626
2004-06-01,51.8077263344146
2004-07-01,52.6597307940986
2004-08-01,51.5921329899321
2004-09-01,50.6184364060677
2004-10-01,50.3198046284452
2004-11-01,49.81164879745
2004-12-01,50.3176987060998
2005-01-01,51.3779414302974
2005-02-01,50.4526701810681
2005-03-01,50.6511309115833
2005-04-01,50.5380017079419
2005-05-01,49.926287139941
2005-06-01,50.4719380545979
2005-07-01,51.7662966927714
2005-08-01,50.7715616407609
2005-09-01,50.4027746699485
2005-10-01,50.086432833324
2005-11-01,50.3613520124527
2005-12-01,50.2189457347154
2006-01-01,50.654009603179
2006-02-01,49.7275879148093
2006-03-01,49.4814814814815
2006-04-01,49.781181619256
2006-05-01,49.0897198299357
2006-06-01,49.828813651432
2006-07-01,49.7859658629098
2006-08-01,49.5275122846806
2006-09-01,49.0765171503958
2006-10-01,49.7046821305842
2006-11-01,49.4243641231593
2006-12-01,49.1989746876001
2007-01-01,49.2074468085106
2007-02-01,48.6046264855688
2007-03-01,47.9627473806752
2007-04-01,47.4686214534332
2007-05-01,48.1380180938355
2007-06-01,48.3476710029375
2007-07-01,49.2158092848181
2007-08-01,47.8099906142455
2007-09-01,47.4256292906178
2007-10-01,46.6673582654702
2007-11-01,47.105385689896
2007-12-01,47.3475074827124
2008-01-01,47.0437017994859
2008-02-01,47.0202072007385
2008-03-01,45.674528060572
2008-04-01,46.3872316557034
2008-05-01,45.9081430242612
2008-06-01,46.5328467153285
2008-07-01,48.3114256825076
2008-08-01,48.0008067362477
2008-09-01,47.0475903311724
2008-10-01,46.2934188762468
2008-11-01,46.2080687896816
2008-12-01,46.1780104712042
2009-01-01,45.6258077343672
2009-02-01,45.1226158038147
2009-03-01,44.3818559146161
2009-04-01,44.1186616074508
2009-05-01,44.2997542997543
2009-06-01,44.1952700386819
2009-07-01,45.8251953125
2009-08-01,44.902132632194
2009-09-01,44.5414847161572
2009-10-01,44.184246177666
2009-11-01,44.6851628468034
2009-12-01,45.2891925704937
2010-01-01,45.71743717629
2010-02-01,45.4358631236857
2010-03-01,45.5771613764179
2010-04-01,45.3875766360914
2010-05-01,45.1421800947867
