"Date","CANPRMNTO01IXOBM"
1974-03-01,58.0220216392091
1974-04-01,56.8066718791352
1974-05-01,57.4799231850754
1974-06-01,57.759715935596
1974-07-01,49.0161924818273
1974-08-01,51.901555221571
1974-09-01,57.4799231850754
1974-10-01,57.0689775827483
1974-11-01,56.8766200667654
1974-12-01,49.5058297952384
1975-01-01,46.8390551418389
1975-02-01,52.8808298483931
1975-03-01,51.9889904561086
1975-04-01,52.4261666287971
1975-05-01,51.1321251576393
1975-06-01,52.6010370978725
1975-07-01,45.2914514905218
1975-08-01,47.9057650031987
1975-09-01,53.903822092484
1975-10-01,53.5540811543333
1975-11-01,55.5126304079774
1975-12-01,49.6632132174062
1976-01-01,48.8500655362057
1976-02-01,55.7312184943217
1976-03-01,56.929081207488
1976-04-01,57.5848454665206
1976-05-01,57.3662573801764
1976-06-01,58.5204024760739
1976-07-01,48.4128893635173
1976-08-01,53.4753894432493
1976-09-01,58.7127599920568
1976-10-01,56.5793402693372
1976-11-01,59.1674232116528
1976-12-01,52.4523971991584
1977-01-01,52.8545992780318
1977-02-01,59.158679688199
1977-03-01,59.5084206263498
1977-04-01,58.3542755304523
1977-05-01,57.987047545394
1977-06-01,60.2778506902814
1977-07-01,50.5812831800519
1977-08-01,53.5977987716021
1977-09-01,59.9980579397608
1977-10-01,59.7882133768704
1977-11-01,60.8024620975075
1977-12-01,52.7671640434941
1978-01-01,52.9507780360232
1978-02-01,60.6450786753397
1978-03-01,61.1871771294733
1978-04-01,61.99158128722
1978-05-01,60.6887962926085
1978-06-01,63.3818015163693
1978-07-01,52.9332909891157
1978-08-01,56.0809594324724
1978-09-01,65.4889906687275
1978-10-01,64.4047937604602
1978-11-01,65.8999362710547
1978-12-01,58.0832263033854
1979-01-01,58.0919698268392
1979-02-01,66.0835502635838
1979-03-01,66.9141849916918
1979-04-01,63.9238999705029
1979-05-01,64.3873067135527
1979-06-01,66.8442368040617
1979-07-01,54.9443013834825
1979-08-01,58.3542755304523
1979-09-01,66.4595217720958
1979-10-01,65.7425528488868
1979-11-01,65.4802471452738
1979-12-01,55.6700138301453
1980-01-01,57.0340034889332
1980-02-01,63.241905141109
1980-03-01,65.0867885898542
1980-04-01,61.5281745441703
1980-05-01,58.5816071402502
1980-06-01,61.9653507168588
1980-07-01,50.8348453602112
1980-08-01,54.1836148430046
1980-09-01,63.504210844722
1980-10-01,63.5916460792597
1980-11-01,63.5916460792597
1980-12-01,55.2678117512719
1981-01-01,56.0749018782574
1981-02-01,64.0558880502418
1981-03-01,65.8046176458407
1981-04-01,64.6567731095225
1981-05-01,63.5859651192659
1981-06-01,68.2004542283573
1981-07-01,55.5741643288568
1981-08-01,56.9608221579661
1981-09-01,64.8416608200704
1981-10-01,62.1916036355505
1981-11-01,60.935907934746
1981-12-01,52.7623303976075
1982-01-01,52.5774426870596
1982-02-01,59.6956195431538
1982-03-01,60.36583749389
1982-04-01,57.05326601324
1982-05-01,56.2597895888053
1982-06-01,58.4476274969555
1982-07-01,46.9152565515301
1982-08-01,51.7685589534125
1982-09-01,57.145709868514
1982-10-01,54.1181736082921
1982-11-01,54.0950626444736
1982-12-01,46.7303688409822
1983-01-01,49.234056587985
1983-02-01,56.3445297894731
1983-03-01,57.854446092281
1983-04-01,56.8221563750552
1983-05-01,57.3460048882742
1983-06-01,61.9913086157902
1983-07-01,50.5282705618203
1983-08-01,56.3368261348669
1983-09-01,63.3394481718687
1983-10-01,61.6369405039068
1983-11-01,62.9619690961668
1983-12-01,55.5125350920075
1984-01-01,58.2396288225891
1984-02-01,64.5335146358239
1984-03-01,65.627433589899
1984-04-01,65.6890628267483
1984-05-01,67.0294987282206
1984-06-01,70.889029685908
1984-07-01,59.1486600661163
1984-08-01,64.2715903792144
1984-09-01,69.795110731833
1984-10-01,68.847561215275
1984-11-01,68.8090429422441
1984-12-01,59.6185829970922
1985-01-01,61.598422230876
1985-02-01,69.656444948922
1985-03-01,70.7118456299663
1985-04-01,68.993930652792
1985-05-01,69.8028143864391
1985-06-01,73.3850137783047
1985-07-01,61.2825723920233
1985-08-01,66.8060927446419
1985-09-01,73.115385867089
1985-10-01,72.306502133442
1985-11-01,71.9213194031338
1985-12-01,62.1838999809443
1986-01-01,65.2576581688032
1986-02-01,72.8457579558734
1986-03-01,71.7441353471921
1986-04-01,72.9227945019349
1986-05-01,70.8659187220896
1986-06-01,73.9781951829792
1986-07-01,62.0683451618519
1986-08-01,65.534989734625
1986-09-01,71.5438403274319
1986-10-01,71.26650876161
1986-11-01,70.2650336628089
1986-12-01,62.2840474908244
1987-01-01,65.2191398957724
1987-02-01,74.0706390382532
1987-03-01,74.0706390382532
1987-04-01,73.1076822124828
1987-05-01,72.4066496433221
1987-06-01,76.3201061832526
1987-07-01,64.6182548364917
1987-08-01,70.365181172689
1987-09-01,76.7206962227731
1987-10-01,76.4741792753759
1987-11-01,77.0134350978073
1987-12-01,68.0232701724156
1988-01-01,70.9660662319696
1988-02-01,79.5248264994163
1988-03-01,80.1642298317278
1988-04-01,79.2474949335944
1988-05-01,79.2012730059574
1988-06-01,82.8682125984908
1988-07-01,68.1696396099326
1988-08-01,74.6638204429277
1988-09-01,81.0809647298611
1988-10-01,79.9485275027552
1988-11-01,79.2629022428068
1988-12-01,69.9799984423809
1989-01-01,72.9382018111473
1989-02-01,81.6125168976864
1989-03-01,81.5123693878062
1989-04-01,81.2504451311967
1989-05-01,80.4492650521558
1989-06-01,83.3843574571038
1989-07-01,69.3482987646755
1989-08-01,76.0889965450678
