"Date","LRUN55MACAM156S"
2010-06-01,7.87184691737185
2010-07-01,8.35203628594765
2010-08-01,8.3075245125449
2010-09-01,8.11864103605305
2010-10-01,7.90906498595427
2010-11-01,7.38086434770414
2010-12-01,7.57392597490458
2011-01-01,6.76646014614033
2011-02-01,7.3264642637536
2011-03-01,7.70559099107278
2011-04-01,7.89306728855801
2011-05-01,7.51943461549056
2011-06-01,7.45031305347634
2011-07-01,7.07618324287224
2011-08-01,7.53108266207487
2011-09-01,7.20473130749285
2011-10-01,6.16348396249236
2011-11-01,6.52598014391034
2011-12-01,7.2643471221565
2012-01-01,6.9965955368238
2012-02-01,6.89593869101112
2012-03-01,6.30514981017303
2012-04-01,6.45050697031824
2012-05-01,6.2677442049078
2012-06-01,7.02230233832
2012-07-01,6.35589049968506
2012-08-01,6.9241135329496
2012-09-01,6.7112237193539
2012-10-01,7.65842459628434
2012-11-01,7.12902514226245
2012-12-01,6.54523370529016
2013-01-01,6.832227739182
2013-02-01,6.69228815111151
2013-03-01,6.61555094213265
2013-04-01,6.96961367676745
2013-05-01,6.9048965867708
2013-06-01,6.77470537357248
2013-07-01,7.19472001196804
2013-08-01,6.96222000275846
2013-09-01,7.27494797246273
2013-10-01,7.37787120319845
2013-11-01,7.10659465590605
2013-12-01,7.67652659958516
2014-01-01,7.00152512557411
2014-02-01,6.87502407783212
2014-03-01,7.06034365241871
2014-04-01,7.10401629178413
2014-05-01,7.30254989887452
2014-06-01,6.64241927858242
2014-07-01,6.9095063157767
2014-08-01,6.59532927374392
2014-09-01,6.87268494812776
2014-10-01,7.10219535888851
2014-11-01,6.4242372286147
2014-12-01,6.63701033100093
2015-01-01,7.07404891535861
2015-02-01,6.95399057675213
2015-03-01,6.58348696600354
2015-04-01,6.68708021568986
2015-05-01,7.41003327096298
2015-06-01,6.73584406078582
2015-07-01,7.18246723176914
2015-08-01,7.03124981976373
2015-09-01,6.70287178609548
2015-10-01,5.87571788009472
2015-11-01,7.31068191023933
2015-12-01,6.94355856472339
2016-01-01,7.41772745103209
2016-02-01,7.59843211200548
2016-03-01,7.02806847739649
2016-04-01,7.56748544033234
2016-05-01,6.24418198501567
2016-06-01,6.94971170048412
2016-07-01,7.0754342882807
2016-08-01,6.97989476348409
2016-09-01,6.82912054949151
2016-10-01,7.38034888097847
2016-11-01,6.93808883522128
2016-12-01,8.00730410908921
2017-01-01,7.1250187544181
2017-02-01,6.89452916501225
2017-03-01,6.69030687020211
2017-04-01,6.59394682251191
2017-05-01,7.14594126061721
2017-06-01,6.2889517202927
2017-07-01,5.66878798898435
2017-08-01,5.9449124581772
2017-09-01,6.00464134885185
2017-10-01,6.33450722885498
2017-11-01,6.49896731560474
2017-12-01,6.26406518962517
2018-01-01,6.33709567953568
2018-02-01,6.10406380511916
2018-03-01,5.61882545137797
2018-04-01,5.86955387518836
2018-05-01,5.43784103886023
2018-06-01,5.61504016409965
2018-07-01,5.62443363462734
2018-08-01,5.66020563179246
2018-09-01,5.81295786919199
2018-10-01,5.57157936437877
2018-11-01,6.68789666189459
2018-12-01,5.49238575566596
2019-01-01,5.89428744163479
2019-02-01,6.34504705057306
2019-03-01,6.10890898073873
2019-04-01,6.23495041697894
2019-05-01,5.69995331662191
2019-06-01,5.60466121966829
2019-07-01,5.59403609432097
2019-08-01,5.73671316241442
2019-09-01,5.47833071479648
2019-10-01,5.59462094339287
2019-11-01,5.54331118750239
2019-12-01,5.63324509299937
2020-01-01,5.12876849668002
2020-02-01,5.92562649648123
2020-03-01,6.59385961641725
2020-04-01,12.170498797891
2020-05-01,11.4425195109091
2020-06-01,10.512252430184
2020-07-01,10.2372879663144
2020-08-01,9.29813551952382
2020-09-01,8.90443363213317
2020-10-01,8.72516020882818
2020-11-01,7.89632548243702
2020-12-01,8.0013522422488
2021-01-01,7.617732918634
2021-02-01,7.13872287418243
2021-03-01,6.77324949223561
2021-04-01,7.27129663633444
2021-05-01,7.9417111992961
2021-06-01,8.06794959157788
2021-07-01,7.8463304578732
2021-08-01,7.42242688697457
2021-09-01,7.12284835574332
2021-10-01,6.87736149790974
2021-11-01,6.16699395224961
2021-12-01,5.85873522341592
2022-01-01,6.0847760391029
2022-02-01,5.88943586606339
2022-03-01,5.55032367405019
2022-04-01,5.67919124194965
2022-05-01,4.84453615536562
2022-06-01,4.99150810919062
2022-07-01,5.11017572163751
2022-08-01,5.23656728004269
2022-09-01,4.63830773901132
2022-10-01,4.47882993576621
2022-11-01,4.40781473164018
2022-12-01,4.33487562158032
2023-01-01,4.67284343587551
2023-02-01,4.20823539565587
2023-03-01,4.74763826847044
2023-04-01,4.40454372728883
2023-05-01,4.74079340991346
2023-06-01,4.56223481753249
2023-07-01,4.79799158182067
2023-08-01,5.06495193953616
2023-09-01,5.2177028895362
2023-10-01,5.20147065390833
2023-11-01,4.60838330895094
