"Date","LFEAICTTCAM647S"
1983-01-01,2669420.82409751
1983-02-01,2665127.01330254
1983-03-01,2683863.21656216
1983-04-01,2677883.81974734
1983-05-01,2715044.46440871
1983-06-01,2708954.15065866
1983-07-01,2736020.77565573
1983-08-01,2752479.52509983
1983-09-01,2789024.75332567
1983-10-01,2774046.58678035
1983-11-01,2780268.4505179
1983-12-01,2759250.68918933
1984-01-01,2719677.59776987
1984-02-01,2765894.56017756
1984-03-01,2754814.30154837
1984-04-01,2788798.4476702
1984-05-01,2809068.37487835
1984-06-01,2831045.64929319
1984-07-01,2849869.60859015
1984-08-01,2846183.65501182
1984-09-01,2849880.76202747
1984-10-01,2876376.05125306
1984-11-01,2845724.60975542
1984-12-01,2846637.34922534
1985-01-01,2790802.19149478
1985-02-01,2800515.00106897
1985-03-01,2820438.09384689
1985-04-01,2819589.48777622
1985-05-01,2860566.10246298
1985-06-01,2827946.41711649
1985-07-01,2859775.04317458
1985-08-01,2869157.14830187
1985-09-01,2840962.58141535
1985-10-01,2879650.8026176
1985-11-01,2912061.72589153
1985-12-01,2919673.56758391
1986-01-01,2940611.92049884
1986-02-01,2961229.29479928
1986-03-01,2952458.81471275
1986-04-01,2944623.30816642
1986-05-01,2884313.54568467
1986-06-01,2900480.06084141
1986-07-01,2881991.28418273
1986-08-01,2861741.98296726
1986-09-01,2870838.02304523
1986-10-01,2889601.07362491
1986-11-01,2903107.44527701
1986-12-01,2912698.4479209
1987-01-01,2984982.99911171
1987-02-01,2992277.69447005
1987-03-01,3016558.04608788
1987-04-01,3035738.45965798
1987-05-01,3072997.11070417
1987-06-01,3080444.97509495
1987-07-01,3078413.58950174
1987-08-01,3078255.69512006
1987-09-01,3081432.70049873
1987-10-01,3109982.50755265
1987-11-01,3121471.18465414
1987-12-01,3147383.73036219
1988-01-01,3140939.67189845
1988-02-01,3166178.92627023
1988-03-01,3152531.96360046
1988-04-01,3174095.8410839
1988-05-01,3180041.20764201
1988-06-01,3180583.3499276
1988-07-01,3186601.66900298
1988-08-01,3190856.22713049
1988-09-01,3196075.25575845
1988-10-01,3201237.62361796
1988-11-01,3209840.55040236
1988-12-01,3226108.07540122
1989-01-01,3260491.36878397
1989-02-01,3257835.90726928
1989-03-01,3251476.53418884
1989-04-01,3267756.63247605
1989-05-01,3269753.19802056
1989-06-01,3278089.18831847
1989-07-01,3280360.45786247
1989-08-01,3286514.16481682
1989-09-01,3256950.56836849
1989-10-01,3258246.7338896
1989-11-01,3266613.28293142
1989-12-01,3252748.0373441
1990-01-01,3247327.3336011
1990-02-01,3260972.87125047
1990-03-01,3244513.79194617
1990-04-01,3248829.44289354
1990-05-01,3223546.22546893
1990-06-01,3232225.42790754
1990-07-01,3216785.07220554
1990-08-01,3214541.77918217
1990-09-01,3181174.23770951
1990-10-01,3151071.00594597
1990-11-01,3088026.5065473
1990-12-01,3064357.28874408
1991-01-01,3036161.9502813
1991-02-01,2982839.20234906
1991-03-01,2954956.59858062
1991-04-01,2962380.48658339
1991-05-01,2978943.60867637
1991-06-01,2974786.75110384
1991-07-01,2955399.43528104
1991-08-01,2942047.54379978
1991-09-01,2957243.64859017
1991-10-01,2936486.37681324
1991-11-01,2909030.21711603
1991-12-01,2904645.64950773
1992-01-01,2889287.5815857
1992-02-01,2873766.40891208
1992-03-01,2854933.19861809
1992-04-01,2862601.26679202
1992-05-01,2849193.21375796
1992-06-01,2859676.42583734
1992-07-01,2853446.12879756
1992-08-01,2833076.92301184
1992-09-01,2835878.51087295
1992-10-01,2818706.50990711
1992-11-01,2798633.3773702
1992-12-01,2804316.23980485
1993-01-01,2801896.50739265
1993-02-01,2806022.25391993
1993-03-01,2798889.63804066
1993-04-01,2779973.26940841
1993-05-01,2760854.37273993
1993-06-01,2778436.29741354
1993-07-01,2768899.40194809
1993-08-01,2746263.03598168
1993-09-01,2759223.42563591
1993-10-01,2755381.53644192
1993-11-01,2771547.31772217
1993-12-01,2750585.87220956
1994-01-01,2732050.94797843
1994-02-01,2751724.83479434
1994-03-01,2784416.84844222
1994-04-01,2811024.36849267
1994-05-01,2824161.51557163
1994-06-01,2849055.48901498
1994-07-01,2863524.82589875
1994-08-01,2857490.49978586
1994-09-01,2882605.29276189
1994-10-01,2898025.80519637
1994-11-01,2917810.90679488
1994-12-01,2920756.84540908
1995-01-01,2930887.33187693
1995-02-01,2927187.0588885
1995-03-01,2932109.90787543
1995-04-01,2927263.03531428
1995-05-01,2937672.92112532
1995-06-01,2924826.87654475
1995-07-01,2910147.28868804
1995-08-01,2911307.35127298
1995-09-01,2937330.24228642
1995-10-01,2936456.00741786
1995-11-01,2928422.55018111
1995-12-01,2925769.84610361
1996-01-01,2920334.9889068
1996-02-01,2915351.49323887
1996-03-01,2913578.00175089
1996-04-01,2926494.25089043
1996-05-01,2913791.89524629
1996-06-01,2918433.63444126
1996-07-01,2942162.13369838
1996-08-01,2970295.61060833
1996-09-01,2973381.04903632
1996-10-01,2954068.31168942
1996-11-01,2961770.16461089
1996-12-01,2970174.16679336
1997-01-01,2996102.51338906
1997-02-01,3001429.71490275
1997-03-01,3016451.44288368
1997-04-01,3013973.55637275
1997-05-01,3021959.31994002
1997-06-01,3048197.45715147
1997-07-01,3051615.42444305
1997-08-01,3065489.92909684
1997-09-01,3081034.38437758
1997-10-01,3080360.71460409
1997-11-01,3090283.15481714
1997-12-01,3110039.64601943
1998-01-01,3096645.34066054
1998-02-01,3117237.23133575
1998-03-01,3110708.22857215
1998-04-01,3119831.2122401
1998-05-01,3115526.59794868
1998-06-01,3120239.66608039
1998-07-01,3131843.69169882
1998-08-01,3153302.30070821
1998-09-01,3132440.52546484
1998-10-01,3162674.24030654
1998-11-01,3182355.2605623
1998-12-01,3174476.0547343
1999-01-01,3183576.98040104
1999-02-01,3180411.25041022
1999-03-01,3187325.13965571
1999-04-01,3188435.8584382
1999-05-01,3197145.81708065
1999-06-01,3207920.9237241
1999-07-01,3224402.58452644
1999-08-01,3220320.98842577
1999-09-01,3234145.91033287
1999-10-01,3274122.98923059
1999-11-01,3274483.44613674
1999-12-01,3298422.17612016
2000-01-01,3314251.59440751
2000-02-01,3307511.41998423
2000-03-01,3311877.40803104
2000-04-01,3330507.94955917
2000-05-01,3330084.1988154
2000-06-01,3310122.21965696
2000-07-01,3306217.73152063
2000-08-01,3307058.8285219
2000-09-01,3322946.31384765
2000-10-01,3337315.32302912
2000-11-01,3350406.63710279
2000-12-01,3368095.15462947
2001-01-01,3362532.32770266
2001-02-01,3353240.57386308
2001-03-01,3367463.09280393
2001-04-01,3368740.44961003
2001-05-01,3358449.43481648
2001-06-01,3346743.91623701
2001-07-01,3341466.5531962
2001-08-01,3343673.68456036
2001-09-01,3348894.37800614
2001-10-01,3346924.17816119
2001-11-01,3306119.68717116
2001-12-01,3313862.79963267
2002-01-01,3345534.70085281
2002-02-01,3384715.55760573
2002-03-01,3409195.83010122
2002-04-01,3407120.66140141
2002-05-01,3439514.46053838
2002-06-01,3460682.89434047
2002-07-01,3472592.17344063
2002-08-01,3506741.89642548
2002-09-01,3498452.97783532
2002-10-01,3491568.75717791
2002-11-01,3509033.47671467
2002-12-01,3500092.16079399
2003-01-01,3491177.70383291
2003-02-01,3508525.63601551
2003-03-01,3494565.09228977
2003-04-01,3478475.59176866
2003-05-01,3481256.23611274
2003-06-01,3481800.62449487
2003-07-01,3505274.78600765
2003-08-01,3507747.25360157
2003-09-01,3488190.80774312
2003-10-01,3487059.2999368
2003-11-01,3510840.43160072
2003-12-01,3502608.93562256
2004-01-01,3508307.82319532
2004-02-01,3523089.91150093
2004-03-01,3545873.98261978
2004-04-01,3564022.21167309
2004-05-01,3576633.79731084
2004-06-01,3576135.02661857
2004-07-01,3596297.0377943
2004-08-01,3596313.32418673
2004-09-01,3584543.21835901
2004-10-01,3606917.81988902
2004-11-01,3586310.4150563
2004-12-01,3584310.0599099
