"Date","M1017CM144NNBR"
1926-10-01,73.4
1926-11-01,50.77
1926-12-01,65.99
1927-01-01,73.06
1927-02-01,49.86
1927-03-01,56.84
1927-04-01,52.95
1927-05-01,39.89
1927-06-01,58.53
1927-07-01,48.94
1927-08-01,36.19
1927-09-01,45.35
1927-10-01,70.54
1927-11-01,41.86
1927-12-01,56.37
1928-01-01,76.93
1928-02-01,47.6
1928-03-01,48.59
1928-04-01,76.92
1928-05-01,74.74
1928-06-01,59.12
1928-07-01,61.42
1928-08-01,29.16
1928-09-01,44.62
1928-10-01,80.58
1928-11-01,73.14
1928-12-01,43.49
1929-01-01,65.82
1929-02-01,118.25
1929-03-01,76.89
1929-04-01,33.87
1929-05-01,48.86
1929-06-01,40.44
1929-07-01,41.03
1929-08-01,35.5
1929-09-01,6.5
1929-10-01,23.72
1929-11-01,16.86
1929-12-01,12.68
1930-01-01,27.82
1930-02-01,17.72
1930-03-01,17.08
1930-04-01,64.16
1930-05-01,7.6
1930-06-01,15.38
1930-07-01,22.07
1930-08-01,3.1
1930-09-01,15.62
1930-10-01,8.59
1930-11-01,15.36
1930-12-01,30
1931-01-01,6.15
1931-02-01,6.16
1931-03-01,3.76
1931-04-01,7.58
1931-05-01,9.92
1931-06-01,3.81
1931-07-01,1.65
1931-08-01,2.65
1931-09-01,67.01
1931-10-01,9.12
1931-11-01,5.78
1931-12-01,5.4
1932-01-01,1.22
1932-02-01,2.9
1932-03-01,1.91
1932-04-01,0.49
1932-05-01,0
1932-06-01,0.08
1932-07-01,0
1932-08-01,0
1932-09-01,0.7
1932-10-01,0
1932-11-01,0.22
1932-12-01,0.6
1933-01-01,0
1933-02-01,0.9
1933-03-01,0
1933-04-01,0
1933-05-01,0
1933-06-01,0
1933-07-01,0
1933-08-01,0
1933-09-01,0
1933-10-01,0
1933-11-01,0
1933-12-01,0
1934-01-01,0
1934-02-01,0
1934-03-01,0
1934-04-01,0
1934-05-01,0
1934-06-01,0
1934-07-01,0.4
1934-08-01,0
1934-09-01,0
1934-10-01,0
1934-11-01,0
1934-12-01,0
1935-01-01,0
1935-02-01,0
1935-03-01,0
1935-04-01,0.57
1935-05-01,0.32
1935-06-01,0
1935-07-01,0
1935-08-01,0
1935-09-01,0.48
1935-10-01,0.35
1935-11-01,0
1935-12-01,0.25
1936-01-01,0
1936-02-01,2
1936-03-01,0
1936-04-01,0
1936-05-01,0.15
1936-06-01,1.66
1936-07-01,0.5
1936-08-01,0
1936-09-01,0
1936-10-01,4.76
1936-11-01,0
1936-12-01,2.9
1937-01-01,0.28
1937-02-01,2.87
1937-03-01,1.36
1937-04-01,0.54
1937-05-01,0.6
1937-06-01,0.9
1937-07-01,0.35
1937-08-01,0.42
1937-09-01,0.38
1937-10-01,1.98
1937-11-01,0
1937-12-01,0.38
1938-01-01,0.42
1938-02-01,0.53
1938-03-01,0.04
1938-04-01,0
1938-05-01,0.72
1938-06-01,0.35
1938-07-01,0.11
1938-08-01,1.35
1938-09-01,0.75
1938-10-01,1.42
1938-11-01,0.24
1938-12-01,0.39
1939-01-01,0.63
1939-02-01,0.38
1939-03-01,0
1939-04-01,1.14
1939-05-01,0.1
1939-06-01,0
1939-07-01,1.24
1939-08-01,0.25
1939-09-01,0.13
1939-10-01,0.11
1939-11-01,0.75
1939-12-01,0.03
1940-01-01,0
1940-02-01,0.45
1940-03-01,0
1940-04-01,0
1940-05-01,0.28
1940-06-01,0
1940-07-01,0
1940-08-01,0.09
1940-09-01,0.04
1940-10-01,0.15
1940-11-01,0.02
1940-12-01,0
1941-01-01,0.16
1941-02-01,0.06
1941-03-01,0.11
1941-04-01,0.05
1941-05-01,0
1941-06-01,0.39
1941-07-01,0
1941-08-01,0
1941-09-01,0.23
1941-10-01,0.21
1941-11-01,0
1941-12-01,0
1942-01-01,1.8
1942-02-01,0
1942-03-01,0
1942-04-01,0
1942-05-01,0
1942-06-01,0
1942-07-01,0.21
1942-08-01,0
1942-09-01,0
1942-10-01,0
1942-11-01,0
