"Date","CANSARTMISMEI"
1985-08-01,45.093903875888
1985-09-01,45.0578725348303
1985-10-01,45.1410024221732
1985-11-01,46.1195695344621
1985-12-01,45.7552722913777
1986-01-01,45.7597236342276
1986-02-01,45.7895627455364
1986-03-01,46.1912238198603
1986-04-01,45.9461690452258
1986-05-01,46.3231004826947
1986-06-01,46.1603967361712
1986-07-01,46.7123269440154
1986-08-01,47.2021539135866
1986-09-01,47.474610979884
1986-10-01,46.9150191729847
1986-11-01,46.8627600350869
1986-12-01,47.0458200544675
1987-01-01,46.5682519928227
1987-02-01,48.0459763903254
1987-03-01,47.6951101315221
1987-04-01,48.969759680714
1987-05-01,48.5322837110729
1987-06-01,49.5526033759812
1987-07-01,49.1462839297198
1987-08-01,49.5374727563914
1987-09-01,49.4098558466821
1987-10-01,50.5245145859966
1987-11-01,50.45557032044
1987-12-01,50.679895868354
1988-01-01,50.2275193863033
1988-02-01,49.6552193168103
1988-03-01,51.4405636005915
1988-04-01,50.2227657662855
1988-05-01,50.7111410013925
1988-06-01,50.5211115696645
1988-07-01,51.3872188461431
1988-08-01,50.8444213890292
1988-09-01,51.1586839428633
1988-10-01,51.8460275658299
1988-11-01,51.3222996238642
1988-12-01,52.4078145460812
1989-01-01,51.8778600729631
1989-02-01,51.3604269127903
1989-03-01,51.2144146226248
1989-04-01,51.404099539178
1989-05-01,51.0309574274523
1989-06-01,50.8614043328785
1989-07-01,50.3903168640362
1989-08-01,50.782649849944
1989-09-01,51.1190453129237
1989-10-01,50.4784331000765
1989-11-01,50.2821653152782
1989-12-01,50.5580101118507
1990-01-01,50.9827060933371
1990-02-01,50.8366177626193
1990-03-01,51.3771843807276
1990-04-01,50.4947062243372
1990-05-01,49.5886839302826
1990-06-01,49.4679800503531
1990-07-01,49.4099252893995
1990-08-01,49.7438184225136
1990-09-01,49.4884002988979
1990-10-01,48.9916543276286
1990-11-01,48.4314230571735
1990-12-01,48.895707922379
1991-01-01,47.9538024939384
1991-02-01,47.2057802932895
1991-03-01,47.6716786550927
1991-04-01,48.2529483297647
1991-05-01,47.9481284949449
1991-06-01,48.2384481101145
1991-07-01,47.4380990298585
1991-08-01,47.8954863931714
1991-09-01,47.7495385301708
1991-10-01,48.190849563002
1991-11-01,47.896116837504
1991-12-01,47.664743767434
1992-01-01,47.9319515545745
1992-02-01,48.1987152016728
1992-03-01,48.0646013154258
1992-04-01,48.5858299562983
1992-05-01,48.2809990489116
1992-06-01,48.6353173946733
1992-07-01,48.6107200880254
1992-08-01,48.6004712102554
1992-09-01,49.074262188307
1992-10-01,49.3451253865132
1992-11-01,49.1272635276316
1992-12-01,49.2452720345258
1993-01-01,49.9307755447969
1993-02-01,49.5828993507764
1993-03-01,49.6941728808503
1993-04-01,50.5152544027641
1993-05-01,50.1574221560527
1993-06-01,49.7205271379731
1993-07-01,50.4733804164468
1993-08-01,50.5755763690673
1993-09-01,50.6502467642485
1993-10-01,50.806029706352
1993-11-01,50.8716225240798
1993-12-01,51.1787960320996
1994-01-01,51.6247686276326
1994-02-01,52.7427747797963
1994-03-01,53.9445289045946
1994-04-01,53.2224222594307
1994-05-01,53.6353056210207
1994-06-01,53.817442820247
1994-07-01,53.4256428643552
1994-08-01,53.5647347769475
1994-09-01,53.6326701953084
1994-10-01,54.7407202947813
1994-11-01,54.6262256888368
1994-12-01,55.1310561252774
1995-01-01,54.3600476918969
1995-02-01,54.0792284409998
1995-03-01,53.819492595801
1995-04-01,53.7825966358291
1995-05-01,53.85053205419
1995-06-01,54.151849060627
1995-07-01,54.2039719247142
1995-08-01,54.9948924634764
1995-09-01,54.4560943178554
1995-10-01,53.9676620858468
1995-11-01,54.2537521881684
1995-12-01,54.5301790628783
1996-01-01,54.4303257108909
1996-02-01,54.7761521293575
1996-03-01,54.7266646909825
1996-04-01,54.2560947888015
1996-05-01,54.054923959431
1996-06-01,54.7638534760335
1996-07-01,54.6437951935853
1996-08-01,54.9374987479646
1996-09-01,55.0066054666421
1996-10-01,55.5061650516581
1996-11-01,56.3410093522916
1996-12-01,56.092108035021
1997-01-01,56.4669241363226
1997-02-01,57.2716074538045
1997-03-01,56.9720473978423
1997-04-01,57.1629693494428
1997-05-01,57.6206549481416
1997-06-01,57.8414450578146
1997-07-01,58.3676517250325
1997-08-01,57.7518405835971
1997-09-01,58.2771687755777
1997-10-01,58.7254839717439
1997-11-01,58.8885875408259
1997-12-01,61.0985384131096
1998-01-01,58.4065974605584
1998-02-01,59.7295811681213
1998-03-01,59.5623780479313
1998-04-01,60.7679388987584
1998-05-01,60.5609115678051
1998-06-01,59.8183071671013
1998-07-01,60.0754075865879
1998-08-01,59.7814112071294
1998-09-01,60.5140595551424
1998-10-01,60.1439286551071
1998-11-01,60.6496375667851
1998-12-01,60.6540299429722
1999-01-01,61.3576886081501
1999-02-01,61.9860912279886
1999-03-01,62.0639826990403
1999-04-01,61.4156679738202
1999-05-01,61.181993560665
1999-06-01,62.0894584809257
1999-07-01,62.4212292955934
1999-08-01,63.2376256162409
1999-09-01,63.1740825740672
1999-10-01,62.9585633158187
1999-11-01,63.3758390535959
1999-12-01,64.1213717050911
2000-01-01,64.4165393848661
2000-02-01,64.0686631908456
2000-03-01,64.8218092943985
2000-04-01,64.2402586872227
2000-05-01,64.719613341778
2000-06-01,64.7043864376626
2000-07-01,65.8707087278846
2000-08-01,66.145964302278
2000-09-01,66.598086224473
2000-10-01,65.8396692694956
2000-11-01,65.6203432852183
2000-12-01,65.7415728679831
2001-01-01,66.5781741190914
2001-02-01,65.9061405624608
2001-03-01,66.1526992790983
2001-04-01,66.7193158072378
2001-05-01,66.7409848630943
2001-06-01,66.4879839947157
2001-07-01,66.5565050632349
2001-08-01,66.8206332846209
2001-09-01,65.4121446539485
2001-10-01,66.959139547055
2001-11-01,68.7603066088566
2001-12-01,69.8279468474079
2002-01-01,70.8308727434688
2002-02-01,70.0191616240875
2002-03-01,69.6938329611609
2002-04-01,69.9632320339714
2002-05-01,69.4206271623216
2002-06-01,70.4985162786428
2002-07-01,70.1037880719595
2002-08-01,70.218282677904
2002-09-01,69.8835836124448
2002-10-01,70.6203315115658
2002-11-01,70.0645495113545
2002-12-01,70.5143288329164
2003-01-01,70.8742108551818
2003-02-01,71.8048089566946
2003-03-01,71.3058350218369
2003-04-01,71.2103740460366
2003-05-01,71.857224645861
