"Date","XFORSD01CAM194N"
1982-11-01,3386200000
1982-12-01,3428400000
1983-01-01,3772500000
1983-02-01,4229400000
1983-03-01,3932300000
1983-04-01,4.055e+09
1983-05-01,3.918e+09
1983-06-01,4095700000
1983-07-01,4134400000
1983-08-01,4322700000
1983-09-01,4339800000
1983-10-01,4482900000
1983-11-01,4310300000
1983-12-01,4.016e+09
1984-01-01,4135700000
1984-02-01,3928400000
1984-03-01,3432400000
1984-04-01,3131500000
1984-05-01,3524800000
1984-06-01,2796400000
1984-07-01,4138200000
1984-08-01,3573300000
1984-09-01,3368600000
1984-10-01,3545900000
1984-11-01,3117500000
1984-12-01,3246400000
1985-01-01,3.054e+09
1985-02-01,2888300000
1985-03-01,3807500000
1985-04-01,3437900000
1985-05-01,3.128e+09
1985-06-01,3041600000
1985-07-01,3402900000
1985-08-01,3.137e+09
1985-09-01,3033400000
1985-10-01,2914800000
1985-11-01,3110300000
1985-12-01,2982200000
1986-01-01,2.911e+09
1986-02-01,3879700000
1986-03-01,2881700000
1986-04-01,2.948e+09
1986-05-01,3014500000
1986-06-01,2829600000
1986-07-01,2882200000
1986-08-01,2678400000
1986-09-01,2559200000
1986-10-01,3124300000
1986-11-01,3214200000
1986-12-01,3348300000
1987-01-01,4789300000
1987-02-01,5177400000
1987-03-01,6045200000
1987-04-01,4724300000
1987-05-01,4444900000
1987-06-01,4957800000
1987-07-01,5061800000
1987-08-01,5595600000
1987-09-01,5890100000
1987-10-01,6007500000
1987-11-01,5750900000
1987-12-01,5777900000
1988-01-01,6976800000
1988-02-01,7690900000
1988-03-01,9069900000
1988-04-01,9859200000
1988-05-01,9819400000
1988-06-01,12394400000
1988-07-01,11872700000
1988-08-01,10779500000
1988-09-01,11415200000
1988-10-01,12050100000
1988-11-01,1.1773e+10
1988-12-01,12036800000
1989-01-01,1.2666e+10
1989-02-01,12237400000
1989-03-01,12527300000
1989-04-01,12455700000
1989-05-01,12471200000
1989-06-01,12738600000
1989-07-01,12560900000
1989-08-01,13378500000
1989-09-01,12847400000
1989-10-01,12840900000
1989-11-01,12638400000
1989-12-01,12780700000
1990-01-01,11806596541
1990-02-01,10382915580
1990-03-01,11157016668
1990-04-01,11492843276
1990-05-01,10651782439
1990-06-01,11033077496
1990-07-01,11730519113
1990-08-01,13328930267
1990-09-01,13136227937
1990-10-01,12671190208
1990-11-01,12935075762
1990-12-01,13060412847
1991-01-01,13155175211
1991-02-01,12329112492
1991-03-01,13107173698
1991-04-01,12317923414
1991-05-01,13342835580
1991-06-01,13033886703
1991-07-01,13041099895
1991-08-01,13955849798
1991-09-01,13699378392
1991-10-01,12847863625
1991-11-01,13017150544
1991-12-01,11815660278
1992-01-01,11979349859
1992-02-01,12041088600
1992-03-01,11133644146
1992-04-01,11302722008
1992-05-01,11027748743
1992-06-01,10644232721
1992-07-01,10838037392
1992-08-01,10583022974
1992-09-01,8674987472
1992-10-01,9349326004
1992-11-01,7466303868
1992-12-01,8661717727
1993-01-01,8457693690
1993-02-01,8369039355
1993-03-01,9411753219
1993-04-01,8611538519
1993-05-01,9040466420
1993-06-01,8593194503
1993-07-01,8700847430
1993-08-01,7698684225
1993-09-01,7812080420
1993-10-01,9255796219
1993-11-01,8728979244
1993-12-01,9298518356
1994-01-01,9471878311
1994-02-01,9094348646
1994-03-01,7949799256
1994-04-01,7662349881
1994-05-01,7913897466
1994-06-01,8219069817
1994-07-01,10276794409
1994-08-01,10268295402
1994-09-01,10770325561
1994-10-01,10098080570
1994-11-01,9260595965
1994-12-01,8551628934
1995-01-01,9073919983
1995-02-01,9722748150
1995-03-01,9488482337
1995-04-01,9509015629
1995-05-01,9652097014
1995-06-01,9568302011
1995-07-01,10773462606
1995-08-01,11298001613
1995-09-01,10751528901
1995-10-01,10520195834
1995-11-01,10134056309
1995-12-01,10243342740
1996-01-01,10318813455
1996-02-01,10036608522
1996-03-01,11636846533
1996-04-01,11974302235
1996-05-01,12754315066
1996-06-01,12977120368
1996-07-01,12753617777
1996-08-01,13448360783
1996-09-01,13542412036
1996-10-01,13849039966
1996-11-01,13920497546
1996-12-01,14310409557
1997-01-01,14977240003
1997-02-01,15194689252
1997-03-01,15602344913
1997-04-01,14540608462
1997-05-01,15106229437
1997-06-01,15314980923
1997-07-01,14391727126
1997-08-01,16475800890
1997-09-01,16467745548
1997-10-01,15876524503
1997-11-01,13783297367
1997-12-01,13317346179
1998-01-01,15489700035
1998-02-01,15782523177
1998-03-01,16784665402
1998-04-01,16177961857
1998-05-01,15399523811
1998-06-01,15000426561
1998-07-01,16942341512
1998-08-01,13384488423
1998-09-01,14251332391
1998-10-01,14283385009
1998-11-01,16914795379
1998-12-01,16640315169
1999-01-01,16869813257
1999-02-01,16370600215
1999-03-01,18380415161
1999-04-01,18883768417
1999-05-01,18773651396
1999-06-01,18966216254
1999-07-01,18452770800
1999-08-01,18476489672
1999-09-01,18580621151
1999-10-01,19059668218
1999-11-01,20777519032
1999-12-01,20555835039
2000-01-01,21125764496
2000-02-01,22028956951
2000-03-01,22842044392
2000-04-01,22825593350
2000-05-01,22106390246
2000-06-01,22328582063
2000-07-01,22792404248
2000-08-01,23225696600
2000-09-01,23425153216
2000-10-01,23651530106
2000-11-01,23956236431
2000-12-01,24680382546
2001-01-01,24884647885
2001-02-01,25096154578
2001-03-01,26387824001
2001-04-01,26034599161
2001-05-01,26312321834
2001-06-01,26292782516
2001-07-01,26651197322
2001-08-01,26991524730
2001-09-01,26327467565
2001-10-01,27148656704
2001-11-01,27115474591
2001-12-01,27060777456
2002-01-01,26886745550
2002-02-01,27334045381
2002-03-01,27094867726
2002-04-01,27394972184
2002-05-01,27454778224
2002-06-01,27777780924
2002-07-01,27364613972
2002-08-01,27789743568
2002-09-01,27520695473
2002-10-01,28050779883
2002-11-01,27428101889
2002-12-01,27224737650
2003-01-01,27201251820
2003-02-01,26077121114
2003-03-01,26045573099
2003-04-01,26115210843
2003-05-01,26261207027
2003-06-01,26131681636
2003-07-01,25625583386
2003-08-01,25581769182
2003-09-01,25611712811
2003-10-01,25001932061
2003-11-01,24891876286
2003-12-01,24379879207
2004-01-01,24524953494
2004-02-01,24285713785
2004-03-01,24566640448
2004-04-01,24155644658
2004-05-01,24467853903
2004-06-01,24129441313
2004-07-01,24119221888
2004-08-01,24541935164
2004-09-01,24656971720
2004-10-01,24299572055
2004-11-01,22161623753
2004-12-01,22172796948
2005-01-01,22666011708
2005-02-01,23185757385
2005-03-01,23963765187
2005-04-01,23445832087
2005-05-01,23726362740
2005-06-01,23947147502
2005-07-01,22927980688
2005-08-01,23466492604
2005-09-01,23148492122
2005-10-01,23633206524
2005-11-01,23979600256
2005-12-01,23066029474
2006-01-01,22763539645
2006-02-01,22737410697
2006-03-01,24965656637
2006-04-01,24235308346
2006-05-01,23838295579
2006-06-01,24234173298
2006-07-01,24481751876
2006-08-01,24044546410
2006-09-01,24355699613
2006-10-01,24041298834
2006-11-01,24151212474
2006-12-01,23264781766
2007-01-01,24052929663
2007-02-01,24086350878
2007-03-01,25981076448
2007-04-01,26318959914
2007-05-01,26459842113
2007-06-01,25961869186
2007-07-01,26276916810
2007-08-01,26251756507
2007-09-01,26278310780
2007-10-01,25903721185
2007-11-01,25640791279
2007-12-01,25943528323
2008-01-01,26431425233
2008-02-01,27017930600
2008-03-01,26121297453
2008-04-01,26797699179
2008-05-01,26838381693
2008-06-01,26787242216
2008-07-01,26260606223
2008-08-01,27077797977
2008-09-01,27542169754
2008-10-01,27768448662
2008-11-01,27871606399
2008-12-01,28425789347
2009-01-01,28324956054
2009-02-01,29368879434
2009-03-01,29048026806
2009-04-01,28397345616
2009-05-01,28919584653
2009-06-01,28710820928
2009-07-01,29174552732
2009-08-01,34145074507
2009-09-01,36644711233
2009-10-01,35303427150
2009-11-01,34963980823
2009-12-01,34601081276
2010-01-01,36588523422
2010-02-01,37340341054
2010-03-01,37246695477
2010-04-01,37535005357
2010-05-01,37916300550
2010-06-01,37367371585
2010-07-01,37661583869
2010-08-01,38302427106
2010-09-01,38176875285
2010-10-01,37413945314
2010-11-01,36982018876
2010-12-01,37014731004
2011-01-01,37496603127
2011-02-01,38259438602
2011-03-01,38125922787
2011-04-01,38777806309
2011-05-01,39881462288
2011-06-01,38945435746
2011-07-01,39440854464
2011-08-01,39954940633
2011-09-01,40693286285
2011-10-01,41141418054
2011-11-01,42251511813
2011-12-01,42766418059
2012-01-01,42674535377
2012-02-01,44734801964
2012-03-01,44653942702
2012-04-01,44738530822
2012-05-01,45379320616
2012-06-01,43523562067
2012-07-01,43856317156
2012-08-01,44025984398
2012-09-01,44062355400
2012-10-01,44056277340
2012-11-01,44331358657
2012-12-01,44485615162
2013-01-01,44583116866
2013-02-01,45679918556
2013-03-01,46760235209
2013-04-01,47369761929
2013-05-01,47077620893
2013-06-01,45697725940
2013-07-01,45976749479
2013-08-01,46060858586
2013-09-01,46456041749
2013-10-01,46270595878
2013-11-01,46847726870
2013-12-01,46640672109
2014-01-01,47362530444
2014-02-01,49790863250
2014-03-01,49384425878
2014-04-01,49801564715
2014-05-01,50476378726
2014-06-01,49003030660
2014-07-01,49205192053
2014-08-01,49720609517
2014-09-01,49626724488
2014-10-01,49924971402
2014-11-01,50540412074
2014-12-01,51483006651
