"Date","LFEM24FECAM647S"
2021-09-01,1308200
2021-10-01,1308800
2021-11-01,1318300
2021-12-01,1317400
2022-01-01,1268300
2022-02-01,1326800
2022-03-01,1328200
2022-04-01,1322100
2022-05-01,1334800
2022-06-01,1324100
2022-07-01,1322100
2022-08-01,1311100
2022-09-01,1269900
2022-10-01,1274300
2022-11-01,1305200
2022-12-01,1324700
2023-01-01,1333800
2023-02-01,1336200
2023-03-01,1340200
2023-04-01,1345200
2023-05-01,1302500
2023-06-01,1300900
2023-07-01,1306800
2023-08-01,1338300
2023-09-01,1323800
2023-10-01,1304500
2023-11-01,1296500
