"Date","CCUSMA02CAM659N"
1974-11-01,-1.17886121869922
1974-12-01,-1.13727485243289
1975-01-01,0.310224382248418
1975-02-01,2.47524242269079
1975-03-01,2.92495357973262
1975-04-01,4.52789429655794
1975-05-01,6.88970464324922
1975-06-01,6.19097077715997
1975-07-01,5.67103368375434
1975-08-01,5.65902178620439
1975-09-01,4.08147628227308
1975-10-01,4.25744741561488
1975-11-01,2.73401977584674
1975-12-01,2.62503584685778
1976-01-01,1.27141566857596
1976-02-01,-0.700140709842413
1976-03-01,-1.45160690794195
1976-04-01,-2.75226178484082
1976-05-01,-4.71449818855632
1976-06-01,-5.11114309913142
1976-07-01,-5.68873890049834
1976-08-01,-4.80719610621323
1976-09-01,-5.03067625512753
1976-10-01,-5.10299651466517
1976-11-01,-2.84034635412632
1976-12-01,0.484461114908017
1977-01-01,0.337742604522262
1977-02-01,3.55652502315871
1977-03-01,6.62608219641049
1977-04-01,6.90599114770103
1977-05-01,6.99935635684904
1977-06-01,8.62597596903998
1977-07-01,9.2131233344857
1977-08-01,9.06216924742701
1977-09-01,10.0982535016513
1977-10-01,13.0281403172142
1977-11-01,12.5577950620111
1977-12-01,7.68988652722737
1978-01-01,8.97637323606588
1978-02-01,8.1858283044393
1978-03-01,7.10974867108848
1978-04-01,8.54637663541496
1978-05-01,6.64347188790114
1978-06-01,6.00533863998732
1978-07-01,5.93274817989958
1978-08-01,6.46876826466342
1978-09-01,8.67211978768559
1978-10-01,7.47777936991008
1978-11-01,5.73424744634459
1978-12-01,7.56802516894004
1979-01-01,8.03349426240387
1979-02-01,7.24684638168846
1979-03-01,4.24507323266851
1979-04-01,0.439609440844074
1979-05-01,3.33814741775587
1979-06-01,4.53064984672144
1979-07-01,3.51638160176961
1979-08-01,2.23020536114945
1979-09-01,-0.109127994516533
1979-10-01,-0.491903251382777
1979-11-01,0.607802023312118
1979-12-01,-0.896643839918178
1980-01-01,-2.16975697057438
1980-02-01,-3.19911241658145
1980-03-01,0.03127877684198
1980-04-01,3.48509437608148
1980-05-01,1.55535899100518
1980-06-01,-1.73863759795646
1980-07-01,-0.971536704532843
1980-08-01,-0.903163461339166
1980-09-01,-0.0618085811717956
1980-10-01,-0.520365900023439
1980-11-01,0.619746745945221
1980-12-01,2.34732858149141
1981-01-01,2.34118763137045
1981-02-01,3.72561660181552
1981-03-01,1.46929227539634
1981-04-01,0.47025609549079
1981-05-01,2.33237535489512
1981-06-01,4.57308715208175
1981-07-01,5.18995018941123
1981-08-01,5.47434698039177
1981-09-01,3.12354269996667
1981-10-01,2.80445634001514
1981-11-01,0.0494192835066929
1981-12-01,-1.00383312408794
1982-01-01,0.131019598857932
1982-02-01,1.31028792740748
1982-03-01,2.45331484589616
1982-04-01,2.81912405657558
1982-05-01,2.71759193991235
1982-06-01,5.87714431611832
1982-07-01,4.675565762716
1982-08-01,1.80199609415533
1982-09-01,2.76581485784755
1982-10-01,2.26626257171651
1982-11-01,3.2586276974646
1982-12-01,4.49525197822928
1983-01-01,3.01402037201032
1983-02-01,1.06934148435441
1983-03-01,0.457128132295681
1983-04-01,0.568736072561728
1983-05-01,-0.336672811452546
1983-06-01,-3.36323554459463
1983-07-01,-2.88963305633902
1983-08-01,-0.875694814017095
1983-09-01,-0.120546883771847
1983-10-01,0.199683271955675
1983-11-01,0.888639147263336
1983-12-01,0.706749470673214
1984-01-01,1.62311934990771
1984-02-01,1.68203350978642
1984-03-01,3.5980843233454
1984-04-01,3.88952604566168
1984-05-01,5.09803344469321
1984-06-01,5.87855192677546
1984-07-01,7.40318648749625
1984-08-01,5.63359933145447
1984-09-01,6.68683594568214
1984-10-01,7.10602665468125
1984-11-01,6.4916813427884
1984-12-01,5.86904301967492
1985-01-01,6.02098639660378
1985-02-01,8.46506830663724
1985-03-01,8.92496719597474
1985-04-01,6.67199413947402
1985-05-01,6.50202023631595
1985-06-01,4.89344142821764
1985-07-01,2.17286504909879
1985-08-01,4.30303869825462
1985-09-01,4.2231243701017
1985-10-01,3.56442495332298
1985-11-01,4.52250645412298
1985-12-01,5.72770997623443
1986-01-01,6.30904428029481
1986-02-01,3.42048894449386
1986-03-01,1.31001834024377
1986-04-01,1.62675799118043
1986-05-01,0.0419890390582268
1986-06-01,1.5794818561927
1986-07-01,2.0845257680394
1986-08-01,2.14525748921329
1986-09-01,1.25035354328495
1986-10-01,1.61348936336622
1986-11-01,0.699468349527219
1986-12-01,-1.12398294062618
1987-01-01,-3.34848192533879
1987-02-01,-4.6853958673137
1987-03-01,-5.86635395938899
1987-04-01,-4.84582060289978
1987-05-01,-2.53772732553087
1987-06-01,-3.68860705764827
1987-07-01,-3.95448695338236
1987-08-01,-4.55473152806253
1987-09-01,-5.1726808935042
1987-10-01,-5.67571621440752
1987-11-01,-5.03321518979514
1987-12-01,-5.21963872999118
1988-01-01,-5.48003532240791
1988-02-01,-5.06371003193306
1988-03-01,-5.23995473667493
1988-04-01,-6.4089583231405
1988-05-01,-7.71590053405065
1988-06-01,-9.08442570478293
1988-07-01,-8.92337488277534
1988-08-01,-7.60341860180778
1988-09-01,-6.81932441999073
1988-10-01,-7.57634900709749
1988-11-01,-7.52875115081354
1988-12-01,-8.59797707171158
1989-01-01,-7.30384094401054
1989-02-01,-6.10720906575312
1989-03-01,-4.39973231228211
1989-04-01,-3.83393510710411
1989-05-01,-3.62820755970008
1989-06-01,-1.53507182427953
1989-07-01,-1.54262797559868
1989-08-01,-3.97139339148197
1989-09-01,-3.5475654871267
1989-10-01,-2.93001814474155
1989-11-01,-3.89053236768211
1989-12-01,-2.87106746939528
1990-01-01,-1.65360818449241
1990-02-01,0.609834269273523
1990-03-01,-1.19917799278484
1990-04-01,-2.04846838273822
1990-05-01,-1.56604435151161
1990-06-01,-2.12234753200299
1990-07-01,-2.71224908003311
1990-08-01,-2.58218350557708
1990-09-01,-2.07976872348499
1990-10-01,-1.28070262276773
1990-11-01,-0.52099947907413
1990-12-01,-0.0676115217111703
1991-01-01,-1.33312195291792
1991-02-01,-3.50317383356064
1991-03-01,-2.00664467062238
1991-04-01,-0.842139154344227
1991-05-01,-2.09821954272292
1991-06-01,-2.4657732557697
1991-07-01,-0.617690768413599
1991-08-01,-0.0264275173537662
1991-09-01,-1.80333693686881
1991-10-01,-2.74033648228274
1991-11-01,-2.82672099282611
1991-12-01,-1.15277448663256
1992-01-01,0.0896308541448414
1992-02-01,2.44016171413371
1992-03-01,3.08401590930862
1992-04-01,2.92326851475358
1992-05-01,4.34302921960904
1992-06-01,4.55024151366698
1992-07-01,3.53702957993586
1992-08-01,4.02204090258704
1992-09-01,7.5146947680513
1992-10-01,10.3810889943577
1992-11-01,12.1805209651377
1992-12-01,10.9055536934292
1993-01-01,10.4147566722719
1993-02-01,6.57544768211963
1993-03-01,4.54585273136259
1993-04-01,6.26207581808843
1993-05-01,5.82723008546479
1993-06-01,6.96059723457216
1993-07-01,7.73055332898719
1993-08-01,9.84177631741812
1993-09-01,8.10049001504765
1993-10-01,6.45857549202662
1993-11-01,3.78641598090904
1993-12-01,4.63877314816472
1994-01-01,3.12979096048954
1994-02-01,6.47185566114863
1994-03-01,9.48482441813101
1994-04-01,9.51361639778809
1994-05-01,8.78467159485922
1994-06-01,8.13497861702188
1994-07-01,7.77723396335386
1994-08-01,5.31907568727231
1994-09-01,2.43845892790327
1994-10-01,1.84194158514148
1994-11-01,3.65833766213978
1994-12-01,4.42273707909299
1995-01-01,7.23056343344216
1995-02-01,4.28679499016084
1995-03-01,3.07116129406521
1995-04-01,-0.467350552671605
1995-05-01,-1.4774117753423
1995-06-01,-0.413689933963611
1995-07-01,-1.52356251348943
1995-08-01,-1.63184979772493
1995-09-01,-0.242503027529694
1995-10-01,-0.305835875949048
1995-11-01,-0.87102021043893
1995-12-01,-1.4628947371206
1996-01-01,-3.27011320903387
1996-02-01,-1.71427023180836
1996-03-01,-2.95362529591239
1996-04-01,-1.17349834178317
1996-05-01,0.626017517053035
1996-06-01,-0.890936652817937
1996-07-01,0.603675108266468
1996-08-01,1.2263591224635
1996-09-01,1.40396614236229
1996-10-01,0.326200987607809
1996-11-01,-1.08101325570042
1996-12-01,-0.463925009761475
1997-01-01,-1.30853019738141
1997-02-01,-1.42007064050768
1997-03-01,0.530703743793221
1997-04-01,2.58885779306132
1997-05-01,0.809688053271334
1997-06-01,1.38099344766101
1997-07-01,0.603580998718678
1997-08-01,1.37097599549768
1997-09-01,1.278278395233
1997-10-01,2.77062939357317
1997-11-01,5.61116921493426
1997-12-01,4.58589214227315
1998-01-01,6.88967209972391
1998-02-01,5.78553451430816
1998-03-01,3.15100707222437
1998-04-01,2.49694765610347
1998-05-01,4.69691943399043
1998-06-01,5.93434039376518
1998-07-01,8.00470646947853
1998-08-01,10.2455341095274
