"Date","CANEPUINDXM"
2020-05-01,678.81709
2020-06-01,504.9122
2020-07-01,551.53028
2020-08-01,415.31553
2020-09-01,422.5006
2020-10-01,497.61172
2020-11-01,455.04761
2020-12-01,371.18106
2021-01-01,290.41545
2021-02-01,323.20821
2021-03-01,344.16196
2021-04-01,267.88503
2021-05-01,194.56557
2021-06-01,172.38161
2021-07-01,325.61356
2021-08-01,210.10529
2021-09-01,391.95596
2021-10-01,210.52505
2021-11-01,258.55855
2021-12-01,336.57096
2022-01-01,213.87432
2022-02-01,218.40916
2022-03-01,404.53406
2022-04-01,300.5696
2022-05-01,303.72261
2022-06-01,143.73265
2022-07-01,212.43018
2022-08-01,378.98099
2022-09-01,257.07046
2022-10-01,320.03393
2022-11-01,271.51959
2022-12-01,310.05446
2023-01-01,232.53862
2023-02-01,254.6151
2023-03-01,339.54156
2023-04-01,190.42512
2023-05-01,219.64052
2023-06-01,158.62463
2023-07-01,262.04339
2023-08-01,300.74301
2023-09-01,202.01938
2023-10-01,389.05518
2023-11-01,305.36524
