"Date","LFUN64TTCAM647N"
1990-10-01,1155700
1990-11-01,1257400
1990-12-01,1297800
1991-01-01,1492500
1991-02-01,1554700
1991-03-01,1655800
1991-04-01,1520000
1991-05-01,1474900
1991-06-01,1451300
1991-07-01,1518600
1991-08-01,1490300
1991-09-01,1321000
1991-10-01,1345600
1991-11-01,1417600
1991-12-01,1411200
1992-01-01,1574000
1992-02-01,1588400
1992-03-01,1723400
1992-04-01,1578100
1992-05-01,1573800
1992-06-01,1583300
1992-07-01,1652800
1992-08-01,1645200
1992-09-01,1483400
1992-10-01,1472700
1992-11-01,1660900
1992-12-01,1610100
1993-01-01,1681500
1993-02-01,1651200
1993-03-01,1767700
1993-04-01,1709300
1993-05-01,1682500
1993-06-01,1642300
1993-07-01,1732300
1993-08-01,1647600
1993-09-01,1484600
1993-10-01,1471700
1993-11-01,1539000
1993-12-01,1574300
1994-01-01,1724000
1994-02-01,1678200
1994-03-01,1659500
1994-04-01,1631500
1994-05-01,1554300
1994-06-01,1458300
1994-07-01,1526500
1994-08-01,1507100
1994-09-01,1324400
1994-10-01,1318500
1994-11-01,1330200
1994-12-01,1339200
1995-01-01,1502200
1995-02-01,1471500
1995-03-01,1534300
1995-04-01,1429800
1995-05-01,1403300
1995-06-01,1355200
1995-07-01,1490100
1995-08-01,1420900
1995-09-01,1211600
1995-10-01,1238700
1995-11-01,1264800
1995-12-01,1300900
1996-01-01,1494300
1996-02-01,1485000
1996-03-01,1501200
1996-04-01,1406400
1996-05-01,1382100
1996-06-01,1412300
1996-07-01,1489800
1996-08-01,1417900
1996-09-01,1334600
1996-10-01,1365500
1996-11-01,1400300
1996-12-01,1357500
1997-01-01,1505800
1997-02-01,1501100
1997-03-01,1469000
1997-04-01,1448400
1997-05-01,1427900
1997-06-01,1350300
1997-07-01,1402600
1997-08-01,1362700
1997-09-01,1215100
1997-10-01,1241100
1997-11-01,1275500
1997-12-01,1189700
1998-01-01,1414400
1998-02-01,1365800
1998-03-01,1344300
1998-04-01,1296700
1998-05-01,1288500
1998-06-01,1248200
1998-07-01,1325000
1998-08-01,1260600
1998-09-01,1145100
1998-10-01,1124100
1998-11-01,1166000
1998-12-01,1161300
1999-01-01,1294900
1999-02-01,1279000
1999-03-01,1280200
1999-04-01,1318300
1999-05-01,1263800
1999-06-01,1138700
1999-07-01,1241300
1999-08-01,1215200
1999-09-01,1057700
1999-10-01,1022600
1999-11-01,1017900
1999-12-01,979200
2000-01-01,1122900
2000-02-01,1126800
2000-03-01,1125000
2000-04-01,1104900
2000-05-01,1067900
2000-06-01,1014000
2000-07-01,1140800
2000-08-01,1173300
2000-09-01,1e+06
2000-10-01,1007800
2000-11-01,1026700
2000-12-01,1002900
2001-01-01,1177200
2001-02-01,1172500
2001-03-01,1193200
2001-04-01,1172800
2001-05-01,1140200
2001-06-01,1094100
2001-07-01,1188700
2001-08-01,1229600
2001-09-01,1055400
2001-10-01,1071600
2001-11-01,1141300
2001-12-01,1217000
2002-01-01,1394800
2002-02-01,1350000
2002-03-01,1346000
2002-04-01,1296900
2002-05-01,1305300
2002-06-01,1184000
2002-07-01,1313700
2002-08-01,1305100
2002-09-01,1145200
2002-10-01,1143900
2002-11-01,1179700
2002-12-01,1173300
2003-01-01,1325500
2003-02-01,1306400
2003-03-01,1290400
2003-04-01,1309400
2003-05-01,1351600
2003-06-01,1219300
2003-07-01,1351900
2003-08-01,1398000
2003-09-01,1221100
2003-10-01,1165300
2003-11-01,1188900
2003-12-01,1156000
2004-01-01,1319300
2004-02-01,1297300
2004-03-01,1308000
2004-04-01,1261200
2004-05-01,1259000
2004-06-01,1160100
2004-07-01,1263700
2004-08-01,1299300
2004-09-01,1099000
2004-10-01,1104100
2004-11-01,1164500
2004-12-01,1135300
2005-01-01,1254400
2005-02-01,1251000
2005-03-01,1241500
2005-04-01,1188400
2005-05-01,1203200
2005-06-01,1097800
2005-07-01,1214400
2005-08-01,1258400
2005-09-01,1072200
2005-10-01,1049300
2005-11-01,1021800
2005-12-01,1040200
2006-01-01,1237500
2006-02-01,1179600
2006-03-01,1183900
2006-04-01,1155100
2006-05-01,1095700
2006-06-01,1021600
2006-07-01,1209700
2006-08-01,1236000
2006-09-01,1052400
2006-10-01,1001100
2006-11-01,1069800
2006-12-01,1026900
2007-01-01,1185700
2007-02-01,1142200
2007-03-01,1170800
2007-04-01,1131200
2007-05-01,1102400
2007-06-01,1012300
2007-07-01,1120200
2007-08-01,1161400
2007-09-01,1004900
2007-10-01,977200
2007-11-01,1022700
2007-12-01,1012800
2008-01-01,1156600
2008-02-01,1118000
2008-03-01,1172100
2008-04-01,1140500
2008-05-01,1139400
2008-06-01,1040400
2008-07-01,1167000
2008-08-01,1213800
2008-09-01,1039800
2008-10-01,1033100
2008-11-01,1133900
2008-12-01,1171300
2009-01-01,1435500
2009-02-01,1513600
2009-03-01,1609000
2009-04-01,1579200
2009-05-01,1609200
2009-06-01,1504000
2009-07-01,1661900
2009-08-01,1700900
2009-09-01,1409400
2009-10-01,1398700
2009-11-01,1465500
2009-12-01,1450800
2010-01-01,1591600
2010-02-01,1561300
2010-03-01,1599600
2010-04-01,1542100
2010-05-01,1540600
2010-06-01,1392300
2010-07-01,1572600
2010-08-01,1672300
2010-09-01,1378800
2010-10-01,1342900
2010-11-01,1336900
2010-12-01,1318100
2011-01-01,1496800
2011-02-01,1470800
2011-03-01,1523100
2011-04-01,1489600
2011-05-01,1428500
2011-06-01,1336400
2011-07-01,1446000
2011-08-01,1512200
2011-09-01,1260700
2011-10-01,1260900
2011-11-01,1301200
2011-12-01,1270800
2012-01-01,1473900
2012-02-01,1426600
2012-03-01,1422600
2012-04-01,1405300
2012-05-01,1421800
2012-06-01,1301700
2012-07-01,1408600
2012-08-01,1511100
2012-09-01,1258200
2012-10-01,1258300
2012-11-01,1262500
2012-12-01,1235800
2013-01-01,1385400
2013-02-01,1353700
2013-03-01,1423300
2013-04-01,1377800
2013-05-01,1350000
2013-06-01,1278100
2013-07-01,1422300
2013-08-01,1487900
2013-09-01,1193800
2013-10-01,1214100
2013-11-01,1224600
2013-12-01,1281400
2014-01-01,1419100
2014-02-01,1401300
2014-03-01,1401500
2014-04-01,1368700
2014-05-01,1396700
2014-06-01,1283000
2014-07-01,1389800
2014-08-01,1440800
2014-09-01,1189000
2014-10-01,1153200
2014-11-01,1165700
2014-12-01,1147300
2015-01-01,1329100
2015-02-01,1351700
2015-03-01,1374100
2015-04-01,1344700
2015-05-01,1331400
2015-06-01,1230100
2015-07-01,1368500
2015-08-01,1447300
2015-09-01,1200500
2015-10-01,1186600
2015-11-01,1215300
2015-12-01,1260300
2016-01-01,1426900
2016-02-01,1434000
2016-03-01,1457500
2016-04-01,1425400
2016-05-01,1323200
2016-06-01,1243300
2016-07-01,1385700
2016-08-01,1451100
2016-09-01,1203500
2016-10-01,1180300
2016-11-01,1175500
2016-12-01,1213800
2017-01-01,1356400
2017-02-01,1307600
2017-03-01,1353900
2017-04-01,1280100
2017-05-01,1261500
2017-06-01,1173500
2017-07-01,1280100
2017-08-01,1343400
2017-09-01,1090000
2017-10-01,1098100
2017-11-01,1063700
2017-12-01,1047800
2018-01-01,1182300
2018-02-01,1181400
2018-03-01,1181400
2018-04-01,1138400
2018-05-01,1141500
2018-06-01,1110500
2018-07-01,1191600
2018-08-01,1313500
2018-09-01,1041200
2018-10-01,1007100
2018-11-01,1000300
2018-12-01,993700
2019-01-01,1178500
2019-02-01,1162200
2019-03-01,1210800
2019-04-01,1151200
2019-05-01,1085300
2019-06-01,1056800
2019-07-01,1192000
2019-08-01,1277600
2019-09-01,1009900
2019-10-01,992100
2019-11-01,1058700
2019-12-01,999500
2020-01-01,1143700
2020-02-01,1165700
2020-03-01,1673800
2020-04-01,2512400
2020-05-01,2676400
2020-06-01,2329000
2020-07-01,2242000
2020-08-01,2190000
2020-09-01,1632300
2020-10-01,1598100
2020-11-01,1543600
2020-12-01,1575900
2021-01-01,1894700
2021-02-01,1691000
2021-03-01,1585500
2021-04-01,1625600
2021-05-01,1650200
2021-06-01,1466300
2021-07-01,1538900
2021-08-01,1598600
2021-09-01,1257600
2021-10-01,1131300
2021-11-01,1085800
2021-12-01,1047300
2022-01-01,1342900
2022-02-01,1102800
2022-03-01,1107300
2022-04-01,1075000
2022-05-01,1027000
2022-06-01,947800
2022-07-01,1051500
2022-08-01,1218800
2022-09-01,947300
2022-10-01,933700
2022-11-01,932100
2022-12-01,894900
2023-01-01,1084000
2023-02-01,1052300
2023-03-01,1080700
2023-04-01,1051800
2023-05-01,1080400
2023-06-01,1083300
2023-07-01,1241100
2023-08-01,1316700
2023-09-01,1062500
2023-10-01,1091800
2023-11-01,1096700
