"Date","LFUN55MACAM647S"
2002-11-01,66166.4823886242
2002-12-01,70149.7081284929
2003-01-01,70428.3056293569
2003-02-01,73850.0364346208
2003-03-01,65939.8238752451
2003-04-01,70091.5507654495
2003-05-01,69392.0780077209
2003-06-01,72613.1576998766
2003-07-01,64116.043821453
2003-08-01,67551.184162682
2003-09-01,76024.5059460914
2003-10-01,73644.8022515715
2003-11-01,72101.0231424259
2003-12-01,70965.9062802277
2004-01-01,66654.5711502496
2004-02-01,68667.0724170485
2004-03-01,68044.3162925576
2004-04-01,64839.5190738153
2004-05-01,65521.5123318327
2004-06-01,70542.9060481823
2004-07-01,62556.2192008442
2004-08-01,67038.8151668767
2004-09-01,61511.5381098632
2004-10-01,61322.4499911496
2004-11-01,66898.6367343929
2004-12-01,71543.2674575028
2005-01-01,62509.953999435
2005-02-01,62362.9500578902
2005-03-01,61410.4601775613
2005-04-01,62733.9877983459
2005-05-01,59881.3813966328
2005-06-01,55819.5405187561
2005-07-01,63788.0948177819
2005-08-01,62301.7633173948
2005-09-01,64588.608216789
2005-10-01,64155.8979026309
2005-11-01,66181.1842907507
2005-12-01,58040.7652291099
2006-01-01,62276.8776456911
2006-02-01,57141.0769169452
2006-03-01,68628.3428332606
2006-04-01,63687.96870328
2006-05-01,63836.5824048591
2006-06-01,65716.627047476
2006-07-01,71455.5445204032
2006-08-01,67556.8890396779
2006-09-01,64579.9072159989
2006-10-01,62930.2014035739
2006-11-01,68603.5004311972
2006-12-01,69671.4739467551
2007-01-01,73225.5416964721
2007-02-01,70518.570466236
2007-03-01,69836.2459887968
2007-04-01,69454.0292614738
2007-05-01,62421.6718871613
2007-06-01,70940.4899493497
2007-07-01,65998.6123173776
2007-08-01,60792.0946773675
2007-09-01,55483.0880058975
2007-10-01,63984.1478949648
2007-11-01,62288.0302073854
2007-12-01,64561.0453662353
2008-01-01,71248.4974537736
2008-02-01,66793.4060378804
2008-03-01,74931.8483059678
2008-04-01,65690.1131461534
2008-05-01,75491.9652336958
2008-06-01,76565.5072304834
2008-07-01,77874.2648854656
2008-08-01,75461.7553756576
2008-09-01,81404.02525316
2008-10-01,86935.7462693191
2008-11-01,84559.4497507925
2008-12-01,89892.725402863
2009-01-01,88252.4581812777
2009-02-01,106830.619770922
2009-03-01,109528.829799433
2009-04-01,106016.754547297
2009-05-01,113125.672518481
2009-06-01,111001.624813918
2009-07-01,121895.129513339
2009-08-01,116695.884599039
2009-09-01,120765.075827926
2009-10-01,118003.624748326
2009-11-01,109367.245058912
2009-12-01,117380.655864614
2010-01-01,109637.803889237
2010-02-01,103092.124636632
2010-03-01,107518.94500912
2010-04-01,100974.938286637
2010-05-01,109277.758441965
2010-06-01,110079.907292528
2010-07-01,117387.869998994
2010-08-01,116853.639793457
2010-09-01,116640.515764974
2010-10-01,113858.899537798
2010-11-01,108196.090472995
2010-12-01,111260.972571348
2011-01-01,99270.7368040248
2011-02-01,108592.853317356
2011-03-01,113742.228619225
2011-04-01,116296.453429614
2011-05-01,108866.374363072
2011-06-01,109027.881224573
2011-07-01,103786.379623207
2011-08-01,110473.451569976
2011-09-01,106226.558397675
2011-10-01,90553.9063769377
2011-11-01,96571.4541695853
2011-12-01,109059.643344936
2012-01-01,105452.687931008
2012-02-01,103859.732625318
2012-03-01,94684.4346993683
2012-04-01,96925.3177360018
2012-05-01,94110.1792366906
2012-06-01,105559.248749626
2012-07-01,95643.4402392608
2012-08-01,106022.026416524
2012-09-01,103292.444264576
2012-10-01,119502.057400421
2012-11-01,110613.954107344
2012-12-01,101850.38168802
2013-01-01,107218.149910983
2013-02-01,104332.772275828
2013-03-01,103434.138980244
2013-04-01,109590.205453491
2013-05-01,108862.599587029
2013-06-01,106362.874365088
2013-07-01,113439.1504287
2013-08-01,110309.413723705
2013-09-01,114449.481502784
2013-10-01,116673.65520738
2013-11-01,113250.692436519
2013-12-01,120943.676576464
2014-01-01,111219.226619745
2014-02-01,109766.634426668
2014-03-01,113692.713834898
2014-04-01,114431.494428059
2014-05-01,118666.435856711
2014-06-01,109041.954877209
2014-07-01,112949.699744002
2014-08-01,106105.657355992
2014-09-01,111090.079501537
2014-10-01,115716.06898237
2014-11-01,104284.642932102
2014-12-01,106610.296946868
2015-01-01,115639.477619367
2015-02-01,115241.531837936
2015-03-01,108871.123956801
2015-04-01,110791.54501355
2015-05-01,124399.638552927
2015-06-01,113472.029047998
2015-07-01,121685.359840633
2015-08-01,118659.371958333
2015-09-01,112574.731647474
2015-10-01,97948.2170611789
2015-11-01,123477.417463942
2015-12-01,117880.793753309
2016-01-01,127221.443512651
2016-02-01,131612.442612047
2016-03-01,120967.114632948
2016-04-01,130546.691331173
2016-05-01,106531.988846352
2016-06-01,118916.516906984
2016-07-01,121322.471741149
2016-08-01,120598.621723478
2016-09-01,118498.899774777
2016-10-01,129252.049952576
2016-11-01,120292.584225067
2016-12-01,140151.843821388
2017-01-01,125599.830602882
2017-02-01,120647.365858549
2017-03-01,116919.802863652
2017-04-01,114886.335488625
2017-05-01,125082.555825844
2017-06-01,109603.850581261
2017-07-01,98687.9301002285
2017-08-01,104856.365937329
2017-09-01,105675.683098444
2017-10-01,112690.88360133
2017-11-01,115863.589302601
2017-12-01,111606.849483552
2018-01-01,112166.593527782
2018-02-01,107315.5457578
2018-03-01,100296.034307097
2018-04-01,104166.972622968
2018-05-01,98278.101095321
2018-06-01,102362.182191537
2018-07-01,102454.683088372
2018-08-01,102925.179208514
2018-09-01,105964.408997501
2018-10-01,101530.890757074
2018-11-01,123685.960865079
2018-12-01,101103.836990299
2019-01-01,109120.943406985
2019-02-01,116463.338613269
2019-03-01,112342.836155785
2019-04-01,115215.648755354
2019-05-01,107261.721512191
2019-06-01,104644.629632427
2019-07-01,104429.465808784
2019-08-01,107018.384044841
2019-09-01,101935.299610218
2019-10-01,103489.298210881
2019-11-01,102634.406636607
2019-12-01,104260.100181232
2020-01-01,96425.9765060811
2020-02-01,110187.024702068
2020-03-01,122480.94237495
2020-04-01,222160.285056703
2020-05-01,206869.310237726
2020-06-01,188505.71057806
2020-07-01,184946.844399436
2020-08-01,169774.656450985
2020-09-01,163627.872424079
2020-10-01,162549.734690469
2020-11-01,147116.440063284
2020-12-01,151497.603354739
2021-01-01,148614.351509631
2021-02-01,135742.815452579
2021-03-01,129938.018259048
2021-04-01,137260.266604085
2021-05-01,152044.060910524
2021-06-01,153952.614106489
2021-07-01,148162.25803602
2021-08-01,139823.677696827
2021-09-01,133375.335461294
2021-10-01,129438.820752159
2021-11-01,116266.336981762
2021-12-01,109001.768831653
2022-01-01,115276.082060804
2022-02-01,109184.251520949
2022-03-01,102730.940882995
2022-04-01,104650.457015406
2022-05-01,89793.4776397017
2022-06-01,91454.4115765905
2022-07-01,94098.7757382331
2022-08-01,95331.7073331771
2022-09-01,85001.6276251214
2022-10-01,82213.4023009245
2022-11-01,81236.0255041284
2022-12-01,79735.7021833485
2023-01-01,86938.2521244639
2023-02-01,77599.8606958943
2023-03-01,87774.3363074815
2023-04-01,80955.5137075687
2023-05-01,87993.8664814037
2023-06-01,84072.8632174888
2023-07-01,88522.9446845914
2023-08-01,92901.3484749724
2023-09-01,95243.9485455938
2023-10-01,96814.9732811958
2023-11-01,85808.0972126665
