"Date","CANLORSGPTDSTSAM"
1976-08-01,38.3972288242512
1976-09-01,38.514888114055
1976-10-01,38.6322463894485
1976-11-01,38.7492785275952
1976-12-01,38.8659589274929
1977-01-01,38.982260823567
1977-02-01,39.0981567801995
1977-03-01,39.2136191945023
1977-04-01,39.3286208074364
1977-05-01,39.4431343718577
1977-06-01,39.5571323197851
1977-07-01,39.6705864292469
1977-08-01,39.783467485725
1977-09-01,39.8957449438612
1977-10-01,40.0073865898357
1977-11-01,40.118359260959
1977-12-01,40.228629576874
1978-01-01,40.3381646823877
1978-02-01,40.4469322799447
1978-03-01,40.5549006678576
1978-04-01,40.6620387845713
1978-05-01,40.7683161086688
1978-06-01,40.8737025638624
1978-07-01,40.9781684293056
1978-08-01,41.0816845358426
1978-09-01,41.1842224709154
1978-10-01,41.2857547923001
1978-11-01,41.3862551800203
1978-12-01,41.485698596794
1979-01-01,41.5840614571776
1979-02-01,41.6813217666502
1979-03-01,41.7774592693568
1979-04-01,41.8724556046506
1979-05-01,41.9662950191357
1979-06-01,42.0589650910324
1979-07-01,42.1504574666018
1979-08-01,42.2407679365892
1979-09-01,42.3298965201116
1979-10-01,42.4178475560562
1979-11-01,42.5046297790955
1979-12-01,42.5902564031087
1980-01-01,42.674745212026
1980-02-01,42.7581186997122
1980-03-01,42.8404042175215
1980-04-01,42.9216341294436
1980-05-01,43.0018451926067
1980-06-01,43.0810779382326
1980-07-01,43.1593760532854
1980-08-01,43.2367856730883
1980-09-01,43.313354673938
1980-10-01,43.3891319658167
1980-11-01,43.4641684091598
1980-12-01,43.5385177415959
1981-01-01,43.6122375140584
1981-02-01,43.6853909520364
1981-03-01,43.7580488234956
1981-04-01,43.8302913128868
1981-05-01,43.9022087718595
1981-06-01,43.9739024765247
1981-07-01,44.0454853912179
1981-08-01,44.1170807198142
1981-09-01,44.1888204436216
1981-10-01,44.2608438458021
1981-11-01,44.333296520589
1981-12-01,44.4063293753435
1982-01-01,44.4800976247655
1982-02-01,44.5547589747531
1982-03-01,44.6304717838024
1982-04-01,44.7073932000373
1982-05-01,44.785677309028
1982-06-01,44.8654732529591
1982-07-01,44.9469233181542
1982-08-01,45.0301613205134
1982-09-01,45.1153109584746
1982-10-01,45.2024841300565
1982-11-01,45.2917791667728
1982-12-01,45.3832790236439
1983-01-01,45.4770503630908
1983-02-01,45.5731436809296
1983-03-01,45.6715943430196
1983-04-01,45.7724235986818
1983-05-01,45.8756399369011
1983-06-01,45.9812404210527
1983-07-01,46.0892120034343
1983-08-01,46.1995318896068
1983-09-01,46.3121678812553
1983-10-01,46.4270786982283
1983-11-01,46.5442144594916
1983-12-01,46.6635171461965
1984-01-01,46.7849210479502
1984-02-01,46.9083537495736
1984-03-01,47.0337371068411
1984-04-01,47.1609882128585
1984-05-01,47.2900206682815
1984-06-01,47.4207458467387
1984-07-01,47.5530741571386
1984-08-01,47.6869145226126
1984-09-01,47.8221738427773
1984-10-01,47.9587564396376
1984-11-01,48.0965648869005
1984-12-01,48.2355008387693
1985-01-01,48.375465859322
1985-02-01,48.5163622046974
1985-03-01,48.6580936074468
1985-04-01,48.8005660638651
1985-05-01,48.9436871856367
1985-06-01,49.0873655391289
1985-07-01,49.2315099726764
1985-08-01,49.3760301050467
1985-09-01,49.5208368172662
1985-10-01,49.6658427484042
1985-11-01,49.8109631459653
1985-12-01,49.9561167241701
1986-01-01,50.1012265305362
1986-02-01,50.2462188860401
1986-03-01,50.3910223102064
1986-04-01,50.5355664316033
1986-05-01,50.6797816432776
1986-06-01,50.8235987563709
1986-07-01,50.9669486524852
1986-08-01,51.1097613740912
1986-09-01,51.2519652068352
1986-10-01,51.3934857545894
1986-11-01,51.534243912508
1986-12-01,51.6741538147546
1987-01-01,51.813121990952
1987-02-01,51.9510479862092
1987-03-01,52.0878262220716
1987-04-01,52.2233478796043
1987-05-01,52.3575015488913
1987-06-01,52.4901738966045
1987-07-01,52.6212503523224
1987-08-01,52.7506161388992
1987-09-01,52.8781573244672
1987-10-01,53.0037618962791
1987-11-01,53.1273205819074
1987-12-01,53.2487276911003
1988-01-01,53.3678819783651
1988-02-01,53.4846877695902
1988-03-01,53.5990561101231
1988-04-01,53.7109059337969
1988-05-01,53.8201645120712
1988-06-01,53.9267679196306
1988-07-01,54.0306615163785
1988-08-01,54.1317992697183
1988-09-01,54.2301430835729
1988-10-01,54.3256621352184
1988-11-01,54.4183331579507
1988-12-01,54.5081407407621
1989-01-01,54.595077644984
1989-02-01,54.6791457495311
1989-03-01,54.7603570146093
1989-04-01,54.838734463025
1989-05-01,54.914312155356
1989-06-01,54.9871351779261
1989-07-01,55.0572596437677
1989-08-01,55.1247526750868
1989-09-01,55.1896923988122
1989-10-01,55.2521679553237
1989-11-01,55.312278731122
1989-12-01,55.3701336001898
1990-01-01,55.4258501746934
1990-02-01,55.4795556706031
1990-03-01,55.5313877886888
1990-04-01,55.5814956100969
1990-05-01,55.6300386294204
1990-06-01,55.6771857947399
1990-07-01,55.7231145550321
1990-08-01,55.768009506996
1990-09-01,55.8120610460046
1990-10-01,55.8554640210747
1990-11-01,55.8984161427822
1990-12-01,55.9411163916373
1991-01-01,55.983763425951
1991-02-01,56.0265532444047
1991-03-01,56.0696768359443
1991-04-01,56.1133188024105
1991-05-01,56.1576566878537
1991-06-01,56.2028612940585
1991-07-01,56.2490969956657
1991-08-01,56.2965215879178
1991-09-01,56.3452861287495
1991-10-01,56.3955347732697
1991-11-01,56.4474046704957
1991-12-01,56.5010258490393
1992-01-01,56.5565210899833
1992-02-01,56.61400562752
1992-03-01,56.6735868325693
1992-04-01,56.7353638776705
1992-05-01,56.7994274515421
1992-06-01,56.8658594520854
1992-07-01,56.9347326563419
1992-08-01,57.0061109578037
1992-09-01,57.0800495812246
1992-10-01,57.1565952742319
