"Date","RNCABIS"
1975-06-01,129.72
1975-07-01,130.66
1975-08-01,131.84
1975-09-01,132.74
1975-10-01,132.98
1975-11-01,134.99
1975-12-01,135.4
1976-01-01,136
1976-02-01,137.88
1976-03-01,139.47
1976-04-01,139.64
1976-05-01,140.17
1976-06-01,141.57
1976-07-01,141.76
1976-08-01,138.88
1976-09-01,141.09
1976-10-01,141.76
1976-11-01,140.34
1976-12-01,134.92
1977-01-01,136.25
1977-02-01,133.36
1977-03-01,130.94
1977-04-01,130.36
1977-05-01,131.5
1977-06-01,129.71
1977-07-01,129.71
1977-08-01,127.56
1977-09-01,128.37
1977-10-01,125.34
1977-11-01,123.84
1977-12-01,124.81
1978-01-01,123.93
1978-02-01,122.61
1978-03-01,121.03
1978-04-01,118.21
1978-05-01,121.99
1978-06-01,120.79
1978-07-01,120.09
1978-08-01,117.28
1978-09-01,113.48
1978-10-01,111.45
1978-11-01,113.5
1978-12-01,112.77
1979-01-01,111.34
1979-02-01,111.24
1979-03-01,113.55
1979-04-01,116.41
1979-05-01,115.5
1979-06-01,113.25
1979-07-01,112.91
1979-08-01,111.77
1979-09-01,112.15
1979-10-01,111.54
1979-11-01,111.91
1979-12-01,111.85
1980-01-01,111.11
1980-02-01,112.06
1980-03-01,110.66
1980-04-01,109.09
1980-05-01,109.02
1980-06-01,110.56
1980-07-01,111.06
1980-08-01,111.21
1980-09-01,109.96
1980-10-01,109.54
1980-11-01,109.22
1980-12-01,107.97
1981-01-01,108.84
1981-02-01,109.16
1981-03-01,110.61
1981-04-01,111.22
1981-05-01,111.33
1981-06-01,112.64
1981-07-01,112.69
1981-08-01,112.14
1981-09-01,113.35
1981-10-01,113.71
1981-11-01,114.95
1981-12-01,115.34
1982-01-01,115.47
1982-02-01,115.58
1982-03-01,117.41
1982-04-01,117.38
1982-05-01,116.34
1982-06-01,114.02
1982-07-01,114.77
1982-08-01,118.1
1982-09-01,119.41
1982-10-01,120.91
1982-11-01,122.23
1982-12-01,120.28
1983-01-01,120.65
1983-02-01,121.55
1983-03-01,123.08
1983-04-01,121.61
1983-05-01,121.34
1983-06-01,122.59
1983-07-01,122.99
1983-08-01,123.73
1983-09-01,123.12
1983-10-01,122.84
1983-11-01,122.5
1983-12-01,122.02
1984-01-01,122.24
1984-02-01,121.76
1984-03-01,118.79
1984-04-01,117.91
1984-05-01,116.86
1984-06-01,116.73
1984-07-01,115.86
1984-08-01,117.48
1984-09-01,116.92
1984-10-01,116.79
1984-11-01,117.08
1984-12-01,117.36
1985-01-01,117.99
1985-02-01,116.54
1985-03-01,113.45
1985-04-01,113.82
1985-05-01,112.96
1985-06-01,113.58
1985-07-01,114.5
1985-08-01,113.45
1985-09-01,112.46
1985-10-01,110.98
1985-11-01,109.92
1985-12-01,108.26
1986-01-01,107.04
1986-02-01,106.64
1986-03-01,106.82
1986-04-01,107.79
1986-05-01,108.58
1986-06-01,107.46
1986-07-01,108.1
1986-08-01,106.92
1986-09-01,106.49
1986-10-01,107
1986-11-01,108.12
1986-12-01,108.4
1987-01-01,108.32
1987-02-01,110.39
1987-03-01,111.21
1987-04-01,110.48
1987-05-01,108.42
1987-06-01,109.05
1987-07-01,111.05
1987-08-01,110.53
1987-09-01,110.1
1987-10-01,110.52
1987-11-01,109.18
1987-12-01,109.06
1988-01-01,110.7
1988-02-01,112.73
1988-03-01,114.16
1988-04-01,114.93
1988-05-01,115.03
1988-06-01,117.43
1988-07-01,119.82
1988-08-01,118.31
1988-09-01,117.33
1988-10-01,118.84
1988-11-01,116.6
1988-12-01,118.47
1989-01-01,119.81
1989-02-01,120.65
1989-03-01,120.46
1989-04-01,120.64
1989-05-01,121.82
1989-06-01,122.27
1989-07-01,122.9
1989-08-01,124.58
1989-09-01,123.98
1989-10-01,123.96
1989-11-01,124.72
1989-12-01,124.78
1990-01-01,123.2
1990-02-01,120.62
1990-03-01,122.99
1990-04-01,124.48
1990-05-01,123.1
1990-06-01,123.35
1990-07-01,124.25
1990-08-01,123.9
1990-09-01,121.15
1990-10-01,120.24
1990-11-01,120.04
1990-12-01,120.72
1991-01-01,123.67
1991-02-01,122.93
1991-03-01,124.69
1991-04-01,125.48
1991-05-01,126.28
1991-06-01,128.02
1991-07-01,127.3
1991-08-01,126.95
1991-09-01,126.48
1991-10-01,126.65
1991-11-01,125.79
1991-12-01,122.89
1992-01-01,121.91
1992-02-01,119.3
1992-03-01,118.99
1992-04-01,119.05
1992-05-01,117.42
1992-06-01,116.91
1992-07-01,116.73
1992-08-01,116.39
1992-09-01,113
1992-10-01,111.28
1992-11-01,110.94
1992-12-01,110.62
1993-01-01,110.4
1993-02-01,111.96
1993-03-01,112.4
1993-04-01,109.88
1993-05-01,109.19
1993-06-01,108.36
1993-07-01,108.77
1993-08-01,106.32
1993-09-01,104.75
1993-10-01,104.44
1993-11-01,106
1993-12-01,104.57
1994-01-01,105.71
1994-02-01,102.16
1994-03-01,99.92
1994-04-01,98.36
1994-05-01,97.95
1994-06-01,97.52
1994-07-01,97.11
1994-08-01,97.18
1994-09-01,98.55
1994-10-01,98.27
1994-11-01,97.83
1994-12-01,96.88
1995-01-01,95.61
1995-02-01,96.29
1995-03-01,95.02
1995-04-01,95.98
1995-05-01,97.26
1995-06-01,95.83
1995-07-01,97.28
1995-08-01,98.2
1995-09-01,98.95
1995-10-01,98.75
1995-11-01,98.94
1995-12-01,97.67
1996-01-01,97.78
1996-02-01,96.91
1996-03-01,97.67
1996-04-01,98.05
1996-05-01,97.46
1996-06-01,97.77
1996-07-01,97.29
1996-08-01,96.66
1996-09-01,96.84
1996-10-01,98.32
1996-11-01,99.4
1996-12-01,97.85
1997-01-01,99.09
1997-02-01,99.33
1997-03-01,98.26
1997-04-01,96.55
1997-05-01,97.27
1997-06-01,96.87
1997-07-01,97.57
1997-08-01,97.1
1997-09-01,96.93
1997-10-01,96.69
1997-11-01,95.2
1997-12-01,95.15
1998-01-01,95.09
1998-02-01,95.08
1998-03-01,96.22
1998-04-01,95
1998-05-01,94.21
1998-06-01,93.36
1998-07-01,91.99
1998-08-01,89.39
1998-09-01,89.06
1998-10-01,86.99
1998-11-01,87.25
1998-12-01,86.57
1999-01-01,87.77
1999-02-01,89.46
1999-03-01,88.82
1999-04-01,90.36
1999-05-01,92.4
1999-06-01,92.25
1999-07-01,91.08
1999-08-01,90.17
1999-09-01,90.75
1999-10-01,90.58
1999-11-01,91.24
1999-12-01,90.85
2000-01-01,92.08
2000-02-01,92.52
2000-03-01,92
2000-04-01,91.31
2000-05-01,90.51
2000-06-01,91.43
2000-07-01,91.55
2000-08-01,91.38
2000-09-01,91.56
2000-10-01,90.31
2000-11-01,88.83
2000-12-01,89.69
2001-01-01,90.19
2001-02-01,89.36
2001-03-01,87.73
2001-04-01,88.19
2001-05-01,89.54
2001-06-01,90.7
2001-07-01,90.58
2001-08-01,89.32
2001-09-01,87.53
2001-10-01,87.15
2001-11-01,85.39
2001-12-01,86.82
2002-01-01,85.9
2002-02-01,86.59
2002-03-01,87.02
2002-04-01,87.29
2002-05-01,88.71
2002-06-01,89.4
2002-07-01,88.41
2002-08-01,87.41
2002-09-01,87.05
2002-10-01,87.11
2002-11-01,87.38
2002-12-01,87.68
2003-01-01,88.69
2003-02-01,90.5
2003-03-01,92.59
2003-04-01,92.87
2003-05-01,97.29
2003-06-01,99.28
2003-07-01,97.79
2003-08-01,96.88
2003-09-01,98.7
2003-10-01,100.8
2003-11-01,102.2
2003-12-01,101.64
2004-01-01,102.09
2004-02-01,99.16
2004-03-01,99.41
2004-04-01,98.79
2004-05-01,96.88
2004-06-01,97.73
2004-07-01,100.35
2004-08-01,100.79
2004-09-01,102.6
2004-10-01,105.27
2004-11-01,109.37
2004-12-01,106.8
2005-01-01,106.43
2005-02-01,105.1
2005-03-01,106.64
2005-04-01,105.09
2005-05-01,103.73
2005-06-01,105.71
2005-07-01,107.56
2005-08-01,108.68
2005-09-01,111.09
2005-10-01,111.12
2005-11-01,111.5
2005-12-01,113.48
2006-01-01,113.19
2006-02-01,113.98
2006-03-01,113.27
2006-04-01,114.03
2006-05-01,116.66
2006-06-01,116.39
2006-07-01,114.65
2006-08-01,115.25
2006-09-01,115.51
2006-10-01,114.63
2006-11-01,113.74
2006-12-01,111.72
2007-01-01,109.7
2007-02-01,110.44
2007-03-01,110.48
2007-04-01,113.28
2007-05-01,117.39
2007-06-01,120.45
2007-07-01,121.68
2007-08-01,120.64
2007-09-01,123.72
2007-10-01,128.89
2007-11-01,129.36
2007-12-01,124.73
2008-01-01,123.03
2008-02-01,124.13
2008-03-01,122.34
2008-04-01,120.73
2008-05-01,123.25
2008-06-01,120.97
2008-07-01,120.91
2008-08-01,117.56
2008-09-01,118.34
2008-10-01,108.26
2008-11-01,106.8
2008-12-01,104.64
2009-01-01,105.27
2009-02-01,104.91
2009-03-01,103.61
2009-04-01,105.29
2009-05-01,111.66
2009-06-01,113.52
2009-07-01,113.26
2009-08-01,116.17
2009-09-01,116.37
2009-10-01,118.65
2009-11-01,118.21
2009-12-01,118.88
2010-01-01,120.5
2010-02-01,120.13
2010-03-01,123.35
2010-04-01,125.9
2010-05-01,123.39
2010-06-01,124.01
2010-07-01,123.01
2010-08-01,122.55
2010-09-01,122.93
2010-10-01,123.61
2010-11-01,124.55
2010-12-01,125.42
2011-01-01,126.61
2011-02-01,126.66
2011-03-01,127.93
2011-04-01,129.37
2011-05-01,128.35
2011-06-01,126.33
2011-07-01,129.19
2011-08-01,125.94
2011-09-01,124.81
2011-10-01,123.28
2011-11-01,123.12
2011-12-01,123.3
2012-01-01,124.7
2012-02-01,125.85
2012-03-01,126.25
2012-04-01,126.67
2012-05-01,125.32
2012-06-01,123.35
2012-07-01,124.98
2012-08-01,126.93
2012-09-01,127.58
2012-10-01,126.56
2012-11-01,125.76
2012-12-01,125.75
2013-01-01,125.43
2013-02-01,124.3
2013-03-01,122.72
2013-04-01,123.26
2013-05-01,123.39
2013-06-01,122
2013-07-01,121.12
2013-08-01,120.65
2013-09-01,121.18
2013-10-01,120.44
2013-11-01,119.49
2013-12-01,117.26
2014-01-01,114.64
2014-02-01,113.75
2014-03-01,112.92
2014-04-01,113.91
2014-05-01,115.18
2014-06-01,115.84
2014-07-01,116.94
2014-08-01,115.34
2014-09-01,115.22
2014-10-01,113.87
2014-11-01,113.46
2014-12-01,111.92
2015-01-01,108.23
2015-02-01,105.31
2015-03-01,105.5
2015-04-01,107.2
2015-05-01,108.6
2015-06-01,107.13
2015-07-01,103.74
2015-08-01,101.71
2015-09-01,100.68
2015-10-01,101.99
2015-11-01,101.28
2015-12-01,97.85
2016-01-01,95.14
2016-02-01,97.77
2016-03-01,101.64
2016-04-01,104.19
2016-05-01,103.85
2016-06-01,104.27
2016-07-01,103.35
2016-08-01,103.1
2016-09-01,102.32
2016-10-01,101.61
2016-11-01,100.62
2016-12-01,101.81
2017-01-01,103.39
2017-02-01,103.57
2017-03-01,100.94
2017-04-01,100.4
2017-05-01,98.69
2017-06-01,100.3
2017-07-01,104.57
2017-08-01,104.81
2017-09-01,107.17
2017-10-01,105.31
2017-11-01,104.2
2017-12-01,103.63
2018-01-01,106.02
2018-02-01,104.65
2018-03-01,101.81
2018-04-01,103.34
2018-05-01,103.1
2018-06-01,101.53
2018-07-01,101.67
2018-08-01,102.34
2018-09-01,101.67
2018-10-01,102.43
2018-11-01,101.27
2018-12-01,99.5
2019-01-01,100.02
2019-02-01,101.31
2019-03-01,100.37
2019-04-01,100.26
2019-05-01,100.1
2019-06-01,100.97
2019-07-01,102.95
2019-08-01,101.8
2019-09-01,101.51
2019-10-01,101.82
2019-11-01,101.28
2019-12-01,101.6
2020-01-01,102.29
2020-02-01,101.3
2020-03-01,97.02
2020-04-01,96.76
2020-05-01,97.43
2020-06-01,99.9
2020-07-01,99.58
2020-08-01,100.64
2020-09-01,100.44
2020-10-01,100.64
2020-11-01,101.51
2020-12-01,102.49
2021-01-01,103.3
2021-02-01,103.9
2021-03-01,105.24
2021-04-01,105.37
2021-05-01,108.18
2021-06-01,107.13
2021-07-01,105.1
2021-08-01,104.56
2021-09-01,103.89
2021-10-01,106.13
2021-11-01,105.21
2021-12-01,103.03
2022-01-01,104.51
2022-02-01,103.91
2022-03-01,105.1
2022-04-01,105.88
2022-05-01,105.09
2022-06-01,105.03
2022-07-01,104.81
2022-08-01,104.51
2022-09-01,101.85
2022-10-01,99.37
2022-11-01,100.53
2022-12-01,98.25
2023-01-01,98.54
2023-02-01,98.49
2023-03-01,96.88
2023-04-01,98.02
2023-05-01,98.12
2023-06-01,99.5
2023-07-01,100.03
2023-08-01,98.46
2023-09-01,98.21
2023-10-01,97.82
