"Date","LFUN64TTCAM647S"
2001-07-01,1136700
2001-08-01,1154800
2001-09-01,1142300
2001-10-01,1162500
2001-11-01,1198000
2001-12-01,1296200
2002-01-01,1316800
2002-02-01,1289800
2002-03-01,1289900
2002-04-01,1261400
2002-05-01,1271900
2002-06-01,1248300
2002-07-01,1263900
2002-08-01,1230700
2002-09-01,1249300
2002-10-01,1254600
2002-11-01,1246000
2002-12-01,1255800
2003-01-01,1247200
2003-02-01,1245500
2003-03-01,1236700
2003-04-01,1279400
2003-05-01,1312200
2003-06-01,1280700
2003-07-01,1297100
2003-08-01,1324400
2003-09-01,1318100
2003-10-01,1273900
2003-11-01,1253900
2003-12-01,1237300
2004-01-01,1242500
2004-02-01,1244600
2004-03-01,1244400
2004-04-01,1229600
2004-05-01,1208200
2004-06-01,1227300
2004-07-01,1200400
2004-08-01,1188900
2004-09-01,1182400
2004-10-01,1207700
2004-11-01,1229400
2004-12-01,1217400
2005-01-01,1182200
2005-02-01,1199900
2005-03-01,1177300
2005-04-01,1154100
2005-05-01,1191200
2005-06-01,1167700
2005-07-01,1145400
2005-08-01,1150100
2005-09-01,1148700
2005-10-01,1150500
2005-11-01,1085300
2005-12-01,1123000
2006-01-01,1155900
2006-02-01,1134400
2006-03-01,1117700
2006-04-01,1116800
2006-05-01,1079500
2006-06-01,1091900
2006-07-01,1134200
2006-08-01,1126600
2006-09-01,1127000
2006-10-01,1102000
2006-11-01,1134200
2006-12-01,1110600
2007-01-01,1108600
2007-02-01,1103000
2007-03-01,1101200
2007-04-01,1101700
2007-05-01,1082000
2007-06-01,1085300
2007-07-01,1061900
2007-08-01,1047900
2007-09-01,1079700
2007-10-01,1078400
2007-11-01,1088900
2007-12-01,1099400
2008-01-01,1085200
2008-02-01,1083800
2008-03-01,1102800
2008-04-01,1102700
2008-05-01,1104700
2008-06-01,1108600
2008-07-01,1097900
2008-08-01,1101600
2008-09-01,1142000
2008-10-01,1155600
2008-11-01,1209600
2008-12-01,1262000
2009-01-01,1368900
2009-02-01,1486100
2009-03-01,1524400
2009-04-01,1535600
2009-05-01,1564700
2009-06-01,1573000
2009-07-01,1588500
2009-08-01,1585200
2009-09-01,1513700
2009-10-01,1519000
2009-11-01,1545100
2009-12-01,1547500
2010-01-01,1528300
2010-02-01,1532700
2010-03-01,1515500
2010-04-01,1494000
2010-05-01,1485900
2010-06-01,1459300
2010-07-01,1495300
2010-08-01,1510900
2010-09-01,1487800
2010-10-01,1460900
2010-11-01,1423100
2010-12-01,1417300
2011-01-01,1433600
2011-02-01,1437100
2011-03-01,1441900
2011-04-01,1439200
2011-05-01,1406100
2011-06-01,1402600
2011-07-01,1364900
2011-08-01,1351800
2011-09-01,1369800
2011-10-01,1376300
2011-11-01,1394100
2011-12-01,1372700
2012-01-01,1412900
2012-02-01,1385900
2012-03-01,1345000
2012-04-01,1363300
2012-05-01,1387900
2012-06-01,1366600
2012-07-01,1347400
2012-08-01,1362600
2012-09-01,1361600
2012-10-01,1368600
2012-11-01,1360500
2012-12-01,1336900
2013-01-01,1312800
2013-02-01,1303500
2013-03-01,1348500
2013-04-01,1332600
2013-05-01,1311800
2013-06-01,1342800
2013-07-01,1359500
2013-08-01,1347200
2013-09-01,1320700
2013-10-01,1345700
2013-11-01,1333400
2013-12-01,1378900
2014-01-01,1350800
2014-02-01,1346000
2014-03-01,1325600
2014-04-01,1321000
2014-05-01,1356600
2014-06-01,1339900
2014-07-01,1323600
2014-08-01,1307400
2014-09-01,1311200
2014-10-01,1281100
2014-11-01,1277600
2014-12-01,1240000
2015-01-01,1265200
2015-02-01,1298700
2015-03-01,1284400
2015-04-01,1297700
2015-05-01,1289400
2015-06-01,1286700
2015-07-01,1299400
2015-08-01,1318600
2015-09-01,1314100
2015-10-01,1309400
2015-11-01,1329100
2015-12-01,1353300
2016-01-01,1368000
2016-02-01,1379000
2016-03-01,1369800
2016-04-01,1377200
2016-05-01,1316900
2016-06-01,1299200
2016-07-01,1309300
2016-08-01,1287500
2016-09-01,1304700
2016-10-01,1293900
2016-11-01,1284700
2016-12-01,1310500
2017-01-01,1289900
2017-02-01,1251100
2017-03-01,1269100
2017-04-01,1233800
2017-05-01,1255500
2017-06-01,1226400
2017-07-01,1198600
2017-08-01,1181600
2017-09-01,1182700
2017-10-01,1204700
2017-11-01,1168000
2017-12-01,1148600
2018-01-01,1122200
2018-02-01,1129400
2018-03-01,1098500
2018-04-01,1109100
2018-05-01,1135800
2018-06-01,1159000
2018-07-01,1129000
2018-08-01,1152500
2018-09-01,1127100
2018-10-01,1106500
2018-11-01,1098600
2018-12-01,1099400
2019-01-01,1126300
2019-02-01,1113700
2019-03-01,1132200
2019-04-01,1125600
2019-05-01,1076700
2019-06-01,1102200
2019-07-01,1122300
2019-08-01,1115500
2019-09-01,1117000
2019-10-01,1112100
2019-11-01,1158600
2019-12-01,1109100
2020-01-01,1097600
2020-02-01,1120800
2020-03-01,1585000
2020-04-01,2486200
2020-05-01,2658100
2020-06-01,2368200
2020-07-01,2161600
2020-08-01,2033500
2020-09-01,1726300
2020-10-01,1713100
2020-11-01,1637300
2020-12-01,1690400
2021-01-01,1857100
2021-02-01,1653300
2021-03-01,1499500
2021-04-01,1598700
2021-05-01,1626500
2021-06-01,1508900
2021-07-01,1453000
2021-08-01,1398800
2021-09-01,1342900
2021-10-01,1244600
2021-11-01,1178100
2021-12-01,1161900
2022-01-01,1309100
2022-02-01,1067500
2022-03-01,1024100
2022-04-01,1047100
2022-05-01,1037000
2022-06-01,992900
2022-07-01,961600
2022-08-01,1023200
2022-09-01,1025600
2022-10-01,1043700
2022-11-01,1022900
2022-12-01,1010100
2023-01-01,1023700
2023-02-01,1008500
2023-03-01,1005100
2023-04-01,1023500
2023-05-01,1046400
2023-06-01,1100000
2023-07-01,1126800
2023-08-01,1116400
2023-09-01,1129000
2023-10-01,1182600
2023-11-01,1185900
