"Date","LFEMTTTTCAM647S"
1988-07-01,12711800
1988-08-01,12720000
1988-09-01,12732800
1988-10-01,12765000
1988-11-01,12795800
1988-12-01,12849400
1989-01-01,12922000
1989-02-01,12936800
1989-03-01,12982400
1989-04-01,12959900
1989-05-01,12962200
1989-06-01,12979400
1989-07-01,12979800
1989-08-01,13029100
1989-09-01,13029500
1989-10-01,13034500
1989-11-01,13059700
1989-12-01,13066800
1990-01-01,13101400
1990-02-01,13134900
1990-03-01,13126100
1990-04-01,13141300
1990-05-01,13101900
1990-06-01,13134400
1990-07-01,13113600
1990-08-01,13100300
1990-09-01,13089500
1990-10-01,13039300
1990-11-01,12985300
1990-12-01,12934700
1991-01-01,12894200
1991-02-01,12845100
1991-03-01,12809200
1991-04-01,12850700
1991-05-01,12879900
1991-06-01,12886300
1991-07-01,12872300
1991-08-01,12876200
1991-09-01,12855400
1991-10-01,12861000
1991-11-01,12823200
1991-12-01,12810200
1992-01-01,12790200
1992-02-01,12771300
1992-03-01,12744900
1992-04-01,12730900
1992-05-01,12736600
1992-06-01,12717300
1992-07-01,12732500
1992-08-01,12693700
1992-09-01,12700100
1992-10-01,12713000
1992-11-01,12704800
1992-12-01,12721900
1993-01-01,12755000
1993-02-01,12763200
1993-03-01,12780700
1993-04-01,12748800
1993-05-01,12755900
1993-06-01,12780000
1993-07-01,12789600
1993-08-01,12808100
1993-09-01,12840500
1993-10-01,12825300
1993-11-01,12873900
1993-12-01,12848400
1994-01-01,12856400
1994-02-01,12889500
1994-03-01,12928600
1994-04-01,12940700
1994-05-01,13012400
1994-06-01,13041500
1994-07-01,13098500
1994-08-01,13115200
1994-09-01,13176900
1994-10-01,13168800
1994-11-01,13259200
1994-12-01,13245800
1995-01-01,13269500
1995-02-01,13262300
1995-03-01,13290500
1995-04-01,13268900
1995-05-01,13265800
1995-06-01,13278200
1995-07-01,13280600
1995-08-01,13297800
1995-09-01,13331200
1995-10-01,13347000
1995-11-01,13315000
1995-12-01,13356800
1996-01-01,13374500
1996-02-01,13399400
1996-03-01,13377200
1996-04-01,13404100
1996-05-01,13425600
1996-06-01,13412900
1996-07-01,13440400
1996-08-01,13456600
1996-09-01,13414400
1996-10-01,13412800
1996-11-01,13441500
1996-12-01,13465700
1997-01-01,13535900
1997-02-01,13538100
1997-03-01,13569800
1997-04-01,13571200
1997-05-01,13637200
1997-06-01,13690000
1997-07-01,13731500
1997-08-01,13798900
1997-09-01,13815900
1997-10-01,13833100
1997-11-01,13859500
1997-12-01,13874900
1998-01-01,13864800
1998-02-01,13914500
1998-03-01,13949400
1998-04-01,13977600
1998-05-01,13993300
1998-06-01,14005800
1998-07-01,14063800
1998-08-01,14101700
1998-09-01,14140700
1998-10-01,14159400
1998-11-01,14198900
1998-12-01,14200000
1999-01-01,14273300
1999-02-01,14263300
1999-03-01,14278700
1999-04-01,14316600
1999-05-01,14352700
1999-06-01,14373000
1999-07-01,14430900
1999-08-01,14451800
1999-09-01,14474600
1999-10-01,14514700
1999-11-01,14549400
1999-12-01,14611300
2000-01-01,14652700
2000-02-01,14672200
2000-03-01,14697500
2000-04-01,14722700
2000-05-01,14736400
2000-06-01,14746800
2000-07-01,14750400
2000-08-01,14770300
2000-09-01,14812200
2000-10-01,14835300
2000-11-01,14871400
2000-12-01,14920000
2001-01-01,14894400
2001-02-01,14883900
2001-03-01,14888700
2001-04-01,14922300
2001-05-01,14946200
2001-06-01,14922500
2001-07-01,14946300
2001-08-01,14948500
2001-09-01,14972800
2001-10-01,14976900
2001-11-01,14990300
2001-12-01,14965600
2002-01-01,15019400
2002-02-01,15042300
2002-03-01,15120500
2002-04-01,15167800
2002-05-01,15222200
2002-06-01,15284300
2002-07-01,15324200
2002-08-01,15406900
2002-09-01,15405200
2002-10-01,15419100
2002-11-01,15467200
2002-12-01,15524700
2003-01-01,15544200
2003-02-01,15601600
2003-03-01,15609700
2003-04-01,15593200
2003-05-01,15574800
2003-06-01,15627100
2003-07-01,15648400
2003-08-01,15638900
2003-09-01,15674700
2003-10-01,15729500
2003-11-01,15778500
2003-12-01,15821100
2004-01-01,15819700
2004-02-01,15826900
2004-03-01,15836300
2004-04-01,15882700
2004-05-01,15900900
2004-06-01,15923900
2004-07-01,15937600
2004-08-01,15945400
2004-09-01,15978900
2004-10-01,15989600
2004-11-01,16008300
2004-12-01,16022800
2005-01-01,16034000
2005-02-01,16047100
2005-03-01,16046500
2005-04-01,16072300
2005-05-01,16076700
2005-06-01,16101800
2005-07-01,16142200
2005-08-01,16186600
2005-09-01,16172200
2005-10-01,16211700
2005-11-01,16241200
2005-12-01,16232300
2006-01-01,16261000
2006-02-01,16292200
2006-03-01,16347300
2006-04-01,16383500
2006-05-01,16450400
2006-06-01,16432500
2006-07-01,16440400
2006-08-01,16435700
2006-09-01,16468000
2006-10-01,16487500
2006-11-01,16487500
2006-12-01,16549600
2007-01-01,16615000
2007-02-01,16636400
2007-03-01,16664800
2007-04-01,16658600
2007-05-01,16682100
2007-06-01,16728200
2007-07-01,16796200
2007-08-01,16817500
2007-09-01,16836200
2007-10-01,16883700
2007-11-01,16904800
2007-12-01,16907100
2008-01-01,16941700
2008-02-01,16972800
2008-03-01,16964300
2008-04-01,16973700
2008-05-01,16987900
2008-06-01,16992000
2008-07-01,16979500
2008-08-01,16997900
2008-09-01,17027800
2008-10-01,17076700
2008-11-01,16979000
2008-12-01,16966500
2009-01-01,16827000
2009-02-01,16784800
2009-03-01,16765000
2009-04-01,16730500
2009-05-01,16741800
2009-06-01,16710200
2009-07-01,16700200
2009-08-01,16696500
2009-09-01,16745000
2009-10-01,16757600
2009-11-01,16822000
2009-12-01,16794300
2010-01-01,16824300
2010-02-01,16821600
2010-03-01,16869000
2010-04-01,16926400
2010-05-01,16948900
2010-06-01,17022800
2010-07-01,17032200
2010-08-01,17064500
2010-09-01,17057800
2010-10-01,17046400
2010-11-01,17088300
2010-12-01,17116900
2011-01-01,17187500
2011-02-01,17181000
2011-03-01,17188100
2011-04-01,17226200
2011-05-01,17207500
2011-06-01,17253600
2011-07-01,17290400
2011-08-01,17306600
2011-09-01,17300400
2011-10-01,17286800
2011-11-01,17280500
2011-12-01,17296600
2012-01-01,17304100
2012-02-01,17291400
2012-03-01,17382800
2012-04-01,17467200
2012-05-01,17454000
2012-06-01,17453900
2012-07-01,17479400
2012-08-01,17527600
2012-09-01,17577500
2012-10-01,17585100
2012-11-01,17614200
2012-12-01,17662300
2013-01-01,17655200
2013-02-01,17714800
2013-03-01,17642400
2013-04-01,17671200
2013-05-01,17734600
2013-06-01,17726700
2013-07-01,17698900
2013-08-01,17727100
2013-09-01,17717100
2013-10-01,17725900
2013-11-01,17735400
2013-12-01,17704100
2014-01-01,17721000
2014-02-01,17719700
2014-03-01,17737100
2014-04-01,17727600
2014-05-01,17730700
2014-06-01,17761200
2014-07-01,17815200
2014-08-01,17771800
2014-09-01,17798500
2014-10-01,17825500
2014-11-01,17826700
2014-12-01,17860200
2015-01-01,17861900
2015-02-01,17878800
2015-03-01,17920500
2015-04-01,17878700
2015-05-01,17897200
2015-06-01,17883900
2015-07-01,17903000
2015-08-01,17926700
2015-09-01,17938300
2015-10-01,17951700
2015-11-01,17917600
2015-12-01,17905000
2016-01-01,17899200
2016-02-01,17929600
2016-03-01,17934700
2016-04-01,17964000
2016-05-01,17992700
2016-06-01,18000400
2016-07-01,17988400
2016-08-01,18046100
2016-09-01,18070300
2016-10-01,18096600
2016-11-01,18114200
2016-12-01,18141200
2017-01-01,18223200
2017-02-01,18251500
2017-03-01,18272700
2017-04-01,18296700
2017-05-01,18332500
2017-06-01,18391600
2017-07-01,18434100
2017-08-01,18460200
2017-09-01,18459600
2017-10-01,18489200
2017-11-01,18567500
2017-12-01,18631900
2018-01-01,18594900
2018-02-01,18585000
2018-03-01,18642000
2018-04-01,18638300
2018-05-01,18641500
2018-06-01,18692800
2018-07-01,18773100
2018-08-01,18725700
2018-09-01,18802700
2018-10-01,18821300
2018-11-01,18897200
2018-12-01,18932400
2019-01-01,18973900
2019-02-01,19025100
2019-03-01,18989600
2019-04-01,19116400
2019-05-01,19132400
2019-06-01,19144900
2019-07-01,19127900
2019-08-01,19178700
2019-09-01,19183100
2019-10-01,19174300
2019-11-01,19128100
2019-12-01,19198700
2020-01-01,19226100
2020-02-01,19223400
2020-03-01,18075000
2020-04-01,16083600
2020-05-01,16395400
2020-06-01,17431200
2020-07-01,17847600
2020-08-01,18072900
2020-09-01,18501400
2020-10-01,18566100
2020-11-01,18602500
2020-12-01,18539800
2021-01-01,18353000
2021-02-01,18622500
2021-03-01,18875100
2021-04-01,18678100
2021-05-01,18619400
2021-06-01,18872900
2021-07-01,18982000
2021-08-01,19052400
2021-09-01,19218600
2021-10-01,19255100
2021-11-01,19394300
2021-12-01,19473200
2022-01-01,19286000
2022-02-01,19643800
2022-03-01,19663300
2022-04-01,19716200
2022-05-01,19747900
2022-06-01,19702800
2022-07-01,19731100
2022-08-01,19706300
2022-09-01,19718100
2022-10-01,19786400
2022-11-01,19813100
2022-12-01,19882300
2023-01-01,20032300
2023-02-01,20054100
2023-03-01,20088800
2023-04-01,20130200
2023-05-01,20112900
2023-06-01,20172800
2023-07-01,20166400
2023-08-01,20206300
2023-09-01,20270100
2023-10-01,20287600
2023-11-01,20312500
