"Date","IMP0006"
2006-01-01,12991.128055
2006-02-01,12553.153715
2006-03-01,13991.228901
2006-04-01,12851.263907
2006-05-01,14277.575424
2006-06-01,14873.87376
2006-07-01,11406.416855
2006-08-01,14288.750795
2006-09-01,13304.270546
2006-10-01,13654.63187
2006-11-01,13203.879389
2006-12-01,12184.53173
2007-01-01,12312.288634
2007-02-01,11957.207488
2007-03-01,13975.764501
2007-04-01,13108.460169
2007-05-01,13454.076559
2007-06-01,14156.057899
2007-07-01,11384.293982
2007-08-01,13515.098594
2007-09-01,13421.232698
2007-10-01,14740.864518
2007-11-01,14515.952636
2007-12-01,12343.723246
2008-01-01,13077.62709
2008-02-01,13588.199594
2008-03-01,14271.621079
2008-04-01,15415.633553
2008-05-01,14809.890497
2008-06-01,15119.004398
2008-07-01,14767.865336
2008-08-01,15632.750617
2008-09-01,14939.682098
2008-10-01,13868.272582
2008-11-01,11210.740578
2008-12-01,9314.676973
2009-01-01,7381.364276
2009-02-01,7622.513201
2009-03-01,8380.939387
2009-04-01,8206.106192
2009-05-01,7757.553537
2009-06-01,9235.986121
2009-07-01,9243.140043
2009-08-01,10307.509272
2009-09-01,10884.769557
2009-10-01,11416.565278
2009-11-01,10679.070362
2009-12-01,11371.761859
2010-01-01,10882.193468
2010-02-01,11147.474198
2010-03-01,12803.837134
2010-04-01,12642.315932
2010-05-01,13012.41237
2010-06-01,13295.432419
2010-07-01,10588.938263
2010-08-01,12197.78294
2010-09-01,12291.773503
2010-10-01,12203.2791
2010-11-01,11837.980976
2010-12-01,12322.140888
2011-01-01,12839.587016
2011-02-01,11920.874711
2011-03-01,13911.008695
2011-04-01,13774.073284
2011-05-01,13838.481536
2011-06-01,13703.088454
2011-07-01,12414.606378
2011-08-01,13917.590379
2011-09-01,14138.494237
2011-10-01,13986.557906
2011-11-01,14170.684367
2011-12-01,14112.933303
2012-01-01,14423.693343
2012-02-01,14340.329146
2012-03-01,15979.585648
2012-04-01,15230.744926
2012-05-01,14816.759493
2012-06-01,14877.475712
2012-07-01,12839.471181
2012-08-01,14485.693103
2012-09-01,14049.477711
2012-10-01,15135.301321
2012-11-01,15120.534202
2012-12-01,13930.771468
2013-01-01,14759.851138
2013-02-01,14309.642062
2013-03-01,15166.486708
2013-04-01,15670.645941
2013-05-01,14738.442886
2013-06-01,14478.02811
2013-07-01,13560.464444
2013-08-01,14883.028591
2013-09-01,15610.497811
2013-10-01,15851.180896
2013-11-01,14943.375783
2013-12-01,14011.443598
2014-01-01,13213.832357
2014-02-01,12904.348341
2014-03-01,14796.488084
2014-04-01,14545.26871
2014-05-01,15714.871231
2014-06-01,15583.741734
2014-07-01,14490.085546
2014-08-01,14565.611814
2014-09-01,15621.090319
2014-10-01,15515.451937
2014-11-01,13824.932523
2014-12-01,13963.663071
2015-01-01,12576.392148
2015-02-01,10758.936482
2015-03-01,12139.779812
2015-04-01,12104.50361
2015-05-01,11787.909897
2015-06-01,13014.233093
2015-07-01,11078.741879
2015-08-01,11906.57925
2015-09-01,11363.553885
2015-10-01,11536.202662
2015-11-01,11365.083745
2015-12-01,11137.072178
2016-01-01,10622.233847
2016-02-01,10510.530164
2016-03-01,11298.349339
2016-04-01,10972.492229
2016-05-01,10986.951039
2016-06-01,11457.332909
2016-07-01,9705.012624
2016-08-01,11403.892813
2016-09-01,11275.339815
2016-10-01,11392.171777
2016-11-01,11341.398584
2016-12-01,10373.157304
2017-01-01,10604.002947
2017-02-01,10380.88247
2017-03-01,11312.689827
2017-04-01,10752.329692
2017-05-01,11494.311408
2017-06-01,11398.727072
2017-07-01,9404.474072
2017-08-01,11230.356439
2017-09-01,10556.744042
2017-10-01,11055.482751
2017-11-01,11369.677441
2017-12-01,10509.510263
2018-01-01,10693.752822
2018-02-01,10367.484029
2018-03-01,11407.700369
2018-04-01,11093.055638
2018-05-01,11397.891252
2018-06-01,11245.275501
2018-07-01,10158.866895
2018-08-01,10981.234278
2018-09-01,10374.184064
2018-10-01,11447.829621
2018-11-01,10793.542704
2018-12-01,9489.677887
2019-01-01,9468.419659
2019-02-01,9510.711453
2019-03-01,11096.760379
2019-04-01,10532.319924
2019-05-01,11488.349614
2019-06-01,10877.758287
2019-07-01,9575.872401
2019-08-01,10508.465133
2019-09-01,10161.198174
2019-10-01,11042.963453
2019-11-01,10165.729015
2019-12-01,9726.643675
2020-01-01,9409.241206
2020-02-01,9302.484516
2020-03-01,9049.801482
2020-04-01,4348.884365
2020-05-01,5110.623914
2020-06-01,8479.980865
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
